N	2gram	Tiupa_Narr	PoTuStor
211	уже в	3	1
212	на ее	1	1
213	внимание на	1	1
214	мог бы	3	1
215	есть прежде	1	1
216	в состоянии	1	1
217	не будем	1	1
218	без исключения	2	1
219	дело с	2	1
220	мы имеем	2	1
221	это и	3	1
222	несмотря на	2	1
223	но именно	1	1
224	это часто	1	1
225	говорит и	2	1
226	и чрезвычайно	1	1
227	для всего	1	1
228	хотя и	3	1
229	этом отношении	3	1
230	имеем дело	2	1
231	в сущности	3	1
232	как раз	2	1
233	говорит о	2	1
234	о нем	4	1
235	матери а	1	1
236	в качестве	21	1
237	в году	1	1
238	в полном	2	1
239	нас в	1	1
240	не являются	2	1
241	у нас	1	1
242	здесь в	1	1
243	и делает	1	1
244	в виду	1	1
245	подобно тому	2	1
246	и братьев	1	1
247	можно было	2	1
248	того насколько	1	1
249	его жизненной	1	1
250	связь с	1	1
251	как они	1	1
252	связи с	4	1
253	этой точки	2	1
254	если бы	1	1
255	столь же	3	1
256	иногда и	1	1
257	в конкретной	1	1
258	а во-вторых	1	1
259	и сам	1	1
260	это состояние	1	1
261	дело в	1	1
262	оно есть	1	1
263	он может	1	1
264	и столь	1	1
265	но не	6	1
266	и эта	1	1
267	быть только	1	1
268	его мысли	1	1
269	а то	1	1
270	времени и	7	1
271	в конце	1	1
272	матери если	1	1
273	их видения	1	1
274	в связи	2	1
275	зависит от	2	1
276	не подлежит	1	1
277	что по	2	1
278	в мире	9	1
279	все же	7	1
280	жизни в	3	1
281	наличие этого	1	1
282	не что	2	1
283	а иногда	2	1
284	в следующем	1	1
285	от этого	1	1
286	приводит к	2	1
287	не имеет	2	1
288	и со	1	1
289	и могут	1	1
290	как наука	1	1
291	его жизни	2	1
292	по его	1	1
293	ключом к	1	1
294	матери или	2	1
295	в себя	6	1
296	это было	1	1
297	роль в	2	1
298	со стороны	9	1
299	на его	1	1
300	на мать	1	1
301	с другом	1	1
302	в смысле	1	1
303	различные формы	1	1
304	делает его	1	1
305	в дальнейшей	1	1
306	вовсе не	1	1
307	взрослой жизни	1	1
308	уже не	5	1
309	к тому	7	1
310	не входит	1	1
311	жизни мы	1	1
312	всем его	1	1
313	на одном	1	1
314	той или	4	1
315	свое время	1	1
316	первый взгляд	2	1
317	этих двух	1	1
318	нет ничего	1	1
319	и тех	1	1
320	почти полное	1	1
321	его и	1	1
322	во внешнем	2	1
323	искать в	1	1
324	человека в	2	1
325	опираясь на	1	1
326	лица по	1	1
327	а с	3	1
328	в данном	5	1
329	и быть	1	1
330	вытекает из	1	1
331	отличается от	4	1
332	далее и	1	1
333	к предмету	1	1
334	об ее	1	1
335	и т.д	7	1
336	мы увидим	1	1
337	сознание это	1	1
338	то и	1	1
339	разных местах	1	1
340	она не	2	1
341	вклад в	1	1
342	в свою	3	1
343	входит в	1	1
344	даже самое	2	1
345	наконец в	2	1
346	одной стороны	7	1
347	как известно	2	1
348	не дает	1	1
349	здесь только	1	1
350	в другом	1	1
351	то ни	3	1
352	для больного	1	1
353	тому как	2	1
354	от содержания	1	1
355	но всегда	1	1
356	быть не	1	1
357	в ней	3	1
358	человека как	1	1
359	с совершенно	1	1
360	мы узнаем	1	1
361	не всегда	2	1
362	человека который	1	1
363	позволяет нам	1	1
364	узнаем о	1	1
365	от всех	2	1
366	когда он	3	1
367	на чем	2	1
368	что если	1	1
369	одним словом	1	1
370	а не	12	1
371	есть то	1	1
372	ни один	1	1
373	только одним	1	1
374	хотя в	2	1
375	своем качестве	1	1
376	отношений между	1	1
377	в нашей	1	1
378	на другой	2	1
379	только когда	1	1
380	взгляда на	1	1
381	о действительно	1	1
382	опоры на	1	1
383	от того	1	1
384	местах и	1	1
385	его специфической	1	1
386	это может	1	1
387	всех без	1	1
388	отметить что	1	1
389	всей его	2	1
390	а во	3	1
391	этом своем	1	1
392	с другой	8	1
393	это же	1	1
394	лишь в	1	1
395	в рамках	12	1
396	и три	1	1
397	известной степени	1	1
398	истории и	2	1
399	на свет	1	1
400	так называемого	1	1
401	обратим внимание	1	1
402	же самое	1	1
403	в комнате	1	1
404	к изучению	1	1
405	однако в	2	1
406	году в	1	1
407	она может	2	1
408	и самого	3	1
409	и культурный	1	1
410	некоторое преимущество	1	1
411	в самую	2	1
412	бы он	1	1
413	о его	1	1
414	этом и	1	1
415	под названием	1	1
416	с чем	2	1
417	может оказаться	2	1
418	только здесь	1	1
419	с которым	1	1
420	все время	1	1
421	или иной	5	1
422	же в	4	1
423	например о	1	1
424	каждый день	1	1
425	не сразу	1	1
426	и прежде	1	1
427	себя с	1	1
428	одна из	3	1
429	всего к	1	1
430	о роли	1	1
431	этот момент	1	1
432	по поводу	1	1
433	их на	1	1
434	сказать о	1	1
435	друг с	1	1
436	человек не	1	1
437	к этим	1	1
438	что иное	2	1
439	его смерти	1	1
440	к ее	1	1
441	влечение в	1	1
442	не случайно	2	1
443	в культуре	2	1
444	себя в	5	1
445	точку зрения	4	1
446	одного и	1	1
447	тот же	1	1
448	ничего не	2	1
449	иное как	2	1
450	о ней	3	1
451	смерти как	1	1
452	намек на	1	1
453	к нему	5	1
