N	2gram	Nazirov_Tv	NovoeSre
178	что все	4	2
179	время как	1	2
180	времени в	13	2
181	все эти	3	2
182	же как	3	2
183	такой же	4	2
184	вместе с	4	2
185	который в	4	2
186	общества и	1	2
187	одна из	5	2
188	стремление к	2	2
189	роль в	2	2
190	как будто	5	2
191	должно стать	1	2
192	но не	7	2
193	в то	23	2
194	том что	14	2
195	в мировой	1	2
196	так же	6	2
197	xix век	2	2
198	и это	2	2
199	в смысле	1	2
200	погоня за	1	2
201	себя в	3	2
202	к богу	1	2
203	но в	11	2
204	мысли и	5	2
205	не к	2	2
206	вопрос об	1	1
207	жить только	2	1
208	своего рода	7	1
209	и мир	3	1
210	войне и	2	1
211	в самом	6	1
212	начиная со	1	1
213	к одному	2	1
214	времени он	3	1
215	нет ничего	1	1
216	всего они	1	1
217	и того	2	1
218	до этого	2	1
219	века как	1	1
220	был и	1	1
221	роль она	1	1
222	шекспира и	1	1
223	но можно	1	1
224	на западе	1	1
225	можно сказать	2	1
226	то он	1	1
227	человек как	3	1
228	человека в	9	1
229	это одна	1	1
230	во все	1	1
231	на человека	1	1
232	для всех	1	1
233	не терпит	1	1
234	в философском	2	1
235	в более	1	1
236	противоположные полюсы	1	1
237	до сих	1	1
238	а к	1	1
239	не сознавать	1	1
240	бога в	1	1
241	и более	2	1
242	бы он	1	1
243	характерная для	1	1
244	и этот	1	1
245	в котором	8	1
246	по природе	6	1
247	по преимуществу	4	1
248	значение в	2	1
249	мы переходим	1	1
250	века с	2	1
251	есть признак	1	1
252	тоже не	2	1
253	то это	2	1
254	принципу который	1	1
255	в статье	2	1
256	что этот	2	1
257	отличие от	3	1
258	от жизни	2	1
259	нет ни	3	1
260	же и	2	1
261	из них	4	1
262	к ней	3	1
263	она должна	1	1
264	и красота	2	1
265	отпадения от	1	1
266	и началом	1	1
267	свидетельствует о	2	1
268	мы уже	2	1
269	нас и	1	1
270	жизни а	1	1
271	которая в	1	1
272	переходит в	2	1
273	от творческих	1	1
274	не могу	2	1
275	их стремление	1	1
276	уже в	5	1
277	эти слова	3	1
278	кризис и	1	1
279	во власти	1	1
280	к себе	1	1
281	в свою	8	1
282	и имеет	1	1
283	для себя	1	1
284	из этих	1	1
285	во всяком	2	1
286	том числе	1	1
287	русского народа	1	1
288	все свои	1	1
289	всего мира	1	1
290	есть бог	1	1
291	одну из	1	1
292	это я	2	1
293	страшным и	1	1
294	вопросу о	1	1
295	не по	3	1
296	не быть	1	1
297	его борьбу	1	1
298	и зло	1	1
299	своем развитии	1	1
300	более всего	2	1
301	величие и	1	1
302	это значит	1	1
303	от формы	1	1
304	а это	1	1
305	в этот	3	1
306	это уже	7	1
307	он и	1	1
308	или нет	1	1
309	было бы	2	1
310	мы должны	1	1
311	и из	1	1
312	в сущности	1	1
313	к небытию	1	1
314	этом он	2	1
315	в недрах	1	1
316	в его	19	1
317	была своя	1	1
318	особое место	3	1
319	и личности	1	1
320	переходит от	1	1
321	когда она	1	1
322	он стремился	2	1
323	ли это?	1	1
324	о свободе	3	1
325	от этой	1	1
326	но ведь	2	1
327	и через	4	1
328	и их	2	1
329	в которую	2	1
330	говорить о	1	1
331	не способен	1	1
332	как результат	1	1
333	но сам	1	1
334	у нас	2	1
335	и когда	2	1
336	для них	2	1
337	не столько	4	1
338	других людей	2	1
339	с другими	1	1
340	истории с	1	1
341	людей и	2	1
342	было то	1	1
343	говорит что	2	1
344	себя на	1	1
345	в виду	3	1
346	нужно быть	1	1
347	еще в	3	1
348	в мир	2	1
349	по старой	1	1
350	превращается в	2	1
351	и до	2	1
352	борьбой с	1	1
353	с собой	1	1
354	весь мир	1	1
355	добро и	1	1
356	только в	7	1
357	в xix	3	1
358	движения в	1	1
359	народ не	1	1
360	не на	1	1
361	не могут	2	1
362	создает себе	1	1
363	в нее	1	1
364	лежал в	1	1
365	от других	2	1
366	чего он	1	1
367	за моря	1	1
368	к достижению	2	1
369	с раскрытием	1	1
370	в большинстве	1	1
371	положения он	1	1
372	было и	1	1
373	а во	2	1
374	оно не	1	1
375	на смену	2	1
376	их не	1	1
377	в средневековой	2	1
378	прогресса и	2	1
379	а на	1	1
380	сами по	2	1
381	говорим о	1	1
382	образ человека	2	1
383	но он	3	1
384	в которой	5	1
385	сферы в	1	1
386	этого мира	1	1
387	и а	1	1
388	заключает в	1	1
389	в этой	7	1
390	жизни это	1	1
391	вот что	1	1
392	числе и	1	1
393	что ничего	1	1
394	к чему	1	1
395	свободу от	2	1
396	времени чем	1	1
397	сторон жизни	1	1
398	времени его	1	1
399	а по	3	1
400	человек а	1	1
401	и еще	2	1
402	жизнь в	2	1
403	что его	4	1
404	новый мир	1	1
405	как на	1	1
406	современного человечества	1	1
407	общества в	1	1
408	время тоже	1	1
409	в отличие	3	1
410	он в	1	1
411	него и	1	1
412	карикатура на	1	1
413	возможно что	1	1
414	они совсем	1	1
415	быть понята	2	1
416	мысль еще	1	1
417	во многом	8	1
418	вопрос этот	1	1
419	в будущее	1	1
420	переход от	2	1
421	из всех	5	1
422	в силах	1	1
423	может сам	1	1
424	что не	5	1
425	но все	1	1
426	истории ее	1	1
427	в глубине	1	1
428	оба они	1	1
429	был понят	1	1
430	тем что	2	1
431	не верит	1	1
432	принято считать	1	1
433	творческий процесс	2	1
434	социализма в	1	1
435	что сами	1	1
436	личность человека	1	1
437	к этой	1	1
438	менее чем	1	1
439	это тем	1	1
440	но нет	1	1
441	времени не	1	1
442	с большим	3	1
443	это время	2	1
444	в конце	5	1
445	ним она	1	1
446	свободу как	1	1
447	того времени	1	1
448	в основу	1	1
449	идеями в	1	1
450	выход из	1	1
451	эпохи в	1	1
452	так как	6	1
453	в образе	4	1
454	к которому	3	1
455	в своем	4	1
456	их место	1	1
457	процессы в	2	1
458	давно уже	2	1
459	характер и	1	1
460	я могу	1	1
461	как я	1	1
462	есть по	1	1
463	этого быть	1	1
464	лишь на	1	1
465	понята как	1	1
466	личности с	1	1
467	русские люди	1	1
468	нас к	1	1
469	сих пор	1	1
470	и вполне	1	1
471	что он	11	1
472	на себя	2	1
473	известном смысле	2	1
474	и внешними	1	1
475	учит нас	1	1
476	и она	1	1
477	показал что	1	1
478	зла в	1	1
479	будущего все	1	1
480	их в	1	1
481	цивилизации и	1	1
482	всю жизнь	1	1
483	в атмосфере	1	1
484	так на	1	1
485	миру а	1	1
486	человека на	1	1
487	человеке и	1	1
488	в этих	2	1
489	качеств в	1	1
490	перед лицом	1	1
491	становится все	1	1
492	и религии	1	1
493	но если	4	1
494	по себе	2	1
495	совершается кризис	1	1
496	приводит к	4	1
497	только для	2	1
498	не имел	1	1
499	в области	1	1
500	и повести	1	1
501	времени а	2	1
502	вверх ногами	1	1
503	в такой	2	1
504	все более	2	1
505	нуждается в	2	1
506	все другие	1	1
507	с ним	4	1
508	явились результатом	1	1
509	и только	2	1
510	что само	1	1
511	этой теме	1	1
512	человек не	1	1
513	он создает	1	1
514	есть только	1	1
515	ли он	1	1
516	от всех	2	1
517	себя все	1	1
518	отнесены к	1	1
519	ней нет	1	1
520	всяком случае	2	1
521	обречен на	1	1
522	для настоящего	1	1
523	настоящего и	1	1
524	во время	2	1
525	друг друга	2	1
526	идей и	2	1
527	только потому	1	1
528	но внутри	1	1
529	в эти	1	1
530	и богато	1	1
531	связанный с	1	1
532	к вопросу	1	1
533	с большей	1	1
534	до начала	1	1
535	к своим	1	1
536	того же	2	1
537	в известном	2	1
538	истории я	1	1
539	очень любят	1	1
540	знает что	1	1
541	во времени	3	1
542	не случайно	6	1
543	в чем	4	1
544	нет в	1	1
545	не был	4	1
546	движения и	1	1
547	он действует	1	1
548	если взять	1	1
549	отказаться от	4	1
550	и его	14	1
551	в эту	1	1
552	что вообще	1	1
553	и особенно	1	1
554	в миру	1	1
555	своему духовному	1	1
556	свою противоположность	2	1
557	и у	3	1
558	одного и	1	1
559	жизни с	2	1
560	разобраться в	1	1
561	огромную роль	1	1
562	раньше чем	1	1
563	человека не	1	1
564	говорят об	1	1
565	к идее	1	1
566	связано с	1	1
567	в недра	1	1
568	бытия а	1	1
569	который и	1	1
570	себя и	1	1
571	к нему	1	1
572	людей в	2	1
