N	2gram	Medvedev_F	UchenyiS
120	этом отношении	7	2
121	только прием	1	2
122	противном случае	2	2
123	фактов и	3	2
124	как прием	2	2
125	художественном произведении	4	2
126	как раз	8	2
127	в некоторых	2	2
128	интереса к	1	2
129	тех или	1	2
130	не могут	8	2
131	а как	5	2
132	сводится к	6	2
133	в том	17	2
134	представляется нам	1	2
135	это уже	1	2
136	том что	3	2
137	и через	2	2
138	надо было	1	2
139	или иных	1	2
140	художественного задания	1	2
141	художественных произведений	5	2
142	метода как	1	2
143	предмет изучения	2	2
144	но это	4	2
145	этом смысле	3	2
146	материал не	1	2
147	но даже	2	2
148	а о	4	2
149	и для	5	2
150	в системе	3	2
151	в итоге	1	2
152	и является	3	2
153	что и	10	2
154	в сторону	4	2
155	не столько	5	2
156	установку на	1	2
157	меньшей степени	1	2
158	а между	1	2
159	по композиции	1	2
160	смысле этого	4	2
161	с его	12	2
162	превращается в	2	2
163	на первый	1	2
164	сих пор	7	2
165	по крайней	1	2
166	только в	6	2
167	формы и	7	2
168	по себе	10	2
169	теоретической поэтики	4	2
170	вопроса о	2	2
171	но конечно	2	2
172	формалистов к	2	1
173	степени характерно	1	1
174	и форм	2	1
175	в той	3	1
176	формальном методе	3	1
177	литературы в	8	1
178	было и	1	1
179	в г	1	1
180	и материал	1	1
181	так то	1	1
182	что было	2	1
183	все в	3	1
184	и эстетики	1	1
185	что в	10	1
186	этой тенденции	1	1
187	с которыми	1	1
188	построения и	1	1
189	случилось с	1	1
190	художественного восприятия	3	1
191	не было	7	1
192	остается в	1	1
193	жирмунский в	1	1
194	так или	1	1
195	поэтика и	1	1
196	методе и	1	1
197	и даже	7	1
198	содержания в	2	1
199	смысла слов	1	1
200	связанных с	2	1
201	утверждение примата	1	1
202	первый план	1	1
203	этого и	1	1
204	он вводит	1	1
205	поэтики еще	1	1
206	отношении очень	2	1
207	более или	7	1
208	говорит он	7	1
209	мы полагаем	3	1
210	о необходимости	2	1
211	и потому	9	1
212	метод и	3	1
213	столько же	1	1
214	поэтикой и	1	1
215	но он	2	1
216	этом случае	1	1
217	и являлись	1	1
218	образом на	2	1
219	в которой	5	1
220	и отчетливых	1	1
221	как элементы	4	1
222	сколько и	1	1
223	сводить к	1	1
224	изучение этого	1	1
225	постулирует историческую	1	1
226	имеем в	1	1
227	можно сказать	2	1
228	науки об	12	1
229	как психологические	1	1
230	и возможностей	1	1
231	литературного произведения	6	1
232	этого не	1	1
233	эти тенденции	1	1
234	или меньшей	1	1
235	восприятия и	4	1
236	поэмы гг	1	1
237	явлением и	1	1
238	что же	6	1
239	и единого	1	1
240	или иначе	2	1
241	в данном	2	1
242	исторической поэтики	3	1
243	существует в	1	1
244	его представителей	1	1
245	о лермонтове	1	1
246	история литературы	10	1
247	он уже	1	1
248	как таковая	2	1
249	а для	1	1
250	и техники	2	1
251	от смысла	3	1
252	историческую индивидуальность	1	1
253	нет и	2	1
254	наука о	1	1
255	как на	5	1
256	равно как	2	1
257	у толстого	2	1
258	для формалистов	4	1
259	исследовательской работе	1	1
260	и случилось	1	1
261	религии и	1	1
262	произведений и	1	1
263	произведение как	4	1
264	вопрос идет	1	1
265	эйхенбаума о	1	1
266	данного произведения	2	1
267	часто встречается	1	1
268	он в	3	1
269	и все	9	1
270	основными понятиями	1	1
271	слова а	1	1
272	историю литературы	3	1
273	определений и	1	1
274	и барокко	2	1
275	в точном	1	1
276	содержание и	1	1
277	из самых	1	1
278	все элементы	1	1
279	к изучению	2	1
280	принципа в	1	1
281	же как	3	1
282	как таковое	3	1
283	направлено на	1	1
284	сказать что	3	1
285	произведения как	3	1
286	как нам	1	1
287	к следующему	1	1
288	и эта	2	1
289	на элемент	1	1
290	в процессе	17	1
291	она должна	3	1
292	общее правило	1	1
293	данном случае	2	1
294	речи в	1	1
295	его как	5	1
296	поэтики в	1	1
297	но для	4	1
298	методологии истории	1	1
299	об ее	1	1
300	на эстетику	1	1
301	этот процесс	1	1
302	понимании форма	1	1
303	и др	8	1
304	в совокупности	1	1
305	и содержание	2	1
306	для формального	1	1
307	развитие в	1	1
308	у формалистов	12	1
309	ее как	2	1
310	искусствоведения и	1	1
311	и действительно	2	1
312	произведения нельзя	1	1
313	литературные произведения	3	1
314	методах изучения	1	1
315	литературного ряда	1	1
316	сдвиг в	1	1
317	анализ его	1	1
318	склонен рассматривать	1	1
319	точном смысле	1	1
320	науки они	1	1
321	формалистов для	1	1
322	рассматривать не	1	1
323	почти не	2	1
324	в таком	2	1
325	работах формалистов	1	1
326	и направлено	1	1
327	как литературные	1	1
328	исходить из	4	1
329	поэтика должна	3	1
330	то и	2	1
331	не метод	1	1
332	принципов и	2	1
333	шкловского в	4	1
334	о сущности	1	1
335	она не	8	1
336	степени и	1	1
337	понятие формы	1	1
338	краткий срок	1	1
339	в произведении	2	1
340	смысле и	2	1
341	но именно	2	1
342	до конца	9	1
343	формальным методом	2	1
344	является только	1	1
345	творчество и	1	1
346	художественным произведением	1	1
347	таком понимании	2	1
348	в своем	12	1
349	говорить не	2	1
350	с тем	11	1
351	ориентации поэтики	1	1
352	поэтики и	1	1
353	в значительной	3	1
354	может пройти	1	1
355	входит в	8	1
356	психологические документы	1	1
357	морали религии	3	1
358	по теории	4	1
359	только как	3	1
360	тем в	1	1
361	его на	1	1
362	только при	2	1
363	пройти мимо	1	1
364	одной стороны	5	1
365	широком и	1	1
366	нам думается	1	1
367	слово является	1	1
368	наших формалистов	5	1
369	он становится	3	1
370	основные определения	1	1
371	время не	2	1
372	конструктивный принцип	1	1
373	мы имеем	1	1
374	начала и	2	1
375	лингвистику в	1	1
376	формализма в	6	1
377	общих принципов	1	1
378	об искусстве	3	1
379	как данность	1	1
380	и лингвистика	2	1
381	истории искусств	1	1
382	современном европейском	1	1
383	в отдельности	1	1
384	от произведения	2	1
385	отношении статья	1	1
386	тому чтобы	2	1
387	искусства и	5	1
388	гораздо больше	1	1
389	не связанных	2	1
390	их в	2	1
391	же в	4	1
392	установка на	3	1
393	не для	4	1
394	он может	1	1
395	в ней	15	1
396	основные понятия	6	1
397	или даже	3	1
398	впервые в	1	1
399	книги об	1	1
400	где же	1	1
401	из первых	1	1
402	но что	2	1
403	теории и	1	1
404	ее содержании	1	1
405	в порядке	1	1
406	в данное	1	1
407	изучаемого объекта	3	1
408	и необходимо	1	1
409	метода не	2	1
410	даже не	2	1
411	отдельности и	1	1
412	и прежде	3	1
413	язык в	2	1
414	это значит	1	1
415	довести до	1	1
416	живого человека	1	1
417	место и	3	1
418	литературы а	4	1
419	ошибок но	1	1
420	оно является	1	1
421	о методах	1	1
422	а это	1	1
423	конструктивное значение	9	1
424	в этот	2	1
425	идет не	1	1
426	единства и	2	1
427	историческая поэтика	2	1
428	не вполне	1	1
429	на то	2	1
430	он и	3	1
431	полагая что	1	1
432	дифференциация его	1	1
433	строго говоря	1	1
434	но если	1	1
435	в большей	1	1
436	на лингвистику	4	1
437	бы ни	5	1
438	не значит	1	1
439	сам по	2	1
440	не входит	2	1
441	словами как	1	1
442	сюда же	1	1
443	связанных и	1	1
444	по мнению	1	1
445	к этому	3	1
446	полагаем что	3	1
447	большей или	1	1
448	так и	24	1
449	самый прием	1	1
450	это то	1	1
451	о нем	1	1
452	раннего формализма	3	1
453	метода в	7	1
454	как элемент	2	1
455	из которых	1	1
456	р якобсон	2	1
457	существенным является	1	1
458	это в	1	1
459	ее в	3	1
460	искусство как	2	1
461	в современном	2	1
462	отнюдь не	13	1
463	и вся	2	1
464	формалистов оказывается	1	1
465	ее существование	1	1
466	в качестве	2	1
467	него самая	1	1
468	в нем	25	1
469	именно этот	1	1
470	он не	8	1
471	как целого	1	1
472	словесных произведений	1	1
473	ней не	1	1
474	независимо от	5	1
475	метода он	1	1
476	и приемы	2	1
477	материал и	2	1
478	поскольку он	1	1
479	и истории	5	1
480	метод должен	3	1
481	произведения а	4	1
482	изучения литературы	1	1
483	все детали	1	1
484	вводит понятие	1	1
485	противников в	1	1
486	процессе художественного	1	1
487	на его	2	1
488	о литературном	1	1
489	есть ли	1	1
490	и что	2	1
491	что для	3	1
492	своей работе	2	1
493	смысле можно	1	1
494	отказ от	1	1
495	и это	4	1
496	методом и	1	1
497	в различных	2	1
498	с одной	5	1
499	которых она	1	1
500	в поэтическом	6	1
501	он был	1	1
502	сожалению и	1	1
503	поэтики это	1	1
504	данное время	1	1
505	вопросам методологии	1	1
506	на своем	3	1
507	и литературного	2	1
508	за пределы	2	1
509	они в	2	1
510	даны не	1	1
511	должно быть	13	1
512	до крайности	2	1
513	что при	1	1
514	не обладает	1	1
515	которых так	1	1
516	формалистов вся	1	1
517	задачи и	7	1
518	литературного факта	2	1
519	является одним	1	1
520	правда не	1	1
521	в виду	2	1
522	эйхенбаума и	1	1
523	к которой	1	1
524	широком смысле	3	1
525	самое ее	1	1
526	или менее	7	1
527	к созданию	1	1
528	органического единства	1	1
529	на выражение	4	1
530	система приемов	1	1
531	предмете изучения	2	1
532	в пределах	13	1
533	искусство и	1	1
534	уже не	9	1
535	о том	1	1
536	не то	3	1
537	произведения в	9	1
538	конкретную жизнь	1	1
539	далеко не	2	1
540	тем более	1	1
541	и отчетливо	1	1
542	оно все	1	1
543	литературы как	4	1
544	того что	7	1
545	искусства в	4	1
546	любопытно что	1	1
547	в понятии	1	1
548	у него	1	1
549	в словах	1	1
550	слова у	1	1
551	друг другу	2	1
552	он пытается	1	1
553	но такое	1	1
554	как таковым	2	1
555	слишком часто	1	1
556	слово как	1	1
557	в котором	2	1
558	не существует	1	1
559	бы в	6	1
560	ее к	2	1
561	в виде	2	1
562	искусства не	2	1
563	о литературе	9	1
564	той же	2	1
565	приводит к	4	1
566	никогда не	6	1
567	этого построения	1	1
568	поэзия говорит	1	1
569	и конструктивное	1	1
570	мировоззрения и	1	1
571	их система	1	1
