N	3gram	Medvedev_V	Dialekti
153	отнюдь не в	1	1
154	мы говорим о	1	1
155	то это вовсе	1	1
156	в применении к	1	1
157	этого образа в	1	1
158	же время никогда	1	1
159	и во всех	1	1
160	в братьях карамазовых	1	1
161	не в этом	1	1
162	и в другом	2	1
163	и процессов в	1	1
164	как это и	1	1
165	отсюда следует что	1	1
166	до последних дней	1	1
167	хотя бы его	1	1
168	в искусстве но	1	1
169	так и от	2	1
170	не могут не	2	1
171	по себе в	1	1
172	он и не	1	1
173	не впасть в	1	1
174	бы не было	2	1
175	к религии и	1	1
176	можно свести к	1	1
177	что для того	1	1
178	совершенно очевидно что	1	1
179	в том случае	1	1
180	этом и заключается	2	1
181	не чем иным	1	1
182	в частности об	1	1
183	в нем уже	1	1
184	бросается в глаза	1	1
185	и не по	1	1
186	когда говорят о	1	1
187	только один из	1	1
188	что даже наиболее	1	1
189	что в них	1	1
190	и никогда не	2	1
191	а в том	1	1
192	самого себя таким	1	1
193	без нее не	1	1
194	чем иным как	1	1
195	одна из форм	1	1
196	и мы не	1	1
197	эта не только	1	1
198	в конечном счете	5	1
199	не созданы то	1	1
200	они должны быть	2	1
201	и в каждой	1	1
202	если он не	1	1
203	этих и подобных	3	1
204	т е более	1	1
205	нет никаких оснований	2	1
206	то прежде всего	1	1
207	таким образом и	1	1
208	в поэзии и	1	1
209	те или иные	1	1
210	это то что	1	1
211	том как он	1	1
212	сих пор не	1	1
213	в силу того	1	1
214	в одном из	4	1
215	себя таким образом	1	1
216	на эти вопросы	2	1
217	между собою и	1	1
218	могут не быть	1	1
219	вместе с тем	4	1
220	по существу своему	1	1
221	в какой мере	1	1
222	большей или меньшей	3	1
223	том отношении что	2	1
224	но и в	1	1
225	в том чтобы	2	1
226	понимать в том	1	1
227	но она не	1	1
228	речь может идти	1	1
229	в науке и	1	1
230	может быть даже	1	1
231	не заметить что	1	1
232	имеем в виду	1	1
233	и в зависимости	1	1
234	е более или	1	1
235	а не по	1	1
236	или ином отношении	1	1
237	каждый из них	1	1
238	том или ином	1	1
239	же в этом	1	1
240	вовсе не значит	1	1
241	не может ограничиться	1	1
242	что ни один	1	1
243	идеи т е	1	1
244	только в том	2	1
245	с реальной жизнью	1	1
246	кто-то сказал что	1	1
247	в виду не	1	1
248	в этом и	2	1
249	к ним не	1	1
250	о нем сказать	1	1
251	а между тем	1	1
252	сказал что у	1	1
253	все же не	1	1
254	же в таком	1	1
255	со всех сторон	1	1
256	бы все его	1	1
257	какой мере не	1	1
258	того как он	1	1
259	ни одна из	1	1
260	что мы имеем	1	1
261	именно в этом	1	1
262	то все же	1	1
263	что перед нами	1	1
264	в этом заключается	1	1
265	за эти пределы	1	1
266	если бы все	1	1
267	то же но	1	1
268	во всех этих	2	1
269	главным образом в	1	1
270	в этом случае	1	1
271	него она не	1	1
272	именно в том	1	1
273	а вместе с	1	1
274	нет это значит	1	1
275	обратил внимание на	1	1
276	в том отношении	2	1
277	не самый принцип	1	1
278	на себе все	1	1
279	можно ли считать	1	1
280	в новое время	1	1
281	том случае если	1	1
282	было бы совершенно	1	1
283	процесс и не	1	1
284	образом связана с	1	1
285	и главным образом	2	1
286	приводит к тому	2	1
287	теснейшим образом связана	1	1
288	после того как	2	1
289	при всем своем	1	1
290	это как мы	1	1
