N	2gram	Berdyaev_V	KFilosof
302	из первого	3	1
303	а к	2	1
304	что мы	4	1
305	не имеют	1	1
306	более чем	2	1
307	где есть	1	1
308	истины не	1	1
309	его не	2	1
310	о возможности	1	1
311	смысл бытия	1	1
312	этом пути	1	1
313	является и	1	1
314	возможны лишь	1	1
315	есть моя	1	1
316	в искусстве	1	1
317	и уже	1	1
318	сознании и	1	1
319	и теперь	2	1
320	пред тобой	2	1
321	конечно это	1	1
322	в которую	1	1
323	не с	2	1
324	и человеческого	1	1
325	факта бытия	1	1
326	нового времени	1	1
327	он за	1	1
328	всего что	1	1
329	в форме	2	1
330	единого в	1	1
331	и до	1	1
332	мира для	1	1
333	и моей	1	1
334	уже и	1	1
335	в истории	8	1
336	миру и	1	1
337	над ним	1	1
338	до того	2	1
339	любви к	1	1
340	их и	1	1
341	значит быть	1	1
342	в бытие	1	1
343	за тобой	1	1
344	я в	1	1
345	но мы	2	1
346	или тебе	1	1
347	отрываю себя	1	1
348	окончательно в	1	1
349	известном смысле	1	1
350	не для	1	1
351	выбора все	1	1
352	с нашего	2	1
353	и никогда	2	1
354	и во	2	1
355	человеческой жизни	1	1
356	человеком как	1	1
357	но прежде	1	1
358	истина не	1	1
359	еще когда	1	1
360	человека как	2	1
361	находится в	1	1
362	будем говорить	1	1
363	и от	1	1
364	что все	4	1
365	мы будем	1	1
366	с которым	1	1
367	к миру	1	1
368	одна из	2	1
369	это бытие	1	1
370	это факт	1	1
371	от них	1	1
372	и по	1	1
373	были в	1	1
374	какие бы	1	1
375	это в	1	1
376	сама она	1	1
377	мы дадим	1	1
378	его есть	1	1
379	не просто	1	1
380	не случайно	1	1
381	ко всякому	1	1
382	жизни не	1	1
383	оторванное от	1	1
384	как мы	1	1
385	не к	2	1
386	нем но	1	1
387	себя но	1	1
388	любви и	1	1
