N	2gram	Berdyaev_V	KulturaY
347	только слово	1	2
348	это все	2	2
349	и теперь	2	2
350	вслед за	2	2
351	слова с	1	2
352	и до	1	2
353	все в	1	2
354	в глазах	1	2
355	у них	1	2
356	всего можно	1	2
357	ничем не	1	2
358	конечно в	1	2
359	от которого	3	2
360	ее в	2	2
361	по этому	3	2
362	отказаться от	1	2
363	о возможности	1	2
364	основана на	1	2
365	ничего нельзя	1	2
366	и вообще	1	2
367	за то	3	2
368	в руки	1	2
369	есть одна	1	2
370	самого факта	1	2
371	есть и	1	2
372	против того	1	2
373	наших дней	1	2
374	своего же	1	2
375	жизни и	3	2
376	тех которые	3	2
377	в силах	4	2
378	и новые	2	2
379	может и	1	2
380	в головы	1	2
381	прошлом и	1	1
382	это тот	1	1
383	человеческой жизни	1	1
384	не нужна	3	1
385	самого себя	2	1
386	задача которая	1	1
387	это лишь	1	1
388	свое дело	1	1
389	что люди	1	1
390	эта идея	1	1
391	эта новая	1	1
392	это значит	1	1
393	ни стало	1	1
394	является в	2	1
395	говорит о	1	1
396	и осмыслить	1	1
397	почему мы	1	1
398	ты не	5	1
399	от этих	2	1
400	нет еще	2	1
401	и которые	1	1
402	и самое	1	1
403	связь с	1	1
404	и сам	2	1
405	им по	1	1
406	и опять	1	1
407	каким образом	1	1
408	за ним	3	1
409	да мы	1	1
410	бы все	1	1
411	стороны в	1	1
412	равно не	1	1
413	их в	3	1
414	так легко	1	1
415	и соединения	2	1
416	ними как	1	1
417	так много	2	1
418	себя не	1	1
419	мир и	2	1
420	перестает быть	1	1
421	для успокоения	1	1
422	нас и	3	1
423	в понимании	1	1
424	не имею	1	1
425	и уж	1	1
426	все тот	2	1
427	у самого	1	1
428	и своим	1	1
429	это кто	1	1
430	есть прежде	1	1
431	мы все	1	1
432	его по	1	1
433	от своей	2	1
434	их для	1	1
435	я думаю	2	1
436	ее но	1	1
437	в средство	3	1
438	него не	1	1
439	по которым	2	1
440	сущности и	1	1
441	и своих	1	1
442	такую картину	1	1
443	напоминает о	1	1
444	и свободу	1	1
445	к ее	1	1
446	есть один	1	1
447	говорю тебе	2	1
448	во всех	3	1
449	мы видим	1	1
450	заботиться о	1	1
451	она и	1	1
452	человеку не	1	1
453	первый раз	3	1
454	на нас	2	1
455	в утверждении	1	1
456	чем у	1	1
457	будем говорить	1	1
458	они в	3	1
459	есть еще	1	1
460	к чему	3	1
461	вообще в	1	1
462	это мы	2	1
463	государства и	2	1
464	бы сделать	1	1
465	он дал	1	1
466	для всякого	1	1
467	лишь на	1	1
468	думать о	1	1
469	их от	3	1
470	несравненно более	1	1
471	для человеческого	1	1
472	у таких	1	1
473	iv в	1	1
474	теперь и	1	1
475	дело к	1	1
476	но к	1	1
477	ли что	1	1
478	можешь и	2	1
479	не имел	2	1
480	я был	1	1
481	если оно	1	1
482	из первого	3	1
483	уже сказано	1	1
484	и нам	1	1
485	вся история	1	1
486	на новый	1	1
487	когда я	2	1
488	было для	1	1
489	для человека	2	1
490	кто же	1	1
491	из нас	1	1
492	что бы	1	1
493	истории и	2	1
494	a с	1	1
495	что ты	3	1
496	основанное на	1	1
497	что во	3	1
498	и никогда	2	1
499	когда нужно	1	1
500	но нет	1	1
501	забыли о	1	1
502	этих словах	1	1
503	тем если	1	1
504	в сердце	1	1
505	если они	1	1
506	бы ни	1	1
507	и ведет	1	1
508	тогда нет	1	1
509	ко всякому	1	1
510	еще тогда	1	1
511	превращаются в	2	1
512	любви и	1	1
513	вот вместо	1	1
514	и стало	1	1
515	если за	1	1
516	еще так	1	1
517	они и	2	1
518	но часто	1	1
519	то есть	1	1
520	на всей	1	1
521	и который	1	1
522	его с	1	1
523	живет в	1	1
524	конечно ни	1	1
525	образа в	1	1
526	нас как	1	1
527	для себя	1	1
528	теперь в	1	1
529	освободиться от	1	1
530	истории в	1	1
531	его во	3	1
532	лишь из	2	1
533	сложность и	1	1
534	нового времени	1	1
535	так говорят	1	1
536	он так	1	1
537	не знающего	1	1
538	какая же	1	1
539	еще с	1	1
540	и будет	3	1
541	значения и	2	1
542	присутствует в	1	1
543	к нам	2	1
544	в праве	1	1
545	жизни в	1	1
546	себя и	1	1
547	который я	1	1
548	теперь только	2	1
549	хотел бы	1	1
550	и скажем	1	1
551	нет ничего	3	1
552	возможно в	1	1
553	слова которое	1	1
554	сами же	1	1
555	далее и	1	1
556	о духе	1	1
557	своей целью	1	1
558	в роли	1	1
559	свою свободу	1	1
560	только мы	1	1
561	какие бы	1	1
562	этом пути	1	1
563	не любят	2	1
564	есть путь	1	1
565	слова очень	1	1
566	и два	1	1
567	ни для	1	1
568	в которую	1	1
569	о своем	1	1
570	мы хотим	4	1
571	в новых	1	1
572	это имеет	1	1
573	свободно и	1	1
574	с отвращением	1	1
575	им в	1	1
576	утверждения ее	1	1
577	же теперь	1	1
578	может ли	1	1
579	способ выражения	1	1
580	должна иметь	1	1
581	и во	2	1
582	имеет своим	1	1
583	только свое	1	1
584	в сознании	1	1
585	путь этот	1	1
586	же ты	3	1
587	ты с	1	1
588	сделать это	1	1
589	несут уже	1	1
590	тогда мы	1	1
591	своим предметом	1	1
592	в смысл	2	1
593	для нашего	1	1
594	и сделалась	1	1
595	хоть и	1	1
596	но прежде	1	1
597	ли они	1	1
598	ли так	1	1
599	который был	1	1
600	ничего кроме	1	1
601	и новой	1	1
602	переход к	1	1
603	не существует	1	1
604	с которым	1	1
605	полного и	2	1
606	и последний	2	1
607	раз навсегда	2	1
608	и эта	1	1
609	за которым	1	1
610	как она	1	1
611	свое и	1	1
612	истины и	1	1
613	так часто	1	1
614	но я	1	1
615	по смыслу	1	1
616	получается в	1	1
617	видим что	1	1
618	в новом	1	1
619	действии и	1	1
620	даже что	1	1
621	как возможна	1	1
622	что тот	1	1
623	это факт	1	1
624	чтобы сделать	2	1
625	ей все	1	1
626	он был	1	1
627	что очень	1	1
628	быть может	1	1
629	а его	1	1
630	но источник	1	1
631	лишь мы	2	1
632	чтобы овладеть	2	1
633	его не	2	1
634	в противоположность	1	1
635	так хорошо	1	1
636	нужна для	1	1
637	отвращение к	3	1
638	составные части	1	1
639	пусть не	1	1
640	он за	1	1
641	было еще	2	1
642	единого в	1	1
643	и всегда	1	1
644	идет конечно	1	1
645	не хотел	2	1
646	те которые	2	1
647	этой новой	1	1
648	на путь	1	1
649	о которой	1	1
650	и ее	1	1
651	теперь когда	1	1
652	по законам	1	1
653	жизни о	1	1
654	его есть	1	1
655	себя но	1	1
656	в лице	1	1
657	свое особое	1	1
658	которой так	1	1
