N	2gram	Nazirov_Tv	SlovoVZh
154	мы имеем	1	2
155	была бы	2	2
156	на него	2	2
157	тем как	1	2
158	кроме того	1	2
159	в себя	3	2
160	от всех	2	2
161	но тем	1	2
162	как это	2	2
163	рождается из	1	2
164	но все	1	2
165	но зато	3	2
166	от этой	1	2
167	если же	1	2
168	и та	2	2
169	не способен	1	2
170	и что	2	2
171	что и	3	2
172	в отношении	1	2
173	же самое	1	2
174	о ком	1	2
175	и значение	1	2
176	другой стороны	2	2
177	но отнюдь	1	2
178	и вполне	1	2
179	но что	1	2
180	и те	1	2
181	в этих	2	2
182	социальной среды	1	2
183	тому же	2	2
184	связь с	3	2
185	оно не	1	2
186	а к	1	2
187	и притом	2	2
188	но этот	2	2
189	имеем в	1	2
190	к ним	1	2
191	и здесь	2	2
192	как на	1	2
193	и все	6	2
194	в комнате	1	2
195	но не	7	2
196	общего с	1	2
197	форму и	1	2
198	его как	2	2
199	не есть	2	2
200	могут быть	4	2
201	героев и	4	2
202	с другими	1	2
203	до конца	2	2
204	не остается	1	2
205	стороны и	1	2
206	в своем	4	2
207	в какой	1	2
208	имеет место	1	2
209	вместе с	4	2
210	между ними	1	2
211	место в	6	2
212	к его	1	2
213	настоящее время	2	2
214	несравненно более	4	2
215	лежит на	1	2
216	такой же	4	2
217	мы никогда	1	2
218	в атмосфере	1	2
219	литературы с	1	2
220	с его	12	2
221	себя и	1	2
222	на все	1	2
223	его к	2	2
224	к этому	4	2
225	бы не	1	2
226	между собой	2	2
227	он не	10	2
228	определить его	1	2
229	извне как	1	2
230	эта последняя	1	2
231	в чем	4	2
232	в настоящее	1	2
233	делает его	1	2
234	но мы	1	2
235	им не	1	2
236	точку зрения	1	2
237	как только	1	2
238	едва ли	2	2
239	ничего не	3	2
240	более того	2	2
241	умирает в	1	1
242	и мир	3	1
243	в русской	5	1
244	к одному	2	1
245	остается в	1	1
246	жизнь и	2	1
247	то в	2	1
248	можно в	1	1
249	же деле	1	1
250	во всяком	2	1
251	от него	2	1
252	это и	4	1
253	литературы в	1	1
254	пора бы	1	1
255	что они	3	1
256	его и	2	1
257	оценки в	1	1
258	но можно	1	1
259	то он	1	1
260	в искусстве	3	1
261	во всех	2	1
262	в окончательном	2	1
263	не зная	1	1
264	осталось в	1	1
265	до степени	1	1
266	не является	3	1
267	а с	4	1
268	являются необходимыми	1	1
269	того в	1	1
270	что оно	2	1
271	и он	4	1
272	явно не	1	1
273	этой задачи	1	1
274	социальной действительности	2	1
275	та же	4	1
276	по преимуществу	4	1
277	было в	2	1
278	с самого	3	1
279	приближается к	1	1
280	в обществе	1	1
281	свои права	1	1
282	бы подобна	1	1
283	так можно	1	1
284	каких бы	2	1
285	на эти	2	1
286	на этом	1	1
287	она должна	1	1
288	которой он	2	1
289	не имеют	4	1
290	и было	1	1
291	само собой	1	1
292	то есть	16	1
293	дана в	1	1
294	анненский и	1	1
295	но тот	2	1
296	должно быть	1	1
297	мы уже	2	1
298	к целому	1	1
299	ли он	1	1
300	нас не	1	1
301	и уж	1	1
302	находившихся в	1	1
303	его содержания	1	1
304	даже и	1	1
305	и того	2	1
306	как единство	1	1
307	и вот	2	1
308	ненависть к	1	1
309	но при	1	1
310	является только	1	1
311	и стиль	1	1
312	героя в	4	1
313	в свою	8	1
314	входит в	1	1
315	только как	2	1
316	я может	1	1
317	что уже	1	1
318	не должен	1	1
319	он как	1	1
320	его поэтических	1	1
321	в основе	3	1
322	и их	2	1
323	часто в	1	1
324	одна и	1	1
325	еще более	3	1
326	ту же	4	1
327	на основе	1	1
328	в другом	1	1
329	и русских	1	1
330	но эти	3	1
331	вопросу о	1	1
332	признать что	1	1
333	на протяжении	3	1
334	поле зрения	1	1
335	бы эта	1	1
336	большим трудом	1	1
337	для всего	1	1
338	того социального	1	1
339	второй план	1	1
340	что это	1	1
341	хотя и	5	1
342	виде какой-нибудь	1	1
343	и тогда	2	1
344	только его	1	1
345	это уже	7	1
346	о чем	1	1
347	мы должны	1	1
348	в согласии	1	1
349	позиции автора	1	1
350	социальное происхождение	1	1
351	в ее	3	1
352	это человек	1	1
353	и тем	2	1
354	в руках	1	1
355	кажется что	1	1
356	проникает в	2	1
357	в частности	4	1
358	говорит о	3	1
359	однако эта	1	1
360	совпадают с	1	1
361	в качестве	2	1
362	и некоторые	1	1
363	всей жизни	1	1
364	автора со	1	1
365	то мы	1	1
366	самом же	1	1
367	содержание в	1	1
368	в одном	3	1
369	в области	1	1
370	одно из	1	1
371	у нас	2	1
372	кто же	2	1
373	что каждый	1	1
374	отказывается от	2	1
375	частности в	1	1
376	можно было	1	1
377	и делает	1	1
378	а между	1	1
379	же не	2	1
380	ценности и	1	1
381	в результате	1	1
382	важно не	1	1
383	и это	2	1
384	же он	1	1
385	как нечто	1	1
386	сводится к	2	1
387	для них	2	1
388	в игру	1	1
389	более и	1	1
390	по мере	2	1
391	с ней	1	1
392	участие в	1	1
393	во времени	3	1
394	далеко не	3	1
395	только то	1	1
396	слова не	2	1
397	в современной	2	1
398	в идиоте	4	1
399	не вполне	1	1
400	к поэзии	1	1
401	явление но	1	1
402	у него	11	1
403	чем не	1	1
404	не на	1	1
405	в истории	2	1
406	не могут	2	1
407	все равно	1	1
408	по мнению	4	1
409	же время	18	1
410	не существует	3	1
411	более широком	1	1
412	среды на	1	1
413	при помощи	4	1
414	в виде	4	1
415	о литературе	1	1
416	к которой	1	1
417	там же	11	1
418	в обоих	1	1
419	входят в	1	1
420	и независимо	1	1
421	отметить что	1	1
422	у нее	4	1
423	самого начала	3	1
424	еще один	1	1
425	всего нужно	1	1
426	непосредственно в	1	1
427	в большинстве	1	1
428	свою очередь	2	1
429	в конечном	4	1
430	приближения к	1	1
431	отделилась от	1	1
432	так мы	2	1
433	не совпадают	1	1
434	жизни он	2	1
435	не было	3	1
436	связи с	2	1
437	стал бы	1	1
438	его социальная	1	1
439	им в	1	1
440	автора с	1	1
441	сами по	2	1
442	читателя и	1	1
443	возникает из	1	1
444	метафорическое выражение	1	1
445	он еще	2	1
446	между людьми	3	1
447	материал для	1	1
448	здесь мы	2	1
449	с ее	3	1
450	время как	1	1
451	мы понимаем	2	1
452	было бы	2	1
453	момента и	1	1
454	не знает	2	1
455	выбор героя	1	1
456	сферы в	1	1
457	выражают его	1	1
458	к тому	2	1
459	нем и	2	1
460	именно и	1	1
461	люди не	1	1
462	с так	1	1
463	себя на	1	1
464	что можно	1	1
465	более глубокую	1	1
466	из нее	1	1
467	равно как	1	1
468	героя с	2	1
469	ведь это	1	1
470	сознания не	1	1
471	произведения в	1	1
472	и мы	1	1
473	как мы	1	1
474	это мы	1	1
475	что она	5	1
476	самой своей	2	1
477	чем отличается	1	1
478	и о	2	1
479	эта позиция	1	1
480	как его	1	1
481	что для	3	1
482	с первого	1	1
483	если мы	1	1
484	он будет	1	1
485	него не	1	1
486	когда человек	2	1
487	найти в	1	1
488	наряду с	6	1
489	именно в	6	1
490	уже на	1	1
491	включает и	2	1
492	основном его	1	1
493	но эта	3	1
494	конечном счете	4	1
495	с большим	3	1
496	к другим	1	1
497	искусства как	1	1
498	в таком	4	1
499	формы в	1	1
500	всех сторон	1	1
501	этого развития	1	1
502	например в	3	1
503	что я	4	1
504	из подполья	19	1
505	тот же	3	1
506	положение в	1	1
507	за пределами	1	1
508	к которому	3	1
509	определения этого	1	1
510	время не	2	1
511	человек и	2	1
512	степень их	1	1
513	характер и	1	1
514	и без	2	1
515	автор как	1	1
516	нигде не	1	1
517	это та	1	1
518	что все	4	1
519	как о	1	1
520	и отнюдь	1	1
521	себе не	3	1
522	анализа в	1	1
523	столь же	2	1
524	том же	3	1
525	и она	1	1
526	подхода к	3	1
527	же как	3	1
528	или даже	2	1
529	исходит из	1	1
530	не поймет	1	1
531	быть понята	2	1
532	места в	1	1
533	деле это	1	1
534	рядом с	2	1
535	и прежде	1	1
536	живет и	1	1
537	эту роль	1	1
538	слова из	2	1
539	как будто	5	1
540	для определения	1	1
541	жизни в	9	1
542	есть только	1	1
543	человека или	1	1
544	это прежде	3	1
545	и всякого	1	1
546	но если	4	1
547	при таком	1	1
548	человека для	1	1
549	на себя	2	1
550	на ранних	2	1
551	все более	2	1
552	зрения и	1	1
553	мы имеет	1	1
554	и только	2	1
555	нас за	1	1
556	автора к	1	1
557	поэт и	1	1
558	на этих	2	1
559	с собственной	1	1
560	по самому	2	1
561	в двух	2	1
562	или иного	1	1
563	может и	1	1
564	друг друга	2	1
565	в эти	1	1
566	но уже	2	1
567	для этой	2	1
568	и относительно	1	1
569	в последующем	1	1
570	к вопросу	1	1
571	творчестве достоевского	9	1
572	для этого	1	1
573	не из	1	1
574	и обратно	1	1
575	в смысле	1	1
576	чтобы не	1	1
577	записок из	4	1
578	не нужно	2	1
579	из этой	3	1
580	очень важным	2	1
581	в одной	5	1
582	в целом	7	1
583	нам кажется	1	1
584	единство и	1	1
585	ничего общего	1	1
586	в лице	4	1
587	себя в	3	1
588	крайней мере	4	1
589	и из	1	1
590	а лишь	1	1
591	ним на	1	1
592	вовсе не	5	1
593	сливаются в	1	1
594	русской литературе	4	1
595	думать что	1	1
596	в пространстве	2	1
597	и умирает	1	1
598	не то	2	1
599	самый принцип	1	1
600	я и	3	1
601	восприятие художественного	1	1
602	на эту	4	1
603	тем более	1	1
604	по крайней	4	1
605	и сохраняет	1	1
606	что до	1	1
607	мы видели	1	1
608	перед нами	3	1
609	включает в	1	1
610	и самый	1	1
611	его место	1	1
612	который и	1	1
613	всяком случае	2	1
614	ряд важных	1	1
615	только для	2	1
616	нашу задачу	1	1
617	можно только	1	1
618	для анализа	2	1
