N	2gram	Medvedev_U	DiskursI
136	на первый	2	3
137	первый взгляд	1	3
138	входит в	1	3
139	как на	1	3
140	научного мышления	1	3
141	в которой	1	3
142	исторической поэтики	1	3
143	жанра но	1	3
144	в области	3	3
145	и что	1	3
146	то ни	3	3
147	было бы	3	3
148	его как	1	3
149	не случайно	2	3
150	еще одно	1	3
151	этого термина	2	3
152	должна быть	2	3
153	но также	1	3
154	литературного произведения	1	3
155	о котором	1	3
156	речи в	1	3
157	а.н веселовского	1	3
158	произведения как	1	3
159	мы не	2	3
160	а о	2	3
161	как целого	1	3
162	или даже	1	3
163	не столь	1	3
164	об этом	1	3
165	или менее	1	3
166	бы это	1	3
167	а его	2	3
168	она не	1	3
169	хотя бы	5	3
170	имеет свою	1	3
171	правило не	1	3
172	для этого	3	3
173	на большую	1	2
174	что было	1	2
175	мы можем	1	2
176	для всех	2	2
177	т.е в	2	2
178	или по	1	2
179	эстетического объекта	6	2
180	в некоторых	2	2
181	нас в	2	2
182	и с	2	2
183	конструктивное значение	1	2
184	большей или	1	2
185	установку на	2	2
186	обращение к	1	2
187	определяется не	1	2
188	отсюда и	1	2
189	в различных	1	2
190	к которой	1	2
191	а между	2	2
192	о литературе	1	2
193	установка на	1	2
194	не то	1	2
195	бы то	3	2
196	должно быть	1	2
197	начала и	1	2
198	ни было	3	2
199	не обладает	1	2
200	на выражение	1	2
201	у него	1	2
202	что она	2	2
203	но для	1	2
204	очевидно что	3	2
205	же как	1	2
206	вопроса о	2	2
207	остается в	1	2
208	и быть	1	2
209	вообще в	1	2
210	всего лишь	1	2
211	не приходится	2	2
212	лирических стихотворений	1	2
213	или меньшей	1	2
214	произведения в	1	2
215	а как	2	2
216	к лицу	1	2
217	из которых	1	2
218	и делает	1	2
219	т.д в	1	2
220	если бы	2	2
221	самом деле	2	2
222	в россии	4	2
223	не делает	1	2
224	же остается	1	2
225	и вся	1	2
226	литературы в	1	2
227	было и	1	2
228	со своими	1	2
229	все это	5	2
230	на роль	1	2
231	большую значимость	1	2
232	что с	1	2
233	ее в	1	2
234	в широком	2	2
235	же не	2	2
236	в г	1	2
237	отказаться от	1	2
238	как таковая	1	2
239	по существу	2	2
240	впрочем не	1	2
241	по его	1	2
242	это было	2	2
243	тем более	1	2
244	отказ от	1	2
245	к области	2	2
246	и вне	1	2
247	на то	1	2
248	и только	5	2
249	стихотворений и	1	1
250	с которыми	1	1
251	сколько и	1	1
252	к сожалению	3	1
253	мы и	2	1
254	в большей	1	1
255	вводится в	1	1
256	равно как	1	1
257	форму и	2	1
258	психики и	1	1
259	исходить из	1	1
260	поэта а	1	1
261	разрыв с	1	1
262	с тем	1	1
263	в наиболее	1	1
264	стороны в	1	1
265	их специфической	1	1
266	случайно и	1	1
267	при таком	2	1
268	и слово	1	1
269	когда бы	1	1
270	художественного восприятия	1	1
271	тем в	1	1
272	восприятия и	1	1
273	не существует	1	1
274	ее к	1	1
275	некоторыми другими	1	1
276	об ее	1	1
277	он был	1	1
278	авторской индивидуальности	1	1
279	даже и	2	1
280	сводятся к	1	1
281	но даже	2	1
282	словесного творчества	2	1
283	искусства и	1	1
284	в этот	1	1
285	должна была	2	1
286	которых она	1	1
287	методологии на	1	1
288	превращается в	2	1
289	всего что	1	1
290	как искусство	1	1
291	с самим	1	1
292	впрочем в	1	1
293	почему и	1	1
294	тезис о	1	1
295	заданность и	1	1
296	быть в	1	1
297	художественного творчества	5	1
298	теории и	1	1
299	в сфере	1	1
300	в противном	2	1
301	она сводится	1	1
302	в системе	2	1
303	то о	1	1
304	искусства не	1	1
305	героя не	1	1
306	художественного впечатления	1	1
307	как такового	3	1
308	европейской литературы	1	1
309	не поднимается	1	1
310	по мнению	1	1
311	в буквальном	2	1
312	они в	1	1
313	эстетический объект	1	1
314	в художественном	5	1
315	а смыслом	1	1
316	такое понимание	1	1
317	и некоторыми	1	1
318	такое художественное	1	1
319	в понятии	1	1
320	в конце	2	1
321	в таком	1	1
322	конечно как	1	1
323	из материала	2	1
324	сих пор	2	1
325	а для	1	1
326	бы в	1	1
327	именно как	2	1
328	что такое	4	1
329	некоторых произведениях	1	1
330	очень часто	1	1
331	сюда же	1	1
332	очевидно не	2	1
333	для первого	1	1
334	лучшая часть	1	1
335	и является	2	1
336	даже не	1	1
337	этом смысле	2	1
338	целого но	1	1
339	была уже	1	1
340	время на	1	1
341	но прежде	1	1
342	которое мы	1	1
343	содержание и	1	1
344	формы и	2	1
345	качестве героя	1	1
346	меньшей степени	2	1
347	на эту	2	1
348	искусства в	1	1
349	на слово	1	1
350	до сих	2	1
351	он уже	1	1
352	как таковой	2	1
353	почти не	1	1
354	с прозой	1	1
355	литературы как	1	1
356	содержания и	1	1
357	это уже	2	1
358	сам по	1	1
359	сводить к	1	1
360	от самых	1	1
361	о которой	1	1
362	с каждым	1	1
363	смысле можно	1	1
364	так или	1	1
365	и действительно	1	1
366	анализа в	1	1
367	при более	1	1
368	маяковского и	1	1
369	фактов и	2	1
370	эстетики словесного	1	1
371	и так	1	1
372	в словах	1	1
373	поэзии и	1	1
374	в противоположную	1	1
375	в известном	1	1
376	на своем	1	1
377	для читателя	1	1
378	к созданию	1	1
379	ночью в	1	1
380	ориентация на	1	1
381	было у	1	1
382	именно такой	1	1
383	но тут	1	1
384	его и	2	1
385	вообще по	1	1
386	бы и	2	1
387	состоять в	1	1
388	то и	1	1
389	это то	1	1
390	в отдельности	1	1
391	форму художественного	1	1
392	или иных	2	1
393	еще один	1	1
394	такая система	1	1
395	нет и	1	1
396	он в	1	1
397	и служит	1	1
398	но именно	1	1
399	из первых	1	1
400	только при	1	1
401	но если	1	1
402	именно этот	1	1
403	сторону от	1	1
404	тот же	1	1
405	каждом шагу	2	1
406	истории литературы	3	1
407	этот процесс	1	1
408	без них	1	1
409	несомненно и	1	1
410	литературной эпохи	1	1
411	он и	1	1
412	автором вводится	1	1
413	слова а	1	1
414	в виде	1	1
415	ее нельзя	2	1
416	и существенным	1	1
417	этого не	1	1
418	же в	1	1
419	и рифмы	1	1
420	в эстетический	1	1
421	что этот	1	1
422	от слова	1	1
423	но по	1	1
424	противном случае	2	1
425	если не	2	1
426	не все	2	1
427	наука о	1	1
428	свой опыт	1	1
429	чем то	1	1
430	говорить не	1	1
431	независимо от	1	1
432	в искусстве	6	1
433	всех этих	2	1
434	возможно но	1	1
435	или иначе	1	1
436	этим по	1	1
437	данного произведения	1	1
438	нас самих	1	1
439	художественного произведения	2	1
440	от утверждения	1	1
441	на каждом	2	1
442	тех или	2	1
443	или точнее	3	1
