N	2gram	Bakhtin_Pr	VrazhdaK
415	генерала с	1	1
416	в условиях	7	1
417	это было	3	1
418	из которого	1	1
419	к вопросу	1	1
420	к своим	1	1
421	это никогда	1	1
422	этой повести	1	1
423	людьми и	1	1
424	в сторону	1	1
425	мы считаем	2	1
426	возникает вопрос	1	1
427	жития великого	1	1
428	что образ	1	1
429	во сне	7	1
430	достоевского это	2	1
431	не имеет	1	1
432	ничего общего	1	1
433	но мы	1	1
434	тем не	2	1
435	человеком и	1	1
436	раз и	2	1
437	там за	1	1
438	почувствовал что	1	1
439	под влиянием	1	1
440	сих пор	8	1
441	и вообще	3	1
442	литературу в	1	1
443	в записках	1	1
444	не был	3	1
445	для правильного	3	1
446	на них	2	1
447	и образ	1	1
448	жизнь и	3	1
449	с этим	3	1
450	еще один	1	1
451	во всех	15	1
452	человека к	3	1
453	нас интересует	4	1
454	до того	1	1
455	во всяком	2	1
456	в стиле	1	1
457	это и	1	1
458	знаком и	1	1
459	и довольно	1	1
460	выражение в	1	1
461	некоторых его	1	1
462	бесах это	1	1
463	и отчасти	2	1
464	во все	5	1
465	это конечно	3	1
466	достоевского был	1	1
467	развиваться в	2	1
468	для создания	1	1
469	о бесах	1	1
470	знаем о	1	1
471	работу о	1	1
472	выше и	2	1
473	не могли	2	1
474	мыслей и	1	1
475	момент здесь	1	1
476	мне все	2	1
477	него он	2	1
478	человека он	1	1
479	был также	1	1
480	время широко	1	1
481	ли это	1	1
482	к страхову	1	1
483	свое место	1	1
484	этой традиции	1	1
485	к роману	1	1
486	и большой	1	1
487	действие в	3	1
488	совпадает с	1	1
489	но при	2	1
490	я ее	1	1
491	потому что	9	1
492	но достоевский	1	1
493	живет в	3	1
494	достоевского если	1	1
495	также и	5	1
496	он часто	2	1
497	именно этот	1	1
498	нельзя не	1	1
499	больших и	2	1
500	человека как	1	1
501	отношение автора	1	1
502	всей повести	1	1
503	не всегда	3	1
504	в рассказе	2	1
505	он оставил	1	1
506	к своей	1	1
507	для достоевского	5	1
508	я только	1	1
509	метода достоевского	1	1
510	в развитии	5	1
511	быть и	2	1
512	во второй	1	1
513	с помощью	4	1
514	романа это	1	1
515	в частности	1	1
516	над которым	1	1
517	характерно для	1	1
518	нужно было	1	1
519	с ненавистью	2	1
520	не могло	1	1
521	не вступали	1	1
522	но они	5	1
523	и их	6	1
524	говорить о	2	1
525	не с	1	1
526	что эта	1	1
527	одно и	1	1
528	отношении к	2	1
529	не об	1	1
530	всех этих	2	1
531	как он	4	1
532	это была	2	1
533	из героев	1	1
534	исповеди ставрогина	1	1
535	в форме	6	1
536	людей и	6	1
537	себя на	1	1
538	и близко	1	1
539	стремится быть	1	1
540	творчества достоевского	13	1
541	полемизирует с	1	1
542	несколько позже	1	1
543	этом смысле	5	1
544	тем самым	2	1
545	мировой литературе	3	1
546	мертвого дома	1	1
547	это влияние	2	1
548	проникнуть в	2	1
549	по своей	12	1
550	можно найти	1	1
551	которую он	3	1
552	в обоих	1	1
553	человека и	10	1
554	каждый из	1	1
555	de la	1	1
556	без труда	1	1
557	через него	1	1
558	вне его	1	1
559	и т.д	5	1
560	с другой	4	1
561	было бы	6	1
562	это же	1	1
563	автора в	2	1
564	вопросу о	1	1
565	некоторое время	2	1
566	широко известен	1	1
567	я думаю	1	1
568	достоевский находил	3	1
569	среди них	1	1
570	как на	1	1
571	сюжетная ситуация	1	1
572	неожиданный перелом	1	1
573	героиня романа	1	1
574	соответствии с	2	1
575	себя в	1	1
576	достоевского этот	1	1
577	которых он	1	1
578	ее не	1	1
579	и никогда	2	1
580	в плане	3	1
581	что для	1	1
582	по которой	1	1
583	затем в	2	1
584	той же	6	1
585	заключается в	1	1
586	как правило	1	1
587	могут быть	5	1
588	этому образу	1	1
589	мы бы	1	1
590	на пороге	22	1
591	за него	2	1
592	до конца	3	1
593	в высшей	1	1
594	через два	3	1
595	во многих	2	1
596	в первой	2	1
597	конечно гораздо	2	1
598	и от	4	1
599	человечества и	1	1
600	и есть	1	1
601	образа князя	1	1
602	во всей	5	1
603	в силу	1	1
604	на этот	1	1
605	по крайней	2	1
606	всю жизнь	1	1
607	такой же	1	1
608	так это	1	1
609	есть все	1	1
610	продолжала развиваться	1	1
611	не все	1	1
612	от них	2	1
613	находил в	1	1
614	времени а	1	1
615	этом отношении	1	1
616	хотя он	1	1
617	тут же	1	1
618	а следовательно	2	1
619	всяком случае	1	1
620	автора к	1	1
621	в мировой	1	1
622	достоевский нашел	3	1
623	конце концов	1	1
624	независимо от	1	1
625	друг друга	7	1
626	материал и	1	1
627	о великом	1	1
628	событий и	2	1
629	вопрос и	1	1
630	с ее	3	1
631	из него	1	1
632	же он	2	1
633	бы в	2	1
634	у вас	1	1
635	не просто	1	1
636	того же	5	1
637	смеха и	1	1
638	только о	1	1
639	в целом	3	1
640	восходят к	1	1
641	крайней мере	2	1
642	не должна	2	1
643	свои собственные	1	1
644	не писал	1	1
645	и наконец	4	1
646	в известной	3	1
647	ничего не	8	1
648	вплоть до	5	1
649	но нас	1	1
650	свободой и	1	1
651	органическое единство	2	1
652	и самый	6	1
653	человека но	1	1
654	к нему	3	1
655	более того	9	1
656	котором он	2	1
657	высшей степени	1	1
