N	2gram	Potebnia_M	VeschiIm
230	все что	4	5
231	как это	1	5
232	в настоящем	1	5
233	один из	7	5
234	на себе	3	5
235	и здесь	3	5
236	со всем	1	5
237	внутреннего и	1	5
238	тогда когда	20	5
239	мысли и	8	5
240	подобно тому	3	5
241	звук и	5	5
242	себя с	1	5
243	в жизни	1	5
244	ничем не	1	5
245	как о	3	5
246	вместе с	22	5
247	да и	2	5
248	себе в	2	5
249	чем же	1	5
250	в свою	6	5
251	и если	4	5
252	быть не	4	5
253	с а	2	5
254	те или	1	5
255	и когда	1	5
256	ее с	2	5
257	свою очередь	6	5
258	собою и	3	5
259	вообще и	2	5
260	нет и	2	5
261	того же	5	5
262	только не	5	5
263	во всех	1	5
264	мы видим	3	5
265	есть тоже	1	5
266	что у	4	5
267	и мы	3	5
268	в его	6	5
269	хотя и	3	5
270	а это	2	5
271	от всех	1	5
272	в которой	9	5
273	но совершенно	1	5
274	в понятии	2	5
275	то это	9	5
276	мы ее	2	5
277	и без	9	5
278	как она	2	5
279	е не	1	5
280	между прочим	5	5
281	или что	4	5
282	об этом	4	5
283	должен быть	1	5
284	действительности и	3	5
285	собственное имя	1	5
286	в мысли	3	5
287	значило бы	1	5
288	тому как	6	5
289	мы должны	6	5
290	быть и	1	5
291	есть всегда	1	5
292	если же	1	5
293	то или	2	5
294	или как	1	5
295	собственно говоря	2	5
296	требует чтобы	2	5
297	на это	4	5
298	что для	5	5
299	же это	1	5
300	для этого	1	5
301	от всякого	1	4
302	ее образ	2	4
303	и от	5	4
304	не мешает	1	4
305	собственном смысле	2	4
306	образом и	3	4
307	от самой	1	4
308	еще более	1	4
309	с самим	1	4
310	сам по	9	4
311	о которой	1	4
312	есть звук	1	4
313	говорить что	1	4
314	сводится к	1	4
315	более или	6	4
316	равно как	2	4
317	есть в	6	4
318	есть или	1	4
319	если это	1	4
320	то время	7	4
321	или другие	1	4
322	только а	1	4
323	его на	3	4
324	с ними	6	4
325	том как	3	4
326	с этим	12	4
327	во всяком	4	4
328	его и	1	4
329	не существует	5	4
330	и более	4	4
331	в котором	7	4
332	того чтобы	5	4
333	явления и	2	4
334	не быть	1	4
335	есть прежде	2	4
336	только тогда	13	4
337	об отношении	5	4
338	отношении к	3	4
339	есть имя	1	4
340	как оно	2	4
341	же время	8	4
342	так же	6	4
343	при помощи	2	4
344	только это	1	4
345	так то	1	4
346	и еще	1	4
347	отличны от	1	4
348	на него	3	4
349	находится в	5	4
350	что все	5	4
351	слово и	4	4
352	что именно	5	4
353	тут же	2	4
354	а следовательно	1	4
355	тот же	2	4
356	не то	6	4
357	то в	1	4
358	может не	1	4
359	это будет	1	4
360	и вот	1	4
361	так и	17	4
362	и сама	2	4
363	себя это	1	4
364	в их	2	4
365	есть уже	13	4
366	однако не	1	4
367	и притом	3	4
368	и чисто	1	4
369	и эта	2	4
370	судить о	2	4
371	и вещь	1	4
372	время как	3	4
373	и оно	3	4
374	что только	7	4
375	или менее	6	4
376	это так	2	4
377	этой вещи	1	4
378	мы можем	13	4
379	не было	12	4
380	нужно для	1	4
381	который мы	1	4
382	себе то	1	4
383	он не	4	4
384	оно и	1	4
385	в силу	7	4
386	но только	3	4
387	и сам	1	4
388	только то	1	4
389	в этой	3	4
390	отношение к	2	4
391	к ней	7	4
392	и о	6	4
393	главным образом	1	4
394	и чем	3	4
395	само по	6	4
396	однако это	1	3
397	и самое	3	3
398	только что	12	3
399	на ее	2	3
400	была бы	5	3
401	она уже	1	3
402	что то	1	3
403	из которых	1	3
404	я могу	1	3
405	из того	2	3
406	нас в	3	3
407	на нас	4	3
408	то с	1	3
409	другой стороны	4	3
410	быть может	7	3
411	и само	1	3
412	себе не	6	3
413	то необходимо	2	3
414	в своих	2	3
415	сами по	3	3
416	если не	6	3
417	же понятие	1	3
418	но все	2	3
419	от чего	1	3
420	ни о	3	3
421	заключается в	2	3
422	отношения к	2	3
423	в собственном	3	3
424	как в	17	3
425	жизни в	1	3
426	не имеет	10	3
427	от его	2	3
428	он есть	1	3
429	явлений и	3	3
430	к тому	9	3
431	чем бы	1	3
432	перед нами	3	3
433	понимание и	1	3
434	от этого	2	3
435	но оно	6	3
436	действительности в	1	3
437	перестает быть	5	3
438	именно тем	1	3
439	не является	1	3
440	к другой	4	3
441	было в	6	3
442	оба эти	2	3
443	и реального	1	3
444	но даже	3	3
445	одной стороны	4	3
446	или есть	2	3
447	у меня	2	3
448	из его	1	3
449	который бы	1	3
450	с которой	2	3
451	для меня	5	3
452	только один	3	3
453	только на	4	3
454	я это	1	3
455	мы получим	1	3
456	и выражение	1	3
457	превращается в	3	3
458	с в	4	3
459	а только	7	3
460	что ее	1	3
461	в истории	2	3
462	тогда как	8	3
463	и а	1	3
464	и во	1	3
465	самой сущности	1	3
466	но именно	1	3
467	есть конечно	1	3
468	сущность вещи	1	3
469	не все	5	3
470	нельзя сказать	5	3
471	не мог	1	3
472	в самой	1	3
473	всем прочим	1	3
474	к нему	7	3
475	что ему	1	3
476	на язык	1	3
477	свидетельствует о	1	3
478	не можем	8	3
479	с одной	8	3
480	но еще	1	3
481	образ и	6	3
482	с сущностью	1	3
483	нет это	1	3
484	как нечто	3	3
485	у него	3	3
486	без этого	1	3
487	в виде	3	3
488	есть еще	4	3
489	оно только	1	3
490	но он	3	3
491	себе что	2	3
492	или в	4	3
493	не говорит	2	3
494	которые бы	2	3
495	раз навсегда	1	3
496	же оно	1	3
497	ее со	1	3
498	но уже	2	3
499	идеи и	2	3
500	не нужно	1	3
501	тем более	9	3
502	замечаем что	1	3
503	ему не	2	3
504	а потом	2	3
505	к одному	7	3
506	но можно	1	3
507	но как	2	3
508	и эти	1	3
509	а с	4	3
510	мы уже	5	3
511	говорим что	1	3
512	может считаться	1	3
513	вопрос как	1	3
514	без чего	1	3
515	есть как	1	3
516	только их	1	3
517	и может	4	3
518	на меня	1	3
519	нужно было	2	3
520	но она	1	3
521	в науке	3	3
522	для человека	8	3
523	к ее	1	3
524	стало быть	4	3
525	это может	1	3
526	человека и	8	3
527	для того	8	3
528	могла бы	2	3
529	а тем	3	3
530	я в	1	3
531	однако в	1	3
532	а ни	1	3
533	видели что	1	3
534	бы ни	6	3
535	может и	1	3
536	в целом	5	3
537	я сам	1	3
538	мы видели	5	3
539	не к	4	3
540	к другому	3	3
541	во всем	2	2
542	какого бы	1	2
543	и к	5	2
544	от нее	2	2
545	не так	1	2
546	к действительности	1	2
547	а потому	8	2
548	еще раз	2	2
549	в с	1	2
550	и на	5	2
551	вне себя	3	2
552	же и	3	2
553	например что	2	2
554	то есть	53	2
555	сущность если	1	2
556	самого себя	3	2
557	и который	1	2
558	бы даже	1	2
559	или по	2	2
560	есть для	7	2
561	тому что	6	2
562	из понятия	1	2
563	действительность но	1	2
564	которым они	1	2
565	нужно сказать	1	2
566	мне и	1	2
567	не как	3	2
568	и внешнего	1	2
569	и слов	1	2
570	одно из	6	2
571	в связи	1	2
572	не годится	1	2
573	не столько	2	2
574	но нужно	1	2
575	не на	1	2
576	существует и	1	2
577	все то	3	2
578	отличаются от	1	2
579	в первом	5	2
580	от одного	5	2
581	есть лишь	1	2
582	чтобы не	1	2
583	в столь	1	2
584	целиком и	1	2
585	следовательно в	1	2
586	на такой	1	2
587	заключается не	1	2
588	явлений в	1	2
589	одно то	1	2
590	именно в	5	2
591	есть сила	1	2
592	только одной	1	2
593	но самое	2	2
594	себе или	1	2
595	тем самым	11	2
596	к его	2	2
597	есть тот	1	2
598	в одно	8	2
599	в слове	41	2
600	слов а	2	2
601	нужно чтобы	1	2
602	где она	1	2
603	вещи если	1	2
604	мною в	3	2
605	это понимание	1	2
606	субстанциальность и	1	2
607	о котором	2	2
608	в это	2	2
609	знает что	1	2
610	которую я	1	2
611	вещи должно	1	2
612	а а	2	2
613	себя от	2	2
614	к природе	1	2
615	свое время	1	2
616	только одно	1	2
617	говорится о	1	2
618	нет ничего	2	2
619	и того	2	2
620	нам не	2	2
621	то он	2	2
622	нужно ли	1	2
623	человеческой мысли	3	2
624	нас не	1	2
625	которые мы	3	2
626	видим что	1	2
627	той и	2	2
628	что мне	1	2
629	действительности как	1	2
630	чем то	1	2
631	только как	9	2
632	звуки и	1	2
633	на основе	1	2
634	но эти	1	2
635	это только	2	2
636	и другой	1	2
637	хотя это	1	2
638	бы только	1	2
639	для нее	1	2
640	что если	5	2
641	себя не	1	2
642	чего не	1	2
643	свое имя	1	2
644	но они	1	2
645	очень хорошо	1	2
646	язык есть	6	2
647	себе и	1	2
648	конечно не	2	2
649	что существуют	1	2
650	с другою	1	2
651	не вполне	1	2
652	чем не	1	2
653	действительность в	1	2
654	это различие	1	2
655	еще один	1	2
656	не я	3	2
657	о божественном	1	2
658	и формы	1	2
659	на более	2	2
660	может ли	1	2
661	что здесь	1	2
662	каждой из	3	2
663	тождественно с	1	2
664	переход от	3	2
665	между собой	1	2
666	тем же	6	2
667	признаем что	1	2
668	том чтобы	4	2
669	словами не	1	2
670	явление не	1	2
671	быть в	1	2
672	то она	1	2
673	и относится	1	2
674	для определения	1	2
675	здесь не	1	2
676	в свой	2	2
677	с его	1	2
678	он сам	2	2
679	к этому	3	2
680	друг с	1	2
681	оно вообще	1	2
682	всяком случае	3	2
683	у них	1	2
684	не переходит	1	2
685	или другое	2	2
686	к этим	1	2
687	что действительность	1	2
688	не из	4	2
689	образ в	2	2
690	мы еще	1	2
691	ними в	3	2
692	только о	2	2
693	образы и	1	2
694	едва ли	1	2
695	указанием на	3	2
696	меня не	1	2
697	той же	6	2
698	не зависит	1	2
699	в свое	2	2
700	отличным от	1	2
701	находятся в	3	2
702	есть выражение	3	2
703	но на	2	2
704	в более	4	2
705	него как	1	2
706	с но	3	2
707	по преимуществу	1	2
708	смысле что	2	2
709	она и	1	2
710	данном случае	3	2
711	есть сам	1	2
712	на вопрос	2	2
713	но из	1	2
714	ее на	1	2
715	первом случае	2	2
716	зависит от	7	2
717	о значении	2	2
718	и заставляет	1	2
719	уже в	10	2
720	в состоянии	5	2
721	языка как	1	2
722	к истории	1	2
723	так в	4	2
724	этом отношении	2	2
725	для нас	40	2
726	есть но	1	2
727	понятии и	1	2
728	сознания и	2	2
729	слово в	6	2
730	не знаем	5	2
731	что между	2	2
732	них и	1	2
733	разных степенях	1	2
734	связи с	6	2
735	нечто совершенно	1	2
736	самые категории	1	2
737	ли мы	3	2
738	когда оно	3	2
739	к чему	2	2
740	а также	1	2
741	в виду	1	2
742	но эта	3	2
743	на нее	2	2
744	в бытии	1	2
745	исходят из	1	2
746	очевидно что	9	2
747	может в	2	2
748	для науки	1	2
749	помнить что	1	2
750	этого предмета	1	2
751	можно выразить	1	2
752	же точно	1	2
753	следовательно и	2	2
754	как ее	2	2
755	на все	3	2
756	и со	1	2
757	того и	2	2
758	зрения и	2	2
759	один и	2	2
760	это было	3	2
761	же касается	1	2
762	с другом	1	2
763	раз и	1	2
764	и таким	1	2
765	было ни	1	2
766	с бесконечно	1	2
767	ли что	1	2
768	она только	1	2
769	вопрос об	2	2
770	что эти	3	2
771	здесь как	3	2
772	только от	7	2
773	человека в	2	2
774	из предыдущего	2	2
775	как сущность	1	2
776	для его	1	2
777	и быть	3	2
778	но с	1	2
779	только к	1	2
780	понимание есть	1	2
781	жизнь и	1	2
782	он говорит	3	2
783	и появление	1	2
784	которую мы	1	2
785	именно потому	1	2
786	совсем не	2	2
787	быть орудием	1	2
788	это для	1	2
789	е и	1	2
790	когда он	1	2
791	и этой	1	2
792	есть символ	1	2
793	что эта	3	2
794	и та	5	2
795	совершенно невозможно	1	2
796	как он	1	2
797	что образ	1	2
798	в начале	3	2
799	или его	1	2
800	стороны и	1	2
801	этом смысле	2	2
802	человека по	1	2
803	далеко не	5	2
804	лишь как	1	2
805	вещи то	1	2
806	признать что	2	2
807	всего то	1	2
808	и вне	1	2
809	одного из	1	2
810	его как	3	2
811	для такого	1	2
812	это можно	4	2
813	понимание но	1	2
814	и значения	1	2
815	это дает	1	2
816	слова в	7	2
817	а можно	1	2
818	в первой	1	2
819	и необходимо	1	2
820	если они	1	2
821	как будто	1	2
822	взаимного понимания	1	2
823	смысла но	1	2
824	не сама	1	2
825	сущности есть	1	2
826	гораздо более	1	2
827	но для	1	2
828	себя из	1	2
829	что на	3	2
830	степени и	1	2
831	от силы	1	1
832	одной и	6	1
833	обозначает и	1	1
834	такой взгляд	2	1
835	это внутреннее	1	1
836	это восприятие	2	1
837	сначала говорит	1	1
838	о таком	1	1
839	той которая	1	1
840	и стало	2	1
841	заметим что	1	1
842	только чтобы	1	1
843	ее то	1	1
844	из многих	3	1
845	до сих	4	1
846	которое было	2	1
847	бы мало	2	1
848	человеческой жизни	3	1
849	та же	3	1
850	что касается	1	1
851	от необходимости	1	1
852	что этим	1	1
853	них в	2	1
854	если в	2	1
855	мысль если	1	1
856	не входить	1	1
857	или только	2	1
858	которая в	1	1
859	с и	3	1
860	своего собственного	1	1
861	в языке	19	1
862	его с	3	1
863	был бы	2	1
864	ровно ничего	1	1
865	в шутку	2	1
866	определенный образ	1	1
867	отличное от	4	1
868	из таких	1	1
869	оно было	1	1
870	случае мы	1	1
871	часть его	2	1
872	потом уже	1	1
873	говорит нам	2	1
874	и краски	1	1
875	образа и	6	1
876	нужно прибавить	2	1
877	об искусстве	1	1
878	и менее	1	1
879	в субъекте	2	1
880	вопросу о	1	1
881	даже в	3	1
882	смысле все	1	1
883	будет не	2	1
884	иначе это	1	1
885	о важности	1	1
886	свою мысль	2	1
887	явлений или	2	1
888	этого мало	1	1
889	или нет	1	1
890	связанное с	3	1
891	и различие	1	1
892	нечто такое	2	1
893	можно заметить	1	1
894	и предмет	1	1
895	открывает себя	1	1
896	какой бы	1	1
897	мы замечаем	1	1
898	всегда предполагает	1	1
899	она проявляется	1	1
900	и получает	2	1
901	так можно	1	1
902	всех ее	1	1
903	мы в	3	1
904	на лице	1	1
905	что человек	4	1
906	тому какое	2	1
907	представим себе	1	1
908	в отдельном	1	1
909	же нам	3	1
910	и стремится	1	1
911	например с	1	1
912	понятно и	1	1
913	в общей	1	1
914	с разумом	1	1
915	впрочем и	2	1
916	же понятия	1	1
917	такое чего	1	1
918	самой а	1	1
919	чем говорить	1	1
920	от другого	3	1
921	после этого	1	1
922	именно эти	2	1
923	признаков и	3	1
924	есть результат	1	1
925	отдельно от	1	1
926	в выражении	3	1
927	под этим	1	1
928	с давних	1	1
929	с действительностью	1	1
930	есть дело	2	1
931	это определение	2	1
932	в них	9	1
933	есть а	1	1
934	сознании но	1	1
935	должен был	2	1
936	и самая	1	1
937	связь с	4	1
938	третье общее	1	1
939	границы между	1	1
940	предполагает в	2	1
941	но без	2	1
942	мое сознание	1	1
943	здесь мы	1	1
944	мы понимаем	1	1
945	находим у	1	1
946	вслед за	6	1
947	в чистую	1	1
948	то на	1	1
949	из двух	4	1
950	а во-вторых	1	1
951	в звуках	2	1
952	отлична от	1	1
953	имеет значение	6	1
954	с таким	3	1
955	или от	4	1
956	их и	1	1
957	его собственная	1	1
958	самом общем	1	1
959	есть развитие	1	1
960	как чего-то	1	1
961	о самом	1	1
962	вывести из	1	1
963	прибавить еще	1	1
964	и силу	1	1
965	ему в	2	1
966	как при	3	1
967	форму и	1	1
968	иначе как	2	1
969	тела и	2	1
970	его звуком	1	1
971	звук не	2	1
972	от одной	3	1
973	уже на	2	1
974	из всего	1	1
975	к другим	4	1
976	в порядке	1	1
977	можно назвать	2	1
978	мы получаем	1	1
979	к которым	2	1
980	относящиеся к	1	1
981	относятся к	2	1
982	и должен	1	1
983	когда это	1	1
984	к таким	1	1
985	это относится	1	1
986	не дается	5	1
987	своих свойств	1	1
988	к самому	2	1
989	понятие а	2	1
990	с такими	1	1
991	может стать	3	1
992	духа в	2	1
993	меньшей мере	1	1
994	а именно	1	1
995	выражения и	1	1
996	он обозначает	1	1
997	на эту	1	1
998	важности и	1	1
999	в которых	5	1
1000	никто не	5	1
1001	никем не	2	1
1002	том смысле	6	1
1003	в словах	3	1
1004	есть непосредственное	1	1
1005	форма слова	4	1
1006	человека есть	1	1
1007	по этим	1	1
1008	печать своего	1	1
1009	если этот	1	1
1010	сродство в	1	1
1011	осталось бы	1	1
1012	собою в	1	1
1013	которое не	2	1
1014	зависимости от	1	1
1015	в нее	5	1
1016	этот образ	7	1
1017	говорит только	3	1
1018	понятие и	1	1
1019	есть действительность	1	1
1020	из которого	1	1
1021	или образом	1	1
1022	собою так	2	1
1023	языка или	1	1
1024	этой стороны	2	1
1025	в поэтическом	2	1
1026	которая не	2	1
1027	такое а	1	1
1028	ничего общего	2	1
1029	но мы	3	1
1030	сравнение со	1	1
1031	раз при	1	1
1032	на первый	1	1
1033	относиться к	2	1
1034	слова вообще	1	1
1035	я говорю	1	1
1036	который и	1	1
1037	также что	1	1
1038	что конечно	3	1
1039	самое содержание	1	1
1040	предмета и	2	1
1041	душою и	1	1
1042	пониманием и	1	1
1043	в природе	3	1
1044	вполне ясны	1	1
1045	видно уже	1	1
1046	ни понимать	1	1
1047	понятно что	1	1
1048	тоже как	1	1
1049	было не	1	1
1050	которые не	1	1
1051	наука в	1	1
1052	под одно	1	1
1053	существовать в	1	1
1054	восприятия и	2	1
1055	больше чем	1	1
1056	первым и	1	1
1057	находит в	2	1
1058	он требует	1	1
1059	не видеть	2	1
1060	уже из	1	1
1061	где нет	1	1
1062	бы с	1	1
1063	что этот	2	1
1064	бы самое	1	1
1065	как та	2	1
1066	в очень	1	1
1067	существование и	1	1
1068	эта связь	2	1
1069	в пример	1	1
1070	сам и	1	1
1071	это явление	1	1
1072	одно целое	3	1
1073	что сила	2	1
1074	нас и	1	1
1075	сам не	1	1
1076	от ветра	1	1
1077	содержания можно	1	1
1078	что всякое	1	1
1079	своей природе	1	1
1080	не чувствует	1	1
1081	такой случай	1	1
1082	сознание это	1	1
1083	быть чем-то	1	1
1084	более для	2	1
1085	внутренняя жизнь	2	1
1086	какое именно	2	1
1087	и каждое	2	1
1088	мы его	2	1
1089	имеет в	1	1
1090	выразить и	1	1
1091	и и	1	1
1092	искусства и	3	1
1093	вызывает в	2	1
1094	как ум	1	1
1095	не всегда	5	1
1096	когда в	2	1
1097	своего происхождения	2	1
1098	сознание в	1	1
1099	как эта	1	1
1100	и действия	2	1
1101	остается только	2	1
1102	доходим до	1	1
1103	лишь в	2	1
1104	между двумя	5	1
1105	именно на	2	1
1106	и переходит	1	1
1107	образом можно	2	1
1108	из своего	1	1
1109	самой по	1	1
1110	субъектом из	1	1
1111	идея не	1	1
1112	не меньше	1	1
1113	в изучении	1	1
1114	к своим	1	1
1115	не вдаваясь	1	1
1116	если нет	1	1
1117	и идеи	1	1
1118	в различных	2	1
1119	связь между	6	1
1120	с первой	1	1
1121	и наиболее	1	1
1122	где оба	2	1
1123	моментов слова	1	1
1124	свет но	1	1
1125	образом что	2	1
1126	мы хотим	1	1
1127	пока мы	1	1
1128	времени и	2	1
1129	допустить что	1	1
1130	только переходит	1	1
1131	других внешних	1	1
1132	принадлежит не	1	1
1133	что такая	1	1
1134	уже и	1	1
1135	вещи самой	1	1
1136	от той	2	1
1137	уже есть	2	1
1138	субъективно то	1	1
1139	словами есть	1	1
1140	что когда	1	1
1141	оно существует	1	1
1142	что можно	1	1
1143	до того	5	1
1144	общем смысле	1	1
1145	воображении и	1	1
1146	стихии и	1	1
1147	всем другим	1	1
1148	нем те	1	1
1149	указания на	2	1
1150	предмета который	2	1
1151	было сказано	2	1
1152	при этом	6	1
1153	но этот	2	1
1154	формы но	1	1
1155	связанной с	1	1
1156	на ней	1	1
1157	до самого	1	1
1158	потому и	1	1
1159	действует на	7	1
1160	и зародыш	1	1
1161	внешний и	1	1
1162	единство и	2	1
1163	вещь а	1	1
1164	явления так	1	1
1165	и там	1	1
1166	на бытие	1	1
1167	можно найти	1	1
1168	с такою	1	1
1169	и правда	1	1
1170	или если	2	1
1171	дело вовсе	1	1
1172	частью в	2	1
1173	возможно было	1	1
1174	самих по	2	1
1175	когда человек	3	1
1176	само оно	1	1
1177	духа и	1	1
1178	бы очень	1	1
1179	отвлеченное и	1	1
1180	таких условиях	1	1
1181	с большим	1	1
1182	еще ничего	1	1
1183	что другой	2	1
1184	это предполагает	1	1
1185	одной из	3	1
1186	форма и	1	1
1187	в самое	2	1
1188	жизнь как	1	1
1189	в тюрьму	1	1
1190	к которому	1	1
1191	можно понимать	1	1
1192	будем говорить	1	1
1193	только при	2	1
1194	ней самой	1	1
1195	ли она	4	1
1196	нею но	1	1
1197	его только	2	1
1198	нигде не	1	1
1199	то так	2	1
1200	если имя	1	1
1201	сих пор	4	1
1202	процессов в	1	1
1203	том же	2	1
1204	в сознании	36	1
1205	на этот	1	1
1206	внутренняя форма	18	1
1207	мысли но	3	1
1208	и науки	2	1
1209	от нас	4	1
1210	иначе и	3	1
1211	нас а	1	1
1212	деле в	2	1
1213	из самой	1	1
1214	как всякое	1	1
1215	которым оно	2	1
1216	по меньшей	1	1
1217	по поводу	8	1
1218	полной ясности	1	1
1219	сказать с	1	1
1220	к новой	1	1
1221	от себя	1	1
1222	в понимании	1	1
1223	оно потому	1	1
1224	и внешней	1	1
1225	не видит	1	1
1226	причины и	1	1
1227	с вопросом	1	1
1228	самим по	1	1
1229	понимании его	1	1
1230	в отдельных	2	1
1231	образ но	1	1
1232	на котором	4	1
1233	это одно	1	1
1234	идеального и	1	1
1235	только потому	8	1
1236	из этих	10	1
1237	из звуков	1	1
1238	искусство религия	1	1
1239	действительности а	1	1
1240	себя что	1	1
1241	тем смыслом	1	1
1242	его пониманию	1	1
1243	мешает нам	1	1
1244	признать и	1	1
1245	они могут	2	1
1246	есть средство	3	1
1247	никто никогда	1	1
1248	к языку	1	1
1249	на свет	1	1
1250	действуют на	1	1
1251	жизни не	3	1
1252	невозможна без	2	1
1253	то значит	1	1
1254	других явлений	1	1
1255	смысле как	1	1
1256	вносит в	2	1
1257	формы и	2	1
1258	они были	1	1
1259	ли эта	1	1
1260	с каким	3	1
1261	представления и	4	1
1262	но пусть	1	1
1263	его можно	1	1
1264	он должен	2	1
1265	той степени	1	1
1266	представить себе	5	1
1267	этом случае	2	1
1268	ответ на	3	1
1269	то они	1	1
1270	стоит на	1	1
1271	не зная	1	1
1272	и он	1	1
1273	образ другими	1	1
1274	происходит понимание	1	1
1275	то оно	4	1
1276	и иначе	1	1
1277	мы как	1	1
1278	качество а	1	1
1279	многих других	2	1
1280	нет ни	2	1
1281	есть такой	1	1
1282	мы мыслим	1	1
1283	необходимо должно	1	1
1284	она так	2	1
1285	зависит и	1	1
1286	разных времен	1	1
1287	не внешнее	1	1
1288	есть сознание	1	1
1289	и говорить	2	1
1290	мысли только	1	1
1291	да если	1	1
1292	как средство	2	1
1293	расстояние между	1	1
1294	не внешний	1	1
1295	нее нет	1	1
1296	вещи ту	1	1
1297	еще до	3	1
1298	на том	1	1
1299	внимание на	2	1
1300	слово а	1	1
1301	что уже	2	1
1302	что одна	2	1
1303	при таких	2	1
1304	он как	2	1
1305	мы знаем	1	1
1306	оно само	1	1
1307	происходит это	1	1
1308	если у	1	1
1309	предмета в	2	1
1310	самосознание с	1	1
1311	именно из	2	1
1312	сравнить с	2	1
