N	2gram	Nazirov_Vr	RusskieA
112	и их	1	6
113	и о	3	6
114	тогда как	2	5
115	с этим	1	5
116	с другой	1	5
117	к ним	2	5
118	как правило	1	5
119	м е	1	5
120	не было	5	5
121	в связи	3	5
122	такие же	1	5
123	в москве	1	5
124	в то	5	5
125	прежде всего	1	5
126	в особенности	1	5
127	его с	2	5
128	с ним	4	5
129	что он	4	5
130	ничего общего	1	5
131	в свою	2	5
132	к себе	2	5
133	или вообще	1	5
134	в его	3	5
135	в русских	2	5
136	отнюдь не	2	5
137	не с	1	5
138	в целом	1	5
139	вплоть до	1	5
140	во всем	1	4
141	или по	1	4
142	в своих	4	4
143	именно в	1	4
144	во всяком	1	4
145	в котором	6	4
146	во всей	1	4
147	от них	1	4
148	не просто	1	4
149	и из	1	4
150	что у	3	4
151	несмотря на	4	4
152	но он	3	4
153	а за	1	4
154	не был	1	4
155	что для	1	4
156	могут быть	1	4
157	и от	1	4
158	своего рода	1	4
159	по всем	1	4
160	если в	1	4
161	в основном	1	4
162	то время	1	4
163	вряд ли	1	4
164	к русским	1	4
165	этому же	1	4
166	на основе	2	4
167	совпадают с	1	4
168	и а	2	4
169	всяком случае	1	4
170	уже в	4	4
171	его и	2	4
172	такой же	1	4
173	по своему	1	4
174	в ней	4	4
175	и ее	2	4
176	все что	1	3
177	можно говорить	1	3
178	говорит о	1	3
179	и другими	1	3
180	в виду	4	3
181	можно объяснить	1	3
182	на первый	2	3
183	сразу же	1	3
184	н ф	1	3
185	он был	3	3
186	только как	1	3
187	что ее	1	3
188	до того	1	3
189	свою очередь	1	3
190	как на	1	3
191	точки зрения	2	3
192	тем это	1	3
193	тут же	1	3
194	никогда не	2	3
195	ее и	1	3
196	мы знаем	2	3
197	обычно не	1	3
198	хотя и	1	3
199	в ее	1	3
200	чем у	1	3
201	это конечно	1	3
202	тому же	1	3
203	христа и	1	3
204	сходство с	1	3
205	и это	2	3
206	в эту	2	3
207	сих пор	1	3
208	в русской	3	3
209	того в	1	3
210	совсем не	1	3
211	в форме	1	3
212	в окно	1	3
213	всех этих	1	3
214	до сих	1	3
215	также что	1	3
216	живет в	1	3
217	из которых	1	3
218	независимо от	1	3
219	их и	1	3
220	в своей	2	3
221	том как	1	3
222	с точки	2	3
223	тех пор	1	3
224	каждый из	1	3
225	год в	1	3
226	и во	3	3
227	на этот	1	3
228	довольно много	2	3
229	говорилось выше	1	3
230	и то	2	3
231	только по	1	3
232	это и	1	3
233	такое же	1	3
234	же не	2	3
235	а п	1	3
236	по его	1	3
237	жизнь и	1	3
238	быть и	1	3
239	как он	1	3
240	состояло в	1	3
241	место в	2	3
242	в период	2	3
243	на то	3	3
244	и его	3	3
245	это в	2	3
246	с последним	1	2
247	уверенности что	1	2
248	к этой	1	2
249	воспоминания о	1	2
250	нас в	1	2
251	далее в	1	2
252	другой стороны	1	2
253	сходство между	1	2
254	ему но	1	2
255	в духе	1	2
256	равно как	1	2
257	ее для	1	2
258	года в	7	2
259	в числе	1	2
260	в момент	2	2
261	но мы	1	2
262	было не	1	2
263	во все	1	2
264	раз и	1	2
265	говорить о	1	2
266	е годы	1	2
267	людей и	1	2
268	называя его	1	2
269	некоторое время	1	2
270	не имело	1	2
271	все в	1	2
272	были известны	1	2
273	и он	2	2
274	время и	2	2
275	собой в	1	2
276	у него	5	2
277	как по	1	2
278	тот кто	1	2
279	одним из	3	2
280	в конце	3	2
281	между прочим	1	2
282	они как	1	2
283	следовательно и	1	2
284	к вопросу	1	2
285	в чем	3	2
286	под влиянием	1	2
287	и даже	6	2
288	ряда других	1	2
289	он не	3	2
290	в развитии	1	2
291	что эта	1	2
292	себе на	1	2
293	считал что	3	2
294	он пишет	2	2
295	как известно	1	2
296	у некоторых	1	2
297	не пускает	1	2
298	в себе	2	2
299	был в	1	2
300	в силу	1	2
301	имела место	1	2
302	из этого	1	2
303	на место	2	2
304	в него	2	2
305	в одну	2	2
306	воду в	1	2
307	ироническое отношение	1	2
308	в жизни	1	2
309	в другой	1	2
310	о которой	2	2
311	н п	1	2
312	не ясно	1	2
313	где-нибудь на	1	2
314	о своей	1	2
315	если это	1	2
316	и и	1	2
317	не знали	1	2
318	не могло	1	2
319	россии в	2	2
320	целый ряд	4	2
321	к людям	1	2
322	года на	1	2
323	через него	1	2
324	с нею	2	2
325	с его	3	2
326	что есть	3	2
327	ответ на	2	2
328	но на	1	2
329	они не	1	2
330	ни с	1	2
331	предположение что	1	2
332	для него	2	2
333	этом отношении	1	2
334	в другую	1	2
335	и начинается	1	2
336	не дают	1	2
337	что им	1	2
338	и вообще	1	2
339	тем более	2	2
340	еще до	1	2
341	полагали что	1	2
342	в частности	1	2
343	в начале	6	2
344	отношение к	2	2
345	в ту	1	2
346	и наконец	1	2
347	в е	1	2
348	в той	2	1
349	в самом	1	1
350	еще раз	1	1
351	еще более	1	1
352	только что	1	1
353	он напоминает	1	1
354	рассказ о	1	1
355	ясно почему	1	1
356	все ясно	1	1
357	из всех	1	1
358	этот момент	2	1
359	и был	1	1
360	марта и	1	1
361	него в	1	1
362	не являются	1	1
363	своем дневнике	1	1
364	быть может	1	1
365	и сам	1	1
366	на свою	1	1
367	русский народ	1	1
368	уже на	1	1
369	его на	2	1
370	ф м	1	1
371	дома и	1	1
372	о близости	1	1
373	но у	1	1
374	первое место	1	1
375	целым рядом	1	1
376	к своим	1	1
377	этом говорят	1	1
378	и образ	1	1
379	первый взгляд	1	1
380	нам не	1	1
381	одного и	1	1
382	уже давно	1	1
383	было в	1	1
384	не могли	1	1
385	не хуже	1	1
386	которой он	1	1
387	и разнообразны	1	1
388	все свои	1	1
389	из их	1	1
390	из своего	1	1
391	не вдаваясь	1	1
392	точно так	1	1
393	друг у	1	1
394	а между	1	1
395	привела к	1	1
396	у себя	1	1
397	что пишет	1	1
398	затем в	1	1
399	этот вывод	1	1
400	наряду с	3	1
401	без ответа	1	1
402	за него	1	1
403	такая же	1	1
404	к которому	1	1
405	не мог	2	1
406	ее своей	1	1
407	того же	1	1
408	едва ли	1	1
409	он считал	4	1
410	в подобных	1	1
411	ближе к	1	1
412	этого и	1	1
413	которую они	1	1
414	в н	1	1
415	по преимуществу	1	1
416	в петербурге	1	1
417	один пример	1	1
418	что уже	1	1
419	пишет все	1	1
420	в названных	1	1
421	не сохранилось	1	1
422	это слово	1	1
423	так не	1	1
424	крестьян и	1	1
425	такое понимание	1	1
426	далее он	1	1
427	что за	1	1
428	но для	1	1
429	землю при	1	1
430	в среде	2	1
431	к сожалению	1	1
432	превращен в	1	1
433	не есть	1	1
434	рядом с	2	1
435	одном из	1	1
436	связь образа	1	1
437	всех их	1	1
438	связь этого	1	1
439	веру в	1	1
440	в сторону	1	1
441	же они?	1	1
442	подтверждается тем	1	1
443	фигурируют и	1	1
444	и руки	1	1
445	выражение в	1	1
446	вошел в	1	1
447	сколько в	1	1
448	ему в	1	1
449	а следовательно	1	1
450	друга при	2	1
451	эти слова	3	1
452	и дети	2	1
453	сторону в	1	1
454	не будет	1	1
455	году когда	1	1
456	один раз	1	1
457	не могла	1	1
458	себя на	1	1
459	человек который	1	1
460	это влияние	1	1
461	по своей	1	1
462	вторая часть	1	1
463	июня в	2	1
464	однако в	1	1
465	в первой	1	1
466	и есть	1	1
467	с которым	2	1
468	всю жизнь	1	1
469	года когда	1	1
470	смеха и	1	1
471	ее тем	1	1
472	пришел к	2	1
473	и самый	1	1
474	никто из	1	1
475	которому в	1	1
476	можно проследить	1	1
477	в разгар	1	1
478	он уже	1	1
479	у друга	1	1
480	как показал	1	1
481	н и	1	1
482	мы получаем	1	1
483	года он	3	1
484	давно был	1	1
485	перед ними	1	1
486	за это	1	1
487	тогда же	1	1
488	как при	1	1
489	как о	1	1
490	с такими	1	1
491	каким-то образом	1	1
492	оказалось что	1	1
493	правда не	1	1
494	нас интересует	1	1
495	ли он	1	1
496	можно найти	1	1
497	о котором	1	1
498	в те	3	1
499	из которого	1	1
500	во сне	1	1
501	года и	1	1
502	человека и	1	1
503	безо всякой	1	1
504	него он	1	1
505	многочисленны и	1	1
506	чем говорилось	1	1
507	совпадает с	1	1
508	на той	1	1
509	очень хорошо	2	1
510	и ненависти	1	1
511	отношении к	1	1
512	которую он	1	1
513	о своем	1	1
514	вслед за	1	1
515	в истории	4	1
516	при помощи	2	1
517	в каком	1	1
518	еще один	1	1
519	же только	1	1
520	записи в	1	1
521	ее не	1	1
522	писал о	1	1
523	этому образу	1	1
524	что я	2	1
525	из первых	1	1
526	и раньше	1	1
527	только при	1	1
528	на губах	1	1
529	же он	1	1
530	только о	1	1
531	как раз	2	1
532	связан с	1	1
533	в цель	1	1
534	в марте	1	1
535	за которую	1	1
536	был еще	1	1
537	второй половине	1	1
538	б и	2	1
539	а это	1	1
540	он и	1	1
541	прямо в	1	1
542	этом он	1	1
543	в литературе	1	1
544	о нем	6	1
545	полной уверенности	1	1
546	но с	1	1
547	искал в	1	1
548	ii этот	2	1
549	что к	2	1
550	год а	1	1
551	только два	1	1
552	более что	1	1
553	он черпал	1	1
554	имеется в	1	1
555	как свидетельствует	1	1
556	хорошо знает	1	1
557	ли не	1	1
558	это было	1	1
559	пока не	1	1
560	из разных	1	1
561	человеком и	1	1
562	через год	1	1
563	ему не	1	1
564	ко мне	2	1
565	искать в	1	1
566	этих строк	1	1
567	в полной	1	1
568	же с	1	1
569	их коснувшись	1	1
570	возвращается к	1	1
571	выше и	1	1
572	по которому	1	1
573	он одновременно	1	1
574	ему нужно	1	1
575	это как	1	1
576	на первое	1	1
577	также и	1	1
578	одну из	1	1
579	во второй	1	1
580	характерно для	1	1
581	могли иметь	1	1
582	нужно было	1	1
583	и детей	4	1
584	в нашей	2	1
585	от того	1	1
586	д в	1	1
587	человека с	2	1
588	же на	1	1
589	он пересказывает	1	1
590	как указывает	1	1
591	и пытался	1	1
592	себе очень	1	1
593	жизни и	1	1
594	говорить об	1	1
595	идет не	1	1
596	после смерти	2	1
597	типичен для	1	1
