N	2gram	Vinokur_St	SlovoVZh
588	из этой	2	1
589	в одной	3	1
590	дело и	1	1
591	в целом	5	1
592	ничего общего	3	1
593	в лице	1	1
594	культуры в	3	1
595	себя в	1	1
596	крайней мере	2	1
597	для правильного	1	1
598	и из	1	1
599	является еще	2	1
600	или менее	2	1
601	суждения о	2	1
602	вовсе не	24	1
603	с соответствующими	1	1
604	больше того	1	1
605	сам поэт	1	1
606	думать что	2	1
607	в так	1	1
608	не то	1	1
609	гораздо больше	2	1
610	на эту	5	1
611	тем более	4	1
612	по крайней	2	1
613	обращение к	1	1
614	что до	3	1
615	перед нами	1	1
616	включает в	1	1
617	и самый	2	1
618	бы это	2	1
619	же мы	1	1
620	речи а	1	1
621	всяком случае	8	1
622	ряд важных	1	1
623	которые в	2	1
624	на них	2	1
625	высшей степени	1	1
626	можно только	1	1
627	с этих	1	1
