N	2gram	Medvedev_F	Tragedij
147	а как	5	2
148	не мог	1	2
149	тем что	6	2
150	только о	1	2
151	и ее	15	2
152	никогда не	6	2
153	в известной	2	2
154	ничего не	5	2
155	друг друга	4	2
156	создается впечатление	1	2
157	в той	3	1
158	для самого	1	1
159	в особенности	7	1
160	все в	3	1
161	во всем	3	1
162	им как	1	1
163	то в	3	1
164	от нее	6	1
165	с помощью	13	1
166	от него	2	1
167	этом случае	1	1
168	романа с	1	1
169	могут быть	7	1
170	только не	2	1
171	проникает в	1	1
172	проблемы проблемы	1	1
173	в последующих	1	1
174	с представителями	1	1
175	мы бы	1	1
176	социальной жизни	12	1
177	к сожалению	2	1
178	не скажет	1	1
179	мы видим	1	1
180	что оно	4	1
181	по природе	1	1
182	таким образом	28	1
183	опирается на	1	1
184	с начала	2	1
185	только что	1	1
186	также что	1	1
187	прекрасное и	1	1
188	на западе	4	1
189	часто и	2	1
190	к этой	4	1
191	если он	4	1
192	почти не	2	1
193	перестает быть	3	1
194	которой не	1	1
195	но главная	1	1
196	с одной	5	1
197	и вот	2	1
198	его с	5	1
199	должна быть	11	1
200	и развить	1	1
201	с такой	1	1
202	что уже	1	1
203	с этой	4	1
204	и должно	4	1
205	в применении	4	1
206	любовь к	1	1
207	начала и	2	1
208	тогда и	1	1
209	что эта	2	1
210	естественно что	1	1
211	на деле	1	1
212	к истории	2	1
213	т е	50	1
214	романа в	1	1
215	вот как	3	1
216	они только	1	1
217	что при	1	1
218	с этими	2	1
219	того что	7	1
220	сам по	2	1
221	тем не	2	1
222	в недрах	1	1
223	думается нам	1	1
224	о нем	1	1
225	не как	7	1
226	для нас	1	1
227	относятся не	1	1
228	по-видимому не	1	1
229	и всегда	1	1
230	и достоевский	1	1
231	справедливы в	1	1
232	время о	1	1
233	как он	2	1
234	как своего	1	1
235	xix века	1	1
236	же не	1	1
237	х годов	1	1
238	в результате	8	1
239	ведь с	1	1
240	в виду	2	1
241	смысле этого	4	1
242	превратиться в	1	1
243	буржуазии в	1	1
244	из ее	2	1
245	характерна и	1	1
246	с собой	1	1
247	л п	1	1
248	только в	6	1
249	него нет	1	1
250	не столько	5	1
251	по себе	10	1
252	бессмысленной и	1	1
253	этом романе	1	1
254	в самой	2	1
255	характер события	1	1
256	вопрос об	2	1
257	а на	2	1
258	говорит он	7	1
259	и притом	2	1
260	борьбу с	1	1
261	не было	7	1
262	ко всем	2	1
263	в борьбе	1	1
264	в духе	1	1
265	чтобы установить	1	1
266	но он	2	1
267	своей книге	2	1
268	говорит в	3	1
269	вопросу об	1	1
270	этого не	1	1
271	которые так	1	1
272	а также	1	1
273	в россии	4	1
274	заключается в	1	1
275	на нее	2	1
276	одним из	1	1
277	и чисто	2	1
278	во взглядах	1	1
279	эффект и	1	1
280	разрушения и	1	1
281	на себя	1	1
282	что не	4	1
283	как его	3	1
284	в эпоху	2	1
285	нет он	2	1
286	не есть	4	1
287	именно в	12	1
288	ведет к	1	1
289	представление о	2	1
290	при которой	1	1
291	вообще не	1	1
292	тому что	3	1
293	когда его	1	1
294	из тех	1	1
295	деятельность не	1	1
296	в связи	11	1
297	который сам	1	1
298	лишь на	1	1
299	встречается в	1	1
300	с ними	1	1
301	так часто	1	1
302	черты не	1	1
303	в своей	16	1
304	рядом с	1	1
305	вместе с	8	1
306	на этом	2	1
307	оказалось что	1	1
308	при таком	5	1
309	всю эту	1	1
310	жизни в	2	1
311	отнесены к	1	1
312	роль в	2	1
313	не менее	12	1
314	и т	22	1
315	так сказать	6	1
316	на все	3	1
317	контекст в	1	1
318	бы не	1	1
319	в такой	3	1
320	полноте и	1	1
321	со своей	1	1
322	между собой	1	1
323	роли в	4	1
324	именно эта	1	1
325	если можно	1	1
326	в двух	1	1
327	сравнению с	1	1
328	говорит роман	1	1
329	это было	3	1
330	но уже	1	1
331	в чем	2	1
332	общем смысле	2	1
333	тогда как	1	1
334	первостепенное значение	1	1
335	могло бы	2	1
336	только теперь	2	1
337	он противопоставляет	1	1
338	творца и	1	1
339	гораздо больше	1	1
340	бы в	6	1
341	труда в	1	1
342	в них	4	1
343	на них	1	1
344	и образ	1	1
345	во всех	9	1
346	бы сказали	1	1
347	к одному	2	1
348	во всяком	6	1
349	и потому	9	1
350	понятно что	1	1
351	это и	7	1
352	и дело	1	1
353	о себе	1	1
354	тем чем	1	1
355	к речи	1	1
356	совершенно не	5	1
357	материалом для	2	1
358	его перед	1	1
359	но как	2	1
360	чем же	3	1
361	всего необходимо	1	1
362	не является	3	1
363	в противовес	2	1
364	а к	2	1
365	в котором	2	1
366	ему в	1	1
367	с самого	2	1
368	не сводится	2	1
369	возвращается к	1	1
370	не могли	2	1
371	совершенно в	1	1
372	и новые	1	1
373	это понятие	1	1
374	применении к	4	1
375	эта связь	2	1
376	связи с	12	1
377	за этими	1	1
378	к роману	1	1
379	и ко	1	1
380	силы и	1	1
381	он пытался	1	1
382	в становлении	1	1
383	хотя бы	10	1
384	она не	8	1
385	чтобы он	2	1
386	того чтобы	4	1
387	и если	2	1
388	таком виде	1	1
389	достоевский и	1	1
390	одну из	1	1
391	но не	5	1
392	в другом	2	1
393	в каких	1	1
394	между тем	4	1
395	так обстоит	1	1
396	и должна	3	1
397	в ней	15	1
398	вот почему	1	1
399	что нужно	1	1
400	обстоит дело	1	1
401	вызывает в	1	1
402	мы узнаем	1	1
403	в условиях	1	1
404	и чтобы	2	1
405	характерный для	1	1
406	самом деле	12	1
407	к своей	1	1
408	он стал	1	1
409	оно начинает	1	1
410	из себя	1	1
411	это по	1	1
412	в развитии	2	1
413	исследования в	2	1
414	в которой	5	1
415	и такую	1	1
416	лишь в	15	1
417	именно на	4	1
418	не понимает	1	1
419	а не	11	1
420	значение для	2	1
421	только на	8	1
422	и их	13	1
423	есть и	1	1
424	отказ от	1	1
425	не могла	3	1
426	связь между	1	1
427	в западноевропейском	3	1
428	можно было	1	1
429	в форме	2	1
430	за пределы	2	1
431	а между	1	1
432	но только	1	1
433	вместо того	1	1
434	тем и	2	1
435	и хотя	1	1
436	даже не	2	1
437	большое значение	1	1
438	действительности от	1	1
439	не вполне	1	1
440	их отношения	3	1
441	в истории	10	1
442	по своей	1	1
443	он есть	1	1
444	ту же	1	1
445	свое значение	1	1
446	это может	1	1
447	в обоих	1	1
448	отметить что	2	1
449	на всю	2	1
450	самого начала	2	1
451	литературы и	6	1
452	должны были	1	1
453	тургеневского романа	1	1
454	жизни на	1	1
455	полагал что	1	1
456	всего этого	6	1
457	сохраняет свое	1	1
458	не раз	1	1
459	с другим	1	1
460	значение и	4	1
461	последнее слово	1	1
462	могло быть	1	1
463	известной степени	4	1
464	за этим	1	1
465	оправдать этого	1	1
466	или вообще	1	1
467	и еще	1	1
468	т п	11	1
469	и критики	2	1
470	в книге	1	1
471	он в	3	1
472	к ней	3	1
473	как мы	10	1
474	литературы на	3	1
475	жизнь как	3	1
476	не для	4	1
477	и особенно	3	1
478	во многом	2	1
479	нее самой	2	1
480	и о	3	1
481	речи в	1	1
482	его как	5	1
483	роман и	2	1
484	наряду с	1	1
485	той же	2	1
486	и др	8	1
487	тогда от	1	1
488	по сравнению	1	1
489	самой природе	1	1
490	с литературными	1	1
491	характерно что	2	1
492	именно так	1	1
493	в высшей	4	1
494	из первых	1	1
495	роль его	1	1
496	не значит	1	1
497	облекается в	1	1
498	слова в	2	1
499	слова он	1	1
500	и от	9	1
501	и есть	1	1
502	все время	7	1
503	в понятие	1	1
504	в общем	8	1
505	и художественной	2	1
506	на этот	1	1
507	они сами	2	1
508	исходит из	1	1
509	что без	1	1
510	для понимания	1	1
511	согласиться с	2	1
512	этого слова	4	1
513	например в	1	1
514	от литературы	2	1
515	что именно	2	1
516	уже чисто	1	1
517	а это	1	1
518	но если	1	1
519	как система	1	1
520	в литературе	6	1
521	в области	6	1
522	и по	3	1
523	и эта	2	1
524	романа или	1	1
525	человек не	3	1
526	это в	1	1
527	в и	1	1
528	социального типа	1	1
529	всяком случае	6	1
530	на котором	2	1
531	теперь уже	1	1
532	конце концов	2	1
533	идей и	1	1
534	для отрицания	1	1
535	не удалось	1	1
536	ее своей	1	1
537	теме в	1	1
538	удалось создать	1	1
539	не из	5	1
540	стиля и	2	1
541	чтобы не	2	1
542	и совершенно	2	1
543	за счет	4	1
544	и наконец	7	1
545	что на	3	1
546	не к	2	1
547	людей в	1	1
548	высшей степени	4	1
