N	3gram	Tiupa_Anal	Problemy
130	слова о нем	1	2
131	оно может быть	1	2
132	прежде всего в	2	2
133	если бы он	1	2
134	и не знает	1	2
135	обойтись без другого	1	1
136	время оно и	1	1
137	с другим чужим	1	1
138	потому что я	1	1
139	ответ на вопрос	1	1
140	не о том	3	1
141	и как бы	1	1
142	на всем протяжении	1	1
143	на том или	1	1
144	говорит не о	1	1
145	как в этом	1	1
146	в себе в	1	1
147	и даже не	1	1
148	о том как	1	1
149	он вообще не	1	1
150	до известной степени	1	1
151	этого слова как	1	1
152	о своей собственной	1	1
153	и нисколько не	1	1
154	так что оно	1	1
155	в том числе	3	1
156	не говорит о	1	1
157	с собой он	1	1
158	лишь одна из	1	1
159	самом деле в	1	1
160	в собственном смысле	1	1
161	произведения неизбежно оказывается	1	1
162	далеко за пределы	1	1
163	соприкосновения разных сознаний	1	1
164	а с целью	1	1
165	и сам автор	1	1
166	и рождается в	1	1
167	отношение между ними	1	1
168	не только его	1	1
169	и во всех	1	1
170	но в таком	1	1
171	героев но не	1	1
172	отношения к предмету	1	1
173	и тот же	2	1
174	не в том	3	1
175	как более или	1	1
176	не совпадает с	1	1
177	как бы с	1	1
178	уже и не	1	1
179	бы ни был	1	1
180	в таком случае	5	1
181	одного и того	2	1
182	так или иначе	1	1
183	с одной из	1	1
184	точки зрения может	1	1
185	всей своей полноте	1	1
186	с другим он	1	1
187	в этом сознании	1	1
188	конечно далеко не	1	1
189	в глубине души	1	1
190	с ним как	1	1
191	в первом случае	2	1
192	в точке соприкосновения	1	1
193	отношения человека к	2	1
194	том числе и	1	1
195	который не может	1	1
196	и вместе с	1	1
197	в полной мере	3	1
198	точки зрения художественного	1	1
199	тех или иных	3	1
200	как мы это	1	1
201	о нем но	1	1
202	во всей своей	1	1
203	словам того же	1	1
204	и остается в	1	1
205	а в том	1	1
206	точке соприкосновения разных	1	1
207	это слово в	1	1
208	и в пределах	2	1
209	и того же	2	1
210	но и как	1	1
211	может быть да	1	1
212	могла бы быть	1	1
213	в связи с	2	1
214	в произведении и	1	1
215	с первой фразы	1	1
216	оно и не	1	1
217	самом же деле	1	1
218	части нашей работы	1	1
219	по этому пути	1	1
220	или во всяком	1	1
221	а не только	2	1
222	он в то	1	1
223	если в самом	1	1
224	отвечает на вопрос	1	1
225	в равной степени	2	1
226	всего романа в	1	1
227	на первый взгляд	1	1
228	другой голос но	1	1
229	быть не может	3	1
230	он не есть	1	1
231	себя за голову	1	1
232	в художественном произведении	1	1
233	собственном смысле слова	1	1
234	будто бы не	1	1
235	вовсе не чисто	1	1
236	того или иного	3	1
237	в рассказе и	1	1
238	и как будто	1	1
239	не утратили своего	1	1
240	но прежде всего	1	1
241	так как если	1	1
242	в известном смысле	2	1
243	не только для	1	1
244	не в его	1	1
245	но не может	1	1
246	но и в	3	1
247	а вместе с	1	1
248	это не так	1	1
249	обратим внимание на	1	1
250	же время он	1	1
251	конечно и слово	1	1
252	заключается в том	1	1
253	не было и	1	1
254	так и не	5	1
255	приходится прибегать к	1	1
256	оно ни было	1	1
257	в процессе его	1	1
258	том или ином	4	1
259	тому же и	1	1
260	может служить и	1	1
261	как и сам	1	1
262	на самом же	1	1
263	самим собой и	1	1
264	таком случае это	1	1
265	как и во	1	1
266	не одного только	1	1
267	несмотря на то	1	1
268	быть понято как	1	1
269	ни на что	1	1
270	до некоторой степени	1	1
271	то и другое	1	1
272	именно в качестве	1	1
273	на себе и	1	1
274	со всех сторон	1	1
275	в противном случае	1	1
276	а как бы	1	1
277	на жизнь и	1	1
278	один из возможных	1	1
279	знаю что меня	2	1
280	вследствие чего она	1	1
281	и в частности	1	1
282	в мире в	1	1
283	бы оно ни	1	1
284	с установкой на	1	1
285	или лучше сказать	1	1
286	в душевной жизни	1	1
287	имеем в виду	1	1
288	при всей их	1	1
289	событийна и рождается	1	1
290	мы имеем в	1	1
291	не менее в	1	1
292	при условии что	1	1
293	диалог в драме	1	1
294	один и тот	1	1
295	и то что	1	1
296	не в самом	1	1
297	и не могут	1	1
298	рождается в точке	1	1
299	не могут быть	2	1
300	она может быть	1	1
301	или хотя бы	1	1
302	это возможно в	1	1
303	к чужому мнению	1	1
304	с одной стороны	6	1
305	и даже выражение	1	1
306	неизбежно оказывается в	1	1
307	также и в	1	1
308	сохраняется и на	1	1
309	но и для	1	1
310	самом деле не	1	1
