N	2gram	Medvedev_F	Otkroven
225	человек его	1	1
226	его с	5	1
227	она не	8	1
228	других его	1	1
229	том как	1	1
230	должна быть	11	1
231	ведь может	1	1
232	мы не	6	1
233	чтобы овладеть	1	1
234	больше всего	1	1
235	смысле слова	1	1
236	судьба его	1	1
237	еще более	6	1
238	также и	1	1
239	ту же	1	1
240	но не	5	1
241	отношениях к	1	1
242	по сравнению	1	1
243	это все	1	1
244	вопросу о	1	1
245	не по	4	1
246	образ и	1	1
247	был бы	2	1
248	в ней	15	1
249	что нужно	1	1
250	и дело	1	1
251	проник в	1	1
252	и судьбу	1	1
253	этого только	1	1
254	художественного творчества	1	1
255	и достигает	2	1
256	что это	1	1
257	а ведь	1	1
258	была поставлена	1	1
259	и тогда	1	1
260	а это	1	1
261	речи и	2	1
262	этом отношении	7	1
263	всяком случае	6	1
264	на этих	1	1
265	он и	3	1
266	с трудом	1	1
267	в сущности	3	1
268	из которой	1	1
269	и противоположное	1	1
270	а ее	1	1
271	кажется что	1	1
272	сам по	2	1
273	но тем	1	1
274	все основные	1	1
275	в частности	4	1
276	говорит о	1	1
277	как это	8	1
278	о нем	1	1
279	между двумя	3	1
280	и больше	1	1
281	строгом смысле	2	1
282	чего не	1	1
283	на нем	1	1
284	и тут	1	1
285	возможен лишь	1	1
286	со всей	3	1
287	как у	1	1
288	со стороны	7	1
289	и через	2	1
290	он должен	4	1
291	в науке	2	1
292	не с	2	1
293	и достоевский	1	1
294	отношении к	2	1
295	за собой	1	1
296	не отрицает	2	1
297	всего его	1	1
298	и что	2	1
299	в одном	2	1
300	на самом	8	1
301	они в	2	1
302	у нас	6	1
303	бытие и	1	1
304	в отношении	3	1
305	можно было	1	1
306	подходит к	4	1
307	людей и	1	1
308	нет никакой	1	1
309	же не	1	1
310	бы и	1	1
311	и это	4	1
312	а те	1	1
313	ее с	1	1
314	вообще но	1	1
315	для русского	1	1
316	смысле этого	4	1
317	в строгом	2	1
318	и до	8	1
319	системы и	3	1
320	этими двумя	2	1
321	с их	2	1
322	всегда дана	1	1
323	чтобы то	1	1
324	достоевский и	1	1
325	слишком многое	1	1
326	не вполне	1	1
327	проникнуть в	1	1
328	в русском	2	1
329	которые будут	1	1
330	иначе чем	1	1
331	существенны и	1	1
332	по своей	1	1
333	в пустыне	1	1
334	от того	2	1
335	всей ее	1	1
336	думать что	4	1
337	в них	4	1
338	у нее	1	1
339	вопрос об	2	1
340	в форме	2	1
341	завершается в	1	1
342	говорит он	7	1
343	связь с	1	1
344	было и	1	1
345	и природной	1	1
346	художник не	1	1
347	и всех	1	1
348	находятся и	1	1
349	и даже	7	1
350	психологии и	1	1
351	не той	1	1
352	в борьбе	1	1
353	этот период	1	1
354	особого рода	1	1
355	движении и	1	1
356	и проблема	1	1
357	если бы	8	1
358	самом деле	12	1
359	себе что	1	1
360	от всех	5	1
361	иногда и	1	1
362	этой отрицательной	1	1
363	говорит в	3	1
364	и более	4	1
365	и делают	1	1
366	самим собой	1	1
367	с ними	1	1
368	была бы	4	1
369	и сам	1	1
370	остается и	1	1
371	или тебе	1	1
372	и ценности	1	1
373	у толстого	2	1
374	в виду	2	1
375	в силу	1	1
376	самом начале	1	1
377	и начинается	1	1
378	на этот	1	1
379	их взаимоотношения	1	1
380	с духом	1	1
381	дело в	1	1
382	которого они	1	1
383	душе не	1	1
384	из самых	1	1
385	места в	2	1
386	и эта	2	1
387	ведется от	1	1
388	в эпоху	2	1
389	его как	5	1
390	отношения к	6	1
391	формы все	1	1
392	тем же	3	1
393	жизни как	1	1
394	одним словом	8	1
395	когда человек	1	1
396	не те	1	1
397	но есть	2	1
398	и каждый	1	1
399	заключается в	1	1
400	ведет к	1	1
401	ее как	2	1
402	связанным с	1	1
403	действительно в	1	1
404	и действительно	2	1
405	вещей и	3	1
406	сказать в	2	1
407	в конце	2	1
408	противоречий и	1	1
409	в процессе	17	1
410	было дано	1	1
411	например в	1	1
412	в жизни	3	1
413	между этими	2	1
414	науку о	2	1
415	находится в	1	1
416	в корне	6	1
417	характер и	2	1
418	во внутренней	1	1
419	но ничего	1	1
420	и без	1	1
421	им для	1	1
422	как от	2	1
423	лишь на	1	1
424	и как	6	1
425	то в	3	1
426	лишь с	1	1
427	всех тех	2	1
428	все время	7	1
429	к его	3	1
430	есть не	1	1
431	так часто	1	1
432	мысли не	1	1
433	в сознании	1	1
434	духа в	1	1
435	а именно	3	1
436	жизни и	10	1
437	одна из	2	1
438	русской литературы	2	1
439	из путей	1	1
440	отрицает и	2	1
441	в мире	4	1
442	и прежде	3	1
443	возможны лишь	1	1
444	полемики против	1	1
445	который в	1	1
446	первый период	6	1
447	как в	12	1
448	этого слова	4	1
449	ее внутреннее	1	1
450	на то	2	1
451	стремлением к	3	1
452	и русский	1	1
453	что говорит	1	1
454	и раньше	1	1
455	кого не	2	1
456	образе в	1	1
457	от этого	3	1
458	нет у	1	1
459	но почему	1	1
460	интереса к	1	1
461	он глубоко	1	1
462	отличается от	4	1
463	что во	1	1
464	да и	1	1
465	формы он	1	1
466	его жизни	1	1
467	нисколько не	2	1
468	сравнению с	1	1
469	но это	4	1
470	лишь для	3	1
471	в эти	1	1
472	в это	1	1
473	не стал	1	1
474	из него	2	1
475	художник и	1	1
476	и чем	3	1
477	чтобы не	2	1
478	и положительно	1	1
479	на своем	3	1
480	она и	1	1
481	к которой	1	1
482	жизни не	2	1
483	было не	1	1
484	из них	5	1
485	вовсе не	18	1
486	жизни их	1	1
487	под влиянием	3	1
488	что как	1	1
489	уже не	9	1
490	доступ к	1	1
491	указать на	2	1
492	мысли в	2	1
493	нее не	2	1
494	в противоречии	1	1
495	не таков	1	1
496	особенно в	6	1
497	мира в	2	1
498	свое собственное	1	1
499	со всеми	3	1
500	и самый	3	1
501	бы ни	5	1
502	бы в	6	1
503	к другому	2	1
504	единство в	2	1
505	не являлось	1	1
506	отметить что	2	1
507	людей в	1	1
508	преодолеть его	1	1
