N	2gram	Nazirov_Vr	formyVre
144	роман в	1	6
145	именно в	1	6
146	уже на	1	6
147	на первый	2	6
148	о том	4	6
149	с помощью	1	6
150	во всей	1	6
151	время и	2	6
152	в качестве	1	6
153	в таком	1	6
154	и речи	1	6
155	и ее	2	6
156	мы находим	1	6
157	к смерти	1	6
158	в начале	6	6
159	событий и	1	6
160	более того	1	6
161	о чем	2	5
162	тем что	3	5
163	в своей	2	5
164	в это	2	5
165	во все	1	5
166	но они	1	5
167	по преимуществу	1	5
168	человек в	1	5
169	они как	1	5
170	следовательно и	1	5
171	одно и	1	5
172	по своей	1	5
173	в этой	2	5
174	и от	1	5
175	в него	2	5
176	что они	1	5
177	романа и	1	5
178	далеко не	3	5
179	они не	1	5
180	не имеет	1	5
181	да и	1	5
182	и уже	3	5
183	той же	1	5
184	но на	1	5
185	об этом	5	5
186	и вообще	1	5
187	первый план	1	5
188	во всем	1	4
189	только что	1	4
190	не являются	1	4
191	другой стороны	1	4
192	в своих	4	4
193	равно как	1	4
194	его на	2	4
195	у достоевского	4	4
196	и образ	1	4
197	раз и	1	4
198	он был	3	4
199	людей и	1	4
200	вопросу о	1	4
201	затем в	1	4
202	а следовательно	1	4
203	не был	1	4
204	все в	1	4
205	несмотря на	4	4
206	к вопросу	1	4
207	в чем	3	4
208	совсем не	1	4
209	по всем	1	4
210	их и	1	4
211	что он	4	4
212	это и	1	4
213	и т.д	1	4
214	мотивы и	2	4
215	всяком случае	1	4
216	друг друга	1	4
217	связан с	1	4
218	все равно	1	4
219	раз в	3	4
220	всего романа	1	4
221	так в	2	4
222	тем более	2	4
223	быть и	1	4
224	как он	1	4
225	и о	3	4
226	труд и	1	3
227	нем в	1	3
228	из всех	1	3
229	нас в	1	3
230	далее в	1	3
231	можно говорить	1	3
232	похож на	1	3
233	в соответствии	1	3
234	но мы	1	3
235	и отчасти	1	3
236	не могли	1	3
237	которой он	1	3
238	как на	1	3
239	во франции	1	3
240	не мог	2	3
241	литературе и	1	3
242	же как	2	3
243	одна из	2	3
244	под влиянием	1	3
245	бы в	1	3
246	выражение в	1	3
247	и детей	4	3
248	не могла	1	3
249	и есть	1	3
250	к реальному	1	3
251	и самый	1	3
252	он хочет	1	3
253	правда не	1	3
254	том как	1	3
255	его и	2	3
256	в свою	2	3
257	не будем	1	3
258	целый ряд	4	3
259	через него	1	3
260	но это	2	3
261	смеха и	1	3
262	человека но	1	3
263	что есть	3	3
264	ему в	1	3
265	ни с	1	3
266	он как	1	3
267	без всяких	1	3
268	в другую	1	3
269	она же	1	3
270	в литературу	1	3
271	по своему	1	3
272	это было	1	3
273	при виде	1	3
274	романе не	1	3
275	но при	1	3
276	конечно в	1	3
277	вплоть до	1	3
278	времени а	1	3
279	момент его	1	3
280	и всего	1	2
281	не встретились	1	2
282	и лишь	1	2
283	только два	1	2
284	он всегда	1	2
285	более что	1	2
286	этот момент	2	2
287	ясно что	1	2
288	в духе	1	2
289	представление о	1	2
290	он у	1	2
291	правда в	1	2
292	начинается с	1	2
293	отличается от	1	2
294	я вижу	1	2
295	было в	1	2
296	служит для	1	2
297	к своей	1	2
298	говорить о	1	2
299	до того	1	2
300	свою очередь	1	2
301	он сам	2	2
302	от них	1	2
303	эти не	1	2
304	тут же	1	2
305	лишь один	1	2
306	к нему	1	2
307	то в	1	2
308	ее и	1	2
309	что у	3	2
310	собой в	1	2
311	что уже	1	2
312	после этого	2	2
313	тому же	1	2
314	в разные	1	2
315	как по	1	2
316	сказал что	1	2
317	но для	1	2
318	о смерти	1	2
319	человек и	1	2
320	я не	3	2
321	также в	1	2
322	себя как	1	2
323	между прочим	1	2
324	одном из	1	2
325	вошли в	1	2
326	но как	2	2
327	того в	1	2
328	для создания	1	2
329	в париже	3	2
330	за обедом	1	2
331	никто не	1	2
332	хотя в	1	2
333	себя на	1	2
334	и сам	1	2
335	бы его	1	2
336	в каком	1	2
337	п в	2	2
338	романа с	1	2
339	достоевского в	7	2
340	никого не	1	2
341	если в	1	2
342	его с	2	2
343	живет в	1	2
344	героя в	1	2
345	от этой	1	2
346	себе не	1	2
347	там же	2	2
348	самим собой	1	2
349	о своей	1	2
350	не знал	1	2
351	влияния на	1	2
352	о котором	1	2
353	этот мотив	1	2
354	то он	1	2
355	это то	1	2
356	отношении к	1	2
357	мировой литературе	1	2
358	каждый из	1	2
359	вне его	1	2
360	не совсем	1	2
361	соответствии с	1	2
362	и стал	2	2
363	начиная с	2	2
364	с нею	2	2
365	единства и	1	2
366	в плане	1	2
367	в мировой	1	2
368	только о	1	2
369	высшей степени	1	2
370	попадает в	1	2
371	и кончая	1	2
372	для нас	4	2
373	идет о	1	2
374	резко отличают	1	2
375	в честь	2	2
376	себя в	1	2
377	имел в	3	2
378	в будущее	1	2
379	гоголя и	1	2
380	что им	1	2
381	этом романе	1	2
382	на них	1	2
383	на место	2	2
384	в стиле	1	2
385	такие же	1	2
386	автора к	1	2
387	одну из	1	2
388	больших и	1	2
389	характерно для	1	2
390	еще в	1	2
391	человека с	2	2
392	во многом	4	2
393	еще раз	1	1
394	к маленькому	1	1
395	в момент	2	1
396	русской литературе	3	1
397	о возможном	1	1
398	и был	1	1
399	котором происходит	1	1
400	использовал и	1	1
401	него в	1	1
402	с исторической	1	1
403	ко всем	1	1
404	людей а	1	1
405	у людей	1	1
406	в числе	1	1
407	в бою	1	1
408	дома и	1	1
409	не менее	2	1
410	и тонко	1	1
411	материала это	1	1
412	мы считаем	1	1
413	время с	1	1
414	первый взгляд	1	1
415	нам не	1	1
416	уже давно	1	1
417	к этой	1	1
418	каковы же	1	1
419	с конца	1	1
420	что этот	1	1
421	важно и	1	1
422	к типу	2	1
423	за исключением	1	1
424	сложности и	1	1
425	не всегда	1	1
426	это же	1	1
427	черты характера	1	1
428	тогда же	1	1
429	привела к	1	1
430	даже во	1	1
431	среди них	1	1
432	связывает с	1	1
433	я с	1	1
434	своего народа	1	1
435	ключ к	1	1
436	как правило	1	1
437	перешедшие в	1	1
438	такая же	1	1
439	это отношение	1	1
440	есть по	1	1
441	он использовал	3	1
442	своей эпохи	1	1
443	тем это	1	1
444	литературу в	1	1
445	немалую роль	1	1
446	не просто	1	1
447	восходят к	1	1
448	едва ли	1	1
449	ближе к	1	1
450	этого и	1	1
451	которую они	1	1
452	говорит о	1	1
453	сюжет в	1	1
454	приехал в	2	1
455	основу и	1	1
456	это будет	1	1
457	он отличается	1	1
458	с любовью	1	1
459	мы знаем	2	1
460	героини и	1	1
461	к которому	1	1
462	на лету	5	1
463	с тех	1	1
464	души и	1	1
465	тем не	1	1
466	это слово	1	1
467	ко мне	2	1
468	есть еще	1	1
469	этой практики	1	1
470	христа и	1	1
471	как же	2	1
472	эпизоду в	1	1
473	а за	1	1
474	смешные черты	1	1
475	одним из	3	1
476	возвращается к	1	1
477	успех у	1	1
478	как новый	1	1
479	как говорит	1	1
480	эту проблему	1	1
481	и перед	1	1
482	в эту	2	1
483	там за	1	1
484	что как	1	1
485	так при	1	1
486	были известны	1	1
487	для правильного	1	1
488	в русской	3	1
489	высокой оценке	1	1
490	рассказы о	1	1
491	и литературные	1	1
492	вошел в	1	1
493	его судьбу	1	1
494	мне все	1	1
495	человека он	1	1
496	свое место	1	1
497	к роману	1	1
498	свою книгу	1	1
499	действие в	1	1
500	мертвые души	1	1
501	достоевского на	3	1
502	между тем	5	1
503	человека как	1	1
504	в рассказе	1	1
505	говорить об	1	1
506	не будет	1	1
507	своей родной	1	1
508	но зато	1	1
509	из него	1	1
510	и что	8	1
511	но какое	1	1
512	доходит до	1	1
513	этом смысле	1	1
514	проникнуть в	1	1
515	на свое	1	1
516	у которого	1	1
517	можно бы	1	1
518	говорил с	1	1
519	однако в	1	1
520	энергии и	1	1
521	и никогда	1	1
522	оба они	1	1
523	он сказал	1	1
524	имя и	1	1
525	в первой	1	1
526	с которым	2	1
527	всю жизнь	1	1
528	есть все	1	1
529	время он	2	1
530	который был	3	1
531	независимо от	1	1
532	и никому	1	1
533	в развитии	1	1
534	к друзьям	1	1
535	своего рода	1	1
536	романа это	1	1
537	вижу что	1	1
538	идти вперед	1	1
539	некоторые мотивы	1	1
540	что это	1	1
541	и из	1	1
542	в другой	1	1
543	из которых	1	1
544	о которой	2	1
545	и холодным	1	1
546	сама жизнь	1	1
547	которые до	1	1
548	романа однако	1	1
549	он лишь	1	1
550	преступление и	1	1
551	герои романа	1	1
552	фауста и	1	1
553	ему что	1	1
554	другими не	1	1
555	как о	1	1
556	с такими	1	1
557	роман сервантеса	1	1
558	состояло в	1	1
559	логику развития	1	1
560	нас интересует	1	1
561	в те	3	1
562	но с	1	1
563	вследствие которых	1	1
564	за рубежом	1	1
565	истории человечества	1	1
566	был также	1	1
567	этой традиции	1	1
568	как пример	1	1
569	ли он	1	1
570	тотчас же	1	1
571	на той	1	1
572	он часто	1	1
573	отношение автора	1	1
574	тех пор	1	1
575	из которого	1	1
576	совпадают с	1	1
577	этого как	1	1
578	общие черты	1	1
579	в письмах	2	1
580	при помощи	2	1
581	еще один	1	1
582	автора в	1	1
583	этот обмен	1	1
584	литературе эта	1	1
585	у женщин	1	1
586	анекдот о	1	1
587	близок к	1	1
588	словом весь	1	1
589	человечества и	1	1
590	на этот	1	1
591	остается за	1	1
592	день все	1	1
593	жизнь его	1	1
594	как к	1	1
595	в свое	1	1
596	которым он	1	1
597	у гоголя	1	1
598	и наказание	1	1
599	на три	1	1
600	второй половине	1	1
601	с очень	1	1
602	и борьбы	1	1
603	от которого	1	1
604	а это	1	1
605	он и	1	1
606	и сильно	1	1
607	этом он	1	1
608	такое же	1	1
609	о нем	6	1
610	роль играет	1	1
611	и гораздо	1	1
612	и глубокой	1	1
613	на нее	1	1
614	в ту	1	1
615	внимание в	1	1
616	человеком в	1	1
617	считаем что	1	1
618	имеется в	1	1
619	один эпизод	1	1
620	и я	1	1
621	по его	1	1
622	пока не	1	1
623	что тот	1	1
624	еще до	1	1
625	в эти	2	1
626	в полной	1	1
627	выше и	1	1
628	ему нужно	1	1
629	это как	1	1
630	в комедии	1	1
631	конце концов	1	1
632	отцы и	2	1
633	них много	1	1
634	во второй	1	1
635	существуют в	1	1
636	два человека	1	1
637	именно к	1	1
638	в поэме	1	1
639	в нашей	2	1
640	от того	1	1
641	что из	1	1
642	его отношение	1	1
643	которого никто	1	1
644	и личные	1	1
645	как тот	1	1
646	в высшей	1	1
647	никому не	1	1
648	такой же	1	1
649	в остальном	1	1
650	на то	3	1
651	же это	1	1
652	это в	2	1
653	которых не	1	1
654	после смерти	2	1
655	типичен для	1	1
656	некоторые черты	1	1
657	котором он	1	1
