N	2gram	Vinokur_Ku	Otkroven
114	ее в	2	2
115	не все	4	2
116	одно из	3	2
117	что и	5	2
118	для человека	1	2
119	потребность в	3	2
120	в уста	1	2
121	можно ли	6	2
122	в истории	3	2
123	его в	1	2
124	должен был	1	2
125	чем в	3	2
126	их не	1	2
127	ведь это	1	2
128	вместо того	1	2
129	не очень	1	2
130	и с	11	2
131	что же	11	2
132	те которые	1	2
133	то к	1	2
134	одного только	1	2
135	и там	2	2
136	и о	3	2
137	сказать что	5	2
138	что для	3	2
139	тем что	9	2
140	него не	1	2
141	что есть	1	2
142	и на	8	2
143	в других	1	2
144	учение о	4	2
145	что все	6	2
146	ничего не	6	2
147	хотя и	7	2
148	не есть	4	2
149	для человеческого	1	2
150	в своей	4	2
151	момент в	1	2
152	жизни в	1	2
153	по себе	10	2
154	не имеет	6	2
155	к этому	4	2
156	сразу же	1	2
157	же это	2	2
158	том что	30	2
159	и для	3	2
160	ли сказать	1	2
161	человека о	1	2
162	в ее	2	2
163	своей жизни	1	2
164	подойти к	3	2
165	но в	11	2
166	вопросом о	1	2
167	дневника писателя	1	1
168	чтобы сделать	1	1
169	что было	2	1
170	науки о	3	1
171	во всем	1	1
172	к одному	2	1
173	братьях карамазовых	1	1
174	в каждом	3	1
175	одно время	2	1
176	во всяком	8	1
177	связан с	2	1
178	не так	2	1
179	видели в	1	1
180	его и	1	1
181	совершенно ином	2	1
182	но можно	2	1
183	совершенно не	4	1
184	том случае	3	1
185	а потому	6	1
186	то он	1	1
187	лишь к	2	1
188	но оно	2	1
189	еще одну	1	1
190	а с	3	1
191	и самое	1	1
192	это конечно	2	1
193	все его	1	1
194	и других	1	1
195	все возможности	1	1
196	к другу	1	1
197	один из	8	1
198	для нашего	1	1
199	которым он	1	1
200	в котором	4	1
201	и здесь	8	1
202	та же	1	1
203	по природе	1	1
204	виду не	2	1
205	идет у	2	1
206	а вовсе	1	1
207	не нужна	1	1
208	качества и	1	1
209	он понимал	1	1
210	они и	1	1
211	эти свои	1	1
212	же и	4	1
213	это потому	1	1
214	быть что	1	1
215	любой из	1	1
216	уверен что	1	1
217	после того	3	1
218	я имею	2	1
219	не имеют	3	1
220	каждом из	2	1
221	и сделали	2	1
222	случае если	3	1
223	можно и	1	1
224	того как	6	1
225	эта не	3	1
226	и пр	23	1
227	в братьях	1	1
228	в первый	2	1
229	в том-то	2	1
230	она не	1	1
231	том как	3	1
232	должна быть	6	1
233	мы не	1	1
234	бы даже	1	1
235	в руководстве	1	1
236	чтобы овладеть	1	1
237	но еще	4	1
238	больше всего	3	1
239	иных случаях	3	1
240	притом не	1	1
241	ли так	1	1
242	один только	1	1
243	смысле слова	3	1
244	связана с	1	1
245	не идет	1	1
246	заключено в	1	1
247	это лишь	1	1
248	еще более	1	1
249	также и	7	1
250	ту же	6	1
251	но не	11	1
252	отношениях к	1	1
253	по сравнению	3	1
254	это все	2	1
255	природе своей	1	1
256	это я	1	1
257	вопросу о	4	1
258	с какой	1	1
259	быть не	2	1
260	от которого	1	1
261	был бы	4	1
262	в ней	6	1
263	у самого	1	1
264	из всех	1	1
265	это часто	1	1
266	и своим	1	1
267	что нужно	2	1
268	и дело	2	1
269	это для	1	1
270	что это	11	1
271	а ведь	1	1
272	свою мысль	1	1
273	вот это-то	1	1
274	до которой	1	1
275	и тогда	4	1
276	а это	5	1
277	речи и	8	1
278	этом отношении	8	1
279	может служить	4	1
280	всяком случае	8	1
281	на этих	1	1
282	он и	1	1
283	о чем	2	1
284	в свое	4	1
285	в сущности	11	1
286	он что	1	1
287	лишь после	1	1
288	а ее	1	1
289	она стала	2	1
290	кажется что	1	1
291	сам по	1	1
292	но тем	1	1
293	все новое	1	1
294	в частности	6	1
295	говорит о	1	1
296	как это	6	1
297	не теряет	1	1
298	о нем	2	1
299	народа и	1	1
300	и больше	1	1
301	но может	1	1
302	строгом смысле	1	1
303	проникновения в	1	1
304	что только	2	1
305	на нем	1	1
306	это представляется	1	1
307	со всей	1	1
308	как у	2	1
309	со стороны	8	1
310	в которую	1	1
311	он должен	2	1
312	в науке	4	1
313	что люди	1	1
314	не с	4	1
315	отношении к	1	1
316	она стоит	1	1
317	за собой	2	1
318	не хочет	2	1
319	в поэме	1	1
320	и что	11	1
321	в одном	4	1
322	силы в	1	1
323	на самом	3	1
324	народ в	1	1
325	у нас	19	1
326	бытие и	1	1
327	в отношении	2	1
328	можно было	14	1
329	он за	1	1
330	других писателей	1	1
331	оказывается что	1	1
332	не потому	6	1
333	же не	1	1
334	не исчезнет	1	1
335	бы и	6	1
336	дана уже	1	1
337	и это	3	1
338	что русский	1	1
339	совершенно новый	1	1
340	это есть	2	1
341	смысле этого	5	1
342	в строгом	1	1
343	этой речи	1	1
344	и когда	2	1
345	с их	3	1
346	по содержанию	1	1
347	в русском	14	1
348	европе и	2	1
349	есть уже	1	1
350	от того	5	1
351	чего же	1	1
352	связанная с	2	1
353	есть дело	1	1
354	которая была	1	1
355	думать что	1	1
356	в них	10	1
357	у нее	1	1
358	нужна была	2	1
359	вопрос об	1	1
360	в форме	3	1
361	говорит он	1	1
362	связь с	1	1
363	было и	1	1
364	это единственная	1	1
365	любви к	2	1
366	вл соловьева	1	1
367	видно что	2	1
368	в иных	3	1
369	все почти	1	1
370	перед ним	1	1
371	что нет	2	1
372	как например	3	1
373	не случайно	7	1
374	и даже	5	1
375	всех произведений	2	1
376	в борьбе	1	1
377	всего что	2	1
378	не иное	1	1
379	подошел к	1	1
380	если бы	21	1
381	самом деле	17	1
382	и более	3	1
383	вот что	1	1
384	достоевский в	1	1
385	на примере	3	1
386	с ними	6	1
387	к чему	1	1
388	была бы	5	1
389	истории и	1	1
390	и сам	1	1
391	почему же	1	1
392	всегда в	2	1
393	имею в	2	1
394	среди них	1	1
395	и осмыслить	1	1
396	будто бы	3	1
397	в виду	7	1
398	в силу	16	1
399	на этот	4	1
400	дело в	2	1
401	и раскрыть	1	1
402	лишь по	1	1
403	которого они	1	1
404	вообще и	2	1
405	из самых	1	1
406	раз навсегда	1	1
407	в силах	2	1
408	разрешение этой	1	1
409	в эпоху	1	1
410	в благородный	1	1
411	его как	1	1
412	отношения к	2	1
413	тем же	2	1
414	том-то и	1	1
415	но есть	2	1
416	заключается в	3	1
417	отрицает что	3	1
418	ведет к	1	1
419	связанным с	1	1
420	действительно в	2	1
421	вещей и	1	1
422	но нет	1	1
423	ли нам	1	1
424	он говорит	1	1
425	в обычном	3	1
426	бы он	1	1
427	в конце	5	1
428	указывает на	2	1
429	в процессе	1	1
430	уж тут	1	1
431	из противоречий	1	1
432	например в	5	1
433	задача которая	1	1
434	в жизни	1	1
435	пишет достоевский	1	1
436	находится в	2	1
437	в корне	1	1
438	характер и	2	1
439	был в	2	1
440	с той	2	1
441	и без	2	1
442	как от	1	1
443	уступить в	1	1
444	лишь на	1	1
445	и как	3	1
446	лишь с	3	1
447	все время	1	1
448	к его	1	1
449	где нужно	1	1
450	есть не	2	1
451	так часто	1	1
452	существует между	1	1
453	человек в	1	1
454	в сознании	1	1
455	одно только	1	1
456	что она	5	1
457	а именно	4	1
458	старую русскую	1	1
459	есть непременно	1	1
460	чтобы все	1	1
461	не самое	1	1
462	жизни и	1	1
463	том только	1	1
464	одна из	1	1
465	для своих	1	1
466	свои силы	1	1
467	в разных	2	1
468	в одно	2	1
469	который в	1	1
470	первый период	2	1
471	как в	6	1
472	этого слова	8	1
473	как будто	2	1
474	в совершенно	2	1
475	речь о	1	1
476	на то	6	1
477	но у	1	1
478	и русский	2	1
479	и раньше	1	1
480	говорят о	1	1
481	недостаточно еще	1	1
482	от этого	4	1
483	нуждается в	5	1
484	слишком много	1	1
485	отличается от	2	1
486	да и	5	1
487	я хочу	1	1
488	в новом	1	1
489	нисколько не	6	1
490	и русского	1	1
491	сравнению с	1	1
492	интерес к	1	1
493	но это	4	1
494	в эти	1	1
495	и после	1	1
496	в это	3	1
497	которого не	2	1
498	противоречии с	2	1
499	из него	1	1
500	себе и	3	1
501	него что	1	1
502	которой в	1	1
503	его пути	1	1
504	толстого как	1	1
505	чтобы не	1	1
506	и положительно	1	1
507	на своем	1	1
508	но там	1	1
509	любви и	1	1
510	представляется мне	1	1
511	она и	1	1
512	само по	6	1
513	из них	4	1
514	что их	2	1
515	вовсе не	18	1
516	дело что	2	1
517	под влиянием	3	1
518	что как	1	1
519	это так	2	1
520	уже не	13	1
521	в одной	1	1
522	указать на	5	1
523	мысли в	1	1
524	в противоречии	2	1
525	с того	1	1
526	свое собственное	1	1
527	с каким	1	1
528	лишь способ	1	1
529	бы в	8	1
530	отметить что	1	1
531	внешней эволюции	1	1
532	а что	1	1
