N	2gram	Potebnia_M	Poddanst
338	его в	3	1
339	бы из	1	1
340	знаем что	1	1
341	же всего	1	1
342	м ы	1	1
343	над ним	1	1
344	вопрос об	3	1
345	каждый из	1	1
346	в большинстве	1	1
347	и наоборот	10	1
348	который не	1	1
349	в г	2	1
350	их не	2	1
351	д не	1	1
352	все же	11	1
353	при виде	3	1
354	времени с	1	1
355	и притом	6	1
356	чтобы в	1	1
357	которого в	1	1
358	стремления и	1	1
359	теми же	1	1
360	но на	3	1
361	рассматривать как	1	1
362	что его	2	1
363	того кто	2	1
364	в результате	1	1
365	и слова	2	1
366	воля и	1	1
367	в которой	5	1
368	от тех	1	1
369	в прошлом	1	1
370	должен быть	2	1
371	в этой	3	1
372	нужно говорить	1	1
373	к ним	3	1
374	прежде чем	4	1
375	возможность существования	1	1
376	этом не	2	1
377	из нее	2	1
378	к первому	3	1
379	что по	3	1
380	в отличие	1	1
381	на нее	2	1
382	себя в	1	1
383	само по	6	1
384	оно есть	1	1
385	на две	2	1
386	том виде	1	1
387	же как	1	1
388	на себя	1	1
389	она может	3	1
390	в естественных	2	1
391	что не	15	1
392	наука и	1	1
393	к стремлению	1	1
394	мы и	1	1
395	развития в	1	1
396	если мы	5	1
397	иначе как	2	1
398	тем же	4	1
399	но для	1	1
400	в каком	7	1
401	когда и	1	1
402	в ходе	1	1
403	но есть	1	1
404	что есть	3	1
405	заключен в	2	1
406	ведет к	1	1
407	жизни народа	2	1
408	и чувствуем	1	1
409	к другим	3	1
410	чувство и	8	1
411	любовь и	1	1
412	можно быть	1	1
413	если он	1	1
414	отношением к	1	1
415	мнения о	2	1
416	менее ясно	1	1
417	тогда когда	15	1
418	и другим	1	1
419	значения но	1	1
420	находится в	2	1
421	давно уже	2	1
422	в какой	2	1
423	эти явления	3	1
424	без того	1	1
425	отношения в	1	1
426	место в	3	1
427	как и	16	1
428	в некотором	2	1
429	следует понимать	1	1
430	здесь быть	1	1
431	в собственном	4	1
432	многих других	2	1
433	по одному	1	1
434	для каждого	1	1
435	притом в	1	1
436	есть та	1	1
437	большинстве случаев	1	1
438	из чего	1	1
439	последней в	1	1
440	тождественны с	1	1
441	мыслей к	1	1
442	мысли но	2	1
443	мы каждый	1	1
444	чтобы дать	1	1
445	и такое	2	1
446	законченные и	1	1
447	в одно	5	1
448	стремление к	3	1
449	вопросом о	2	1
450	на то	5	1
451	они как	1	1
452	которые были	1	1
453	и по	8	1
454	в природе	11	1
455	к характеру	1	1
456	были в	1	1
457	там где	8	1
458	т д	6	1
459	тех пор	2	1
460	или что	3	1
461	духовной и	1	1
462	что во	4	1
463	не одну	2	1
464	и только	6	1
465	что именно	2	1
466	как одна	1	1
467	исторической и	1	1
468	всяком случае	7	1
469	нисколько не	2	1
470	о котором	4	1
471	бы мы	1	1
472	не все	3	1
473	сравнению с	1	1
474	эти последние	3	1
475	в условиях	1	1
476	духа с	1	1
477	он будет	1	1
478	когда в	3	1
479	друг друга	6	1
480	в себя	2	1
481	многие из	1	1
482	в движении	2	1
483	распадается на	1	1
484	без которой	2	1
485	для этого	2	1
486	с ее	2	1
487	в известном	2	1
488	более как	3	1
489	и чем	1	1
490	на каждом	1	1
491	не имеет	9	1
492	за тем	2	1
493	одно из	5	1
494	или менее	6	1
495	и ее	1	1
496	вспомнить и	1	1
497	есть знак	1	1
498	в развитии	2	1
499	настоящую минуту	1	1
500	к более	1	1
501	бы это	1	1
502	связаны с	1	1
503	необходимы и	1	1
504	совершенно ясно	1	1
505	виде то	1	1
506	в душе	28	1
507	и быть	1	1
508	никогда не	7	1
509	соприкасается с	1	1
510	еще не	9	1
