N	2gram	Vinokur_Ku	OGranits
174	возражать против	1	2
175	если бы	21	2
176	школы и	2	2
177	о языке	8	2
178	а также	3	2
179	в книге	1	2
180	соответствии с	5	2
181	в ней	6	2
182	тем что	9	2
183	истории языка	5	2
184	лингвистики в	1	2
185	и др	1	2
186	языковых форм	2	2
187	могут быть	5	2
188	вовсе не	18	2
189	в действительности	2	2
190	же слово	2	2
191	между собою	3	2
192	поэтики и	1	2
193	учение о	4	2
194	в связи	4	2
195	в зависимости	7	2
196	с ними	6	2
197	говорить об	1	2
198	может стать	1	2
199	все эти	17	2
200	с другой	14	2
201	как в	6	2
202	грамматики и	1	2
203	не менее	12	2
204	нуждается в	5	2
205	и социально	1	2
206	явлений и	1	2
207	не имеет	6	2
208	с историей	2	2
209	там где	7	2
210	и историей	2	2
211	в структуре	3	2
212	том что	30	2
213	в нем	7	2
214	уже в	5	2
215	и следовательно	2	2
216	или иного	5	2
217	языка но	3	2
218	зависимости от	9	2
219	не мог	2	2
220	а не	17	2
221	в чем	2	2
222	в целом	5	2
223	тот же	7	2
224	подойти к	3	2
225	собственно говоря	1	2
226	к тому	8	2
227	есть не	2	2
228	кажется что	1	2
229	слова и	8	2
230	бы в	8	2
231	в лингвистике	3	2
232	более того	2	2
233	разумеется что	2	2
234	в дальнейшем	1	1
235	была создана	2	1
236	этого термина	4	1
237	данной области	1	1
238	в особенности	6	1
239	борьбы и	1	1
240	но у	1	1
241	его к	5	1
242	самое слово	1	1
243	науки о	3	1
244	в некоторых	1	1
245	всего в	2	1
246	необходимость в	1	1
247	себе в	3	1
248	на философию	1	1
249	поскольку она	1	1
250	как к	2	1
251	в каждой	1	1
252	но мало	1	1
253	к которому	3	1
254	изучения но	1	1
255	такой степени	1	1
256	языка в	14	1
257	литературы в	1	1
258	состоит не	2	1
259	который является	1	1
260	и оба	1	1
261	в сб	2	1
262	обычно в	1	1
263	находятся в	1	1
264	то он	1	1
265	выражение в	4	1
266	несомненно что	1	1
267	средств в	1	1
268	речи здесь	1	1
269	находит свое	1	1
270	от более	1	1
271	некоторой социальной	1	1
272	еще одну	1	1
273	это конечно	2	1
274	который пытается	1	1
275	только к	2	1
276	языка через	1	1
277	и других	1	1
278	вне этой	1	1
279	и он	4	1
280	же представляет	1	1
281	является для	1	1
282	история литературы	2	1
283	один из	8	1
284	можно установить	1	1
285	можно говорить	4	1
286	и здесь	8	1
287	должно составить	2	1
288	уже из	2	1
289	этого необходимо	1	1
290	значение так	1	1
291	что язык	7	1
292	то это	3	1
293	соссюра в	1	1
294	явления как	1	1
295	выходит за	2	1
296	языкового творчества	3	1
297	она и	1	1
298	отличие от	3	1
299	в последнем	2	1
300	вопрос о	11	1
301	слово но	1	1
302	понимании этого	1	1
303	как же	1	1
304	что мы	6	1
305	на этом	4	1
306	соссюр и	1	1
307	к слову	2	1
308	они не	4	1
309	наблюдается у	1	1
310	которую мы	1	1
311	пр с	1	1
312	является наиболее	1	1
313	на нем	1	1
314	другое дело	2	1
315	не имеют	3	1
316	только что	2	1
317	в последнее	1	1
318	о слове	2	1
319	так за	1	1
320	стиля но	2	1
321	или иная	1	1
322	даже и	5	1
323	шансов на	1	1
324	как средство	1	1
325	которые не	1	1
326	языка что	3	1
327	указать на	5	1
328	должно быть	6	1
329	того как	6	1
330	сознание что	1	1
331	и уж	1	1
332	отсюда и	1	1
333	в самых	1	1
334	слову в	1	1
335	своего времени	2	1
336	может возникнуть	1	1
337	о значении	2	1
338	и социальной	2	1
339	и вот	4	1
340	на том	4	1
341	такого рода	1	1
342	это все	2	1
343	стилистики и	1	1
344	эти слова	1	1
345	более или	3	1
346	выражения язык	1	1
347	это особенно	2	1
348	внимание на	5	1
349	социальной борьбы	1	1
350	потому что	40	1
351	отношения не	1	1
352	нам удалось	1	1
353	должны быть	4	1
354	но даже	3	1
355	историческая судьба	1	1
356	того чтобы	25	1
357	и если	4	1
358	языке столь	1	1
359	же как	3	1
360	или иных	1	1
361	между отдельными	1	1
362	смысл только	1	1
363	всю совокупность	1	1
364	и более	3	1
365	мы имеем	11	1
366	и у	3	1
367	не должно	2	1
368	также и	7	1
369	ту же	6	1
370	клише и	2	1
371	нем с	1	1
372	это и	6	1
373	для того	23	1
374	момента в	1	1
375	совсем не	1	1
376	тому что	3	1
377	узком смысле	2	1
378	все то	1	1
379	литературы как	1	1
380	с одним	1	1
381	родного языка	1	1
382	быть не	2	1
383	для уха	1	1
384	представляет собою	1	1
385	он и	1	1
386	мы обязаны	1	1
387	языке но	1	1
388	слушателю как	1	1
389	как выражение	1	1
390	его и	1	1
391	ними и	2	1
392	не всегда	4	1
393	он называет	1	1
394	в своем	4	1
395	в разных	2	1
396	и правильное	2	1
397	или же	3	1
398	и тогда	4	1
399	речи и	8	1
400	этом отношении	8	1
401	слово для	1	1
402	тем как	1	1
403	не отражается	1	1
404	время в	2	1
405	точно и	1	1
406	с языком	2	1
407	из наиболее	1	1
408	язык с	1	1
409	мысли и	1	1
410	материала так	1	1
411	тем не	10	1
412	но тем	1	1
413	как это	6	1
414	но может	1	1
415	те или	2	1
416	на почву	1	1
417	что такое	8	1
418	к тем	1	1
419	этот не	2	1
420	мы в	3	1
421	то мы	4	1
422	только на	1	1
423	с проблемой	2	1
424	или иные	2	1
425	из того	1	1
426	об этом	4	1
427	содержания и	2	1
428	мы определяем	1	1
429	только потому	13	1
430	переходит в	2	1
431	одно дело	1	1
432	не приходится	2	1
433	сюда относятся	1	1
434	в науке	4	1
435	и что	11	1
436	этим словом	1	1
437	на самом	3	1
438	для человека	1	1
439	в различных	1	1
440	для них	2	1
441	материи и	1	1
442	предисловии к	1	1
443	можно было	14	1
444	язык есть	7	1
445	в этой	8	1
446	для данного	2	1
447	которое является	1	1
448	в широком	2	1
449	это слово	7	1
450	фактов но	1	1
451	чуть ли	3	1
452	об индивидуальном	1	1
453	у других	1	1
454	иметь в	1	1
455	в начале	1	1
456	во все	2	1
457	в виду	7	1
458	в нашей	4	1
459	же такое	1	1
460	что к	1	1
461	и один	1	1
462	одном ряду	1	1
463	быть может	1	1
464	есть акт	1	1
465	сводится к	3	1
466	здесь уже	1	1
467	истории и	1	1
468	богатство и	1	1
469	с их	3	1
470	и есть	3	1
471	конечно не	3	1
472	не хотят	1	1
473	но это	4	1
474	только то	2	1
475	и развивается	1	1
476	есть чисто	1	1
477	по себе	10	1
478	в совершенно	2	1
479	этот вопрос	7	1
480	в истории	3	1
481	ведь стиль	1	1
482	все равно	4	1
483	звуков в	2	1
484	же время	4	1
485	эта аналогия	1	1
486	лишь как	3	1
487	в новых	1	1
488	лежит в	1	1
489	уясняется и	1	1
490	что слово	6	1
491	и иных	1	1
492	его в	1	1
493	на основе	2	1
494	с понятием	1	1
495	то или	3	1
496	отметить что	1	1
497	основании что	1	1
498	как то	2	1
499	каждый из	1	1
500	а на	3	1
501	быть это	1	1
502	до того	2	1
503	совершенно справедливо	2	1
504	связь с	1	1
505	а лишь	1	1
506	лингвистики одна	1	1
507	или иное	2	1
508	и часто	1	1
509	прекрасный пример	1	1
510	современного ей	1	1
511	не было	6	1
512	является необходимым	1	1
513	коллектива к	2	1
514	когда мы	3	1
515	и некоторых	1	1
516	связи с	8	1
517	звуковой экспрессии	1	1
518	этого процесса	2	1
519	в борьбе	1	1
520	если не	4	1
521	же не	1	1
522	лингвистическими методами	1	1
523	этой точки	4	1
524	что касается	4	1
525	о возможности	2	1
526	состоит в	4	1
527	но основные	1	1
528	лингвистика в	1	1
529	как свой	1	1
530	не знает	4	1
531	или в	5	1
532	данной социальной	1	1
533	если еще	1	1
534	в организации	1	1
535	же только	1	1
536	собственном смысле	1	1
537	почему же	1	1
538	на то	6	1
539	то не	2	1
540	еще его	1	1
541	но там	1	1
542	и там	2	1
543	их по	1	1
544	стиля есть	1	1
545	речь в	7	1
546	среди них	1	1
547	следовательно в	1	1
548	творческой работы	1	1
549	вся эта	2	1
550	материале для	1	1
551	в отличие	3	1
552	их в	1	1
553	и вне	1	1
554	области лингвистики	1	1
555	нет и	1	1
556	заключается в	3	1
557	одним из	2	1
558	объекта и	1	1
559	отношение к	2	1
560	из потребностей	1	1
561	раз навсегда	1	1
562	весь этот	1	1
563	отношений и	1	1
564	стилистики в	1	1
565	сказать что	5	1
566	на себя	3	1
567	менее всего	1	1
568	к следующему	1	1
569	понимании языка	1	1
570	в конечном	3	1
571	значения как	1	1
572	речи в	7	1
573	та или	1	1
574	в эпоху	1	1
575	разговорного языка	1	1
576	него не	1	1
577	или менее	3	1
578	особенно ясно	1	1
579	превращаются в	1	1
580	где нет	2	1
581	уже на	3	1
582	речь может	1	1
583	из живой	1	1
584	представление о	3	1
585	конечном счете	2	1
586	он говорит	1	1
587	такой же	1	1
588	с большим	4	1
589	к другим	1	1
590	систему и	1	1
591	выражения в	1	1
592	к г	2	1
593	в конце	5	1
594	образом не	1	1
595	даже для	2	1
596	одной из	1	1
597	роковую роль	1	1
598	например в	5	1
599	данной ситуации	1	1
600	само собою	1	1
601	в контексте	2	1
602	указанных двух	1	1
603	по мере	3	1
604	в живом	2	1
605	слово не	1	1
606	бы что	1	1
607	и стилистики	1	1
608	к более	1	1
609	к этому	4	1
610	не знаем	1	1
611	в одной	1	1
612	за которым	1	1
613	долгое время	1	1
614	и как	3	1
615	лишь с	3	1
616	как о	2	1
617	философию и	1	1
618	до конца	3	1
619	равно не	1	1
620	все время	1	1
621	что он	7	1
622	в предисловии	1	1
623	том основании	1	1
624	в узком	3	1
625	столь же	2	1
626	письменной речи	10	1
627	в собственном	2	1
628	времени в	1	1
629	связи со	1	1
630	понятие стиля	1	1
631	случаях когда	2	1
632	основе такого	1	1
633	что она	5	1
634	осталась бы	2	1
635	или даже	2	1
636	эту точку	1	1
637	далеко не	2	1
638	и о	3	1
639	но что	3	1
640	бы быть	1	1
641	является не	1	1
642	на который	2	1
643	вместе с	8	1
644	которого является	1	1
645	же остается	2	1
646	науке о	1	1
647	данного языка	1	1
648	который в	1	1
649	и вместе	1	1
650	одна из	1	1
651	на эту	2	1
652	ощущаем в	1	1
653	этого слова	8	1
654	смысловой и	1	1
655	слова есть	1	1
656	в которых	8	1
657	внимание к	1	1
658	но не	11	1
659	так в	2	1
660	постановка вопроса	2	1
661	в лингвистической	2	1
662	к живому	1	1
663	и своей	1	1
664	именно с	3	1
665	но если	2	1
666	одно из	3	1
667	с его	4	1
668	проникают в	1	1
669	от другой	1	1
670	ли не	4	1
671	и именно	3	1
672	себя и	1	1
673	особенности в	1	1
674	поэзии в	1	1
675	по поводу	2	1
676	на место	1	1
677	в природе	1	1
678	что говоря	1	1
679	тех или	1	1
680	говорить и	2	1
681	применяется к	1	1
682	в такой	2	1
683	закон в	1	1
684	с приятелем	1	1
685	быть и	1	1
686	форма как	1	1
687	в то	4	1
688	а вовсе	1	1
689	должно было	1	1
690	отнюдь не	5	1
691	только с	1	1
692	конкретный живой	1	1
693	о которых	2	1
694	с проблемами	1	1
695	может и	2	1
696	важное значение	1	1
697	в условиях	1	1
698	ведь и	2	1
699	когда в	4	1
700	в себя	2	1
701	отвлеченная от	1	1
702	в системе	3	1
703	для этого	6	1
704	она есть	2	1
705	которой подчинены	1	1
706	из него	1	1
707	не из	1	1
708	и это	3	1
709	эта проблема	1	1
710	в индии	1	1
711	того же	6	1
712	из одного	3	1
713	в самой	6	1
714	в виде	1	1
715	которые с	1	1
716	только о	3	1
717	эта возможность	1	1
718	эта близость	1	1
719	связанная с	2	1
720	одно слово	1	1
721	что вообще	1	1
722	само по	6	1
723	здесь нет	1	1
724	и становится	3	1
725	звука и	1	1
726	к нему	1	1
727	едва ли	1	1
728	даже самые	1	1
729	часто и	2	1
730	же есть	2	1
731	других речевых	1	1
732	языке то	1	1
733	изучаемых явлений	1	1
734	еще одно	3	1
735	последнее время	3	1
736	мысли в	1	1
737	тем более	2	1
738	речи вообще	2	1
739	философской лингвистики	1	1
740	революции в	1	1
741	как система	1	1
742	он действительно	1	1
743	своего развития	1	1
744	такие явления	1	1
745	на материале	1	1
746	и сами	2	1
747	на все	3	1
748	местах в	1	1
749	еще не	10	1
750	в статье	3	1
751	тех случаях	2	1
752	собою разумеется	1	1
