N	2gram	Tiupa_Vved	NovoeSre
405	они сами	1	1
406	которые могут	2	1
407	что мы	2	1
408	и жизни	1	1
409	миру а	1	1
410	в этих	5	1
411	в период	2	1
412	том смысле	1	1
413	перед лицом	4	1
414	но если	1	1
415	по себе	2	1
416	приводит к	2	1
417	оно может	1	1
418	не имел	1	1
419	в области	5	1
420	того и	1	1
421	индивидуальности это	1	1
422	к новой	1	1
423	нуждается в	1	1
424	с ним	3	1
425	для другого	1	1
426	и только	2	1
427	во франции	1	1
428	и возврат	1	1
429	есть только	1	1
430	обращения к	1	1
431	всяком случае	3	1
432	который можно	1	1
433	для настоящего	1	1
434	и оно	2	1
435	все слова	1	1
436	зависимости от	1	1
437	во время	3	1
438	друг друга	1	1
439	только потому	1	1
440	распадается на	1	1
441	с большей	1	1
442	до начала	2	1
443	того же	1	1
444	в известном	1	1
445	в каком-то	1	1
446	мира не	2	1
447	во времени	2	1
448	на их	1	1
449	не случайно	1	1
450	в чем	2	1
451	есть своя	1	1
452	и его	9	1
453	в эту	1	1
454	что вообще	1	1
455	и особенно	1	1
456	слова в	3	1
457	и у	2	1
458	одного и	1	1
459	понять что	1	1
460	изнутри а	1	1
461	жизнью и	1	1
462	человека не	1	1
463	героя но	1	1
464	и рождается	1	1
465	совершается в	1	1
466	связано с	3	1
467	и нет	1	1
468	обратиться к	2	1
469	себя и	1	1
470	к нему	2	1
471	чтобы понять	1	1
472	ему не	1	1
