N	2gram	Berdyaev_V	DiskursI
485	как сам	1	1
486	в искусстве	1	1
487	ли это?	1	1
488	личность как	2	1
489	богами и	1	1
490	новое здание	1	1
491	на тебя	2	1
492	в сознании	1	1
493	да будет	1	1
494	таким же	1	1
495	и слишком	1	1
496	любви и	1	1
