N	2gram	Potebnia_M	Otkroven
285	сам по	9	1
286	только их	1	1
287	но тем	4	1
288	свободу и	1	1
289	как это	1	1
290	не теряет	1	1
291	ни был	3	1
292	творчества но	1	1
293	о нем	1	1
294	между двумя	5	1
295	о границах	1	1
296	чтобы иметь	1	1
297	строгом смысле	2	1
298	только один	3	1
299	что только	7	1
300	чего не	1	1
301	как у	2	1
302	со стороны	4	1
303	в которую	1	1
304	он должен	2	1
305	в науке	3	1
306	не с	4	1
307	отношении к	3	1
308	и что	13	1
309	в одном	4	1
310	на самом	4	1
311	народ в	1	1
312	у нас	2	1
313	с умом	1	1
314	можно было	1	1
315	людей и	2	1
316	не потому	2	1
317	бы и	4	1
318	заключает в	10	1
319	и это	6	1
320	ее с	2	1
321	вообще но	1	1
322	есть самая	1	1
323	в нас	2	1
324	это есть	1	1
325	смысле этого	9	1
326	в строгом	1	1
327	и когда	1	1
328	и до	2	1
329	форма художественного	1	1
330	с их	1	1
331	ничего легче	1	1
332	на людей	1	1
333	по содержанию	2	1
334	природу и	1	1
335	свою тайну	1	1
336	не вполне	1	1
337	есть уже	13	1
338	от того	10	1
339	человека с	2	1
340	существование в	2	1
341	связанная с	3	1
342	есть дело	2	1
343	думать что	6	1
344	в них	9	1
345	вопрос об	2	1
346	в форме	2	1
347	связь с	4	1
348	любви к	1	1
349	сказать с	1	1
350	в силе	1	1
351	видно что	4	1
352	одним языком	1	1
353	есть для	7	1
354	перед ним	1	1
355	что нет	1	1
356	находятся и	1	1
357	как например	2	1
358	о божественном	1	1
359	и даже	3	1
360	в глаза	2	1
361	веры а	1	1
362	всего что	1	1
363	период когда	1	1
364	пути от	1	1
365	если бы	20	1
366	самом деле	5	1
367	себе что	2	1
368	от всех	1	1
369	и формы	1	1
370	и более	4	1
371	с ними	6	1
372	к чему	2	1
373	была бы	5	1
374	единственная причина	1	1
375	и сам	1	1
376	остается и	1	1
377	или лучше	3	1
378	его собственная	1	1
379	может ли	1	1
380	в виду	1	1
381	в силу	7	1
382	не иметь	1	1
383	мысли как	4	1
384	и начинается	1	1
385	на этот	1	1
386	дело в	1	1
387	лишь по	1	1
388	почему не	2	1
389	стремится к	3	1
390	вообще и	2	1
391	места в	1	1
392	раз навсегда	1	1
393	в силах	1	1
394	необходим для	1	1
395	и эта	2	1
396	его как	3	1
397	отношения к	2	1
398	тем же	6	1
399	вложена в	1	1
400	одним словом	3	1
401	когда человек	3	1
402	не те	1	1
403	но есть	3	1
404	духа и	1	1
405	и каждый	1	1
406	от которой	1	1
407	заключается в	2	1
408	только случай	1	1
409	ведет к	1	1
410	начиная с	1	1
411	связанным с	1	1
412	но нет	2	1
413	он говорит	3	1
414	бы он	1	1
415	сказать в	1	1
416	еще ничего	1	1
417	указывает на	8	1
418	в процессе	2	1
419	легче как	1	1
420	было дано	1	1
421	например в	9	1
422	в жизни	1	1
423	между этими	1	1
424	находится в	5	1
425	в глазах	3	1
426	и почему	2	1
427	в корне	1	1
428	и без	9	1
429	пред собою	1	1
430	и как	8	1
431	то в	1	1
432	этих словах	1	1
433	в голову	3	1
434	к его	2	1
435	было до	1	1
436	нам все	1	1
437	есть не	9	1
438	в человеческой	3	1
439	мысли не	5	1
440	мысли есть	5	1
441	в сознании	36	1
442	приходит в	1	1
443	духа в	2	1
444	одно только	3	1
445	что она	4	1
446	есть та	1	1
447	всего он	1	1
448	открывает нам	1	1
449	а именно	1	1
450	состоит чтобы	1	1
451	жизни и	3	1
452	в мире	3	1
453	в разных	4	1
454	одном из	4	1
455	в одно	8	1
456	а утверждается	1	1
457	который в	2	1
458	своей и	1	1
459	как в	17	1
460	этого слова	14	1
461	как будто	1	1
462	в совершенно	1	1
463	на то	6	1
464	стремлением к	1	1
465	говорят о	1	1
466	быть назван	3	1
467	того чтоб	1	1
468	от этого	2	1
469	и я	3	1
470	нему как	2	1
471	чувств и	1	1
472	нужно видеть	1	1
473	отличается от	1	1
474	да и	2	1
475	друг с	1	1
476	его жизни	2	1
477	бы от	1	1
478	в новом	2	1
479	в свой	2	1
480	нисколько не	1	1
481	кто знает	1	1
482	человеческой душе	2	1
483	но это	9	1
484	лишь для	1	1
485	и после	2	1
486	в это	2	1
487	которого не	2	1
488	ясно видно	1	1
489	из него	4	1
490	а человек	1	1
491	себе и	1	1
492	лишь один	1	1
493	чем и	1	1
494	с другом	1	1
495	и чем	3	1
496	которой нет	2	1
497	нет образа	1	1
498	чтобы не	1	1
499	она и	1	1
500	бы эта	1	1
501	само по	6	1
502	жизни не	3	1
503	было не	1	1
504	из них	11	1
505	вовсе не	13	1
506	и бесконечные	1	1
507	под влиянием	1	1
508	что как	4	1
509	это так	2	1
510	уже не	11	1
511	в одной	1	1
512	мысли в	2	1
513	особенно в	1	1
514	с каким	3	1
515	говорится что	1	1
516	с вопросом	1	1
517	бы ни	6	1
518	бы в	3	1
519	к другому	3	1
520	и счастье	1	1
521	единство в	1	1
522	самой мысли	1	1
