N	2gram	Propp_Russ	FransuaR
517	до того	3	6
518	жизни как	1	6
519	во времена	1	6
520	не была	1	6
521	и под	4	6
522	между прочим	2	6
523	лица и	1	6
524	не дает	1	6
525	что эта	1	6
526	с таким	2	6
527	в землю	8	6
528	могут быть	3	6
529	за это	1	6
530	вряд ли	2	6
531	это время	4	6
532	важное значение	1	6
533	тех же	1	6
534	мы знаем	1	6
535	что здесь	4	6
536	характерен для	1	6
537	этого слова	3	6
538	друг друга	3	6
539	свидетельствует о	1	6
540	ее в	7	6
541	очень много	2	6
542	а иногда	6	6
543	входит в	4	6
544	и обратно	1	6
545	в xix	13	6
546	от того	1	6
547	со своими	1	6
548	таким же	4	6
549	в применении	1	5
550	с собой	4	5
551	старого года	2	5
552	в числе	2	5
553	сливается с	1	5
554	применении к	1	5
555	всем этим	1	5
556	в риме	1	5
557	и была	1	5
558	он так	2	5
559	все в	2	5
560	землю и	2	5
561	с другими	3	5
562	чем в	4	5
563	а за	4	5
564	с одним	1	5
565	из одного	1	5
566	смысл и	1	5
567	не могла	1	5
568	он пишет	2	5
569	по улицам	4	5
570	на место	2	5
571	одного и	1	5
572	тогда когда	4	5
573	в другой	1	5
574	значения и	2	5
575	на основе	1	5
576	подобного рода	1	5
577	и целый	1	5
578	каждый из	3	5
579	как например	6	5
580	но мы	1	5
581	значение имеет	1	5
582	не во	1	5
583	мы имеем	7	5
584	и всегда	1	5
585	слово в	1	5
586	стремление к	1	5
587	тем более	1	5
588	ему не	1	5
589	в г	6	5
590	рождения и	1	5
591	имен и	1	5
592	явление в	1	5
593	сливаются в	1	5
594	на то	2	5
595	что было	1	5
596	видели в	1	5
597	можно говорить	2	5
598	что дело	1	5
599	в первом	1	5
600	в собственном	1	5
601	было не	1	5
602	нами выше	1	5
603	но даже	2	5
604	во многих	14	5
605	не вполне	1	5
606	было ни	1	5
607	с этими	1	5
608	тут же	2	5
609	а следовательно	1	5
610	друг с	1	5
611	должно быть	2	5
612	земли в	1	5
613	притом не	1	5
614	и сама	1	5
615	в несколько	1	5
616	связан и	1	5
617	же как	5	5
618	совсем не	1	5
619	с вином	1	5
620	всех других	1	5
621	на голову	6	5
622	влияние и	1	5
623	независимо от	3	5
624	во втором	1	5
625	должна быть	1	5
626	с праздником	2	5
627	и из	3	5
628	от их	1	5
629	так называемый	2	5
630	они связаны	1	5
631	на год	1	5
632	себя и	2	5
633	в веселый	1	5
634	не является	2	5
635	с новым	1	5
636	с нею	1	5
637	года и	1	5
638	включая и	1	5
639	всяком случае	1	5
640	же он	1	5
641	ему в	1	5
642	видеть в	1	5
643	должен был	3	5
644	вообще не	1	5
645	что мы	1	5
646	с другом	1	5
647	по его	2	5
648	без всякой	1	5
649	церкви и	3	5
650	когда он	3	5
651	стороны и	1	5
652	в церквах	1	5
653	слова в	3	5
654	не к	3	5
655	новый год	26	4
656	труда и	1	4
657	его от	2	4
658	к этой	1	4
659	других местах	11	4
660	этой связи	1	4
661	о них	2	4
662	которого они	1	4
663	ее как	1	4
664	и обряды	3	4
665	внимание на	1	4
666	имели место	1	4
667	и некоторые	3	4
668	ее от	2	4
669	тесно связаны	1	4
670	в день	12	4
671	можно судить	1	4
672	но для	1	4
673	в каждом	2	4
674	своей книги	1	4
675	что во	1	4
676	уже к	1	4
677	этот вопрос	4	4
678	ту сторону	1	4
679	когда они	2	4
680	хлеб и	1	4
681	бы ни	1	4
682	не случайно	2	4
683	чтобы не	1	4
684	люди в	1	4
685	них в	2	4
686	в самый	2	4
687	если в	3	4
688	также что	2	4
689	оно не	2	4
690	то на	3	4
691	их и	3	4
692	скота и	1	4
693	игры и	1	4
694	при всех	2	4
695	это самое	1	4
696	в очень	1	4
697	женщины и	1	4
698	у других	1	4
699	и различные	1	4
700	не совсем	6	4
701	этого времени	2	4
702	веселый характер	1	4
703	но если	2	4
704	иногда в	2	4
705	он должен	2	4
706	ее на	3	4
707	этот был	1	4
708	и некоторых	1	4
709	непосредственное влияние	1	4
710	имеется в	1	4
711	других аналогичных	1	4
712	значение как	1	4
713	и свои	2	4
714	при всем	1	4
715	эта как	1	4
716	к ней	4	4
717	в период	2	4
718	животных и	4	4
719	мы и	1	4
720	прямо на	1	4
721	не так	1	4
722	однако и	1	4
723	поэтому они	1	4
724	которые по	1	4
725	смехом и	1	4
726	на такой	1	4
727	и связанные	2	4
728	принадлежат к	1	4
729	г в	5	4
730	что этот	4	4
731	которой он	1	4
732	часто в	1	4
733	которых мы	1	4
734	была только	1	4
735	связь между	2	4
736	носит характер	1	4
737	который в	2	4
738	и становится	1	4
739	с лишним	1	4
740	что между	1	4
741	нового и	1	4
742	и притом	1	4
743	именно здесь	1	4
744	также в	5	4
745	точек зрения	1	4
746	о происхождении	1	4
747	или же	2	4
748	так называемые	1	4
749	и тем	1	4
750	на нем	1	4
751	если же	1	4
752	не по	1	4
753	в фольклоре	3	4
754	основываясь на	1	4
755	собственном смысле	1	4
756	народа в	2	4
757	можно видеть	1	4
758	в область	1	4
759	утверждает что	1	4
760	борьбы с	2	4
761	ряде других	1	4
762	ни о	1	4
763	праздника и	1	4
764	можно найти	1	4
765	от старого	1	4
766	ли он	1	4
767	не могло	1	4
768	этой игры	1	4
769	образ этот	1	4
770	и своего	1	4
771	без всякого	1	4
772	заметить что	3	4
773	ее не	1	4
774	на меже	1	4
775	что я	1	4
776	характерное для	1	4
777	но их	1	4
778	ряд других	2	4
779	уверен что	1	4
780	второй половине	1	4
781	и всем	2	4
782	он называет	1	4
783	такое же	2	4
784	из своих	2	4
785	на которой	2	4
786	же не	2	4
787	там и	2	4
788	говорят о	1	4
789	в третьем	1	4
790	что эти	2	4
791	же к	1	4
792	изображается в	1	4
793	быть и	3	4
794	что касается	1	4
795	говоря о	1	4
796	что такие	2	4
797	из своей	2	4
798	в отдельности	2	4
799	считает что	2	4
800	к новому	2	4
801	этому вопросу	2	4
802	веков в	1	4
803	с которой	1	3
804	новому от	1	3
805	более широкой	1	3
806	в обряде	3	3
807	него в	1	3
808	большое количество	2	3
809	переходит к	1	3
810	на которых	2	3
811	или на	11	3
812	и другим	3	3
813	после обеда	5	3
814	в изобилии	1	3
815	он есть	2	3
816	в огромном	1	3
817	особенности же	1	3
818	по традиции	1	3
819	не всегда	4	3
820	в эпосе	1	3
821	на ней	1	3
822	в прошлом	2	3
823	много и	3	3
824	обряды и	3	3
825	они должны	1	3
826	том чтобы	3	3
827	просто в	1	3
828	что именно	3	3
829	быть правильно	1	3
830	образом на	1	3
831	ближе к	1	3
832	на глазах	1	3
833	все стороны	1	3
834	и мы	1	3
835	после этого	6	3
836	это слово	1	3
837	а с	6	3
838	же значение	2	3
839	остается в	1	3
840	будто бы	10	3
841	время которого	2	3
842	тому что	4	3
843	время как	1	3
844	века к	1	3
845	между собой	4	3
846	выступает в	1	3
847	веселье и	1	3
848	они становятся	2	3
849	на новый	3	3
850	эти слова	1	3
851	и веселья	1	3
852	не будет	1	3
853	в городе	1	3
854	должны были	3	3
855	другая сторона	1	3
856	бы к	1	3
857	могла бы	1	3
858	природы и	3	3
859	но есть	3	3
860	продолжали жить	1	3
861	подойти к	2	3
862	те кто	1	3
863	здесь изображается	1	3
864	и сами	2	3
865	или такие	1	3
866	античности и	1	3
867	образа и	1	3
868	говорит и	1	3
869	имеет место	3	3
870	с этого	7	3
871	смысла и	1	3
872	на столе	1	3
873	и начало	2	3
874	также не	2	3
875	приводит к	4	3
876	вперед и	1	3
877	эти дни	5	3
878	значение этого	1	3
879	так чтобы	2	3
880	этой работы	2	3
881	это только	1	3
882	на церковные	1	3
883	после смерти	1	3
884	на две	3	3
885	имеет и	1	3
886	и после	2	3
887	нового года	10	3
888	из основных	2	3
889	жизни здесь	1	3
890	или с	4	3
891	что с	2	3
892	когда же	1	3
893	на нее	5	3
894	из различных	1	3
895	иной раз	1	3
896	в каждой	1	3
897	встречаемся с	1	3
898	в народе	2	3
899	она не	4	3
900	огонь и	1	3
901	те которые	1	3
902	трав и	1	3
903	о своих	1	3
904	что один	2	3
905	места и	1	3
906	которые не	3	3
907	и другими	3	3
908	не бывает	1	3
909	сходство между	2	3
910	иначе чем	1	3
911	в предыдущей	1	3
912	изображается как	5	3
913	из нее	2	3
914	в одно	2	3
915	не что	3	3
916	рассуждение о	1	3
917	еще далеко	2	3
918	то это	1	3
919	этом мы	1	3
920	все свои	1	3
921	вот почему	1	3
922	из земли	3	3
923	очень широко	1	3
924	между двумя	2	3
925	и литературных	1	3
926	в глаза	3	3
927	ней и	1	3
928	чтобы они	4	3
929	же она	1	3
930	те и	1	3
931	него не	1	3
932	наряду с	1	3
933	именно эти	1	3
934	что иное	3	3
935	которое он	1	3
936	на этих	1	3
937	веселая игра	1	3
938	и через	2	3
939	два раза	1	3
940	ноги и	1	3
941	в полной	1	3
942	не о	1	3
943	лицо его	1	3
944	что его	1	3
945	указывает что	1	3
946	и того	1	3
947	такие же	4	3
948	уже давно	1	3
949	должно было	5	3
950	в другие	11	3
951	на свободу	1	3
952	и веселье	1	3
953	именно с	3	3
954	что их	1	3
955	на другой	2	3
956	год и	6	3
957	себя на	1	3
958	в современной	1	3
959	они могут	1	3
960	могилу и	1	3
961	ночь с	1	3
962	как от	1	3
963	с элементами	2	3
964	это ни	1	3
965	в силу	2	3
966	для людей	1	3
967	я рад	1	3
968	за ним	3	3
969	по форме	1	3
970	известно что	1	3
971	вина и	1	3
972	из того	1	3
973	разного рода	1	3
974	целом ряде	1	3
975	собой и	2	3
976	с ней	7	3
977	встречаются и	2	3
978	к их	1	3
979	относятся к	3	3
980	всей своей	1	3
981	в любой	1	3
982	тому кто	1	3
983	и хлеб	1	3
984	по земле	2	3
985	не потому	1	3
986	ее с	2	3
987	и находит	1	3
988	ногами и	2	3
989	на улице	1	3
990	женщины в	1	3
991	огонь в	1	3
992	дает в	1	3
993	дальнейшего развития	1	3
994	с того	1	3
995	священной истории	3	3
996	вокруг него	2	3
997	улицам и	3	3
998	на тех	2	3
999	в первый	5	3
1000	пародии и	1	3
1001	подробное описание	1	3
1002	прямо в	1	3
1003	что каждый	2	3
1004	он видел	2	3
1005	этой цели	2	3
1006	идет не	1	3
1007	человеком и	1	3
1008	в уже	3	3
1009	предыдущей главе	1	3
1010	которую мы	1	3
1011	у народа	1	3
1012	и детей	1	3
1013	от земли	2	3
1014	которых они	1	3
1015	день св	1	3
1016	по всей	4	3
1017	раза в	1	3
1018	для обозначения	2	3
1019	на других	3	3
1020	которое в	2	3
1021	именно это	1	3
1022	иное как	3	3
1023	с которыми	1	2
1024	с xvii	1	2
1025	без особых	1	2
1026	с последним	2	2
1027	в праздничное	1	2
1028	дают в	1	2
1029	к другу	2	2
1030	народов в	1	2
1031	соприкасались с	1	2
1032	игр и	1	2
1033	можно встретить	2	2
1034	очень хорошо	1	2
1035	эта же	2	2
1036	может так	1	2
1037	этого момента	3	2
1038	церковь и	2	2
1039	на смену	1	2
1040	некоторые другие	5	2
1041	на свою	1	2
1042	года в	2	2
1043	всем разнообразии	1	2
1044	первой половине	1	2
1045	в природе	2	2
1046	к земле	5	2
1047	не имели	2	2
1048	сообщает что	12	2
1049	и иногда	3	2
1050	говорится о	3	2
1051	более широком	1	2
1052	каждого нового	1	2
1053	только как	2	2
1054	и должна	2	2
1055	других праздников	2	2
1056	из себя	1	2
1057	должна была	6	2
1058	всего как	1	2
1059	из одной	1	2
1060	сохранился и	1	2
1061	уже почти	1	2
1062	интересный и	2	2
1063	к народным	1	2
1064	христа на	1	2
1065	некоторое время	2	2
1066	из наиболее	2	2
1067	другой пример	1	2
1068	переход от	3	2
1069	нам право	2	2
1070	в отдельных	1	2
1071	широкой и	1	2
1072	или наоборот	1	2
1073	сущность его	1	2
1074	и античности	1	2
1075	вопрос мы	1	2
1076	что при	2	2
1077	всякой меры	1	2
1078	в старом	1	2
1079	борьбы между	1	2
1080	год на	1	2
1081	как объяснить	2	2
1082	их но	1	2
1083	из приведенных	3	2
1084	как по	2	2
1085	более поздние	1	2
1086	сходство с	3	2
1087	по времени	1	2
1088	обжорства и	1	2
1089	в двух	2	2
1090	полагает что	8	2
1091	свою силу	1	2
1092	столом и	1	2
1093	вверх и	1	2
1094	приводит его	1	2
1095	комедии и	1	2
1096	эту связь	1	2
1097	должны быть	1	2
1098	была не	1	2
1099	и третья	1	2
1100	нечто вроде	2	2
1101	к праздникам	3	2
1102	вторая часть	1	2
1103	этот праздник	4	2
1104	ее также	1	2
1105	оно имеет	1	2
1106	по другим	1	2
1107	что есть	2	2
1108	и пожелания	1	2
1109	первого мая	1	2
1110	в определенные	1	2
1111	к сожалению	1	2
1112	он уже	1	2
1113	друг к	2	2
1114	и должны	1	2
1115	всегда была	1	2
1116	для народа	1	2
1117	уже знаем	2	2
1118	свою судьбу	1	2
1119	он на	1	2
1120	в огне	1	2
1121	но этого	1	2
1122	их нужно	1	2
1123	в праздничные	2	2
1124	более древних	1	2
1125	тем и	4	2
1126	земля в	1	2
1127	этот день	19	2
1128	оказалось что	1	2
1129	так называемая	2	2
1130	нет в	2	2
1131	на другие	2	2
1132	очень ярко	1	2
1133	бросается в	3	2
1134	наука в	1	2
1135	но у	1	2
1136	такую же	2	2
1137	на некоторых	1	2
1138	это все	1	2
1139	и поэтому	3	2
1140	них как	2	2
1141	земли то	1	2
1142	в менее	1	2
1143	это значение	1	2
1144	только тогда	3	2
1145	можем судить	1	2
1146	что если	2	2
1147	в любовных	1	2
1148	например на	2	2
1149	на которые	1	2
1150	наряд и	1	2
1151	год в	3	2
1152	которые уже	1	2
1153	как только	2	2
1154	за пределами	2	2
1155	и раньше	1	2
1156	этом так	1	2
1157	затем они	1	2
1158	становятся в	4	2
1159	г по	1	2
1160	времен года	1	2
1161	в память	2	2
1162	в самих	3	2
1163	этом случае	9	2
1164	что ему	2	2
1165	и многие	2	2
1166	образом к	1	2
1167	принимает форму	1	2
1168	одна и	1	2
1169	не без	1	2
1170	римские сатурналии	1	2
1171	же явления	1	2
1172	значение его	1	2
1173	в первую	1	2
1174	их уже	1	2
1175	однако не	1	2
1176	теми же	1	2
1177	иногда и	7	2
1178	в сопровождении	1	2
1179	новой и	1	2
1180	год с	1	2
1181	который как	1	2
1182	в другую	1	2
1183	должны служить	1	2
1184	в стороне	2	2
1185	является по	1	2
1186	долгое время	1	2
1187	в такой	1	2
1188	которые с	2	2
1189	не помогают	1	2
1190	этих элементов	1	2
1191	а он	1	2
1192	и таким	1	2
1193	встречаются в	2	2
1194	не все	4	2
1195	указывали что	1	2
1196	характер этой	1	2
1197	для исполнения	1	2
1198	с лицом	1	2
1199	в самых	1	2
1200	половине xix	2	2
1201	части и	2	2
1202	мы должны	3	2
1203	не с	5	2
1204	же что	1	2
1205	он здесь	1	2
1206	поближе к	1	2
1207	несколько подробнее	1	2
1208	или как	1	2
1209	этому поводу	3	2
1210	но ни	2	2
1211	для такого	1	2
1212	о рождении	2	2
1213	и начинается	1	2
1214	мы сейчас	1	2
1215	еде и	1	2
1216	очень интересный	1	2
1217	их на	5	2
1218	известны и	1	2
1219	в так	1	2
1220	не надо	1	2
1221	не можем	5	2
1222	поэтому мы	1	2
1223	и свободы	1	2
1224	оно имело	1	2
1225	новым годом	2	2
1226	распространенные в	1	2
1227	праздников в	1	2
1228	под таким	1	2
1229	к числу	2	2
1230	они уже	1	2
1231	не являются	1	2
1232	в какой	3	2
1233	одно мгновение	1	2
1234	еще очень	1	2
1235	быть может	1	2
1236	по мере	1	2
1237	а и	7	2
1238	на сцену	1	2
1239	по-видимому не	1	2
1240	их очень	1	2
1241	на свой	1	2
1242	если он	1	2
1243	с общей	1	2
1244	дома и	1	2
1245	которое не	1	2
1246	к своим	1	2
1247	он по	1	2
1248	и носит	1	2
1249	какова их	1	2
1250	всему что	1	2
1251	имеется ряд	1	2
1252	и прочие	1	2
1253	время от	1	2
1254	такое объяснение	1	2
1255	имея в	1	2
1256	ii в	2	2
1257	этим не	1	2
1258	с в	12	2
1259	характерной для	1	2
1260	вернуться к	1	2
1261	на украине	5	2
1262	об изучении	1	2
1263	за него	1	2
1264	этой роли	1	2
1265	этом же	1	2
1266	описание его	1	2
1267	значение которых	1	2
1268	на почве	1	2
1269	которую они	1	2
1270	к различным	1	2
1271	ее и	2	2
1272	содержится в	1	2
1273	выходить из	1	2
1274	вокруг этого	4	2
1275	после чего	4	2
1276	смысле в	1	2
1277	первые три	1	2
1278	чем у	2	2
1279	масленичное чучело	1	2
1280	не от	1	2
1281	по содержанию	3	2
1282	прежде чем	1	2
1283	обряда в	3	2
1284	некоторых других	2	2
1285	и характер	1	2
1286	и жизнь	1	2
1287	и обрядов	8	2
1288	связанным с	1	2
1289	а только	1	2
1290	и отдельные	1	2
1291	слабо и	1	2
1292	того в	3	2
1293	к слову	3	2
1294	был уже	1	2
1295	две стороны	1	2
1296	праздничные дни	1	2
1297	рост и	1	2
1298	это по	1	2
1299	не приходится	1	2
1300	названия и	1	2
1301	становится на	1	2
1302	ни одно	2	2
1303	позже и	1	2
1304	черти и	1	2
1305	ко времени	3	2
1306	месяца в	2	2
1307	другой день	2	2
1308	общего с	1	2
1309	необходимо еще	1	2
1310	найти в	1	2
1311	звучит в	1	2
1312	на определенных	1	2
1313	тем временем	2	2
1314	с совершенно	1	2
1315	смены времен	1	2
1316	за все	2	2
1317	чем свидетельствует	1	2
1318	уходит в	1	2
1319	и малых	1	2
1320	игра на	1	2
1321	в состав	1	2
1322	его нет	1	2
