N	2gram	Propp_Russ	NovoeSre
219	в свою	3	1
220	в состоянии	1	1
221	для себя	1	1
222	из этих	6	1
223	во всяком	1	1
224	их совершенно	1	1
225	русского народа	3	1
226	все свои	1	1
227	смысле в	1	1
228	земли и	5	1
229	для того	6	1
230	не по	1	1
231	античности к	1	1
232	быть не	1	1
233	процессы которые	1	1
234	только так	1	1
235	власть над	1	1
236	споров о	1	1
237	не всегда	4	1
238	из их	1	1
239	в этот	19	1
240	имея в	1	1
241	он и	1	1
242	или нет	1	1
243	было бы	3	1
244	мы должны	3	1
245	и из	3	1
246	он давал	1	1
247	в его	3	1
248	это показывает	4	1
249	к такой	1	1
250	с своими	1	1
251	к тем	4	1
252	истории как	1	1
253	должны быть	1	1
254	и через	2	1
255	и их	4	1
256	говорить о	2	1
257	не с	5	1
258	во времена	1	1
259	всего как	1	1
260	не были	2	1
261	есть и	2	1
262	и духовные	1	1
263	почему о	1	1
264	теми которые	1	1
265	у нас	11	1
266	для них	5	1
267	не столько	3	1
268	освобождение от	1	1
269	в ночь	3	1
270	с другими	3	1
271	людей и	1	1
272	об освящении	1	1
273	значение они	1	1
274	себя на	1	1
275	ни одно	2	1
276	в виду	3	1
277	еще в	6	1
278	коммунистической партии	1	1
279	превращается в	1	1
280	и до	3	1
281	слова а	1	1
282	с собой	4	1
283	весь мир	1	1
284	привела к	1	1
285	только в	4	1
286	в xix	13	1
287	не на	2	1
288	не могут	1	1
289	которые будут	1	1
290	есть уже	1	1
291	от того	1	1
292	он есть	2	1
293	от других	1	1
294	от своих	1	1
295	в большинстве	2	1
296	оно не	2	1
297	на смену	1	1
298	их не	2	1
299	другая сторона	1	1
300	как например	6	1
301	а на	8	1
302	это должно	1	1
303	или не	2	1
304	но он	3	1
305	быть признан	1	1
306	значение и	2	1
307	как церковные	1	1
308	в которой	3	1
309	дай бог	1	1
310	и а	4	1
311	перед ними	1	1
312	до падения	1	1
313	в этой	4	1
314	жизни это	1	1
315	вот что	1	1
316	времени его	1	1
317	а по	1	1
318	а также	6	1
319	и еще	2	1
320	свои песни	1	1
321	жизнь в	1	1
322	что его	1	1
323	как на	2	1
324	будто не	1	1
325	установить что	1	1
326	в отличие	4	1
327	так называемый	2	1
328	он в	1	1
329	явление в	1	1
330	будто бы	10	1
331	на нее	5	1
332	возможно что	2	1
333	на путь	1	1
334	вопрос этот	1	1
335	переход от	3	1
336	ней и	1	1
337	о русском	1	1
338	из всех	1	1
339	что не	1	1
340	но все	3	1
341	он видел	2	1
342	тем что	7	1
343	вера в	2	1
344	русский народ	1	1
345	и во	2	1
346	только одна	1	1
347	к этой	1	1
348	то время	3	1
349	нет надобности	2	1
350	это время	4	1
351	на заре	1	1
352	в конце	1	1
353	вообще не	1	1
354	того времени	1	1
355	так как	25	1
356	в образе	3	1
357	к которому	1	1
358	в своем	3	1
359	к таким	4	1
360	день был	1	1
361	долгое время	1	1
362	нас к	5	1
363	россии в	1	1
364	церковью и	1	1
365	что он	2	1
366	религия не	1	1
367	явление он	1	1
368	на себя	4	1
369	их в	7	1
370	в силу	2	1
371	и очень	1	1
372	большинстве случаев	2	1
373	они сами	1	1
374	что мы	1	1
375	так на	2	1
376	в этих	3	1
377	в период	2	1
378	но если	2	1
379	приводит к	4	1
380	только для	3	1
381	на место	2	1
382	в области	3	1
383	будет восстановить	1	1
384	к новой	1	1
385	в такой	1	1
386	равнодушны к	1	1
387	нуждается в	1	1
388	все другие	1	1
389	самым большим	1	1
390	с ним	2	1
391	ли он	1	1
392	оставить в	1	1
393	через них	8	1
394	обращения к	1	1
395	всяком случае	1	1
396	зависимости от	1	1
397	во время	23	1
398	друг друга	3	1
399	только потому	1	1
400	в эти	4	1
401	к вопросу	2	1
402	в другие	11	1
403	к своим	1	1
404	в это	4	1
405	того же	1	1
406	знает что	1	1
407	на поверхности	1	1
408	совершенно языческий	1	1
409	не случайно	2	1
410	в чем	1	1
411	нет в	2	1
412	не был	3	1
413	и его	2	1
414	в эту	3	1
415	и особенно	1	1
416	слова в	3	1
417	и у	5	1
418	одного и	1	1
419	себе и	1	1
420	был в	1	1
421	раньше чем	2	1
422	говорят об	1	1
423	всех народов	1	1
424	связано с	3	1
425	востока и	1	1
426	от этого	2	1
427	и нового	2	1
428	обратиться к	1	1
429	ко времени	3	1
430	себя и	2	1
431	к нему	3	1
432	ему не	1	1
433	на них	4	1
