N	2gram	Tiupa_Teor	Tragedij
401	на новую	1	1
402	и т.д	4	1
403	полагал что	2	1
404	всего что	1	1
405	могло быть	2	1
406	известной степени	3	1
407	я в	18	1
408	именно такого	1	1
409	к ним	1	1
410	но без	1	1
411	в эпизоде	3	1
412	открывается в	1	1
413	ту сторону	1	1
414	он в	1	1
415	как мы	1	1
416	у себя	1	1
417	не для	1	1
418	и особенно	2	1
419	на две	3	1
420	и о	5	1
421	ее не	1	1
422	родного дома	1	1
423	его как	1	1
424	на уровне	2	1
425	эстетическая позиция	1	1
426	над собою	1	1
427	и служит	1	1
428	роман и	2	1
429	той же	1	1
430	люди но	3	1
431	и др	3	1
432	искусства но	4	1
433	– в	20	1
434	человеческая личность	1	1
435	характерно что	1	1
436	обратимся к	1	1
437	именно так	1	1
438	облекается в	2	1
439	слова в	4	1
440	и от	1	1
441	и есть	1	1
442	с которым	1	1
443	входят в	1	1
444	он показывает	1	1
445	и зло	1	1
446	является необходимой	1	1
447	исходит из	1	1
448	всю жизнь	1	1
449	для понимания	2	1
450	но я	1	1
451	этого слова	4	1
452	например в	3	1
453	писателя в	1	1
454	себя а	1	1
455	право на	2	1
456	нем по	1	1
457	но если	1	1
458	как система	2	1
459	о своих	1	1
460	в литературе	4	1
461	в сфере	1	1
462	в области	7	1
463	и по	3	1
464	нуждается в	1	1
465	перед читателем	1	1
466	ее содержание	1	1
467	на котором	2	1
468	глаза в	2	1
469	чтобы не	2	1
470	и совершенно	1	1
471	говорит не	1	1
472	перед другом	1	1
473	людей в	1	1
474	чем у	1	1
