N	2gram	Berdyaev_N	StatiiOP
156	но я	2	6
157	в новом	2	6
158	должен быть	5	6
159	еще до	2	6
160	в духе	3	5
161	давно уже	1	5
162	в речах	1	5
163	уже не	2	5
164	то это	1	5
165	одной стороны	2	5
166	конечно не	3	5
167	том чтобы	2	5
168	в основу	1	5
169	на протяжении	2	5
170	с одной	2	5
171	хотя и	2	5
172	на себя	1	5
173	что не	1	5
174	не был	1	5
175	возможно что	1	5
176	должна быть	3	5
177	для себя	1	5
178	не на	1	5
179	оно не	1	5
180	думать что	2	5
181	нет и	2	5
182	но если	1	5
183	в мировой	2	5
184	это и	2	5
185	в сущности	1	5
186	на нее	1	5
187	вообще не	1	5
188	нас к	1	5
189	во многом	1	5
190	и потому	4	5
191	и только	1	5
192	не по	1	5
193	на это	1	5
194	к ней	1	5
195	как будто	2	5
196	все что	1	4
197	в центре	2	4
198	и творчества	2	4
199	культуры в	5	4
200	не существует	3	4
201	не могли	2	4
202	не всегда	1	4
203	во времена	1	4
204	который в	2	4
205	будто бы	1	4
206	xviii века	2	4
207	одна из	2	4
208	не могут	1	4
209	в смысле	2	4
210	и у	1	4
211	должны быть	1	4
212	эпохи в	1	4
213	за пределы	3	4
214	я уже	2	4
215	это есть	7	4
216	и вполне	1	4
217	сами по	1	4
218	они не	1	4
219	это время	1	4
220	по своей	1	4
221	нет в	1	4
222	все они	2	4
223	в основе	3	4
224	в значительной	1	4
225	связана с	2	4
226	быть не	1	4
227	не знает	6	4
228	не для	1	4
229	в образе	1	4
230	значительной степени	1	4
231	нет ни	1	4
232	а на	1	4
233	века и	2	4
234	есть в	2	4
235	стремление к	2	4
236	в такой	1	4
237	значит что	4	4
238	а по	1	4
239	и их	1	4
240	еще в	1	4
241	что его	1	4
242	в период	1	4
243	в эпоху	9	4
244	для этого	2	4
245	но для	2	4
246	не хочет	1	3
247	и которые	1	3
248	их в	1	3
249	гораздо больше	1	3
250	к этой	1	3
251	смысле слова	3	3
252	быть в	2	3
253	как я	1	3
254	все время	2	3
255	ему не	1	3
256	эпохи не	1	3
257	нельзя сказать	1	3
258	есть еще	1	3
259	и до	1	3
260	от этого	1	3
261	вопроса о	1	3
262	не имел	1	3
263	исторической эпохи	3	3
264	в наше	3	3
265	эти слова	1	3
266	совсем не	12	3
267	не будет	7	3
268	не могла	2	3
269	совершенно так	1	3
270	известном смысле	1	3
271	о русском	1	3
272	наше время	4	3
273	от нее	1	3
274	не были	1	3
275	это уже	1	3
276	русского народа	1	3
277	которая должна	1	3
278	что нет	1	3
279	себя и	1	3
280	который не	1	3
281	и идейной	1	3
282	в свою	1	3
283	не хочу	1	3
284	и вся	1	3
285	и ему	1	3
286	россии в	1	3
287	русский народ	1	3
288	николая i	1	3
289	а во	1	3
290	идей и	1	3
291	только потому	1	3
292	том числе	1	3
293	он и	1	3
294	не значит	3	3
295	в русском	2	3
296	а к	1	3
297	на них	1	3
298	пр в	1	3
299	это связано	2	3
300	она не	3	3
301	то нужно	1	3
302	к власти	3	3
303	движения в	1	3
304	от того	1	3
305	не хотел	1	3
306	с окончанием	1	3
307	все более	1	3
308	ведь и	2	3
309	в каком-то	1	3
310	эпохи и	4	3
311	слова в	1	3
312	не к	2	3
313	к подлинному	2	2
314	еще при	1	2
315	эту эпоху	1	2
316	для всех	1	2
317	которая в	1	2
318	из всех	1	2
319	это значит	1	2
320	или нет	1	2
321	истории к	4	2
322	а во-вторых	1	2
323	жизнь в	1	2
324	французской революции	3	2
325	роль в	2	2
326	история в	3	2
327	есть только	1	2
328	на человека	1	2
329	вот почему	2	2
330	и когда	1	2
331	превращается в	1	2
332	всего что	1	2
333	и еще	1	2
334	в зависимости	1	2
335	они сами	1	2
336	во франции	1	2
337	франции и	1	2
338	все в	1	2
339	и научной	1	2
340	протяжении всей	1	2
341	которое можно	1	2
342	право и	3	2
343	права на	2	2
344	в последние	1	2
345	и она	1	2
346	и вместе	1	2
347	уже давно	1	2
348	к вопросу	1	2
349	чтобы понять	1	2
350	характерны для	1	2
351	на нем	1	2
352	в нее	1	2
353	когда мы	2	2
354	ко времени	1	2
355	истории и	9	2
356	рода в	1	2
357	но нет	1	2
358	и от	2	2
359	всю жизнь	1	2
360	понять смысл	1	2
361	с ее	5	2
362	не случайно	1	2
363	в одну	2	2
364	и этот	1	2
365	и из	1	2
366	ему все	1	2
367	мы в	1	2
368	я могу	1	2
369	для них	1	2
370	это была	1	2
371	по преимуществу	1	2
372	как не	8	2
373	жизни в	3	2
374	к той	1	2
375	то он	1	2
376	замечательно что	1	2
377	не имеют	2	2
378	зависимости от	1	2
379	значение для	1	2
380	в которую	1	2
381	от других	1	2
382	было и	1	2
383	например во	1	2
384	в отличие	1	2
385	общества в	1	2
386	он может	1	2
387	не означает	3	2
388	значение в	1	2
389	пришли к	1	2
390	свидетельствует о	1	2
391	а это	1	2
392	с их	2	2
393	не больше	1	2
394	долгое время	1	2
395	перед собой	1	2
396	по своему	4	2
397	и оно	1	2
398	отличие от	1	2
399	потребность в	1	2
400	в наши	3	2
401	не могу	1	2
402	отказаться от	1	2
403	не должно	1	2
404	борьбе за	1	2
405	россии и	1	2
406	числе и	1	2
407	явление в	1	2
408	не верит	1	2
409	бы он	1	2
410	времени в	2	2
411	нуждается в	1	2
412	в эти	1	2
413	жизнью и	1	2
414	во всем	1	1
415	они являются	1	1
416	получает свое	1	1
417	общественным мнением	1	1
418	был и	1	1
419	истории для	1	1
420	знаний о	1	1
421	ней нужно	1	1
422	и имеет	1	1
423	и родовой	1	1
424	смысле и	1	1
425	вопросу о	1	1
426	вступает в	1	1
427	всех национальностей	1	1
428	мысли и	2	1
429	существует что	1	1
430	и стремится	1	1
431	одному из	1	1
432	и замечательно	1	1
433	с собой	1	1
434	вопрос об	1	1
435	их не	1	1
436	быть признана	1	1
437	не хотят	2	1
438	творчество будет	1	1
439	к более	2	1
440	приобретает характер	1	1
441	духа в	2	1
442	наши дни	3	1
443	и русский	1	1
444	пустое место	1	1
445	которому не	2	1
446	обращение к	2	1
447	и нет	1	1
448	перестает быть	4	1
449	и того	1	1
450	я ни	1	1
451	чтобы так	1	1
452	россию и	1	1
453	нас и	1	1
454	духовной жизни	2	1
455	духовные силы	1	1
456	все свои	1	1
457	процесс в	1	1
458	но во	1	1
459	в каких	1	1
460	есть обязанность	1	1
461	заключается что	2	1
462	имея в	1	1
463	что вся	1	1
464	особое место	1	1
465	когда она	1	1
466	человечества в	1	1
467	средних веков	1	1
468	себе и	1	1
469	нужно быть	1	1
470	россию но	1	1
471	оно существует	1	1
472	и общества	2	1
473	в прошлом	3	1
474	страны в	1	1
475	к ним	3	1
476	бога и	3	1
477	ней и	1	1
478	вернуться к	2	1
479	совсем нет	1	1
480	быть удовлетворены	1	1
481	наряду с	3	1
482	с большим	1	1
483	верить в	3	1
484	как результат	1	1
485	которыми так	1	1
486	к расширению	1	1
487	отнести к	1	1
488	природе и	2	1
489	тут мы	1	1
490	во внешней	1	1
491	и искать	1	1
492	себя в	2	1
493	смысле как	1	1
494	востока и	1	1
495	ближе к	1	1
496	неизбежно должна	1	1
497	века как	1	1
498	него как	1	1
499	истории в	5	1
500	конечно есть	1	1
501	народ не	1	1
502	жить в	1	1
503	к себе	1	1
504	в состоянии	1	1
505	смысле в	1	1
506	в гг	1	1
507	в социальной	1	1
508	ей было	1	1
509	них к	1	1
510	с другими	1	1
511	не человек	2	1
512	судьба и	1	1
513	они написаны	1	1
514	в будущем	2	1
515	культуру и	1	1
516	века не	1	1
517	на заре	1	1
518	так много	1	1
519	лишь на	1	1
520	большинстве случаев	1	1
521	в употреблении	2	1
522	времени совершенно	1	1
523	этой системе	1	1
524	искусство не	1	1
525	жизнь не	1	1
526	тут нет	1	1
527	войне и	1	1
528	перестал быть	1	1
529	но можно	1	1
530	и быть	1	1
531	был уже	1	1
532	особого рода	1	1
533	от старых	1	1
534	более всего	1	1
535	не стоят	1	1
536	будет в	1	1
537	последние годы	1	1
538	образ мыслей	2	1
539	с общественным	1	1
540	ни одно	1	1
541	иная форма	1	1
542	перед лицом	1	1
543	и другая	1	1
544	но тут	1	1
545	ренессанса и	1	1
546	и общего	1	1
547	времени чем	1	1
548	он в	1	1
549	был в	1	1
550	и есть	10	1
551	в силу	1	1
552	он принадлежал	1	1
553	оно может	1	1
554	к политической	1	1
555	ни за	1	1
556	речи о	1	1
557	общества так	1	1
558	для чего	2	1
559	понять что	1	1
560	время но	1	1
561	на западе	1	1
562	на ее	1	1
563	и должно	2	1
564	большую роль	4	1
565	с ним	1	1
566	для борьбы	1	1
567	нашего времени	2	1
568	характер и	1	1
569	он действует	1	1
570	сама жизнь	2	1
571	время когда	1	1
572	том и	2	1
573	власти и	1	1
574	духа к	1	1
575	творчества и	1	1
576	о самом	1	1
577	же стороны	1	1
578	мы говорим	2	1
579	необходимой для	1	1
580	истории что	1	1
581	которые нельзя	1	1
582	них нельзя	1	1
583	не знал	2	1
584	которые могут	1	1
585	людовика xiv	1	1
586	отнесены к	1	1
587	и отдельных	1	1
588	приводит к	1	1
589	национального духа	1	1
590	мыслей и	1	1
591	знает что	1	1
592	лишь те	1	1
593	но оно	1	1
594	нет ничего	1	1
595	особенно для	1	1
596	ни к	2	1
597	попал в	1	1
598	должно быть	4	1
599	разнообразие в	1	1
600	истории не	3	1
601	истории человечества	1	1
602	со всех	4	1
603	ли он	1	1
604	и поставил	1	1
605	истории но	1	1
606	он часто	1	1
607	истории он	1	1
608	личность от	1	1
609	мне представляется	1	1
610	и духовные	1	1
611	к одному	1	1
612	времени вот	1	1
613	в обществе	2	1
614	принадлежит уже	1	1
615	переход от	1	1
616	и роста	1	1
617	привел к	1	1
618	что совершается	1	1
619	это тем	1	1
620	человечества и	1	1
621	он давал	1	1
622	и исключительно	1	1
623	я давно	1	1
624	употреблении слов	1	1
625	господствующей в	1	1
626	друг друга	1	1
627	жизни не	3	1
628	которые они	1	1
629	формы и	2	1
630	обратиться к	1	1
631	высшей степени	6	1
632	всегда была	1	1
633	то они	1	1
634	в более	1	1
635	в старых	1	1
636	ничем не	1	1
637	есть такой	1	1
638	не во	4	1
639	и было	2	1
640	не выходила	1	1
641	до последних	1	1
642	над этой	1	1
643	думаю и	1	1
644	же мере	1	1
645	переход к	2	1
646	в формах	1	1
647	себя на	1	1
648	истории как	1	1
649	другой же	1	1
650	очень долго	1	1
651	слова а	1	1
652	сближения и	1	1
653	вполне возможно	1	1
654	должно стать	2	1
655	от своих	1	1
656	к самой	2	1
657	ее роли	1	1
658	говорим о	1	1
659	от всех	1	1
660	этого не	1	1
661	в свои	2	1
662	что будет	1	1
663	и начинается	2	1
664	вероятно будут	1	1
665	нет надобности	1	1
666	божьего и	1	1
667	к жизни	3	1
668	в исторический	1	1
669	и духовной	1	1
670	становится все	1	1
671	перейти к	3	1
672	но внутри	1	1
673	за его	1	1
674	мысли в	2	1
675	связаны с	2	1
676	этой системы	1	1
677	но те	1	1
678	том случае	1	1
679	какой-либо смысл	1	1
680	одну из	1	1
681	тому как	3	1
682	на всех	1	1
683	только так	1	1
684	истории а	2	1
685	к тем	1	1
686	не с	1	1
687	есть и	1	1
688	что образ	1	1
689	что мой	1	1
690	народ а	1	1
691	и жизни	1	1
692	борьбу за	1	1
693	в большинстве	1	1
694	его национального	1	1
695	зависимость от	1	1
696	него и	1	1
697	не быть	1	1
698	на путь	1	1
699	слишком большой	1	1
700	в высшей	6	1
701	эту мысль	1	1
702	оставалось в	1	1
703	было быть	1	1
704	самом себе	1	1
705	всей нашей	1	1
706	к новому	7	1
707	общества и	2	1
708	все еще	1	1
709	совести и	1	1
710	себя а	1	1
711	культуры она	2	1
712	человек не	1	1
713	совершается в	1	1
