N	2gram	Berdyaev_N	Vvedenie
138	вот почему	2	3
139	времени в	2	3
140	которых не	2	3
141	не с	1	3
142	в этой	1	3
143	того же	1	3
144	от того	1	3
145	так же	2	3
146	известном смысле	1	3
147	наряду с	3	3
148	на нее	1	3
149	в своем	1	3
150	в зависимости	1	3
151	что она	2	3
152	одна из	2	3
153	как будто	2	3
154	нуждается в	1	3
155	для этого	2	3
156	понять что	1	3
157	смысле как	1	3
158	раньше чем	1	3
159	к нему	1	3
160	никогда не	6	3
161	ближе к	1	2
162	во всем	1	2
163	государства и	4	2
164	еще при	1	2
165	так и	2	2
166	философии и	1	2
167	на протяжении	2	2
168	и сейчас	1	2
169	познания и	2	2
170	должна быть	3	2
171	мы не	2	2
172	и должно	2	2
173	смысле в	1	2
174	смысле и	1	2
175	вопросу о	1	2
176	ни к	2	2
177	это уже	1	2
178	он и	1	2
179	природе и	2	2
180	или нет	1	2
181	и из	1	2
182	мысли и	2	2
183	нашего времени	2	2
184	истории в	5	2
185	себя в	2	2
186	для них	1	2
187	не столько	1	2
188	у нас	1	2
189	в формах	1	2
190	античной культуры	1	2
191	к самой	2	2
192	не было	4	2
193	что нет	1	2
194	истории не	3	2
195	этого не	1	2
196	а во-вторых	1	2
197	есть лишь	4	2
198	ни одна	2	2
199	и с	2	2
200	будто бы	1	2
201	значение в	1	2
202	это есть	7	2
203	по существу	2	2
204	жизни и	8	2
205	и творчества	2	2
206	к таким	1	2
207	подобно тому	3	2
208	нового типа	2	2
209	есть только	1	2
210	том смысле	1	2
211	и истории	1	2
212	себе и	1	2
213	во всех	3	2
214	и потому	4	2
215	не существует	3	2
216	не могли	2	2
217	что мы	1	2
218	когда мы	2	2
219	движение от	2	2
220	мы уже	1	2
221	в свою	1	2
222	тому как	3	2
223	только так	1	2
224	в этот	1	2
225	мы должны	1	2
226	будет в	1	2
227	средних веков	1	2
228	народов и	1	2
229	в прошлом	3	2
230	от других	1	2
231	и до	1	2
232	ко времени	1	2
233	значение и	1	2
234	должно быть	4	2
235	одного и	1	2
236	в основу	1	2
237	них не	1	2
238	был в	1	2
239	все время	2	2
240	но это	6	2
241	философской мысли	1	2
242	жизни как	2	2
243	истории из	1	2
244	не к	2	2
245	все в	1	1
246	к лицу	3	1
247	положительных знаний	1	1
248	обращена к	1	1
249	заинтересована в	1	1
250	был и	1	1
251	все что	1	1
252	которая должна	1	1
253	и очень	1	1
254	они не	1	1
255	жить в	1	1
256	она с	1	1
257	также что	1	1
258	чтобы быть	1	1
259	о человеке	1	1
260	жизни а	1	1
261	которая в	1	1
262	может еще	1	1
263	том числе	1	1
264	и имеет	1	1
265	для себя	1	1
266	могли не	1	1
267	в гг	1	1
268	групп и	1	1
269	новому времени	1	1
270	моментом в	1	1
271	это значит	1	1
272	а это	1	1
273	с ним	1	1
274	который можно	1	1
275	совершающееся в	1	1
276	истории нового	1	1
277	от этой	1	1
278	слова в	1	1
279	истории с	1	1
280	лицом к	3	1
281	разобраться в	1	1
282	не больше	1	1
283	нет никакого	1	1
284	и которые	1	1
285	в русском	2	1
286	века но	2	1
287	у него	2	1
288	не на	1	1
289	под этим	1	1
290	вопрос об	1	1
291	что все	2	1
292	оно не	1	1
293	как не	8	1
294	и связаны	1	1
295	в духе	3	1
296	говорим о	1	1
297	или не	1	1
298	но он	1	1
299	есть проблема	1	1
300	смысл русской	1	1
301	чтобы эти	1	1
302	помнить что	2	1
303	жизнь в	1	1
304	что его	1	1
305	и техники	1	1
306	что будет	1	1
307	из сторон	1	1
308	как некогда	1	1
309	в россии	3	1
310	с другими	1	1
311	и все	4	1
312	бытия и	1	1
313	сам собой	1	1
314	еще в	1	1
315	есть в	2	1
316	немецкий английский	1	1
317	быть только	1	1
318	в глубине	1	1
319	в эпоху	9	1
320	но для	2	1
321	принято считать	1	1
322	что сами	1	1
323	лишь к	1	1
324	слова а	1	1
325	или иная	1	1
326	так много	1	1
327	в жизни	5	1
328	можно назвать	2	1
329	мысли но	1	1
330	давно уже	1	1
331	и совсем	1	1
332	метода и	1	1
333	истории для	1	1
334	долгое время	1	1
335	и дух	1	1
336	духа в	2	1
337	рода и	1	1
338	больше оснований	1	1
339	в духовной	2	1
340	человека на	1	1
341	человеке и	1	1
342	неспособность к	1	1
343	становится все	1	1
344	и отдельных	1	1
345	перед собой	1	1
346	в новой	7	1
347	в такой	1	1
348	в новом	2	1
349	через них	1	1
350	это было	3	1
351	осталось ни	1	1
352	явление культуры	1	1
353	ли это	2	1
354	формах и	1	1
355	в эту	1	1
356	что вообще	1	1
357	теперь и	1	1
358	и у	1	1
359	не свободен	1	1
360	мысли в	2	1
361	связано с	1	1
362	вопроса о	1	1
363	тут нет	1	1
364	ему не	1	1
365	на них	1	1
366	в природе	2	1
367	греческой цивилизации	1	1
368	права и	2	1
369	перестает быть	4	1
370	это и	2	1
371	мировое значение	1	1
372	человека в	1	1
373	это конечно	1	1
374	а к	1	1
375	и более	1	1
376	жизни для	1	1
377	нет уже	1	1
378	в статье	1	1
379	что этот	1	1
380	и всеми	1	1
381	не означает	3	1
382	истории человечества	1	1
383	значит что	4	1
384	должно было	2	1
385	и жизненной	1	1
386	средние века	7	1
387	потребность в	1	1
388	превращается в	1	1
389	был уже	1	1
390	в высшем	1	1
391	их стремление	1	1
392	истории но	1	1
393	не должно	1	1
394	одну из	1	1
395	но во	1	1
396	не по	1	1
397	быть не	1	1
398	не быть	1	1
399	она могла	1	1
400	по многим	1	1
401	не всегда	1	1
402	из их	1	1
403	имея в	1	1
404	и трудно	1	1
405	и т.п	2	1
406	истории а	2	1
407	в которой	1	1
408	лишь в	6	1
409	не будет	7	1
410	в философском	1	1
411	лишь на	1	1
412	своего научного	1	1
413	вкус к	2	1
414	к вопросу	1	1
415	должны быть	1	1
416	одна сторона	1	1
417	совершенно невозможно	1	1
418	почему о	1	1
419	не могла	2	1
420	за пределы	3	1
421	заключает в	1	1
422	говорит что	1	1
423	человеческого духа	1	1
424	значительной степени	1	1
425	история нового	1	1
426	в xix	1	1
427	общественной жизни	6	1
428	он есть	1	1
429	человека и	3	1
430	во-вторых нужно	1	1
431	была уже	1	1
432	знает что	1	1
433	всего что	1	1
434	в каких	1	1
435	мыслителей и	1	1
436	ли есть	2	1
437	в средние	3	1
438	и начал	1	1
439	он в	1	1
440	культуры но	1	1
441	нет и	2	1
442	место в	2	1
443	к ним	3	1
444	человечества и	1	1
445	культуры и	7	1
446	не осталось	1	1
447	оба они	1	1
448	только одна	1	1
449	но нет	1	1
450	она неизбежно	1	1
451	того времени	1	1
452	стран до	1	1
453	более широкого	1	1
454	начала xix	1	1
455	в высшей	6	1
456	к которому	1	1
457	не значит	3	1
458	и от	2	1
459	вполне возможно	1	1
460	с идеями	1	1
461	бы сказать	1	1
462	мысли как	1	1
463	в атмосфере	1	1
464	как часто	1	1
465	к древним	1	1
466	нем не	1	1
467	к образованию	2	1
468	характер будет	1	1
469	во франции	1	1
470	этой системе	1	1
471	античного мира	4	1
472	во время	1	1
473	ведь и	2	1
474	та или	1	1
475	идей и	1	1
476	только потому	1	1
477	содержанию а	1	1
478	нас и	1	1
479	и особенно	1	1
480	более сложной	1	1
481	к первоисточникам	1	1
482	истории на	1	1
483	мы скорее	1	1
484	человечества в	1	1
485	вернуться к	2	1
486	обратиться к	1	1
