N	2gram	Savitsky_P	VLabPisa
184	в сфере	2	2
185	заключается в	3	2
186	н н	3	2
187	во всей	2	2
188	или иной	1	2
189	в общем	2	2
190	в реальной	1	2
191	в области	11	2
192	но для	1	2
193	но в	9	2
194	чуть ли	1	2
195	с к	7	1
196	с которой	1	1
197	ответа на	1	1
198	были бы	1	1
199	и другие	1	1
200	является в	2	1
201	и то	1	1
202	мы видим	1	1
203	но на	1	1
204	что если	1	1
205	и многие	1	1
206	но несколько	1	1
207	можно говорить	1	1
208	и мы	2	1
209	мы и	1	1
210	в процесс	1	1
211	многих других	1	1
212	наше сознание	1	1
213	ней не	2	1
214	воздух и	1	1
215	в действии	1	1
216	творчества они	1	1
217	к этой	1	1
218	переходит в	1	1
219	соотношение между	1	1
220	мы не	3	1
221	на личную	1	1
222	к сфере	1	1
223	еще более	2	1
224	в применении	1	1
225	есть для	1	1
226	и менее	1	1
227	к истине	1	1
228	формы в	1	1
229	в определенном	1	1
230	положение что	1	1
231	не как	1	1
232	для нас	2	1
233	и всегда	1	1
234	например с	1	1
235	науке и	1	1
236	сущность в	1	1
237	процесс этот	1	1
238	раскрывается в	1	1
239	нет никакого	1	1
240	в живом	1	1
241	в этих	1	1
242	в русском	2	1
243	без того	1	1
244	что делать	1	1
245	качестве общего	1	1
246	в ином	1	1
247	и эти	1	1
248	в рамки	1	1
249	в виде	2	1
250	определяется как	1	1
251	этого процесса	1	1
252	сами по	3	1
253	его сущность	1	1
254	так было	1	1
255	не очень	1	1
256	не будем	2	1
257	а также	4	1
258	и которая	1	1
259	и судьбы	1	1
260	на себя	1	1
261	развития в	1	1
262	к более	1	1
263	если он	1	1
264	в сферу	1	1
265	свидетельство о	1	1
266	характер этого	1	1
267	не тождественны	1	1
268	из тех	1	1
269	друг другу	2	1
270	о г	4	1
271	и без	3	1
272	в какой	1	1
273	работы в	1	1
274	что по	1	1
275	одновременно и	1	1
276	сложной и	1	1
277	них и	1	1
278	не имеет	1	1
279	обе эти	1	1
280	в свете	1	1
281	о котором	1	1
282	сравнению с	1	1
283	в известном	1	1
284	и это	2	1
285	в каком	1	1
286	д н	2	1
287	в существе	1	1
288	в которые	1	1
289	не все	1	1
290	казалось бы	1	1
291	в поиски	1	1
292	чтобы понять	1	1
293	нет ничего	1	1
294	поскольку она	1	1
295	и тех	1	1
296	ни к	1	1
297	более чем	2	1
298	на этой	1	1
299	а с	1	1
300	в данном	1	1
301	духовной и	1	1
302	тем более	2	1
303	вопрос о	1	1
304	не означает	1	1
305	при посредстве	2	1
306	применении к	1	1
307	поэзии и	1	1
308	он был	1	1
309	есть в	2	1
310	при отсутствии	1	1
311	может идти	1	1
312	единства в	1	1
313	уже в	1	1
314	почти исключительно	1	1
315	с определенной	1	1
316	и дети	2	1
317	по сравнению	2	1
318	отрыве от	1	1
319	предостерегает от	1	1
320	друг друга	1	1
321	потому что	3	1
322	и тем	2	1
323	и упрощенно	1	1
324	материалы и	1	1
325	только один	1	1
326	эта мысль	1	1
327	из мира	1	1
328	со стороны	2	1
329	только на	1	1
330	что эта	1	1
331	для этого	1	1
332	одно и	1	1
333	и если	4	1
334	есть и	1	1
335	метафизиками и	1	1
336	и что	1	1
337	и целиком	1	1
338	заключает в	2	1
339	в начале	2	1
340	мы хотим	1	1
341	еще в	1	1
342	в истории	1	1
343	как оно	1	1
344	это имеет	1	1
345	этом смысле	1	1
346	что из	2	1
347	каждый из	1	1
348	и наоборот	1	1
349	и движение	1	1
350	и первой	1	1
351	не деятельностью	1	1
352	и еще	1	1
353	исключительно в	2	1
354	тот или	1	1
355	видим в	1	1
356	что во	1	1
357	в ходе	1	1
358	что есть	1	1
359	находится в	1	1
360	различий в	1	1
361	и других	2	1
362	ее нужно	1	1
363	и творческих	1	1
364	это в	1	1
365	связаны с	1	1
366	широко и	1	1
367	над отдельными	1	1
368	с ее	1	1
369	во времени	1	1
370	и особенно	1	1
371	образом на	2	1
372	с того	1	1
373	не к	2	1
374	грань между	1	1
