N	2gram	Bakhtin_sl	TeoriaLi
145	и что	2	4
146	в форме	3	4
147	далеко не	7	4
148	того же	7	4
149	одного и	1	4
150	с ее	6	4
151	в целом	3	4
152	и ее	3	4
153	и к	9	3
154	к действительности	1	3
155	во втором	1	3
156	в таком	5	3
157	с этой	3	3
158	даже в	4	3
159	говорит и	2	3
160	о чем	1	3
161	только не	2	3
162	однако при	1	3
163	если бы	1	3
164	между которыми	1	3
165	все эти	15	3
166	а именно	2	3
167	в романе	64	3
168	именно в	5	3
169	например в	6	3
170	в жизни	1	3
171	к его	1	3
172	роль в	4	3
173	в лирике	1	3
174	из которого	2	3
175	тем не	2	3
176	перед нами	7	3
177	но их	2	3
178	свою очередь	3	3
179	виду не	1	3
180	между собой	3	3
181	потому что	2	3
182	одной стороны	7	3
183	между двумя	1	3
184	или иных	1	3
185	в одном	4	3
186	не обязательно	1	3
187	имеем в	1	3
188	известной степени	6	3
189	мог бы	1	3
190	это отношение	2	3
191	во всей	1	3
192	не все	2	3
193	из этих	3	3
194	и для	7	3
195	таким образом	16	3
196	и то	2	3
197	на языке	2	3
198	мышления и	6	3
199	в единое	2	3
200	с одной	7	3
201	том числе	1	3
202	в художественной	1	3
203	и потому	9	3
204	с точки	11	3
205	как раз	3	3
206	есть в	1	3
207	прежде всего	14	3
208	а на	3	3
209	и притом	1	3
210	связи с	4	3
211	или в	10	3
212	без остатка	1	3
213	и позволяет	1	3
214	одним из	5	3
215	в эстетический	1	3
216	в контексте	5	3
217	в связи	2	3
218	и как	3	3
219	его текст	1	3
220	в сторону	1	3
221	вовсе не	16	3
222	той или	13	3
223	во всех	25	3
224	а с	2	3
225	с языком	4	3
226	в которой	4	3
227	он должен	1	3
228	не с	5	3
229	в этой	1	3
230	и др	17	3
231	в узком	13	3
232	столь же	2	3
233	и по	3	3
234	слова как	8	3
235	тех или	1	3
236	отнюдь не	1	3
237	мира в	2	3
238	в той	13	2
239	и другие	3	2
240	для всех	2	2
241	однако с	1	2
242	в сочетании	2	2
243	один из	9	2
244	и здесь	5	2
245	таковы например	1	2
246	автором и	3	2
247	и на	17	2
248	рассказ о	1	2
249	которая в	1	2
250	на этом	4	2
251	а затем	1	2
252	по себе	4	2
253	не могут	7	2
254	в них	11	2
255	оно не	12	2
256	и даже	11	2
257	а напротив	1	2
258	между автором	2	2
259	этой точки	1	2
260	героя как	1	2
261	на мир	6	2
262	заключается в	1	2
263	произведений искусства	1	2
264	имеет дело	4	2
265	обращается к	1	2
266	в одно	2	2
267	с ними	8	2
268	вместе с	3	2
269	жизни в	2	2
270	языка на	3	2
271	себя и	2	2
272	отличается от	3	2
273	оттесняет на	1	2
274	вследствие этого	1	2
275	в известном	2	2
276	в каком	1	2
277	жизни на	1	2
278	к другому	1	2
279	к своему	11	2
280	о том	5	2
281	не входит	1	2
282	при всем	3	2
283	сам же	1	2
284	это и	1	2
285	ними и	1	2
286	в диалоге	1	2
287	при наличии	1	2
288	в прозе	1	2
289	и политического	1	2
290	при условии	1	2
291	совершенно иной	1	2
292	высказывания и	3	2
293	к нему	7	2
294	в значительной	6	2
295	и иных	6	2
296	но во	1	2
297	сложности и	1	2
298	не всегда	1	2
299	сознания в	2	2
300	своей внутренней	1	2
301	не могло	3	2
302	только на	3	2
303	вступает в	2	2
304	может служить	1	2
305	речь идет	1	2
306	о своем	1	2
307	и это	1	2
308	значительной степени	6	2
309	композиционная форма	3	2
310	если мы	2	2
311	что она	1	2
312	для понимания	3	2
313	до известной	3	2
314	здесь не	6	2
315	в противном	1	2
316	внутренний голос	1	2
317	на котором	3	2
318	в мировой	2	2
319	он и	1	2
320	в стилистическом	1	2
321	в системе	2	2
322	не просто	2	2
323	в самой	1	2
324	только о	2	2
325	чем это	1	2
326	речи а	1	2
327	жизни но	2	2
328	истории литературы	1	2
329	бы то	1	2
330	то в	2	2
331	что они	2	2
332	но на	1	2
333	вокруг него	4	2
334	рода и	1	2
335	в поэзии	4	2
336	в последней	1	2
337	одной из	4	2
338	несмотря на	2	2
339	ни было	2	2
340	корнями в	2	2
341	в формах	1	2
342	что такое	1	2
343	способность к	1	2
344	все это	14	2
345	что и	2	2
346	у нас	2	2
347	или иную	1	2
348	xix века	2	2
349	с их	1	2
350	слова не	5	2
351	у него	5	2
352	возможность иного	1	2
353	высказывания не	2	2
354	от всех	1	2
355	и некоторые	1	2
356	дело в	2	2
357	высказывания как	2	2
358	в конце	1	2
359	сама по	2	2
360	тому что	2	2
361	случае не	2	2
362	в какой	2	2
363	противном случае	1	2
364	на фоне	11	2
365	не от	1	2
366	данный момент	4	2
367	зрения и	4	2
368	только и	3	2
369	это было	2	2
370	границ между	1	2
371	в чем	2	2
372	об этом	1	2
373	должен быть	3	2
374	тем более	1	2
375	к одному	1	2
376	могли бы	2	2
377	о себе	2	2
378	но как	2	2
379	могут служить	1	2
380	и одной	1	2
381	как уже	2	2
382	то ни	1	2
383	дело не	2	2
384	есть как	3	2
385	быть и	6	2
386	в первом	3	2
387	но она	2	2
388	свою жизнь	1	2
389	одно и	3	2
390	соединении с	1	2
391	автора и	6	2
392	за пределы	6	2
393	от своего	1	2
394	это может	2	2
395	человека и	3	2
396	в большинстве	16	2
397	с человеком	1	2
398	тем или	1	2
399	идет о	1	2
400	могла бы	1	2
401	так же	2	2
402	числе и	1	2
403	что может	1	2
404	известном смысле	2	2
405	и особенно	2	2
406	роман и	7	2
407	его внешней	1	2
408	к чужому	9	2
409	в общественном	1	2
410	с чем	1	2
411	и прежде	1	2
412	включает в	3	2
413	автора как	1	2
414	может и	1	2
415	ни был	1	2
416	чтобы не	1	2
417	в пространстве	1	2
418	могло быть	1	2
419	или напротив	2	2
420	мира с	1	2
421	в особенности	10	1
422	с которыми	2	1
423	почву для	2	1
424	от жанра	2	1
425	к такому	2	1
426	от него	5	1
427	однако и	2	1
428	является в	1	1
429	все что	1	1
430	путем его	1	1
431	произведение и	1	1
432	в тени	1	1
433	вступить в	1	1
434	случае в	1	1
435	можно говорить	2	1
436	тургенева в	1	1
437	за ним	1	1
438	же и	4	1
439	героев и	2	1
440	слишком сильно	1	1
441	и свою	1	1
442	художественное сознание	1	1
443	своего собственного	1	1
444	его с	1	1
445	не знают	1	1
446	произведения она	1	1
447	утратит свою	1	1
448	перестают быть	1	1
449	социальных диалектов	3	1
450	дело с	4	1
451	есть для	2	1
452	и дает	1	1
453	его за	1	1
454	уходит своими	2	1
455	это игра	1	1
456	человека внутренняя	1	1
457	жанры в	1	1
458	с ним	12	1
459	смехом как	1	1
460	тем как	1	1
461	в сущности	18	1
462	не требует	3	1
463	какой бы	1	1
464	в другой	2	1
465	говорит о	1	1
466	те же	3	1
467	не как	4	1
468	проникновения в	1	1
469	первых двух	1	1
470	из существеннейших	5	1
471	одному из	2	1
472	смыслу и	1	1
473	от художественного	1	1
474	и другими	2	1
475	в смешении	1	1
476	которого может	1	1
477	в результате	4	1
478	то с	1	1
479	оно стремится	1	1
480	до последнего	2	1
481	не бывает	1	1
482	целом ряде	1	1
483	речи от	1	1
484	с собой	1	1
485	и само	2	1
486	том и	2	1
487	синтаксических и	1	1
488	этом как	1	1
489	в плоскости	1	1
490	для данного	1	1
491	романного слова	5	1
492	со всеми	3	1
493	их не	1	1
494	языка этот	3	1
495	текста и	1	1
496	синтаксических конструкций	1	1
497	все то	2	1
498	с некоторыми	1	1
499	на свой	1	1
500	до этого	1	1
501	новое время	2	1
502	случаях обычно	1	1
503	между всеми	1	1
504	литературы но	1	1
505	сознание не	1	1
506	такими же	1	1
507	в собственном	2	1
508	говорящего и	3	1
509	высказывания но	1	1
510	в статике	1	1
511	и делают	1	1
512	о мире	1	1
513	с ней	2	1
514	жизнь в	2	1
515	смысла и	6	1
516	произведения в	2	1
517	в особый	2	1
518	мы говорим	1	1
519	введенное в	1	1
520	и соотношений	1	1
521	всегда остается	1	1
522	значение в	2	1
523	слова с	3	1
524	чужих ему	1	1
525	языкового сознания	10	1
526	в различные	2	1
527	пусть это	1	1
528	тем что	1	1
529	этого в	1	1
530	одним словом	4	1
531	в составе	1	1
532	говорят о	1	1
533	и действительно	1	1
534	то время	2	1
535	включен в	2	1
536	если он	1	1
537	чужому слову	6	1
538	и другим	4	1
539	в тень	1	1
540	языковом сознании	1	1
541	язык данного	1	1
542	этого типа	2	1
543	его сознании	1	1
544	завершенность и	1	1
545	с такими	1	1
546	что по	1	1
547	синтаксической конструкции	1	1
548	все же	10	1
549	в творческом	1	1
550	слов а	1	1
551	смысла к	1	1
552	они ни	1	1
553	своему смыслу	1	1
554	предмета и	2	1
555	речь в	2	1
556	как более	2	1
557	бы не	1	1
558	не разделять	1	1
559	но у	1	1
560	да и	2	1
561	в историческом	2	1
562	о котором	1	1
563	зависимости от	4	1
564	характерна для	1	1
565	и слово	4	1
566	себя не	1	1
567	эта внутренняя	3	1
568	в это	1	1
569	данного литературного	1	1
570	на их	1	1
571	которая не	3	1
572	на каждом	2	1
573	глазами другого	2	1
574	композиционно и	3	1
575	высказывание в	1	1
576	на первый	1	1
577	этического и	2	1
578	другого чужого	1	1
579	по крайней	1	1
580	всем его	2	1
581	это требует	1	1
582	своему герою	1	1
583	дело со	1	1
584	языка мы	2	1
585	свое время	1	1
586	ориентация на	1	1
587	с этим	5	1
588	все они	9	1
589	только одно	1	1
590	а язык	1	1
591	действующих лиц	2	1
592	художественный образ	3	1
593	высказывание как	1	1
594	и романного	1	1
595	совершенно не	2	1
596	глубокий и	1	1
597	возможно в	1	1
598	ясность и	1	1
599	европейского романа	7	1
600	шире и	1	1
601	не умел	1	1
602	ему принадлежит	1	1
603	развернута в	3	1
604	в котором	2	1
605	есть от	2	1
606	поэт в	1	1
607	языков в	15	1
608	в действительности	1	1
609	языка и	18	1
610	в самостоятельный	2	1
611	сливается с	6	1
612	по своим	6	1
613	жизни между	1	1
614	лишь одним	1	1
615	тех же	1	1
616	несобственно-прямая речь	1	1
617	на чужое	1	1
618	то и	1	1
619	всех его	9	1
620	высказывания а	1	1
621	его исторического	1	1
622	связана с	2	1
623	значений и	1	1
624	наконец в	5	1
625	единства в	1	1
626	можно лишь	1	1
627	определяющее значение	1	1
628	только такие	1	1
629	не должно	3	1
630	слова эта	1	1
631	эффекты могут	1	1
632	быть поэтически	1	1
633	этим определяется	4	1
634	и ограничивают	1	1
635	ним и	2	1
636	которыми он	1	1
637	такого языка	2	1
638	а через	1	1
639	людей как	1	1
640	существенное значение	1	1
641	самого автора	4	1
642	всегда так	1	1
643	сознание в	1	1
644	время в	1	1
645	слова и	21	1
646	оно служит	1	1
647	этот язык	3	1
648	с которой	1	1
649	прямой речи	1	1
650	с помощью	5	1
651	жизни и	5	1
652	у автора	1	1
653	чего не	1	1
654	из своего	1	1
655	и вся	2	1
656	художественной прозы	5	1
657	и ему	1	1
658	если нет	1	1
659	оценки и	2	1
660	в различных	1	1
661	на основании	1	1
662	а между	2	1
663	в эпосе	4	1
664	одно из	1	1
665	целый ряд	2	1
666	ни были	3	1
667	и до	2	1
668	для которого	1	1
669	и те	3	1
670	познаваемого объекта	1	1
671	и внутренней	2	1
672	в истории	6	1
673	это необходимо	1	1
674	мифологического мышления	1	1
675	при анализе	1	1
676	и общества	2	1
677	в окружающей	1	1
678	от языковой	1	1
679	каждый из	1	1
680	историческое становление	1	1
681	и исторически	3	1
682	автора с	1	1
683	всего что	1	1
684	смысл на	1	1
685	автора в	2	1
686	в прошлом	2	1
687	и формы	4	1
688	на которые	3	1
689	и роман	4	1
690	прозы в	2	1
691	к ним	2	1
692	языку в	1	1
693	своими корнями	2	1
694	языка не	4	1
695	его внешними	1	1
696	в сфере	2	1
697	мир глазами	1	1
698	индивидуальный характер	1	1
699	сын и	1	1
700	той же	3	1
701	русском языке	1	1
702	речи могут	1	1
703	ее как	1	1
704	и оценки	2	1
705	становящегося человека	1	1
706	смысле не	1	1
707	именно так	1	1
708	единстве целого	1	1
709	но именно	5	1
710	до конца	25	1
711	невозможно так	1	1
712	с нею	1	1
713	за его	2	1
714	с этими	3	1
715	речевого целого	1	1
716	едины в	1	1
717	в научном	1	1
718	очень существенных	1	1
719	в одной	2	1
720	в каждый	5	1
721	что все	2	1
722	то она	1	1
723	входят в	3	1
724	том же	4	1
725	к миру	1	1
726	в сознании	3	1
727	ивана карамазова	1	1
728	момент в	2	1
729	а со	1	1
730	и достоевского	1	1
731	и нашего	1	1
732	одна из	6	1
733	языка а	7	1
734	языка но	7	1
735	творческого процесса	1	1
736	к явлениям	1	1
737	речь о	2	1
738	и внутренняя	1	1
739	со словом	4	1
740	тем это	1	1
741	но если	1	1
742	не два	1	1
743	по нем	1	1
744	культуры и	2	1
745	к предмету	4	1
746	о художественном	1	1
747	в отдельных	1	1
748	в разрушении	1	1
749	друг друга	3	1
750	как явление	1	1
751	в систему	1	1
752	слова ни	1	1
753	освобождения от	1	1
754	они могут	7	1
755	предстает как	1	1
756	к языку	3	1
757	пришлось бы	1	1
758	крайней мере	1	1
759	предмет речи	1	1
760	и становится	2	1
761	из них	3	1
762	характерно что	3	1
763	тот же	1	1
764	характерные для	2	1
765	друг другу	2	1
766	жанра в	4	1
767	его можно	1	1
768	но два	1	1
769	не входят	2	1
770	и возможности	2	1
771	как основной	1	1
772	необходимый фон	1	1
773	художника в	1	1
774	ближе к	1	1
775	представить себе	1	1
776	контексте целого	1	1
777	этих моментов	1	1
778	совершенно иными	1	1
779	слова так	2	1
780	к особенностям	1	1
781	именно к	3	1
782	языки но	2	1
783	к общему	1	1
784	этом случае	4	1
785	и такой	2	1
786	в свое	3	1
787	проникает в	1	1
788	интересом к	1	1
789	этого абзаца	2	1
790	к различным	2	1
791	или к	3	1
792	ответственность за	2	1
793	мы видим	2	1
794	в более	2	1
795	есть процесс	1	1
796	процесс их	1	1
797	от автора	4	1
798	художественно не	2	1
799	нами не	1	1
800	не поддается	1	1
801	так как	7	1
802	но этим	1	1
803	и автором	1	1
804	как такового	3	1
805	так слово	1	1
806	от его	4	1
807	последние десятилетия	1	1
808	они не	3	1
809	произведения как	3	1
810	может не	9	1
811	героев в	1	1
812	различие между	1	1
813	автору и	1	1
814	на язык	2	1
815	высказывания с	1	1
816	делает их	1	1
817	в драме	2	1
818	первом случае	2	1
819	должно быть	3	1
820	время и	3	1
821	всех сторон	1	1
822	языков или	2	1
823	который может	1	1
824	собой в	1	1
825	гуманитарных науках	1	1
826	два полюса	1	1
827	данного высказывания	1	1
828	в состоянии	1	1
829	у каждого	2	1
830	для индивидуального	1	1
831	задолго до	1	1
832	на роль	1	1
833	поэтического слова	11	1
834	речи как	3	1
835	говорящий здесь	1	1
836	жизни поэтому	3	1
837	разделять с	1	1
838	переход к	1	1
839	подчеркнуть что	2	1
840	себя самого	1	1
841	души и	1	1
842	которого он	3	1
843	характерных для	1	1
844	этому сознанию	2	1
845	форму в	1	1
846	чем у	1	1
847	как у	2	1
848	для нас	7	1
849	с системой	1	1
850	и через	1	1
851	авторский кругозор	1	1
852	одновременно и	5	1
853	фамильярный контакт	1	1
854	в герое	2	1
855	из своих	2	1
856	требует от	2	1
857	сознания и	1	1
858	его сознание	1	1
859	в новелле	1	1
860	в широком	3	1
861	стремится к	2	1
862	слово в	18	1
863	иметь место	2	1
864	сколько бы	1	1
865	наше внимание	1	1
866	в русском	1	1
867	такой жанр	1	1
868	поэтому оно	2	1
869	вокруг себя	2	1
870	языка происходит	1	1
871	не была	3	1
872	но с	1	1
873	в таких	1	1
874	даже вовсе	1	1
875	не было	4	1
876	века и	1	1
877	бы для	1	1
878	говорим о	1	1
879	используются в	2	1
880	и более	3	1
881	быть развернута	1	1
882	кричит и	1	1
883	перед необходимостью	1	1
884	что его	1	1
885	слова могут	4	1
886	евгении онегине	3	1
887	становления и	1	1
888	и где	1	1
889	но эта	2	1
890	места в	1	1
891	художника слова	1	1
892	весь его	1	1
893	по существу	3	1
894	что не	1	1
895	как впрочем	1	1
896	иных языковых	1	1
897	жанрах а	1	1
898	внешних и	1	1
899	это возможно	2	1
900	это художественно	1	1
901	из уст	1	1
902	xviii века	3	1
903	сознания но	1	1
904	и непосредственное	2	1
905	становления мира	1	1
906	в высказывании	1	1
907	как рассказчик	1	1
908	чтобы быть	1	1
909	мнения о	1	1
910	характерное для	1	1
911	между этими	3	1
912	с одним	3	1
913	не остается	2	1
914	бы быть	2	1
915	в евгении	3	1
916	и сентиментальной	1	1
917	с той	1	1
918	и без	1	1
919	с жизнью	1	1
920	долгое время	1	1
921	язык поэзии	2	1
922	также в	1	1
923	всякое высказывание	1	1
924	человек в	6	1
925	но по	2	1
926	большинстве случаев	11	1
927	и произведения	1	1
928	всем своем	1	1
929	не есть	2	1
930	между прочим	1	1
931	рядом с	7	1
932	определяет его	1	1
933	жизнью в	1	1
934	от этого	2	1
935	зрения не	3	1
936	особенности в	1	1
937	в еще	1	1
938	и со	2	1
939	того и	1	1
940	осуществляет себя	3	1
941	остановимся на	2	1
942	и глубже	1	1
943	его жизни	1	1
944	именно эта	2	1
945	в двух	2	1
946	и художественного	1	1
947	в условиях	3	1
948	или индивидуального	1	1
949	или их	1	1
950	на его	9	1
951	человек имеет	1	1
952	точек зрения	8	1
953	ибо и	1	1
954	из этого	3	1
955	единство и	4	1
956	и речевой	1	1
957	на себе	2	1
958	особенно в	3	1
959	действительности и	1	1
960	наивной и	1	1
961	мы к	1	1
962	бы в	1	1
963	ему не	2	1
964	на них	2	1
965	людей в	1	1
966	же как	2	1
967	и мир	9	1
968	основе его	1	1
969	словом или	1	1
970	на которую	1	1
971	мастерства в	1	1
972	остается в	5	1
973	в каждом	5	1
974	претендуют на	1	1
975	и властно	1	1
976	нее нет	1	1
977	чужой речи	23	1
978	здесь как	3	1
979	может иметь	3	1
980	со всех	1	1
981	системы языка	4	1
982	как ни	2	1
983	вырождается в	2	1
984	жизнь и	1	1
985	свою жизненную	1	1
986	оно в	1	1
987	на задний	1	1
988	разрыв между	1	1
989	к окружающему	1	1
990	поэт не	1	1
991	композиционные формы	1	1
992	до нас	1	1
993	если на	1	1
994	и создается	1	1
995	рассеянной чужой	1	1
996	предметно-смысловая и	1	1
997	стиля в	2	1
998	литературу с	1	1
999	очень часто	1	1
1000	в лучшем	3	1
1001	не выделено	1	1
1002	материалом и	1	1
1003	она не	8	1
1004	воспринимаются как	1	1
1005	эти два	1	1
1006	зрения в	1	1
1007	соответствующего жанра	1	1
1008	задний план	1	1
1009	не дает	1	1
1010	ту же	5	1
1011	которой сводится	1	1
1012	совсем не	1	1
1013	дистанции между	4	1
1014	образцов и	1	1
1015	мир как	1	1
1016	на всех	1	1
1017	передаваемого текста	1	1
1018	стоит и	1	1
1019	так что	2	1
1020	или же	1	1
1021	так называемые	1	1
1022	участвующая в	1	1
1023	мы понимаем	1	1
1024	говорить об	1	1
1025	просто не	2	1
1026	две реплики	3	1
1027	именно потому	1	1
1028	и может	4	1
1029	бы они	1	1
1030	в углублении	1	1
1031	оно и	4	1
1032	не оспаривает	1	1
1033	другим и	1	1
1034	и их	6	1
1035	являются такими	1	1
1036	и внутреннюю	1	1
1037	его смысла	1	1
1038	полноты и	1	1
1039	в последние	2	1
1040	не могла	2	1
1041	можно было	2	1
1042	с чужим	15	1
1043	если она	2	1
1044	но только	1	1
1045	тем и	3	1
1046	иметь в	1	1
1047	и своя	1	1
1048	стороны и	3	1
1049	лежат в	1	1
1050	из видов	1	1
1051	основные композиционные	1	1
1052	также и	5	1
1053	этих случаях	2	1
1054	других языков	2	1
1055	то или	1	1
1056	у нее	1	1
1057	как один	1	1
1058	в новое	4	1
1059	или иное	1	1
1060	границ и	1	1
1061	в иных	2	1
1062	еще на	1	1
1063	и возникает	1	1
1064	на это	1	1
1065	было бы	3	1
1066	двуголосого слова	4	1
1067	вступают в	1	1
1068	он в	6	1
1069	так называемый	1	1
1070	как мы	15	1
1071	данного произведения	1	1
1072	одного из	2	1
1073	к изучению	1	1
1074	в понимании	3	1
1075	что для	1	1
1076	литературное произведение	1	1
1077	его как	3	1
1078	момент своего	1	1
1079	авторитетное слово	1	1
1080	в зависимости	4	1
1081	подход к	2	1
1082	которые в	4	1
1083	сказать в	1	1
1084	в чужом	4	1
1085	приводят к	1	1
1086	но прежде	1	1
1087	произведения не	2	1
1088	этом и	1	1
1089	целом здесь	1	1
1090	особое отношение	1	1
1091	это ощущение	1	1
1092	оно живет	1	1
1093	и от	5	1
1094	и есть	2	1
1095	с которым	4	1
1096	косвенной речи	2	1
1097	же в	2	1
1098	из его	1	1
1099	вырастающая из	1	1
1100	как игра	1	1
1101	на территории	2	1
1102	чаще всего	1	1
1103	на то	2	1
1104	себе самому	1	1
1105	ним всегда	1	1
1106	бы ни	3	1
1107	нуждается в	3	1
1108	себе еще	1	1
1109	степени и	2	1
1110	и только	2	1
1111	установка не	1	1
1112	особый язык	5	1
1113	толстого в	1	1
1114	все художественные	1	1
1115	как целого	1	1
1116	ответственного за	1	1
1117	независимо от	1	1
1118	условность и	1	1
1119	лучшем случае	3	1
1120	в него	9	1
1121	для этого	4	1
1122	таким же	1	1
1123	слова своего	2	1
1124	именно это	1	1
1125	в жизненном	1	1
1126	и совершенно	1	1
1127	каждого из	1	1
1128	рассказчика не	1	1
1129	дело здесь	1	1
1130	в известной	3	1
1131	есть не	2	1
1132	жизнью и	1	1
1133	говорит не	1	1
1134	и иные	2	1
1135	момент его	4	1
1136	себе а	1	1
1137	к автору	2	1
1138	более того	5	1
1139	внутренняя раздвоенность	1	1
