N	2gram	Bakhtin_KF	UchenyiS
166	не делает	1	1
167	ее как	2	1
168	это много	1	1
169	и действительно	6	1
170	и индивидуального	1	1
171	переходит в	1	1
172	науки они	1	1
173	отсюда и	3	1
174	но прежде	1	1
175	исходить из	1	1
176	принципов и	1	1
177	и разнообразие	1	1
178	она не	2	1
179	быть в	4	1
180	смысле и	2	1
181	до конца	3	1
182	является только	1	1
183	она в	1	1
184	относятся к	1	1
185	в своем	17	1
186	она эта	1	1
187	тогда когда	3	1
188	с тем	2	1
189	в значительной	1	1
190	входит в	4	1
191	для себя	7	1
192	стороны в	3	1
193	только как	4	1
194	что только	2	1
195	его на	2	1
196	только при	1	1
197	пройти мимо	2	1
198	какого-нибудь произведения	1	1
199	именно к	1	1
200	относится к	1	1
201	он становится	1	1
202	мы имеем	5	1
203	во мне	3	1
204	содержания на	1	1
205	но понятие	1	1
206	содержательны и	1	1
207	правда может	1	1
208	их в	1	1
209	же в	1	1
210	не для	1	1
211	он может	2	1
212	в ней	3	1
213	впрочем в	1	1
214	где же	1	1
215	теории и	3	1
216	и теоретической	1	1
217	и так	1	1
218	философское мышление	1	1
219	это значит	1	1
220	место и	2	1
221	а это	2	1
222	в этот	1	1
223	единства и	2	1
224	его теоретической	1	1
225	дан в	2	1
226	на то	1	1
227	он и	2	1
228	которой и	1	1
229	значимость и	2	1
230	бы ни	1	1
231	не значит	6	1
232	только для	1	1
233	к этому	2	1
234	так и	2	1
235	о нем	4	1
236	из которых	2	1
237	вся система	1	1
238	это в	1	1
239	ее в	1	1
240	отнюдь не	7	1
241	находятся в	1	1
242	по методу	1	1
243	месте в	1	1
244	в качестве	2	1
245	и методических	1	1
246	в нем	32	1
247	он не	6	1
248	содержания и	2	1
249	независимо от	3	1
250	может служить	1	1
251	поскольку он	3	1
252	все что	1	1
253	его еще	1	1
254	на его	1	1
255	в известном	1	1
256	они находятся	2	1
257	и эстетической	1	1
258	одно из	1	1
259	смысле можно	1	1
260	и это	12	1
261	в различных	1	1
262	закон и	1	1
263	и всякого	1	1
264	и историческая	1	1
265	на своем	3	1
266	и делает	3	1
267	должно быть	6	1
268	поступка в	6	1
269	об этом	1	1
270	быть обоснованы	1	1
271	правда не	1	1
272	самое что	1	1
273	в виду	3	1
274	само по	1	1
275	к которой	2	1
276	не случайной	1	1
277	не предмет	1	1
278	тот же	3	1
279	уже не	7	1
280	ценность в	1	1
281	научного мышления	2	1
282	о том	3	1
283	и отчетливо	2	1
284	этого конечно	1	1
285	того что	3	1
286	в понятии	1	1
287	определяется не	1	1
288	он пытается	1	1
289	но такое	1	1
290	архитектоники в	1	1
291	как таковым	1	1
292	в котором	24	1
293	не существует	1	1
294	в виде	2	1
295	отвлеченное от	1	1
296	той же	1	1
297	не принцип	1	1
298	приводит к	1	1
299	никогда не	5	1
300	его эстетической	1	1
301	человека и	3	1
