N	3gram	Propp_Morf	Formalny
150	может быть названа	1	1
151	что в основе	1	1
152	здесь играет роль	1	1
153	то же происходит	2	1
154	состоит в том	3	1
155	там где оно	2	1
156	в целом и	1	1
157	если она есть	1	1
158	и там где	1	1
159	и пр он	2	1
160	и при изучении	1	1
161	к вопросу о	2	1
162	и до известной	1	1
163	это значит что	1	1
164	или во всяком	1	1
165	и пр как	1	1
166	самом деле он	1	1
167	и как таковой	1	1
168	а также и	5	1
169	мы видим что	11	1
170	нисколько не меняет	1	1
171	если мы условно	1	1
172	существу вовсе не	1	1
173	т е о	1	1
174	собственном смысле слова	3	1
175	в этих случаях	14	1
176	таким образом мы	7	1
177	нужно иметь в	1	1
178	и тем не	2	1
179	еще не значит	1	1
180	т е не	1	1
181	и пр чем	1	1
182	той или иной	1	1
183	в той плоскости	1	1
184	в первом и	1	1
185	мы увидим дальше	1	1
186	мы видим не	1	1
187	т д таким	1	1
188	но и здесь	1	1
189	на то что	3	1
190	и может быть	1	1
191	быть поняты без	1	1
192	бы сказать что	1	1
193	и пр то	2	1
194	в чем же	1	1
195	что вопрос о	1	1
196	как это делается	1	1
197	элемент может быть	1	1
198	о том что	3	1
199	не дают никаких	1	1
200	ясно что это	1	1
201	таким образом во	1	1
202	а не по	1	1
203	достигается тем что	1	1
204	так как эта	1	1
205	было бы сказать	1	1
206	можно сказать что	1	1
207	что и другие	1	1
208	только в том	1	1
209	посадить героя в	1	1
210	в то время	3	1
211	перейти к разработке	1	1
212	со всеми другими	1	1
213	в точном смысле	1	1
214	единого принципа в	1	1
215	хотя и не	2	1
216	всего возникает вопрос	1	1
217	дело обстоит не	1	1
218	не что иное	2	1
219	один из важнейших	1	1
220	что иное как	2	1
221	ни в коем	1	1
222	т д отсюда	1	1
223	с помощью этого	1	1
224	в нашу задачу	1	1
225	одно и то	1	1
226	все эти вопросы	1	1
227	сама создает новые	1	1
228	это и не	2	1
229	вовсе не с	1	1
230	но это бывает	1	1
231	в наши задачи	1	1
232	между собой и	1	1
233	что там где	1	1
234	во всех этих	1	1
235	при помощи которой	2	1
236	в сущности вовсе	1	1
237	это достигается тем	1	1
238	но так как	2	1
239	имеют отношение к	1	1
240	в других случаях	1	1
241	сам он не	1	1
242	по существу и	1	1
243	образом мы приходим	2	1
244	было бы показать	1	1
245	и в некоторых	1	1
246	между тем в	1	1
247	здесь не может	1	1
248	на каком материале	1	1
249	том случае если	2	1
250	хотя бы только	1	1
251	сюда же относятся	1	1
252	одна из них	1	1
253	вне связи с	2	1
254	вопрос о том	2	1
255	коем случае не	1	1
256	является одним из	1	1
257	так же не	1	1
258	должны привести к	1	1
259	между прочим и	1	1
260	каким образом они	1	1
261	можно было бы	2	1
262	хотя и здесь	1	1
263	потому что они	1	1
264	они вступают в	1	1
265	эти две формы	1	1
