N	2gram	Savitsky_P	VerxiiNi
130	в русском	2	2
131	различия между	1	2
132	верхами и	1	2
133	в них	2	2
134	не было	2	2
135	значительной части	1	2
136	не в	5	2
137	а также	4	2
138	в россии	3	2
139	мысль о	2	2
140	том виде	1	2
141	именно в	2	2
142	эти черты	1	2
143	для каждого	1	2
144	одновременно и	1	2
145	в одно	1	2
146	русской интеллигенции	1	2
147	о котором	1	2
148	в русских	1	2
149	сравнению с	1	2
150	в эту	2	2
151	русское благочестие	1	2
152	особенно в	1	2
153	еще не	1	2
154	во всех	2	2
155	и мир	1	2
156	ли они	1	2
157	выступает в	1	2
158	мы можем	1	2
159	что мы	3	2
160	по сравнению	2	2
161	между тем	3	2
162	значительной мере	2	2
163	есть как	1	2
164	должна была	1	2
165	связана с	1	2
166	на пути	4	2
167	заключает в	2	2
168	тем и	1	2
169	вслед за	3	2
170	и это	2	2
171	в начале	2	2
172	же время	7	2
173	может ли	2	2
174	тех пор	1	2
175	не могла	1	2
176	или иной	1	2
177	иной раз	1	2
178	что именно	1	2
179	на то	1	2
180	с его	1	2
181	востока и	1	2
182	все существующее	1	2
183	для этого	1	2
184	и особенно	1	2
185	пути к	1	2
186	тот же	3	2
187	с того	1	2
188	не к	2	2
189	из этой	1	2
190	грань между	1	2
191	или иным	1	1
192	и творить	1	1
193	к началу	2	1
194	представить себе	1	1
195	целому ряду	1	1
196	и некоторой	1	1
197	они являются	1	1
198	в творениях	1	1
199	греховности и	1	1
200	сам как	1	1
201	мы видим	1	1
202	в душе	1	1
203	что с	1	1
204	можно говорить	1	1
205	с западом	1	1
206	в определенный	1	1
207	они не	1	1
208	может не	1	1
209	этой области	1	1
210	них в	1	1
211	в момент	1	1
212	вероятно что	1	1
213	должно быть	2	1
214	как к	1	1
215	от нее	1	1
216	русские интеллигенты	1	1
217	обе эти	1	1
218	это не	3	1
219	мы знаем	1	1
220	сменяют друг	1	1
221	и менее	1	1
222	прийти к	1	1
223	представляют собой	1	1
224	на этих	2	1
225	в ее	2	1
226	как раз	2	1
227	от этой	1	1
228	и через	1	1
229	существующее в	1	1
230	эту эпоху	1	1
231	вообще можно	1	1
232	другой стороны	1	1
233	эти явления	1	1
234	выйдет из	1	1
235	и западных	1	1
236	значительную часть	1	1
237	духовную жизнь	2	1
238	с собой	1	1
239	весь мир	1	1
240	в данном	1	1
241	его в	1	1
242	совершенно ясно	1	1
243	их не	1	1
244	чтобы в	1	1
245	люди и	1	1
246	зато имеет	1	1
247	сами по	3	1
248	не более	1	1
249	оставаясь в	1	1
250	от тех	1	1
251	и нижним	1	1
252	национального творчества	1	1
253	черты в	1	1
254	от церкви	1	1
255	к чему	2	1
256	как по	1	1
257	прежде чем	1	1
258	этом не	1	1
259	что его	1	1
260	по одному	1	1
261	заключается в	3	1
262	оно есть	1	1
263	которое в	2	1
264	мы и	1	1
265	иначе как	1	1
266	за тем	1	1
267	в православии	1	1
268	мировоззрения не	1	1
269	если он	1	1
270	основные черты	1	1
271	в сферу	1	1
272	в жизни	2	1
273	отношения к	2	1
274	и другим	1	1
275	характер этого	1	1
276	относящиеся к	1	1
277	давно уже	1	1
278	как и	1	1
279	с ними	3	1
280	многих других	1	1
281	помнить что	2	1
282	притом в	1	1
283	веры и	1	1
284	не есть	1	1
285	только то	1	1
286	стремление к	1	1
287	отчасти и	1	1
288	ли не	1	1
289	или что	1	1
290	духовной и	1	1
291	и любовью	1	1
292	на какие	1	1
293	и китайского	1	1
294	в себя	1	1
295	более как	1	1
296	в каком	1	1
297	культуры в	2	1
298	в ином	1	1
299	тем более	2	1
300	казалось бы	1	1
301	с этим	2	1
302	европеизации в	1	1
303	каким оно	1	1
304	нет ничего	1	1
305	всегда существует	1	1
306	могли бы	1	1
307	ни к	1	1
308	знаем и	1	1
309	ни на	1	1
310	к россии	1	1
311	там где	1	1
312	бы и	1	1
313	на этой	1	1
314	что от	1	1
315	к этой	1	1
316	и других	2	1
317	и более	1	1
318	да и	2	1
319	и пр	5	1
320	отличие от	1	1
321	не означает	1	1
322	эти последние	1	1
323	было в	2	1
324	что происходит	1	1
325	поскольку они	1	1
326	с богом	1	1
327	эти ценности	1	1
328	именно потому	1	1
329	живет в	1	1
330	мы не	3	1
331	в ней	6	1
332	есть проблема	1	1
333	под ногами	1	1
334	оторвавшись от	1	1
335	а русские	1	1
336	только как	1	1
337	нужно было	2	1
338	что уже	1	1
339	эта мысль	1	1
340	только на	1	1
341	в которую	2	1
342	не были	1	1
343	и духовные	1	1
344	как она	1	1
345	связь между	1	1
346	хозяйственной жизни	1	1
347	к смерти	1	1
348	из двух	1	1
349	православная церковь	2	1
350	весьма вероятно	2	1
351	области отношения	1	1
352	или его	1	1
353	есть несколько	1	1
354	на каждом	1	1
355	бы часть	1	1
356	идет речь	1	1
357	которого в	1	1
358	к обожествлению	1	1
359	всего что	1	1
360	как известно	1	1
361	соприкасается с	1	1
362	и путь	1	1
363	было бы	6	1
364	был элемент	1	1
365	и будущее	1	1
366	в отличие	1	1
367	восточных культур	1	1
368	возможно что	1	1
369	настоящее время	1	1
370	ней и	1	1
371	в сфере	2	1
372	тем же	1	1
373	по себе	4	1
374	области религиозной	1	1
375	могут быть	3	1
376	этот выход	1	1
377	формы в	1	1
378	тюрков и	1	1
379	и есть	2	1
380	место в	1	1
381	во всей	2	1
382	же в	4	1
383	русских людей	1	1
384	ибо существование	1	1
385	в лесах	1	1
386	в европе	2	1
387	может и	2	1
388	друг друга	1	1
389	с ее	1	1
390	пусть эта	1	1
391	в настоящее	1	1
392	технических средств	1	1
393	но для	1	1
394	себя в	1	1
395	и ее	1	1
396	сливаются в	1	1
397	что жизнь	1	1
398	думать что	2	1
399	есть не	2	1
400	мира с	2	1
401	чуть ли	1	1
402	заставить их	1	1
