N	2gram	Vinokur_St	Tragedij
341	при таком	2	1
342	стремление к	3	1
343	отнесены к	1	1
344	роль в	1	1
345	не менее	8	1
346	не знать	1	1
347	и т	36	1
348	перед собой	2	1
349	была и	1	1
350	второй части	2	1
351	на все	2	1
352	создает впечатление	1	1
353	и могут	1	1
354	бы не	2	1
355	в такой	2	1
356	но у	1	1
357	между собой	1	1
358	средство для	1	1
359	в иной	1	1
360	под заглавием	1	1
361	именно эта	1	1
362	в двух	4	1
363	сравнению с	1	1
364	когда в	1	1
365	это было	2	1
366	но уже	1	1
367	объявил себя	2	1
368	в стихах	2	1
369	для публики	2	1
370	в чем	4	1
371	в момент	1	1
372	и стал	1	1
373	смысл этого	2	1
374	при его	3	1
375	тогда как	1	1
376	первостепенное значение	1	1
377	могло бы	3	1
378	только теперь	1	1
379	в сцене	7	1
380	он заявляет	1	1
381	это самое	1	1
382	гораздо больше	2	1
383	всем его	1	1
384	бы в	2	1
385	в черновиках	1	1
386	в них	2	1
387	на них	2	1
388	и самозванец	1	1
389	при создании	1	1
390	поле в	1	1
391	во всех	8	1
392	вся состоит	1	1
393	на свете	1	1
394	который он	1	1
395	к одному	1	1
396	говорится о	1	1
397	такие слова	1	1
398	которых можно	1	1
399	таково происхождение	1	1
400	во всяком	8	1
401	и потому	3	1
402	это и	5	1
403	и дело	2	1
404	тех лет	1	1
405	попал в	1	1
406	о себе	1	1
407	совершенно не	7	1
408	я скажу	1	1
409	материалом для	1	1
410	но как	1	1
411	более чем	3	1
412	чем же	1	1
413	всего необходимо	1	1
414	не является	5	1
415	уходит от	1	1
416	за то	5	1
417	а к	2	1
418	в диалог	2	1
419	в котором	11	1
420	№ и	1	1
421	с самого	4	1
422	не могли	1	1
423	как нечто	1	1
424	и первое	1	1
425	понимание этого	1	1
426	же во	1	1
427	критики в	2	1
428	применении к	3	1
429	которой он	1	1
430	связи с	3	1
431	ответом на	1	1
432	он пытался	1	1
433	случае и	2	1
434	для ее	1	1
435	хотя бы	8	1
436	она не	3	1
437	эти слова	1	1
438	бы может	1	1
439	чтобы он	1	1
440	был так	1	1
441	значение этого	1	1
442	того чтобы	15	1
443	на другой	1	1
444	таком виде	2	1
445	не хочу	3	1
446	нашел в	1	1
447	но не	5	1
448	и глубоким	1	1
449	в другом	5	1
450	в каких	1	1
451	силе и	1	1
452	между тем	7	1
453	быть не	2	1
454	не быть	1	1
455	обратился к	1	1
456	в ней	9	1
457	к образу	1	1
458	вот почему	1	1
459	однако ни	2	1
460	что судьба	1	1
461	объясняется и	1	1
462	в условиях	1	1
463	характерны для	1	1
464	с прекрасным	1	1
465	самом деле	14	1
466	к своей	1	1
467	годунова и	5	1
468	больше в	1	1
469	в развитии	2	1
470	в которой	13	1
471	отвращение к	2	1
472	лишь в	3	1
473	в эпилоге	1	1
474	именно на	1	1
475	только один	1	1
476	никого не	1	1
477	а не	19	1
478	мысль что	1	1
479	а за	1	1
480	а по	1	1
481	значение для	2	1
482	только на	1	1
483	и их	3	1
484	очень хорошо	2	1
485	ну а	1	1
486	что лицо	1	1
487	его речи	1	1
488	чтобы она	1	1
489	отказ от	1	1
490	один раз	1	1
491	не могла	2	1
492	связь между	1	1
493	это была	1	1
494	свою трагедию	11	1
495	можно было	14	1
496	в форме	2	1
497	за пределы	2	1
498	а между	2	1
499	но только	2	1
500	конечно в	1	1
501	вместо того	1	1
502	тем и	1	1
503	себя на	1	1
504	эта книга	2	1
505	факт что	6	1
506	русского читателя	1	1
507	и хотя	1	1
508	даже не	5	1
509	большое значение	2	1
510	в журнале	1	1
511	не вполне	1	1
512	этого образа	2	1
513	в истории	5	1
514	по своей	2	1
515	которую я	1	1
516	что когда	1	1
517	ту же	1	1
518	чего же	1	1
519	это может	1	1
520	борьбе за	1	1
521	в обоих	2	1
522	повод для	2	1
523	над ним	1	1
524	отметить что	4	1
525	самого начала	3	1
526	литературы и	3	1
527	должны были	1	1
528	всегда будет	2	1
529	это его	1	1
530	живых картин	1	1
531	у которого	1	1
532	он еще	1	1
533	всего что	2	1
534	но этот	1	1
535	не раз	2	1
536	с жаром	1	1
537	в какой-то	1	1
538	с другим	1	1
539	но все-таки	1	1
540	это же	1	1
541	могло быть	3	1
542	знает и	2	1
543	и презрение	1	1
544	из книги	3	1
545	я в	1	1
546	к ним	1	1
547	но без	1	1
548	т п	11	1
549	в книге	1	1
550	в точности	1	1
551	он в	1	1
552	к ней	1	1
553	как мы	1	1
554	хотя сам	1	1
555	у себя	1	1
556	казалось что	1	1
557	не для	3	1
558	во многом	3	1
559	на две	1	1
560	и о	4	1
561	в голове	1	1
562	речи в	1	1
563	претензии на	1	1
564	не верит	2	1
565	той же	5	1
566	и др	1	1
567	ответа на	2	1
568	с рукописью	1	1
569	по сравнению	1	1
570	только по	1	1
571	считает что	1	1
572	именно так	1	1
573	быть в	2	1
574	в самое	1	1
575	в высшей	1	1
576	для прочтения	1	1
577	не значит	3	1
578	с дороги	1	1
579	во времена	4	1
580	слова в	1	1
581	слова он	1	1
582	по плечу	1	1
583	и от	2	1
584	из романа	2	1
585	и есть	1	1
586	в голову	2	1
587	объясняется тем	1	1
588	в общем	2	1
589	причем в	2	1
590	на этот	5	1
591	никому не	1	1
592	xx века	1	1
593	исходит из	1	1
594	всю жизнь	1	1
595	из соображений	1	1
596	для понимания	2	1
597	собрания сочинений	1	1
598	но я	5	1
599	пушкина и	20	1
600	согласиться с	1	1
601	этого слова	2	1
602	например в	8	1
603	в период	2	1
604	писателя в	2	1
605	что именно	2	1
606	право на	1	1
607	а это	1	1
608	за год	1	1
609	в газетах	1	1
610	но если	5	1
611	в области	16	1
612	и по	6	1
613	не понял	1	1
614	нуждается в	2	1
615	мы располагаем	1	1
616	это в	4	1
617	в и	143	1
618	всяком случае	8	1
619	на котором	1	1
620	эту сцену	1	1
621	для чего	1	1
622	конце концов	2	1
623	недоразумение и	1	1
624	идей и	1	1
625	и унижения	1	1
626	событий и	1	1
627	был вполне	1	1
628	стиля и	1	1
629	чтобы не	1	1
630	и совершенно	1	1
631	он с	1	1
632	трагедию с	2	1
633	в трагедии	13	1
634	по какому	1	1
635	не моя	1	1
636	что на	3	1
637	эту тему	4	1
638	вплоть до	6	1
639	ненависть и	1	1
640	с того	2	1
641	с каким	1	1
642	не к	2	1
643	время с	1	1
644	обратиться к	1	1
645	чем у	2	1
646	судя по	2	1
647	высшей степени	1	1
