N	2gram	Berdyaev_N	EvropaiE
153	не означает	3	2
154	и что	2	2
155	оставить в	1	2
156	она не	3	2
157	в значительной	1	2
158	хозяйства и	1	2
159	он не	8	2
160	мы должны	1	2
161	к такой	1	2
162	а не	17	2
163	и другая	1	2
164	в истории	3	2
165	по своей	1	2
166	а в	2	2
167	в большинстве	1	2
168	в этой	1	2
169	и еще	1	2
170	новый мир	1	2
171	культуры но	1	2
172	и революции	2	2
173	во многом	1	2
174	культуры и	7	2
175	на уровне	2	2
176	наряду с	3	2
177	могут быть	2	2
178	к природе	1	2
179	что все	2	2
180	в будущее	1	2
181	в силу	1	2
182	жизни и	8	2
183	такой же	2	2
184	как будто	2	2
185	ведь и	2	2
186	мира не	1	2
187	войны и	2	2
188	которые они	1	2
189	не к	2	2
190	востока и	1	2
191	к нему	1	2
192	ближе к	1	1
193	во всем	1	1
194	все что	1	1
195	эту эпоху	1	1
196	или к	1	1
197	для всех	1	1
198	более высокой	1	1
199	переход культуры	1	1
200	в более	1	1
201	которая должна	1	1
202	в центре	2	1
203	положения он	1	1
204	человеческой жизни	1	1
205	значение в	1	1
206	выходит за	1	1
207	мир в	1	1
208	приблизиться к	1	1
209	рода и	1	1
210	нельзя сказать	1	1
211	права и	2	1
212	и было	2	1
213	они являются	1	1
214	также что	1	1
215	процессы направленные	1	1
216	от истоков	1	1
217	на западе	1	1
218	должно быть	4	1
219	к этой	1	1
220	которая в	1	1
221	от нее	1	1
222	том числе	1	1
223	уже в	1	1
224	и процесс	1	1
225	в жизни	5	1
226	нужно признать	1	1
227	в состоянии	1	1
228	для себя	1	1
229	всего мира	1	1
230	большую роль	4	1
231	групп и	1	1
232	xix и	4	1
233	и культур	1	1
234	установить что	1	1
235	своем развитии	1	1
236	имеет реальное	1	1
237	с ним	1	1
238	господствующей в	1	1
239	настоящего и	1	1
240	но сама	1	1
241	в формах	1	1
242	истории в	5	1
243	суждения не	1	1
244	национального существования	1	1
245	не способен	1	1
246	может остаться	1	1
247	у нас	1	1
248	старого мира	3	1
249	эпох и	1	1
250	запада и	1	1
251	это есть	7	1
252	быть может	4	1
253	с их	2	1
254	перед ними	1	1
255	весь мир	1	1
256	в русском	2	1
257	германии во	1	1
258	власти и	1	1
259	небесный свод	1	1
260	а на	1	1
261	творчества и	1	1
262	оно не	1	1
263	не было	4	1
264	что нет	1	1
265	особого рода	1	1
266	это должно	1	1
267	отказаться от	1	1
268	но все	1	1
269	все ее	1	1
270	что его	1	1
271	так называемый	1	1
272	по природе	1	1
273	к состоянию	1	1
274	в силах	1	1
275	что не	1	1
276	в глубине	1	1
277	то время	1	1
278	или иная	1	1
279	можно назвать	2	1
280	призыв к	2	1
281	той социальной	1	1
282	будущее принадлежит	1	1
283	конечно не	3	1
284	лишь на	1	1
285	время как	2	1
286	все эти	2	1
287	борьбы за	1	1
288	в духовной	2	1
289	есть только	1	1
290	том смысле	1	1
291	перед собой	1	1
292	в такой	1	1
293	который не	1	1
294	ли он	1	1
295	в новом	2	1
296	в другие	1	1
297	с большей	1	1
298	древнего египта	1	1
299	и это	2	1
300	революции и	3	1
301	если взять	1	1
302	к созданию	2	1
303	уже не	2	1
304	такое разнообразие	1	1
305	к жизни	3	1
306	людей в	1	1
307	дальнейшее развитие	1	1
308	нет ничего	1	1
309	не менее	4	1
310	том случае	1	1
311	культуре и	1	1
312	а к	1	1
313	в основе	3	1
314	переходит в	1	1
315	зависит от	2	1
316	возвращается к	2	1
317	то это	1	1
318	отличие от	1	1
319	и русской	1	1
320	что мы	1	1
321	значит что	4	1
322	когда мы	2	1
323	применить к	1	1
324	случае если	1	1
325	силы и	2	1
326	направленные к	1	1
327	мировой войны	4	1
328	связана с	2	1
329	от европы	1	1
330	в мировой	2	1
331	всех великих	1	1
332	античного мира	4	1
333	не быть	1	1
334	в человечестве	1	1
335	времени в	2	1
336	из их	1	1
337	в этот	1	1
338	в новой	7	1
339	на большей	1	1
340	степени общим	1	1
341	то нет	1	1
342	к тем	1	1
343	мирового экономического	1	1
344	культурной и	1	1
345	значение для	1	1
346	должны быть	1	1
347	и их	1	1
348	в которую	1	1
349	в человеческом	1	1
350	говорить о	1	1
351	и когда	1	1
352	от других	1	1
353	xix век	2	1
354	за пределы	3	1
355	от мирового	1	1
356	народа должно	1	1
357	еще в	1	1
358	характерным для	1	1
359	и до	1	1
360	значительной степени	1	1
361	перед лицом	1	1
362	будет уже	2	1
363	в каких	1	1
364	лишь в	6	1
365	этого мира	1	1
366	числе и	1	1
367	истории и	9	1
368	их будет	1	1
369	значение и	1	1
370	в отличие	1	1
371	он в	1	1
372	нужно помнить	1	1
373	культура древнего	1	1
374	не ко	1	1
375	не понимали	1	1
376	время нужно	1	1
377	та или	1	1
378	что само	1	1
379	только одна	1	1
380	и эмпирическая	1	1
381	и культуры	2	1
382	а блок	1	1
383	она неизбежно	1	1
384	быть в	2	1
385	к которому	1	1
386	с собой	1	1
387	не значит	3	1
388	в предчувствии	1	1
389	эту мысль	1	1
390	более всего	1	1
391	бытия и	1	1
392	изменение ее	1	1
393	который в	2	1
394	одна из	2	1
395	все еще	1	1
396	много ли	2	1
397	к расширению	1	1
398	с его	6	1
399	и его	1	1
400	оно может	1	1
401	перешла от	1	1
402	к вере	1	1
403	в нем	5	1
404	не будут	2	1
405	речи о	1	1
406	но это	6	1
407	от того	1	1
408	мира против	1	1
409	для этого	2	1
410	с ее	5	1
411	обратиться к	1	1
412	государство и	2	1
413	одного и	1	1
414	жизнью и	1	1
415	культурах и	1	1
416	римской империи	1	1
