N	2gram	Vinokur_St	UchenyiS
151	именно такой	1	1
152	более или	2	1
153	для начала	1	1
154	всего что	2	1
155	лет с	1	1
156	первую очередь	2	1
157	о необходимости	1	1
158	и потому	3	1
159	для научного	2	1
160	конечно это	2	1
161	столько же	3	1
162	но он	5	1
163	отказаться от	2	1
164	этом случае	3	1
165	стилистический прием	1	1
166	в свое	3	1
167	в которой	13	1
168	сколько и	1	1
169	можно сказать	2	1
170	несомненно что	1	1
171	мы можем	1	1
172	иначе в	2	1
173	что же	6	1
174	которой все	1	1
175	или иначе	3	1
176	в данном	16	1
177	и быть	1	1
178	все его	1	1
179	временной последовательности	1	1
180	история литературы	2	1
181	что ему	2	1
182	он уже	1	1
183	больше чем	3	1
184	еще раз	1	1
185	нет и	1	1
186	наука о	1	1
187	как на	10	1
188	что никакого	1	1
189	вообще в	1	1
190	и вы	1	1
191	известном письме	1	1
192	никогда и	1	1
193	быть не	2	1
194	данного произведения	1	1
195	его поэмы	1	1
196	он в	1	1
197	и все	3	1
198	что этот	3	1
199	к изучению	1	1
200	состоит из	1	1
201	только более	1	1
202	же как	5	1
203	быть оправданы	1	1
204	впечатление которое	1	1
205	сказать что	9	1
206	как нам	1	1
207	в исторической	1	1
208	в процессе	3	1
209	общее правило	1	1
210	данном случае	7	1
211	почему и	1	1
212	речи в	1	1
213	претензии на	1	1
214	г №	1	1
215	него не	1	1
216	но для	3	1
217	один пример	1	1
218	то есть	2	1
219	и всей	2	1
220	на форму	1	1
221	выхода в	4	1
222	научное изучение	3	1
223	и др	1	1
224	и действительно	1	1
225	очень часто	3	1
226	того как	8	1
227	почти не	1	1
228	отсюда и	1	1
229	в таком	4	1
230	исходить из	1	1
231	то и	1	1
232	этом совсем	1	1
233	для изучения	4	1
234	принципов и	2	1
235	она не	3	1
236	несомненно и	1	1
237	быть в	2	1
238	чем то	1	1
239	в течение	7	1
240	но именно	3	1
241	до конца	4	1
242	впрочем не	1	1
243	относятся к	3	1
244	в своем	8	1
245	тогда когда	1	1
246	с тем	3	1
247	в наиболее	1	1
248	в значительной	2	1
249	входит в	1	1
250	для себя	3	1
251	стороны в	2	1
252	тем в	1	1
253	что только	2	1
254	для в	3	1
255	только при	1	1
256	одной стороны	2	1
257	какого-нибудь произведения	1	1
258	и обработки	1	1
259	время не	1	1
260	мы имеем	2	1
261	во мне	1	1
262	но также	13	1
263	искусства и	1	1
264	гораздо больше	2	1
265	что по	1	1
266	их в	2	1
267	же в	1	1
268	не для	3	1
269	с самим	1	1
270	в ней	9	1
271	меньшей мере	3	1
272	впрочем в	2	1
273	но что	2	1
274	и сальери	2	1
275	даже не	5	1
276	и так	3	1
277	функция а	1	1
278	объясняется и	1	1
279	место и	1	1
280	литературы а	1	1
281	а это	1	1
282	его собственному	1	1
283	пушкин и	9	1
284	идет не	1	1
285	связанные с	3	1
286	в период	2	1
287	не вполне	1	1
288	к вопросам	1	1
289	на то	5	1
290	он и	1	1
291	но если	5	1
292	области в	1	1
293	по меньшей	3	1
294	это же	1	1
295	бы ни	3	1
296	не значит	3	1
297	сам по	1	1
298	отсюда как	1	1
299	в которых	5	1
300	по мнению	4	1
301	к этому	4	1
302	так и	15	1
303	это то	1	1
304	о нем	1	1
305	что с	4	1
306	рецензии на	5	1
307	из которых	1	1
308	где бы	1	1
309	это в	4	1
310	ее в	2	1
311	поэзии и	3	1
312	о которой	3	1
313	и вся	2	1
314	этого материала	1	1
315	месте в	1	1
316	в качестве	7	1
317	о котором	2	1
318	пишет в	2	1
319	в нем	9	1
320	существенно нового	1	1
321	в пользу	5	1
322	он не	11	1
323	недаром и	1	1
324	независимо от	1	1
325	литературных и	1	1
326	что нельзя	1	1
327	все что	1	1
328	и слово	1	1
329	мы снова	1	1
330	на его	2	1
331	и что	8	1
332	в известном	3	1
333	недаром в	1	1
334	одно из	3	1
335	что для	4	1
336	отказ от	1	1
337	и это	4	1
338	с одной	3	1
339	он был	5	1
340	и всякого	1	1
341	в первую	2	1
342	на своем	1	1
343	и литературного	1	1
344	за пределы	2	1
345	и делает	1	1
346	что при	3	1
347	об этом	9	1
348	ничего существенно	1	1
349	которых так	1	1
350	себя на	1	1
351	точно и	2	1
352	правда не	1	1
353	в виду	6	1
354	или менее	2	1
355	система приемов	1	1
356	пушкина но	12	1
357	невозможна без	1	1
358	в пределах	1	1
359	тот же	2	1
360	уже не	1	1
361	о том	30	1
362	не то	1	1
363	по его	5	1
364	произведения в	2	1
365	далеко не	1	1
366	тем более	4	1
367	того что	14	1
368	обращение к	1	1
369	у него	3	1
370	тенденции в	1	1
371	бы это	2	1
372	слово как	1	1
373	в котором	11	1
374	у пушкина	17	1
375	не существует	4	1
376	доказывает что	1	1
377	бы в	2	1
378	в виде	3	1
379	по вопросам	1	1
380	той же	5	1
381	никогда не	7	1
