N	2gram	Voloshinov	UchenyiS
101	но даже	2	2
102	а о	1	2
103	и для	3	2
104	и является	5	2
105	что и	3	2
106	в сторону	1	2
107	конечно нет	1	2
108	смысле этого	2	2
109	из материала	1	2
110	с его	8	2
111	превращается в	1	2
112	на первый	2	2
113	сих пор	2	2
114	по крайней	1	2
115	только в	7	2
116	по себе	1	2
117	построения литературной	1	2
118	вопроса о	4	2
119	еще один	1	1
120	первый взгляд	2	1
121	в той	5	1
122	и исторически	1	1
123	в г	1	1
124	что было	3	1
125	что в	1	1
126	к лицу	1	1
127	может обойтись	1	1
128	построения и	3	1
129	не было	2	1
130	вне его	1	1
131	бы только	1	1
132	и даже	3	1
133	связанных с	5	1
134	более или	1	1
135	т.д в	1	1
136	говорит он	1	1
137	и потому	2	1
138	конечно это	1	1
139	этом случае	3	1
140	в которой	7	1
141	имеем в	1	1
142	можно сказать	4	1
143	мы можем	7	1
144	что же	8	1
145	все его	1	1
146	художественное творчество	3	1
147	он уже	1	1
148	еще раз	1	1
149	нет и	3	1
150	только этот	1	1
151	равно как	2	1
152	в словесном	1	1
153	только одним	2	1
154	со своими	1	1
155	он в	1	1
156	и все	4	1
157	слова а	1	1
158	что этот	1	1
159	в точном	2	1
160	содержание и	3	1
161	состоит из	1	1
162	формы слова	2	1
163	же как	1	1
164	как таковое	2	1
165	группы и	1	1
166	сказать что	3	1
167	как нам	1	1
168	и эта	3	1
169	в исторической	1	1
170	в процессе	6	1
171	она должна	1	1
172	является наиболее	3	1
173	речи в	1	1
174	он будет	1	1
175	его как	1	1
176	но для	3	1
177	то есть	5	1
178	с успехом	1	1
179	этот процесс	2	1
180	научное изучение	1	1
181	и содержание	2	1
182	и действительно	1	1
183	того как	1	1
184	точном смысле	2	1
185	в таком	1	1
186	так много	1	1
187	этот и	1	1
188	она не	1	1
189	быть в	1	1
190	в произведении	1	1
191	в течение	1	1
192	до конца	2	1
193	со смысловой	1	1
194	является только	1	1
195	творчество и	2	1
196	художественным произведением	1	1
197	в своем	1	1
198	говорить не	1	1
199	тогда когда	1	1
200	с тем	8	1
201	в наиболее	1	1
202	в значительной	2	1
203	только как	1	1
204	тем в	1	1
205	нам достаточно	1	1
206	шаг к	1	1
207	именно к	1	1
208	относится к	2	1
209	мы имеем	2	1
210	те основные	1	1
211	то содержание	1	1
212	удивительного что	1	1
213	не связанных	1	1
214	их в	3	1
215	же в	1	1
216	установка на	1	1
217	он может	1	1
218	с самим	2	1
219	в ней	8	1
220	или даже	2	1
221	но что	3	1
222	на одно	1	1
223	даже не	1	1
224	и так	6	1
225	язык в	6	1
226	разрыв с	1	1
227	оно является	2	1
228	связанные с	2	1
229	для тех	1	1
230	не словами	1	1
231	к вопросам	1	1
232	на то	1	1
233	которой и	1	1
234	но если	1	1
235	это же	2	1
236	творчества правда	1	1
237	не значит	1	1
238	в которых	2	1
239	к этому	2	1
240	так и	7	1
241	обе эти	1	1
242	о нем	1	1
243	из которых	3	1
244	где бы	1	1
245	от самых	2	1
246	вся система	1	1
247	ее в	1	1
248	отнюдь не	10	1
249	о которой	1	1
250	находятся в	2	1
251	этих слов	3	1
252	и вся	1	1
253	в качестве	4	1
254	о котором	1	1
255	в нем	6	1
256	именно этот	1	1
257	он не	2	1
258	наиболее резких	1	1
259	независимо от	5	1
260	и своеобразным	1	1
261	что нельзя	1	1
262	все что	1	1
263	и слово	3	1
264	с каждым	1	1
265	все детали	1	1
266	ему приходится	1	1
267	на его	6	1
268	познакомиться с	1	1
269	и что	1	1
270	они находятся	1	1
271	одно из	1	1
272	что для	1	1
273	и это	8	1
274	верно но	1	1
275	организации этого	1	1
276	и литературного	1	1
277	за пределы	1	1
278	и делает	1	1
279	должно быть	2	1
280	до крайности	1	1
281	что при	1	1
282	об этом	3	1
283	не обладает	2	1
284	историю в	1	1
285	то о	1	1
286	в виду	3	1
287	и искусства	1	1
288	само по	1	1
289	к которой	1	1
290	широком смысле	1	1
291	или менее	1	1
292	случайной и	1	1
293	в пределах	2	1
294	так возникает	1	1
295	тот же	2	1
296	уже не	4	1
297	и вне	1	1
298	о том	4	1
299	не то	1	1
300	слагается из	1	1
301	тем более	1	1
302	этого конечно	1	1
303	того что	4	1
304	искусства в	1	1
305	обращение к	1	1
306	у него	1	1
307	в словах	4	1
308	друг другу	2	1
309	вне которой	2	1
310	жанра в	1	1
311	слово как	8	1
312	в котором	3	1
313	не существует	4	1
314	бы в	6	1
315	в виде	1	1
316	той же	7	1
317	стихи маяковского	1	1
318	никогда не	7	1
319	человека и	2	1
