N	2gram	Propp_Morf	slovoVRo
245	материал в	1	4
246	он может	2	4
247	однако в	2	4
248	но это	6	4
249	из них	4	4
250	того что	3	4
251	он должен	3	4
252	одной из	2	4
253	о себе	1	4
254	как раз	1	4
255	что и	10	4
256	в виде	3	4
257	а на	3	4
258	в которой	3	4
259	здесь как	1	4
260	и как	6	4
261	так в	1	4
262	только и	1	4
263	с другом	1	4
264	из одного	1	4
265	сих пор	1	4
266	может иметь	1	4
267	но как	3	4
268	формы передачи	3	4
269	и разновидности	1	4
270	в частности	2	4
271	одним словом	1	4
272	одно и	1	4
273	или как	1	4
274	вообще не	2	4
275	не всегда	10	4
276	и предметом	1	4
277	из этого	1	4
278	и ее	5	4
279	он пользуется	1	3
280	однако и	1	3
281	и другие	6	3
282	собственном смысле	3	3
283	все что	1	3
284	еще раз	1	3
285	даны в	1	3
286	основе ее	1	3
287	его с	1	3
288	смысле слова	4	3
289	все формы	1	3
290	не требует	1	3
291	не приходится	1	3
292	в форме	6	3
293	и то	1	3
294	в связи	10	3
295	борьбы с	1	3
296	нами в	4	3
297	два типа	1	3
298	и создает	1	3
299	в первом	5	3
300	легко и	1	3
301	тем что	4	3
302	или на	3	3
303	в собственном	3	3
304	и нет	1	3
305	так уже	1	3
306	было бы	5	3
307	связана с	3	3
308	как это	7	3
309	не должно	1	3
310	или иных	1	3
311	в этой	3	3
312	за ней	2	3
313	целый ряд	3	3
314	и до	1	3
315	и те	1	3
316	типы и	1	3
317	и вообще	1	3
318	в эту	1	3
319	без всякого	2	3
320	если мы	6	3
321	такая же	1	3
322	на него	4	3
323	первый тип	1	3
324	но эта	1	3
325	мы говорили	1	3
326	до известной	1	3
327	при каких	1	3
328	на котором	4	3
329	и две	1	3
330	материал и	1	3
331	в свое	2	3
332	форм и	1	3
333	или наоборот	2	3
334	должно быть	1	3
335	три категории	1	3
336	время и	1	3
337	и заставляет	2	3
338	материала и	1	3
339	чем в	2	3
340	входить в	2	3
341	и где	1	3
342	дело в	1	3
343	тому что	5	3
344	лишь на	2	3
345	эта форма	14	3
346	не есть	1	3
347	это требование	1	3
348	на все	1	3
349	если она	2	3
350	между собой	5	3
351	нисколько не	1	3
352	это было	3	3
353	и это	1	3
354	не все	6	3
355	другом случае	1	3
356	может и	1	3
357	потому что	7	3
358	следовательно в	1	3
359	и тем	3	3
360	во второй	2	3
361	из этих	2	3
362	как таковые	4	3
363	на нем	3	3
364	но она	1	3
365	конечно в	1	3
366	тем и	2	3
367	и вне	3	3
368	лишь как	1	3
369	в нее	2	3
370	в иных	4	3
371	очень велико	1	3
372	к этому	4	3
373	данном случае	2	3
374	такой же	1	3
375	тех или	1	3
376	ведь и	1	3
377	того или	1	3
378	утверждать что	3	2
379	положения и	1	2
380	могут иметь	2	2
381	никак нельзя	1	2
382	заставляет его	2	2
383	можно говорить	1	2
384	та же	3	2
385	за ним	1	2
386	в самостоятельный	1	2
387	в последнем	3	2
388	как с	1	2
389	форма передачи	1	2
390	формами передачи	1	2
391	тем как	1	2
392	связанное с	1	2
393	о формах	3	2
394	правда и	1	2
395	которое может	2	2
396	одному из	3	2
397	как он	1	2
398	формах в	2	2
399	это испытание	1	2
400	этого момента	3	2
401	испытания героя	1	2
402	в плоскости	3	2
403	связанная с	1	2
404	или во	1	2
405	от материала	1	2
406	этой точки	1	2
407	и она	1	2
408	в особый	1	2
409	из самых	1	2
410	этот элемент	5	2
411	но по	1	2
412	то время	3	2
413	в борьбу	1	2
414	эти явления	1	2
415	а именно	1	2
416	этим в	1	2
417	дело идет	1	2
418	формальных приемов	1	2
419	они ни	1	2
420	приводит к	3	2
421	и герой	1	2
422	можно утверждать	1	2
423	есть на	1	2
424	не нужно	1	2
425	но мы	3	2
426	по своему	2	2
427	второй тип	1	2
428	и могут	1	2
429	это и	3	2
430	ни к	2	2
431	то что	10	2
432	в котором	1	2
433	он был	1	2
434	мы увидим	10	2
435	во все	1	2
436	герой только	1	2
437	в течение	1	2
438	о которых	1	2
439	только как	1	2
440	но во	1	2
441	явления и	1	2
442	оно как	2	2
443	из его	2	2
444	к своей	1	2
445	значение для	1	2
446	но они	2	2
447	вступает в	1	2
448	на пути	4	2
449	случае не	4	2
450	вводится в	1	2
451	совершенно не	1	2
452	ведут к	1	2
453	при анализе	1	2
454	самого начала	1	2
455	как например	2	2
456	несмотря на	4	2
457	из одной	1	2
458	по ней	1	2
459	она может	1	2
460	и у	3	2
461	в основу	2	2
462	лишь о	1	2
463	в образе	6	2
464	в нашем	6	2
465	что все	1	2
466	во всей	1	2
467	на ряд	1	2
468	момент в	2	2
469	лишь при	1	2
470	же он	1	2
471	чем это	2	2
472	или вовсе	1	2
473	в ее	1	2
474	и становится	1	2
475	свои собственные	1	2
476	иногда в	8	2
477	к началу	4	2
478	и такой	1	2
479	к различным	2	2
480	мы видим	15	2
481	не можем	1	2
482	но прежде	1	2
483	и функции	3	2
484	указать на	1	2
485	того как	2	2
486	к себе	2	2
487	ни было	2	2
488	тем не	7	2
489	и за	2	2
490	есть в	1	2
491	на самом	4	2
492	у нас	3	2
493	то формы	1	2
494	слова а	1	2
495	и есть	3	2
496	работы и	1	2
497	в таких	3	2
498	бы только	1	2
499	без всяких	1	2
500	материал для	1	2
501	сюда прежде	1	2
502	этого не	2	2
503	наших дней	2	2
504	из важнейших	1	2
505	этим и	1	2
506	в другую	2	2
507	что она	2	2
508	что не	1	2
509	при изучении	1	2
510	где нет	1	2
511	наконец даже	1	2
512	в какой	3	2
513	между ними	1	2
514	то в	3	2
515	время как	3	2
516	в области	1	2
517	и со	1	2
518	остановимся на	1	2
519	войти в	1	2
520	об этом	5	2
521	что они	5	2
522	без всякой	2	2
523	могли бы	2	2
524	мы можем	5	2
525	и эти	1	2
526	а с	2	2
527	она строится	1	2
528	хотя он	1	2
529	как ни	1	2
530	с самого	1	2
531	в своих	2	2
532	очень часто	6	2
533	и затем	5	2
534	могут служить	1	2
535	в самых	2	2
536	и ни	1	2
537	как уже	3	2
538	так что	1	2
539	и определенные	1	2
540	облик и	1	2
541	действующих лиц	22	2
542	бы они	2	2
543	других случаях	2	2
544	пор не	1	2
545	и что	3	2
546	но такое	2	2
547	можно было	4	2
548	иметь в	1	2
549	в начале	3	2
550	этих случаях	15	2
551	к которой	1	2
552	или иное	1	2
553	значение и	3	2
554	только о	1	2
555	ни одной	2	2
556	к ней	3	2
557	первом случае	3	2
558	главным образом	5	2
559	друг другу	1	2
560	материала в	1	2
561	не значит	3	2
562	них не	1	2
563	действительно не	1	2
564	же в	3	2
565	бы быть	1	2
566	д можно	1	2
567	на то	3	2
568	и только	3	2
569	второго типа	1	2
570	независимо от	4	2
571	чаще всего	11	2
572	возможны и	1	2
573	в один	3	2
574	есть не	1	2
575	должно исходить	1	1
576	непосредственно как	1	1
577	ведет к	1	1
578	какого бы	1	1
579	героя герой	2	1
580	является в	2	1
581	а потому	2	1
582	во втором	7	1
583	совершенно самостоятельно	1	1
584	которой все	2	1
585	лежат некоторые	1	1
586	к другу	2	1
587	таких моментов	1	1
588	всего в	1	1
589	друг к	2	1
590	как таковой	2	1
591	и должны	1	1
592	только те	1	1
593	всегда ли	2	1
594	все случаи	2	1
595	бы то	3	1
596	предметы и	3	1
597	себе представить	1	1
598	она с	1	1
599	если в	7	1
600	построенной на	1	1
601	случаях мы	1	1
602	между героем	1	1
603	рассказ о	1	1
604	которые не	1	1
605	его из	1	1
606	которые здесь	1	1
607	на анализе	1	1
608	к этой	1	1
609	если он	2	1
610	которые он	1	1
611	он только	1	1
612	до него	1	1
613	и становятся	2	1
614	он как	1	1
615	как один	1	1
616	иногда почти	1	1
617	своих героев	1	1
618	но которые	1	1
619	его при	1	1
620	момента в	1	1
621	и дает	2	1
622	специфическая особенность	1	1
623	внимание науки	1	1
624	которым они	1	1
625	особенности этого	1	1
626	или нет	2	1
627	о чем	1	1
628	в создании	1	1
629	из которых	5	1
630	потому не	2	1
631	в живых	3	1
632	все действие	2	1
633	и пользуется	2	1
634	одно из	1	1
635	и об	1	1
636	персонажа и	1	1
637	то с	3	1
638	как такой	1	1
639	с собой	3	1
640	никаких новых	2	1
641	также могут	1	1
642	как испытание	1	1
643	друга могут	1	1
644	и различными	1	1
645	или непосредственно	2	1
646	часто не	1	1
647	такого описания	1	1
648	но некоторые	1	1
649	как они	2	1
650	он имеет	1	1
651	мы понимаем	1	1
652	до этого	1	1
653	и соответствующего	1	1
654	величины и	1	1
655	некоторые другие	1	1
656	и этот	2	1
657	иногда целых	1	1
658	по их	5	1
659	равно как	1	1
660	самостоятельно и	1	1
661	идет об	1	1
662	вступает с	2	1
663	людей в	1	1
664	весь этот	1	1
665	и задачи	2	1
666	обращается к	1	1
667	нормы не	1	1
668	быть окрашена	1	1
669	и действительно	1	1
670	более сложный	2	1
671	систему и	1	1
672	если они	2	1
673	для передачи	1	1
674	исходить из	1	1
675	принадлежат к	1	1
676	затем следует	1	1
677	относятся к	2	1
678	может получить	1	1
679	также не	1	1
680	рассеяно и	1	1
681	в в	2	1
682	самая постановка	1	1
683	и просто	1	1
684	состоит из	3	1
685	все способы	1	1
686	где герой	1	1
687	в которых	2	1
688	отнесены к	1	1
689	только для	2	1
690	определяет его	1	1
691	прошлого века	1	1
692	бы не	1	1
693	это необходимо	1	1
694	героев в	1	1
695	которые затем	1	1
696	может дать	2	1
697	о котором	1	1
698	от того	4	1
699	важное значение	1	1
700	и диалог	1	1
701	там и	1	1
702	всего о	1	1
703	характерна для	1	1
704	гораздо труднее	1	1
705	со стороны	5	1
706	в это	1	1
707	меняет свой	1	1
708	всей своей	1	1
709	материала или	1	1
710	к другому	2	1
711	др здесь	1	1
712	где оно	2	1
713	другими формами	1	1
714	в основных	1	1
715	на одном	1	1
716	от различных	1	1
717	через все	1	1
718	ее объеме	1	1
719	сам он	3	1
720	с какой	1	1
721	она условно	1	1
722	чем же	1	1
723	этот прием	1	1
724	не существует	3	1
725	может создать	1	1
726	лиц не	2	1
727	как та	1	1
728	что мы	2	1
729	и начала	1	1
730	с изучением	2	1
731	от исследователя	1	1
732	видим что	12	1
733	ли говорить	1	1
734	в очень	2	1
735	применении к	1	1
736	своих подлинных	1	1
737	говорить не	1	1
738	всего этого	1	1
739	в теснейшем	1	1
740	значение этого	1	1
741	можно лишь	2	1
742	же элементы	1	1
743	на друга	2	1
744	это его	1	1
745	чем они	1	1
746	быть не	1	1
747	создает новые	1	1
748	формы его	1	1
749	до его	1	1
750	он является	1	1
751	с другим	1	1
752	а через	1	1
753	в этот	1	1
754	в середине	2	1
755	может войти	1	1
756	для нее	1	1
757	между двумя	1	1
758	оно так	1	1
759	только один	1	1
760	то все	1	1
761	героя а	4	1
762	увидим что	2	1
763	приводит в	1	1
764	не исключает	2	1
765	также в	2	1
766	ощущается как	2	1
767	для данного	1	1
768	на основании	1	1
769	укладываются в	1	1
770	тому или	1	1
771	превращается в	2	1
772	двух точек	1	1
773	более и	1	1
774	др эти	1	1
775	не ощущается	1	1
776	можно ли	1	1
777	к людям	1	1
778	за язык	1	1
779	новых лиц	1	1
780	а во	3	1
781	например на	2	1
782	как изучать	1	1
783	за тридевять	1	1
784	очень многих	3	1
785	выходят за	1	1
786	сюжетов и	2	1
787	друг на	2	1
788	дворец и	1	1
789	имеем в	8	1
790	как на	1	1
791	на те	1	1
792	может послужить	1	1
793	других видов	1	1
794	есть они	1	1
795	создает лишь	1	1
796	ее лежат	1	1
797	их ибо	1	1
798	словами и	1	1
799	сын и	1	1
800	и определенный	1	1
801	в темницу	1	1
802	самого героя	1	1
803	жизни языка	1	1
804	для изучения	1	1
805	которое он	1	1
806	в которые	1	1
807	находится в	1	1
808	на улице	1	1
809	стороны оно	1	1
810	то она	1	1
811	как все	1	1
812	на этот	2	1
813	как во	1	1
814	который в	2	1
815	варьируются в	1	1
816	что говорит	1	1
817	то здесь	3	1
818	не стоит	1	1
819	но если	10	1
820	он сам	1	1
821	не получает	2	1
822	в противном	1	1
823	какой степени	1	1
824	его роль	1	1
825	он живет	1	1
826	что даже	1	1
827	русском языке	1	1
828	сама она	1	1
829	мы берем	1	1
830	на поиски	2	1
831	для этой	3	1
832	мужа и	1	1
833	морфологических и	1	1
834	мы еще	1	1
835	пришлось бы	1	1
836	не нужны	1	1
837	тот же	1	1
838	мог бы	1	1
839	быть заменены	1	1
840	эту форму	1	1
841	этот материал	1	1
842	его можно	1	1
843	часто начинает	1	1
844	формы не	1	1
845	могут ассимилироваться	1	1
846	этого и	1	1
847	она имеет	1	1
848	же просто	1	1
849	поэтому прежде	1	1
850	не зная	1	1
851	но на	1	1
852	и получает	1	1
853	ведь для	1	1
854	ничем не	2	1
855	является результатом	2	1
856	в систему	1	1
857	здесь нет	1	1
858	тридевять земель	1	1
859	в последней	1	1
860	который может	3	1
861	в первый	1	1
862	очень далеко	1	1
863	как первая	1	1
864	собой в	2	1
865	и вот	1	1
866	сколько в	1	1
867	она в	2	1
868	иных случаях	2	1
869	в состоянии	1	1
870	первый раз	1	1
871	получает в	4	1
872	мы имеем	19	1
873	что различные	1	1
874	не стремится	1	1
875	ссылки и	1	1
876	или с	3	1
877	бы на	1	1
878	из моментов	1	1
879	ними и	1	1
880	него самого	1	1
881	к истории	1	1
882	превращением в	1	1
883	иногда очень	1	1
884	что при	3	1
885	может просто	1	1
886	две основные	1	1
887	что так	1	1
888	в формах	1	1
889	приводят к	3	1
890	очередь также	1	1
891	где он	1	1
892	лиц и	1	1
893	но чаще	1	1
894	то мы	5	1
895	то прежде	2	1
896	эти две	1	1
897	чем перейти	1	1
898	всех других	2	1
899	же не	1	1
900	в немецкой	1	1
901	не от	2	1
902	обреченный на	1	1
903	мы находим	1	1
904	зрения его	1	1
905	всеми другими	1	1
906	только он	1	1
907	но с	2	1
908	все разновидности	1	1
909	ко второму	1	1
910	и притом	1	1
911	нет это	1	1
912	одно а	1	1
913	силу и	1	1
914	что совершенно	1	1
915	иногда и	2	1
916	и некоторые	1	1
917	из форм	1	1
918	у ивана	2	1
919	как по	1	1
920	прежде чем	5	1
921	начала в	1	1
922	как таковая	2	1
923	и говорит	1	1
924	что его	4	1
925	что под	1	1
926	нет прямого	1	1
927	которое в	1	1
928	роль а	1	1
929	их например	1	1
930	с теми	4	1
931	лишь к	1	1
932	он непосредственно	1	1
933	здесь возможны	1	1
934	исходят из	2	1
935	ссылка на	1	1
936	литературе и	1	1
937	или же	7	1
938	непосредственно о	1	1
939	подобно тому	6	1
940	нас к	1	1
941	лишь с	2	1
942	как целое	1	1
943	этой цели	1	1
944	может только	1	1
945	говорят о	1	1
946	здесь перед	1	1
947	же два	1	1
948	между прочим	1	1
949	в мире	1	1
950	совершенно иное	1	1
951	противном случае	1	1
952	постановка вопроса	1	1
953	расширении и	1	1
954	к концу	1	1
955	что таких	1	1
956	на нескольких	1	1
957	один и	1	1
958	иначе чем	2	1
959	разновидности и	1	1
960	как не	1	1
961	больше всего	1	1
962	всего относится	1	1
963	бы мы	1	1
964	в ином	3	1
965	что введение	1	1
966	героя из	2	1
967	свет на	1	1
968	и развития	1	1
969	и дети	1	1
970	и таким	2	1
971	перейти к	2	1
972	словами не	1	1
973	играют в	2	1
974	это так	2	1
975	вводит в	1	1
976	и отдельные	1	1
977	говорит ты	1	1
978	этом с	1	1
979	бы в	2	1
980	последнем случае	3	1
981	это остается	1	1
982	всех видов	1	1
983	различное значение	1	1
984	они часто	1	1
985	предметами и	1	1
986	ко всему	1	1
987	реагирует на	3	1
988	том случае	3	1
989	специфические формы	1	1
990	что такое	3	1
991	д если	2	1
992	превращаясь в	1	1
993	и далее	1	1
994	таких случаях	2	1
995	системе и	1	1
996	к отдельным	2	1
997	такие же	1	1
998	материал на	1	1
999	случае и	1	1
1000	их слова	1	1
1001	в сухой	1	1
1002	иногда же	2	1
1003	дана в	1	1
1004	случае если	2	1
1005	в отдельных	3	1
1006	как особая	2	1
1007	все остальные	1	1
1008	элемент в	2	1
1009	может идти	1	1
1010	непосредственно после	1	1
1011	на новый	1	1
1012	форм а	1	1
1013	не дает	1	1
1014	от самого	1	1
1015	для наших	3	1
1016	здесь только	2	1
1017	совсем не	3	1
1018	тому как	5	1
1019	но всегда	1	1
1020	что всякий	1	1
1021	мы опять	1	1
1022	более конкретных	1	1
1023	в рассказе	1	1
1024	иное чем	3	1
1025	собой только	1	1
1026	героя его	1	1
1027	мы должны	3	1
1028	не входит	2	1
1029	новое значение	1	1
1030	на свой	1	1
1031	как объект	1	1
1032	в известных	1	1
1033	если же	5	1
1034	должны быть	2	1
1035	есть и	4	1
1036	тех же	4	1
1037	в применении	1	1
1038	и определяет	1	1
1039	и тот	2	1
1040	что некоторые	2	1
1041	не определяют	1	1
1042	еще в	1	1
1043	это то	1	1
1044	развития все	1	1
1045	даже не	3	1
1046	как явление	1	1
1047	характерных и	1	1
1048	у нее	2	1
1049	на смерть	1	1
1050	и всякая	1	1
1051	наших целей	2	1
1052	то ни	3	1
1053	могла бы	4	1
1054	борьба в	1	1
1055	на это	1	1
1056	всем ее	1	1
1057	с большой	2	1
1058	в рамках	1	1
1059	в отдельности	1	1
1060	как их	2	1
1061	вступают в	3	1
1062	героем и	1	1
1063	уже никак	1	1
1064	и никогда	1	1
1065	и сразу	2	1
1066	говорить только	1	1
1067	но есть	3	1
1068	изучения и	1	1
1069	не исчерпывают	1	1
1070	бы он	1	1
1071	слова она	1	1
1072	дух в	1	1
1073	этом и	1	1
1074	иных форм	1	1
1075	как образцы	1	1
1076	как за	2	1
1077	самому себе	1	1
1078	в первой	1	1
1079	до наших	2	1
1080	здесь для	1	1
1081	гете в	1	1
1082	они начинают	1	1
1083	причем эти	1	1
1084	путь на	2	1
1085	например о	1	1
1086	дает себя	1	1
1087	как таковое	3	1
1088	более сложных	1	1
1089	его к	1	1
1090	их на	2	1
1091	только такое	1	1
1092	все более	1	1
1093	все другие	1	1
1094	в эти	1	1
1095	еще резче	1	1
1096	самыми разнообразными	1	1
1097	но кроме	1	1
1098	если на	1	1
1099	развитие и	1	1
1100	или при	2	1
1101	которым он	1	1
1102	здесь же	3	1
1103	анализа однако	1	1
1104	и отвлеченные	1	1
1105	таким же	1	1
1106	всегда так	1	1
1107	встречается и	3	1
1108	и совершенно	1	1
1109	или точнее	1	1
1110	в лице	1	1
1111	по формам	1	1
1112	в который	1	1
1113	где мы	1	1
1114	на эту	1	1
1115	то перед	5	1
1116	в каком	2	1
1117	требует также	1	1
1118	превращаются в	1	1
