N	2gram	Bakhtin_KF	Tragedij
160	синтеза и	1	1
161	то для	1	1
162	что эта	2	1
163	содержит в	1	1
164	же мысль	1	1
165	того что	3	1
166	тем не	2	1
167	о нем	4	1
168	любит и	1	1
169	точка где	1	1
170	не как	4	1
171	а затем	1	1
172	для нас	4	1
173	где он	3	1
174	из предшествующего	1	1
175	в человеке	1	1
176	одно из	1	1
177	нет это	1	1
178	же не	1	1
179	в результате	1	1
180	только за	1	1
181	объективный смысл	1	1
182	в виду	3	1
183	смысле этого	1	1
184	с собой	1	1
185	и теперь	1	1
186	только в	18	1
187	него нет	1	1
188	по себе	2	1
189	нас от	1	1
190	в блеске	1	1
191	не было	8	1
192	в духе	1	1
193	но он	1	1
194	здесь мы	4	1
195	до этого	1	1
196	этого не	1	1
197	и отношения	3	1
198	имеет для	1	1
199	и чисто	1	1
200	мысль о	1	1
201	позицию по	1	1
202	что не	3	1
203	как его	4	1
204	нет он	1	1
205	не есть	22	1
206	именно в	5	1
207	я и	5	1
208	тому что	2	1
209	с ними	4	1
210	маленький и	1	1
211	и она	2	1
212	в своей	11	1
213	рядом с	3	1
214	за свое	4	1
215	любовь по	1	1
216	вместе с	1	1
217	на этом	1	1
218	при таком	1	1
219	жизни в	5	1
220	не менее	3	1
221	не знать	1	1
222	на все	1	1
223	контекст в	1	1
224	бы не	3	1
225	может жить	1	1
226	полноте и	1	1
227	между собой	1	1
228	в иной	1	1
229	справедливости все	1	1
230	это было	2	1
231	это хорошо	1	1
232	но уже	1	1
233	играть в	1	1
234	в чем	4	1
235	ли это	2	1
236	в момент	3	1
237	и психологического	1	1
238	но мы	1	1
239	а он	1	1
240	всему что	1	1
241	могло бы	4	1
242	не понимая	1	1
243	всем его	3	1
244	только он	1	1
245	умирает в	1	1
246	во всех	11	1
247	во всяком	1	1
248	и потому	2	1
249	это и	3	1
250	я его	2	1
251	необходимое условие	1	1
252	в жизнь	1	1
253	совершенно не	7	1
254	но как	5	1
255	более чем	1	1
256	он любит	1	1
257	не является	1	1
258	а к	1	1
259	в котором	24	1
260	же я	1	1
261	ему в	2	1
262	или своей	1	1
263	это понятие	1	1
264	которой он	2	1
265	чувствует себя	1	1
266	хотя бы	5	1
267	она не	2	1
268	эти слова	1	1
269	когда я	3	1
270	того чтобы	2	1
271	но не	12	1
272	в другом	3	1
273	в каких	1	1
274	этом мире	2	1
275	между тем	4	1
276	быть не	2	1
277	не быть	3	1
278	и должна	3	1
279	в ней	3	1
280	само это	1	1
281	и чтобы	1	1
282	самом деле	3	1
283	из себя	11	1
284	в которой	1	1
285	лишь в	8	1
286	ему миром	1	1
287	но может	1	1
288	именно на	2	1
289	а не	17	1
290	а за	1	1
291	а по	2	1
292	значение для	1	1
293	только на	1	1
294	и их	6	1
295	свою жизнь	2	1
296	связь между	1	1
297	в форме	1	1
298	перепрыгивая через	1	1
299	но только	1	1
300	конечно в	2	1
301	вместо того	1	1
302	единственный и	1	1
303	не смирение	1	1
304	что ее	1	1
305	в истории	1	1
306	по своей	1	1
307	он есть	1	1
308	которую я	2	1
309	ту же	1	1
310	это может	1	1
311	над ним	1	1
312	человека и	3	1
313	или как	2	1
314	где и	1	1
315	не я	3	1
316	час и	1	1
317	меня как	3	1
318	и т.д	4	1
319	всего этого	1	1
320	всего что	1	1
321	но этот	2	1
322	не раз	1	1
323	с другим	4	1
324	как свой	1	1
325	знает и	2	1
326	я в	1	1
327	за этим	1	1
328	к ним	4	1
329	в моей	1	1
330	не получил	1	1
331	к ней	1	1
332	как мы	1	1
333	жизнь как	6	1
334	не для	1	1
335	и о	1	1
336	ее не	1	1
337	его как	5	1
338	той же	1	1
339	и др	1	1
340	только по	2	1
341	быть в	4	1
342	не значит	6	1
343	слова в	2	1
344	и от	1	1
345	и есть	10	1
346	с которым	1	1
347	исходит из	1	1
348	всю жизнь	1	1
349	но я	2	1
350	согласиться с	1	1
351	этого слова	2	1
352	себя а	4	1
353	что именно	1	1
354	уже чисто	1	1
355	а это	2	1
356	в литературе	1	1
357	в области	2	1
358	и по	1	1
359	и эта	2	1
360	нуждается в	1	1
361	человек не	2	1
362	это в	1	1
363	всяком случае	1	1
364	неясно где	1	1
365	не из	2	1
366	чтобы не	2	1
367	но со	1	1
368	и совершенно	3	1
369	в трагедии	1	1
370	и наконец	1	1
371	не к	1	1
372	поэтому он	1	1
