N	2gram	Medvedev_F	NovoeSre
131	но она	1	2
132	человека во	1	2
133	думать что	4	2
134	одной стороны	5	2
135	не могла	3	2
136	можно было	1	2
137	и должно	4	2
138	ни одна	2	2
139	другой стороны	5	2
140	из ее	2	2
141	с их	2	2
142	этом смысле	3	2
143	том и	1	2
144	в русском	2	2
145	у него	1	2
146	место в	8	2
147	а в	11	2
148	все время	7	2
149	и даже	7	2
150	и с	17	2
151	мы говорим	4	2
152	и начинается	1	2
153	по существу	8	2
154	жизни как	1	2
155	для этого	6	2
156	нет и	2	2
157	равно как	2	2
158	могут быть	7	2
159	и культуры	1	2
160	в себе	4	2
161	том чтобы	3	2
162	и на	10	2
163	уже не	9	2
164	духа в	1	2
165	все эти	12	2
166	же как	3	2
167	такой же	2	2
168	вместе с	8	2
169	который в	1	2
170	одна из	2	2
171	мира и	1	2
172	роль в	2	2
173	но не	5	2
174	в то	14	2
175	должно было	4	2
176	том что	3	2
177	ведь и	1	2
178	бытия в	3	2
179	так же	5	2
180	и это	4	2
181	можно назвать	1	2
182	в смысле	2	2
183	но для	4	2
184	к созданию	1	2
185	себя в	1	2
186	но в	9	2
187	мысли в	2	2
188	формы и	7	2
189	не к	2	2
190	к содержанию	1	2
191	в той	3	1
192	вопрос об	2	1
193	все в	3	1
194	всех своих	2	1
195	она сама	1	1
196	своего рода	1	1
197	мир не	1	1
198	в самом	17	1
199	во всем	3	1
200	к одному	2	1
201	дальнейшее развитие	2	1
202	получает свое	1	1
203	от нее	6	1
204	был и	2	1
205	и хочет	1	1
206	может иметь	1	1
207	том случае	2	1
208	на западе	4	1
209	можно сказать	2	1
210	то он	1	1
211	по-новому и	1	1
212	социальной жизни	12	1
213	во все	2	1
214	формы познания	1	1
215	но оно	1	1
216	для всех	2	1
217	более высокой	1	1
218	в более	2	1
219	это конечно	1	1
220	до сих	7	1
221	мире а	2	1
222	к политической	1	1
223	а к	2	1
224	бы к	1	1
225	и более	4	1
226	характерная для	1	1
227	и этот	2	1
228	в котором	2	1
229	по природе	1	1
230	по преимуществу	6	1
231	а белый	1	1
232	находится во	1	1
233	значение в	4	1
234	и всех	1	1
235	слова новым	1	1
236	пр в	1	1
237	то это	1	1
238	выходит за	1	1
239	ничем не	4	1
240	в статье	5	1
241	отличие от	2	1
242	что будет	1	1
243	мир в	1	1
244	возможно лишь	2	1
245	же и	2	1
246	что никаких	1	1
247	они не	7	1
248	из них	5	1
249	и изнутри	3	1
250	к ней	3	1
251	она должна	3	1
252	на нем	1	1
253	пришли к	1	1
254	ориентироваться в	1	1
255	к природе	1	1
256	также что	1	1
257	случае если	1	1
258	возможен лишь	1	1
259	культуре и	1	1
260	мы уже	1	1
261	жизни а	2	1
262	не останется	3	1
263	своей природе	1	1
264	этого она	1	1
265	уже в	1	1
266	верховной цели	2	1
267	на ее	1	1
268	в свою	8	1
269	в значительной	3	1
270	и имеет	1	1
271	из этих	4	1
272	что оставалось	1	1
273	во всяком	6	1
274	том числе	1	1
275	осознавать себя	1	1
276	должны занять	1	1
277	все свои	1	1
278	смысле в	1	1
279	не должно	1	1
280	одну из	1	1
281	философии жизни	1	1
282	для того	3	1
283	групп и	1	1
284	в каких	1	1
285	вопросу о	1	1
286	не по	4	1
287	мы всегда	1	1
288	не для	4	1
289	на всех	1	1
290	предметного содержания	1	1
291	только так	2	1
292	в материальную	1	1
293	лишь для	3	1
294	своем развитии	2	1
295	это значит	1	1
296	социальная жизнь	2	1
297	из их	1	1
298	а это	1	1
299	в этот	2	1
300	господствующей в	2	1
301	это уже	1	1
302	он и	3	1
303	было бы	10	1
304	и из	1	1
305	в сущности	3	1
306	о самом	1	1
307	не должна	7	1
308	в формах	4	1
309	в недрах	1	1
310	получает все	1	1
311	от истины	1	1
312	в его	30	1
313	особое место	2	1
314	значительной степени	3	1
315	к тем	1	1
316	от этой	1	1
317	мы в	2	1
318	истории как	1	1
319	но ведь	4	1
320	и вся	2	1
321	значение для	2	1
322	должны быть	6	1
323	могли не	1	1
324	и через	2	1
325	и их	13	1
326	говорить о	4	1
327	французский немецкий	1	1
328	не с	2	1
329	с кризисом	1	1
330	вступает в	2	1
331	всего как	1	1
332	в социальной	3	1
333	бытия и	1	1
334	не были	1	1
335	есть и	1	1
336	может остаться	1	1
337	и ярче	1	1
338	и элементы	1	1
339	у нас	6	1
340	для них	4	1
341	не столько	5	1
342	это формы	1	1
343	с другими	11	1
344	людей и	1	1
345	разложения и	1	1
346	не через	1	1
347	вопроса о	2	1
348	ни одно	1	1
349	в виду	2	1
350	или к	1	1
351	сами эти	1	1
352	еще в	2	1
353	знаний о	1	1
354	превращается в	2	1
355	и до	8	1
356	слова а	1	1
357	с собой	1	1
358	есть результат	1	1
359	и развивается	1	1
360	только в	6	1
361	своей основе	1	1
362	неизбежно будет	1	1
363	движения в	2	1
364	не на	3	1
365	двумя путями	1	1
366	не могут	8	1
367	которые будут	1	1
368	под этим	1	1
369	по своей	1	1
370	от того	2	1
371	в нее	1	1
372	он есть	1	1
373	него как	1	1
374	от других	2	1
375	сам этот	1	1
376	есть еще	1	1
377	в зависимости	4	1
378	и верованиями	1	1
379	творчества и	2	1
380	в большинстве	6	1
381	было и	1	1
382	оно не	6	1
383	роли какую	1	1
384	в средневековой	1	1
385	и исключительно	2	1
386	и извне	3	1
387	а на	2	1
388	вступить на	1	1
389	сами по	4	1
390	особого рода	1	1
391	не их	1	1
392	вот этот	1	1
393	говорим о	2	1
394	или не	1	1
395	но он	2	1
396	быть признана	1	1
397	значение и	4	1
398	в которой	5	1
399	и а	1	1
400	особого типа	2	1
401	в этой	10	1
402	этого не	1	1
403	числе и	1	1
404	а также	1	1
405	и еще	1	1
406	что его	1	1
407	и техники	2	1
408	как на	5	1
409	в отличие	2	1
410	так называемый	1	1
411	он в	3	1
412	явление в	1	1
413	на нее	2	1
414	во многом	2	1
415	же так	1	1
416	ней и	2	1
417	ведь прежде	1	1
418	этого нельзя	1	1
419	менее всего	4	1
420	быть только	1	1
421	что не	4	1
422	но все	4	1
423	легче чем	1	1
424	был понят	1	1
425	тем что	6	1
426	вера в	1	1
427	она продолжает	1	1
428	и во	2	1
429	только одна	2	1
430	к этой	4	1
431	новые формы	2	1
432	свое и	1	1
433	лишь к	1	1
434	времени не	1	1
435	это время	1	1
436	в конце	2	1
437	вообще не	1	1
438	о кризисе	1	1
439	или иная	1	1
440	к отрицанию	3	1
441	совсем особое	1	1
442	в основу	2	1
443	мы скорее	1	1
444	так как	4	1
445	смысле и	2	1
446	жизни этих	1	1
447	той роли	1	1
448	в образе	1	1
449	к которому	2	1
450	в своем	12	1
451	их место	1	1
452	характер и	2	1
453	каким путем	1	1
454	к таким	1	1
455	глубже чем	2	1
456	метода и	1	1
457	и научной	1	1
458	лишь на	1	1
459	сих пор	7	1
460	соединение а	1	1
461	и вполне	1	1
462	рода в	1	1
463	что он	8	1
464	на себя	1	1
465	бы сказать	1	1
466	самая постановка	1	1
467	их в	2	1
468	в силу	1	1
469	и очень	1	1
470	он может	1	1
471	большинстве случаев	5	1
472	оно должно	3	1
473	они сами	2	1
474	не начало	1	1
475	борьбы за	1	1
476	техникой и	1	1
477	перестать быть	1	1
478	должна обнаружиться	1	1
479	так на	2	1
480	но под	1	1
481	и никакой	1	1
482	человека на	1	1
483	в этих	3	1
484	и целостности	1	1
485	том смысле	3	1
486	и русский	1	1
487	и отдельных	1	1
488	но если	1	1
489	по себе	10	1
490	приводит к	4	1
491	это делали	1	1
492	нет у	1	1
493	в области	6	1
494	делается в	1	1
495	в такой	3	1
496	все более	4	1
497	с ним	3	1
498	и только	5	1
499	человек не	3	1
500	есть только	3	1
501	от всех	5	1
502	отнесены к	1	1
503	к единству	1	1
504	всяком случае	6	1
505	для настоящего	1	1
506	речи о	1	1
507	изнутри и	1	1
508	и оно	1	1
509	зависимости от	5	1
510	она могла	1	1
511	та или	1	1
512	друг друга	4	1
513	идей и	1	1
514	только потому	1	1
515	и истории	5	1
516	в эти	1	1
517	приобщается к	1	1
518	реакция в	1	1
519	к вопросу	2	1
520	в другие	1	1
521	в это	1	1
522	того же	1	1
523	мира не	1	1
524	на их	3	1
525	в чем	2	1
526	в каком	1	1
527	нет в	2	1
528	не был	1	1
529	движения и	1	1
530	дальше и	1	1
531	в какие	2	1
532	если взять	1	1
533	и его	27	1
534	в эту	3	1
535	и особенно	3	1
536	слова в	2	1
537	но сама	1	1
538	не удалось	1	1
539	за его	1	1
540	понять что	1	1
541	партии и	1	1
542	к идее	1	1
543	гораздо больше	1	1
544	что новое	1	1
545	эпоху и	1	1
546	совершается в	2	1
547	искусство не	1	1
548	бог не	1	1
549	связано с	1	1
550	от этого	3	1
551	и нового	3	1
552	и нет	1	1
553	ко времени	2	1
554	этой системы	1	1
555	который и	1	1
556	к нему	3	1
557	чтобы понять	2	1
558	было быть	1	1
559	на них	1	1
560	людей в	1	1
