N	2gram	Losev_Dial	EvropaiE
106	во многих	1	4
107	или иной	4	4
108	мира в	1	4
109	на всем	1	4
110	независимо от	3	4
111	и к	5	3
112	говорит о	5	3
113	применении к	1	3
114	но на	2	3
115	и мы	6	3
116	можно ли	6	3
117	она в	3	3
118	в применении	1	3
119	этом отношении	2	3
120	по общему	1	3
121	ее в	3	3
122	что и	8	3
123	в результате	7	3
124	или иную	1	3
125	мы можем	3	3
126	не является	1	3
127	себе не	3	3
128	x в	1	3
129	на себя	3	3
130	не более	1	3
131	тем что	5	3
132	очевидно что	1	3
133	в таком	15	3
134	вообще не	3	3
135	как в	2	3
136	жизни в	1	3
137	мира и	3	3
138	в которых	1	3
139	в известном	1	3
140	на своем	1	3
141	бы ни	1	3
142	в них	6	3
143	в психологии	1	3
144	во всяком	5	3
145	ни на	5	3
146	бы и	2	3
147	во все	1	3
148	в данном	6	3
149	ли это	1	3
150	идет о	1	3
151	не дает	1	3
152	ту или	1	3
153	потому что	21	3
154	и тем	3	3
155	когда он	3	3
156	не будет	5	3
157	и для	5	3
158	этот факт	1	3
159	этом смысле	1	3
160	уже и	3	3
161	к ним	1	3
162	как на	6	3
163	с тем	4	3
164	в сфере	3	3
165	это так	2	3
166	и от	4	3
167	место в	2	3
168	о том	11	3
169	в общем	1	3
170	и прежде	6	3
171	от них	1	3
172	там где	1	3
173	и только	6	3
174	является ли	1	3
175	всяком случае	3	3
176	не из	1	3
177	в культуре	1	3
178	из них	4	3
179	никогда не	9	3
180	всего в	2	2
181	таким образом	14	2
182	утверждать что	6	2
183	и то	7	2
184	в другой	2	2
185	во втором	1	2
186	и во	3	2
187	мы видим	4	2
188	и этот	1	2
189	по преимуществу	2	2
190	говоря уже	6	2
191	их из	1	2
192	только те	1	2
193	видим как	1	2
194	данном случае	3	2
195	должна быть	11	2
196	но еще	2	2
197	тогда когда	9	2
198	и имеет	1	2
199	в его	6	2
200	или по	4	2
201	одна и	3	2
202	но также	1	2
203	тому чтобы	3	2
204	мира но	1	2
205	что это	20	2
206	это значит	29	2
207	хотя и	9	2
208	не уходит	1	2
209	с этим	4	2
210	будет ли	5	2
211	которого мы	1	2
212	в некоторых	3	2
213	поскольку речь	1	2
214	его на	3	2
215	и тут	5	2
216	и если	5	2
217	из того	2	2
218	с другими	1	2
219	то не	2	2
220	другой стороны	4	2
221	в этих	3	2
222	не могут	6	2
223	но с	1	2
224	могут стать	1	2
225	в своих	3	2
226	как же	9	2
227	при условии	5	2
228	от друга	1	2
229	если бы	10	2
230	или в	4	2
231	в свои	1	2
232	что к	1	2
233	и с	10	2
234	ставим вопрос	1	2
235	и можно	5	2
236	заключается в	3	2
237	и все	17	2
238	и эта	1	2
239	рано или	1	2
240	на месте	1	2
241	нужно думать	1	2
242	представление о	3	2
243	в сферу	4	2
244	относятся к	1	2
245	стороны в	1	2
246	имеет место	1	2
247	вместе с	3	2
248	и как	13	2
249	нас к	2	2
250	как не	4	2
251	помнить что	2	2
252	есть в	4	2
253	не есть	95	2
254	в порядке	1	2
255	в мире	2	2
256	одном из	1	2
257	как оно	1	2
258	между ними	1	2
259	сравнению с	1	2
260	в сторону	1	2
261	друг от	1	2
262	не нужно	2	2
263	бы совершенно	1	2
264	и таким	1	2
265	в других	1	2
266	а именно	7	2
267	на них	2	2
268	только одно	4	2
269	что эти	1	2
270	вопрос не	1	2
271	не дают	1	2
272	не говоря	6	2
273	но как	3	2
274	и отчасти	1	2
275	только к	3	2
276	значение только	1	2
277	и более	1	2
278	в котором	2	2
279	и что	21	2
280	человеческого рода	1	2
281	она не	10	2
282	имеет в	1	2
283	по сравнению	1	2
284	и поэтому	1	2
285	он не	8	2
286	мы должны	1	2
287	что если	5	2
288	а не	39	2
289	и та	4	2
290	есть ли	8	2
291	в одном	3	2
292	на основании	3	2
293	на одну	1	2
294	целый ряд	3	2
295	даже при	1	2
296	далеко не	1	2
297	этот вопрос	1	2
298	в истории	7	2
299	по своей	1	2
300	идеи о	1	2
301	при помощи	6	2
302	а в	3	2
303	его собственная	1	2
304	в этой	3	2
305	что же	12	2
306	и еще	1	2
307	именно тогда	1	2
308	заметить что	2	2
309	во многом	1	2
310	о выходе	1	2
311	культуры и	2	2
312	мог бы	2	2
313	наряду с	1	2
314	могут быть	5	2
315	ее от	2	2
316	но именно	1	2
317	к природе	3	2
318	что все	16	2
319	во всей	1	2
320	в силу	5	2
321	на этот	1	2
322	же в	2	2
323	жизни и	8	2
324	такой же	1	2
325	происходит в	1	2
326	для понимания	1	2
327	как будто	3	2
328	он сам	1	2
329	можно утверждать	2	2
330	бы от	1	2
331	или поздно	1	2
332	ведь и	3	2
333	мира не	1	2
334	поскольку она	1	2
335	точка зрения	5	2
336	бы в	5	2
337	и чем	1	2
338	или точнее	1	2
339	не можем	3	2
340	и наконец	2	2
341	что на	3	2
342	есть не	11	2
343	не к	1	2
344	к нему	4	2
345	меньше чем	2	2
346	поскольку не	1	1
347	жизни но	1	1
348	индии то	1	1
349	за несколько	1	1
350	ближе к	1	1
351	представить себе	1	1
352	во всем	5	1
353	находим в	1	1
354	значит ли	1	1
355	об их	1	1
356	с полной	3	1
357	но тем	1	1
358	одних и	2	1
359	душе и	2	1
360	в свое	1	1
361	они должны	1	1
362	находятся в	1	1
363	все что	3	1
364	знание в	1	1
365	ее и	2	1
366	или наоборот	1	1
367	или к	2	1
368	для всех	1	1
369	что оно	9	1
370	законы и	1	1
371	внутри же	1	1
372	та же	5	1
373	не выходит	1	1
374	религии и	1	1
375	смысле что	1	1
376	она и	3	1
377	мир в	3	1
378	как таковой	6	1
379	мы принуждены	1	1
380	в свой	1	1
381	нельзя сказать	1	1
382	как с	2	1
383	может не	4	1
384	мы приходим	1	1
385	в последнее	2	1
386	на вопрос	1	1
387	и всей	1	1
388	они являются	1	1
389	признаков что	1	1
390	указать на	1	1
391	должно быть	7	1
392	к этой	2	1
393	которая в	1	1
394	в общий	1	1
395	мира к	1	1
396	только сама	1	1
397	от нее	3	1
398	например в	3	1
399	был бы	2	1
400	отношении с	1	1
401	в жизни	4	1
402	внимание на	1	1
403	в угоду	1	1
404	с такой	1	1
405	в состоянии	1	1
406	для себя	2	1
407	том же	1	1
408	в указанном	1	1
409	для всякого	1	1
410	мы знаем	3	1
411	себе ничего	1	1
412	время не	1	1
413	европа в	1	1
414	и далее	1	1
415	при этом	7	1
416	для него	4	1
417	рассматривать с	1	1
418	эта идея	1	1
419	и иного	1	1
420	но от	1	1
421	и философии	1	1
422	бы на	1	1
423	в разных	2	1
424	с ним	3	1
425	настоящего и	1	1
426	кроме того	8	1
427	связанное с	1	1
428	и различие	1	1
429	конечно то	1	1
430	имеет значения	2	1
431	что с	2	1
432	не как	1	1
433	истории в	1	1
434	и лучше	1	1
435	мы совершенно	2	1
436	что истинное	1	1
437	которое именуется	1	1
438	нас в	3	1
439	здесь говорить	1	1
440	то мы	3	1
441	как некую	1	1
442	не зависящего	2	1
443	у нас	7	1
444	исторического процесса	2	1
445	состояния в	1	1
446	это есть	19	1
447	как нечто	2	1
448	быть может	3	1
449	с их	4	1
450	приходит к	1	1
451	весь мир	3	1
452	планете и	1	1
453	достигает предела	1	1
454	мы находим	5	1
455	нельзя ни	3	1
456	в ином	1	1
457	являются светочами	1	1
458	тому же	2	1
459	мы свели	1	1
460	однако не	2	1
461	истории культуры	1	1
462	мыслится как	1	1
463	творчества и	1	1
464	связь с	1	1
465	существует только	1	1
466	оно не	7	1
467	как они	1	1
468	не было	6	1
469	что нет	5	1
470	находятся и	1	1
471	связи с	3	1
472	ко всем	1	1
473	если не	3	1
474	более или	1	1
475	особого рода	3	1
476	это должно	1	1
477	цель и	2	1
478	живет и	1	1
479	не о	6	1
480	но все	1	1
481	именно и	1	1
482	тела если	1	1
483	все ее	1	1
484	и сам	1	1
485	или иначе	2	1
486	имеет значение	1	1
487	с таким	1	1
488	что его	5	1
489	но совершенно	2	1
490	на такой	1	1
491	и где	2	1
492	о характере	2	1
493	по природе	1	1
494	во внимание	5	1
495	это мы	1	1
496	посмотреть какие	1	1
497	точнее и	1	1
498	в точном	2	1
499	некоторых случаях	1	1
500	в силах	2	1
501	что не	8	1
502	и наука	3	1
503	в глубине	3	1
504	и другое	2	1
505	именно о	3	1
506	есть то	9	1
507	она является	1	1
508	исходит из	2	1
509	или на	2	1
510	и всего	1	1
511	из всего	1	1
512	и будет	1	1
513	то время	6	1
514	или иная	3	1
515	всякой иной	1	1
516	из общей	1	1
517	понимать как	4	1
518	можно назвать	3	1
519	тому что	5	1
520	мы получаем	1	1
521	призыв к	2	1
522	никак нельзя	1	1
523	в корне	1	1
524	на другую	5	1
525	которые при	1	1
526	конечно не	6	1
527	с той	1	1
528	в связи	3	1
529	находит себе	1	1
530	лишь на	1	1
531	те же	1	1
532	есть нечто	26	1
533	с ними	3	1
534	принимая во	1	1
535	время как	6	1
536	пока что	1	1
537	всегда в	1	1
538	е не	4	1
539	если и	1	1
540	все эти	4	1
541	себя как	3	1
542	эти две	5	1
543	всем своем	1	1
544	такая связь	1	1
545	живых существ	2	1
546	все же	4	1
547	имеется в	5	1
548	до боли	1	1
549	но когда	2	1
550	при таком	2	1
551	есть только	13	1
552	фактора и	1	1
553	том смысле	1	1
554	силу этого	3	1
555	своего существования	1	1
556	и т	41	1
557	одно из	8	1
558	последнее время	2	1
559	внимание что	1	1
560	ли не	1	1
561	в такой	1	1
562	его жизни	1	1
563	выше мы	1	1
564	в вопросах	1	1
565	который не	2	1
566	на минуту	1	1
567	ли он	1	1
568	почти все	1	1
569	в новом	1	1
570	о которых	1	1
571	только и	3	1
572	о котором	4	1
573	и следовательно	2	1
574	которое не	2	1
575	по самой	1	1
576	иногда на	1	1
577	на научную	1	1
578	речь идет	1	1
579	эта последняя	1	1
580	и это	12	1
581	более как	1	1
582	возникает вопрос	1	1
583	в каждой	1	1
584	именно с	1	1
585	об этом	8	1
586	если взять	2	1
587	говорит об	1	1
588	на себе	4	1
589	или менее	1	1
590	тогда как	1	1
591	и явление	1	1
592	что как	1	1
593	быть проведено	1	1
594	уже не	9	1
595	в одной	4	1
596	и вообще	7	1
597	ставится вопрос	2	1
598	и тысячи	1	1
599	в аспекте	1	1
600	всем его	1	1
601	в любой	1	1
602	казалось бы	1	1
603	а для	2	1
604	было у	1	1
605	что обе	1	1
606	но его	3	1
607	нет ничего	14	1
608	не менее	11	1
609	они вполне	1	1
610	конечно это	1	1
611	признать что	1	1
612	ответить на	1	1
613	от себя	5	1
614	больше чем	2	1
615	в основе	6	1
616	осуществляется в	2	1
617	к любой	1	1
618	близости к	1	1
619	и сами	2	1
620	не сводится	1	1
621	зависит от	4	1
622	а если	5	1
623	выше и	2	1
624	то это	9	1
625	смысле она	1	1
626	ли уже	1	1
627	отличие от	2	1
628	такие же	1	1
629	что мы	10	1
630	на этом	3	1
631	чтобы в	1	1
632	значит что	29	1
633	когда мы	3	1
634	бы только	3	1
635	представим себе	1	1
636	как одно	1	1
637	мы же	1	1
638	но начало	1	1
639	тех кто	1	1
640	в лучшем	2	1
641	не увлекает	1	1
642	то и	5	1
643	доказать что	1	1
644	направленные к	1	1
645	чем то	1	1
646	говорить не	3	1
647	всего этого	2	1
648	связана с	1	1
649	и необходимость	2	1
650	ту же	1	1
651	этом мире	1	1
652	поэтому если	1	1
653	не быть	1	1
654	в человечестве	2	1
655	раз на	2	1
656	много раз	1	1
657	уже о	7	1
658	или же	3	1
659	в этот	3	1
660	существенного в	1	1
661	из себя	3	1
662	и призыв	1	1
663	то нет	1	1
664	было только	1	1
665	слова и	1	1
666	быть и	7	1
667	совершенно достаточно	1	1
668	только тогда	7	1
669	если так	3	1
670	невозможно не	1	1
671	для нее	1	1
672	быть установлена	1	1
673	к тем	1	1
674	мы все	1	1
675	этом несмотря	1	1
676	можно конечно	1	1
677	должны быть	7	1
678	но они	3	1
679	есть часть	2	1
680	или иных	2	1
681	и их	1	1
682	что люди	1	1
683	говорить о	13	1
684	что эта	2	1
685	на его	1	1
686	свое существование	1	1
687	и всякая	2	1
688	тех же	2	1
689	сотни и	1	1
690	две области	1	1
691	и когда	4	1
692	мир своему	1	1
693	за пределы	3	1
694	плоти и	3	1
695	ценности и	1	1
696	каком же	1	1
697	мы хотим	2	1
698	имеет свое	1	1
699	кажется не	1	1
700	тут есть	2	1
701	даже не	8	1
702	на берегу	1	1
703	мы но	1	1
704	то как	5	1
705	в совершенно	1	1
706	чтобы не	4	1
707	реальности в	2	1
708	это может	1	1
709	определенного рода	2	1
710	что из	1	1
711	как то	1	1
712	только это	1	1
713	или иное	4	1
714	ли этот	1	1
715	достаточно чтобы	1	1
716	пространства и	3	1
717	бытия это	1	1
718	будет уже	1	1
719	входить в	1	1
720	бы по	1	1
721	это вопрос	1	1
722	в каких	2	1
723	которая как	1	1
724	всегда и	4	1
725	потому и	1	1
726	наиболее распространенное	1	1
727	всем ее	1	1
728	в знании	1	1
729	истории и	6	1
730	так то	5	1
731	значение и	1	1
732	будет существовать	1	1
733	вопрос в	2	1
734	в отличие	1	1
735	он в	1	1
736	возможна ли	1	1
737	протеста против	1	1
738	к двум	1	1
739	это потому	1	1
740	и науке	1	1
741	возможно ли	1	1
742	и целые	1	1
743	что для	5	1
744	та или	4	1
745	него не	1	1
746	для такого	2	1
747	друг другу	1	1
748	о реальном	1	1
749	той же	6	1
750	только одна	3	1
751	пребывает в	1	1
752	их к	1	1
753	и ее	8	1
754	считает что	1	1
755	каком смысле	5	1
756	свести к	1	1
757	такая же	1	1
758	быть в	4	1
759	тот же	1	1
760	относиться к	1	1
761	в нашем	1	1
762	к которому	1	1
763	не значит	5	1
764	которое оно	1	1
765	мы будем	1	1
766	их можно	1	1
767	котором мы	1	1
768	вплоть до	2	1
769	мы отнюдь	2	1
770	есть некоторый	1	1
771	это что	1	1
772	же будет	1	1
773	бытия и	5	1
774	в полном	1	1
775	и о	9	1
776	ограничиться в	1	1
777	одна из	4	1
778	все еще	2	1
779	даже более	1	1
780	которую не	1	1
781	ибо в	1	1
782	те кто	1	1
783	включает в	1	1
784	с его	7	1
785	и его	8	1
786	этого же	1	1
787	реальность и	2	1
788	же может	1	1
789	тех или	6	1
790	момент во	1	1
791	т д	38	1
792	что даже	2	1
793	и насколько	1	1
794	эти два	3	1
795	и силу	1	1
796	в нем	7	1
797	мы различаем	1	1
798	речи о	1	1
799	но это	10	1
800	от того	9	1
801	если мы	5	1
802	лучшем случае	2	1
803	для этого	3	1
804	она есть	17	1
805	с ее	10	1
806	всех этих	3	1
807	обратиться к	1	1
808	но так	2	1
809	то или	4	1
810	в самой	1	1
811	от существования	1	1
812	мы сказали	1	1
813	однако же	1	1
814	и искусства	1	1
815	одного и	1	1
816	мире как	1	1
817	в чисто	2	1
818	жизнью и	1	1
819	каких же	1	1
820	на ту	2	1
821	мира есть	3	1
822	его можно	1	1
823	определенных естественных	1	1
824	вне ее	1	1
825	гораздо более	1	1
826	если будет	2	1
