N	2gram	Medvedev_U	VeschiIm
224	он и	1	2
225	этой основной	1	2
226	часто бывает	1	2
227	ее к	1	2
228	не о	3	2
229	в виду	1	2
230	очевидно что	3	2
231	и прежде	1	2
232	от слова	1	2
233	это было	2	2
234	как принцип	2	2
235	с другом	1	2
236	метод и	1	2
237	и быть	1	2
238	только к	3	2
239	это для	1	2
240	и существенным	1	2
241	этом смысле	2	2
242	далеко не	1	2
243	конечно нет	2	2
244	но тут	1	2
245	признать что	1	2
246	и вне	1	2
247	его как	1	2
248	и необходимо	1	2
249	конце концов	2	2
250	не случайно	2	2
251	но для	1	2
252	степени и	1	2
253	что было	1	1
254	для всех	2	1
255	оно все	1	1
256	до сих	2	1
257	мы и	2	1
258	как таковой	2	1
259	ней не	1	1
260	почти не	1	1
261	таком понимании	1	1
262	именно к	1	1
263	но также	1	1
264	об искусстве	1	1
265	будет не	1	1
266	строго говоря	1	1
267	в некоторых	2	1
268	специфической природе	1	1
269	индивидуальности но	1	1
270	от самых	1	1
271	и является	2	1
272	самое наличие	1	1
273	очень легко	1	1
274	как самостоятельной	1	1
275	отлична от	1	1
276	их и	2	1
277	содержание и	1	1
278	форму и	2	1
279	и действительно	1	1
280	в порядке	1	1
281	мы получаем	2	1
282	относятся к	1	1
283	в наиболее	1	1
284	стороны в	1	1
285	пройти мимо	1	1
286	при более	1	1
287	меньшей мере	1	1
288	на эту	2	1
289	же ведь	1	1
290	в которых	1	1
291	области в	1	1
292	в словах	1	1
293	метода в	1	1
294	осталось бы	1	1
295	в поэтическом	1	1
296	уж тем	1	1
297	на первый	2	1
298	как возможно	1	1
299	впрочем для	1	1
300	само же	1	1
301	литературы и	2	1
302	без труда	1	1
303	восприятия и	1	1
304	больше чем	1	1
305	что этот	1	1
306	но нам	1	1
307	как науки	1	1
308	искусства и	1	1
309	и истории	1	1
310	точно и	1	1
311	к проблеме	1	1
312	о принципах	1	1
313	и вся	1	1
314	если нет	1	1
315	в различных	1	1
316	они относятся	1	1
317	что еще	1	1
318	она все	1	1
319	него не	1	1
320	своем месте	1	1
321	не самые	1	1
322	еще ничего	2	1
323	а этого	1	1
324	только при	1	1
325	сих пор	2	1
326	теории и	1	1
327	и всякого	1	1
328	по меньшей	1	1
329	всего понятие	1	1
330	именно этот	1	1
331	бы это	1	1
332	принцип единства	1	1
333	невозможна без	1	1
334	формы и	2	1
335	может обойтись	1	1
336	этом случае	1	1
337	или просто	1	1
338	как нам	1	1
339	если у	1	1
340	принцип есть	1	1
341	на одно	1	1
342	по мнению	1	1
343	о нем	1	1
344	что с	1	1
345	все и	1	1
346	ее в	1	1
347	они в	1	1
348	не обладает	1	1
349	в течение	1	1
350	смысле этого	2	1
351	отказаться от	1	1
352	такое понимание	1	1
353	объекта и	1	1
354	как таковое	1	1
355	в таком	1	1
356	превратилось бы	1	1
357	перестают быть	1	1
358	но по	1	1
359	описывать и	1	1
360	в храме	1	1
361	не могут	2	1
362	по его	1	1
363	случайной и	1	1
364	но конечно	2	1
365	и отвратительное	1	1
366	напр в	1	1
367	для научного	1	1
368	конечно это	1	1
369	могли бы	2	1
370	первый план	1	1
371	вообще в	1	1
372	а его	2	1
373	бы те	1	1
374	принципов и	1	1
375	в чистое	1	1
376	в системе	2	1
377	не приходится	2	1
378	у кого	1	1
379	является одним	1	1
380	такое что	1	1
381	не следует	3	1
382	в пределах	1	1
383	к которой	1	1
384	они находятся	1	1
385	же самое	2	1
386	что никакого	1	1
387	не связанных	1	1
388	форма в	1	1
389	со своими	1	1
390	время на	1	1
391	и доказывает	1	1
392	этот путь	1	1
393	могут быть	2	1
394	одним из	2	1
395	которое мы	1	1
396	еще одно	1	1
397	же в	1	1
398	ничуть не	1	1
399	а как	2	1
400	это в	1	1
401	надо было	2	1
402	как отвлеченный	1	1
403	все детали	1	1
404	всех этих	2	1
405	доказывает что	1	1
406	имеет свою	1	1
407	не предмет	1	1
