N	2gram	Nazirov_Tr	Vladivir
123	в истории	1	10
124	он и	2	10
125	о нем	1	10
126	в ней	1	10
127	но не	1	10
128	о чем	3	9
129	и сам	3	9
130	именно в	1	9
131	и притом	1	9
132	но он	1	9
133	но как	1	9
134	это не	5	9
135	же время	6	9
136	в целом	4	9
137	с этой	1	8
138	не столько	1	8
139	тем что	2	8
140	в это	2	8
141	которой он	1	8
142	и он	3	8
143	это мы	1	8
144	в чем	1	8
145	и особенно	1	8
146	как в	3	8
147	должно быть	3	8
148	как бы	7	8
149	xix века	1	8
150	и я	2	8
151	отношение к	2	8
152	к этой	1	7
153	в одном	2	7
154	в них	1	7
155	но все	2	7
156	к ней	1	7
157	что этот	2	7
158	точно так	2	7
159	ii с	1	7
160	за пределы	1	7
161	даже не	1	7
162	о его	2	7
163	и есть	1	7
164	здесь мы	1	7
165	не имеет	2	7
166	бы и	2	7
167	и вот	1	7
168	того чтобы	1	7
169	но если	1	7
170	в таком	2	7
171	то и	2	7
172	как он	1	7
173	или как	1	7
174	мы бы	1	7
175	тому что	1	6
176	в виду	1	6
177	но у	1	6
178	в отличие	2	6
179	он сам	7	6
180	той же	1	6
181	по мнению	2	6
182	его в	2	6
183	что она	2	6
184	на себя	1	6
185	под влиянием	2	6
186	но только	1	6
187	по своей	1	6
188	не раз	1	6
189	году в	2	6
190	взгляд на	1	6
191	и теперь	1	6
192	данном случае	2	6
193	свидетельствует о	1	6
194	а это	1	6
195	и всегда	1	6
196	в общем	1	6
197	но я	1	6
198	жизнь и	3	6
199	ко всему	1	6
200	отличие от	2	6
201	есть и	1	6
202	в период	1	6
203	и наконец	1	6
204	что на	1	6
205	говорит о	2	5
206	и до	2	5
207	но мы	1	5
208	вопрос о	2	5
209	в каких	1	5
210	говорит что	2	5
211	не вполне	1	5
212	и еще	1	5
213	быть в	1	5
214	во всех	1	5
215	и за	2	5
216	говорит в	1	5
217	он в	1	5
218	с которым	1	5
219	в частности	2	5
220	один из	3	5
221	жизни в	1	5
222	что я	4	5
223	друг друга	2	5
224	это был	2	5
225	что с	3	5
226	где он	1	5
227	на одной	1	5
228	как нечто	1	5
229	этого не	1	5
230	на все	1	5
231	со своей	1	5
232	но уже	1	5
233	только к	2	5
234	с самого	1	5
235	она не	1	5
236	во многом	1	5
237	в области	1	5
238	не удалось	1	5
239	не к	1	5
240	только что	1	4
241	он всегда	4	4
242	представление о	1	4
243	отца и	2	4
244	и стал	1	4
245	не могли	1	4
246	но этот	1	4
247	об отношении	1	4
248	в глаза	2	4
249	наряду с	1	4
250	с этими	1	4
251	что даже	1	4
252	был даже	1	4
253	сам по	1	4
254	только не	1	4
255	с одной	1	4
256	самое большее	1	4
257	и вместе	1	4
258	на этом	1	4
259	чтобы он	1	4
260	в духе	1	4
261	по вопросу	1	4
262	у которого	1	4
263	я в	1	4
264	всю жизнь	1	4
265	время он	1	4
266	эту тему	1	4
267	вплоть до	1	4
268	в особенности	1	4
269	не так	2	4
270	сколько угодно	1	4
271	что сам	1	4
272	не могут	2	4
273	заключается в	1	4
274	за свое	1	4
275	и т	1	4
276	с начала	1	4
277	года и	1	4
278	перед нами	2	4
279	человека и	1	4
280	это и	1	4
281	совершенно не	1	4
282	лишь в	1	4
283	мог бы	3	4
284	со своими	1	4
285	ему в	1	4
286	на путях	1	4
287	тем самым	3	4
288	приступил к	1	4
289	как у	2	4
290	в такой	1	4
291	и эта	1	4
292	для характеристики	1	4
293	от него	1	3
294	к м	1	3
295	в настоящем	1	3
296	она всегда	1	3
297	не как	1	3
298	роль в	1	3
299	эти мысли	1	3
300	когда в	1	3
301	а что	2	3
302	сам же	1	3
303	бы сказали	1	3
304	я вижу	1	3
305	и который	1	3
306	в другом	1	3
307	отметить что	1	3
308	самого начала	1	3
309	опять в	1	3
310	именно так	1	3
311	из трех	1	3
312	для понимания	1	3
313	л н	1	3
314	который в	2	3
315	на котором	1	3
316	первого же	2	3
317	начала и	1	3
318	тогда и	1	3
319	то для	1	3
320	к жизни	5	3
321	ума и	1	3
322	а за	1	3
323	одним из	1	3
324	и чисто	1	3
325	что не	1	3
326	я и	1	3
327	как говорит	2	3
328	и она	1	3
329	на земле	1	3
330	в мире	3	3
331	так сказать	1	3
332	бы в	1	3
333	я его	1	3
334	творца и	1	3
335	эта статья	1	3
336	он стал	1	3
337	не могла	1	3
338	и хотя	1	3
339	и др	1	3
340	он сказал	1	3
341	с каким	1	3
342	и ее	2	3
343	от нее	1	3
344	очень важно	2	3
345	раз он	2	3
346	по всем	1	3
347	также что	1	3
348	с такой	1	3
349	и при	1	3
350	за что	1	3
351	самом деле	1	3
352	необходимо отметить	1	3
353	с ними	1	3
354	не любил	1	3
355	само это	1	3
356	не понимает	1	3
357	значение для	1	3
358	в обществе	1	3
359	это же	1	3
360	только о	2	3
361	июля года	1	3
362	с того	1	3
363	на вопрос	1	3
364	того как	1	3
365	в литературе	1	3
366	но эта	2	3
367	указывает на	1	3
368	на меня	2	3
369	а по	1	3
370	это была	1	3
371	на всю	1	3
372	но теперь	1	3
373	в книге	1	3
374	как будто	3	3
375	человек не	1	3
376	это в	1	3
377	три года	1	3
378	в той	1	2
379	в душе	2	2
380	еще раз	2	2
381	в момент	1	2
382	дело с	1	2
383	любовь к	1	2
384	не читал	1	2
385	к числу	1	2
386	вопрос об	1	2
387	эта книга	1	2
388	и думать	1	2
389	если он	1	2
390	например в	1	2
391	всю эту	1	2
392	у достоевского	5	2
393	всем его	1	2
394	время с	1	2
395	x –	4	2
396	говорится о	1	2
397	этом мы	1	2
398	имеет в	2	2
399	времени в	2	2
400	в журнале	1	2
401	всего этого	1	2
402	почти в	1	2
403	и любви	1	2
404	казалось что	1	2
405	одна из	2	2
406	без которой	1	2
407	достоевского но	1	2
408	не понял	1	2
409	распадается на	1	2
410	с ее	3	2
411	все в	1	2
412	он очень	1	2
413	после того	1	2
414	но еще	1	2
415	к себе	1	2
416	что уже	1	2
417	и совершенно	1	2
418	добра и	1	2
419	в ее	2	2
420	статьях под	1	2
421	чем у	1	2
422	я очень	1	2
423	дается в	1	2
424	xviii века	1	2
425	рядом с	1	2
426	году и	1	2
427	навсегда и	1	2
428	незадолго до	1	2
429	в двух	1	2
430	могло бы	1	2
431	и которую	1	2
432	называет его	1	2
433	личности и	2	2
434	не из	1	2
435	что эта	1	2
436	тем и	1	2
437	годов в	1	2
438	он еще	1	2
439	его как	1	2
440	мировое зло	1	2
441	за себя	1	2
442	насилия и	1	2
443	утверждать что	1	2
444	в окончательном	1	2
445	известно что	1	2
446	почти не	1	2
447	которой не	1	2
448	должна быть	1	2
449	и должно	1	2
450	мирового зла	1	2
451	с г	2	2
452	который сам	1	2
453	не знал	1	2
454	с такими	1	2
455	я хочу	1	2
456	тем чем	1	2
457	своего отца	3	2
458	знает что	2	2
459	во сне	2	2
460	это самое	1	2
461	бросается в	2	2
462	он же	1	2
463	не является	1	2
464	тот кто	1	2
465	увидел что	1	2
466	толстой и	1	2
467	известной степени	1	2
468	что вы	3	2
469	речи в	1	2
470	не за	2	2
471	виде и	1	2
472	из первых	1	2
473	даже сам	1	2
474	в глазах	2	2
475	говорил что	1	2
476	этого слова	1	2
477	в самой	1	2
478	часто и	1	2
479	у в	1	2
480	литературы и	1	2
481	судя по	1	2
482	им как	1	2
483	этом случае	1	2
484	сам говорит	2	2
485	него была	1	2
486	не для	1	2
487	же не	1	2
488	в русском	2	2
489	эта речь	1	2
490	было в	2	2
491	в эпоху	1	2
492	перед смертью	1	2
493	это очень	5	2
494	виде в	1	2
495	пушкина и	1	2
496	к вам	1	2
497	а он	1	2
498	с первого	2	2
499	людей в	1	2
500	что эти	2	2
501	к одному	1	2
502	за то	1	2
503	и личность	2	2
504	она должна	2	2
505	на свои	1	2
506	а из	1	2
507	вполне ясно	1	2
508	и их	1	2
509	свою жизнь	1	2
510	человека с	1	2
511	вы не	1	2
512	не нравится	1	2
513	могло быть	1	2
514	где на	1	2
515	в высшей	1	2
516	никому не	1	2
517	рассказывает в	1	2
518	на ту	1	2
519	о своих	1	2
520	к своей	1	2
521	некоторые черты	1	2
522	любви и	2	2
523	жизнью и	2	2
524	для самого	1	1
525	с помощью	1	1
526	жизни самого	1	1
527	себе ее	1	1
528	к сожалению	1	1
529	для ребенка	1	1
530	сама собой	1	1
531	хотя сам	1	1
532	я знаю	1	1
533	за мной	1	1
534	и великий	2	1
535	на работу	1	1
536	его за	2	1
537	всегда стремится	1	1
538	свою первую	1	1
539	произошла в	1	1
540	ну а	1	1
541	длинные и	2	1
542	iii в	3	1
543	одному из	1	1
544	быть может	1	1
545	с собой	1	1
546	и женщины	1	1
547	притом весьма	1	1
548	всем xix	1	1
549	писателя и	2	1
550	и ярко	1	1
551	хотя наряду	1	1
552	имеет для	1	1
553	и возвращается	1	1
554	мысль о	1	1
555	от всего	2	1
556	к обществу	2	1
557	эти черты	1	1
558	оказалось что	1	1
559	считал их	1	1
560	от самой	1	1
561	он есть	1	1
562	что писал	1	1
563	жизни на	1	1
564	тогда как	1	1
565	гораздо больше	1	1
566	ее отцу	1	1
567	в iii	1	1
568	iii это	1	1
569	перестает быть	1	1
570	ни за	1	1
571	значение только	1	1
572	характер эта	1	1
573	этой борьбе	1	1
574	критики в	1	1
575	чувствует себя	1	1
576	силы и	1	1
577	это его	1	1
578	представляет собой	1	1
579	обратился к	1	1
580	вот почему	1	1
581	больше в	1	1
582	уже было	1	1
583	из себя	1	1
584	но может	1	1
585	пошел на	1	1
586	камень в	1	1
587	свои длинные	1	1
588	но они	2	1
589	она тоже	1	1
590	связь между	1	1
591	а между	1	1
592	производил на	1	1
593	душу и	1	1
594	конечно был	1	1
595	трактуется им	1	1
596	перед ним	1	1
597	к ним	1	1
598	у себя	1	1
599	и обращается	1	1
600	ведется в	1	1
601	для ее	1	1
602	к проблемам	1	1
603	он использовал	1	1
604	согласиться с	1	1
605	что именно	1	1
606	в сфере	1	1
607	наблюдать и	1	1
608	обращенные к	1	1
609	достоевского так	1	1
610	и которое	1	1
611	очень скоро	1	1
612	человеческая личность	1	1
613	живости и	1	1
614	человека именно	1	1
615	мы видим	1	1
616	его самого	1	1
617	он непременно	1	1
618	отец ее	1	1
619	впадает в	1	1
620	в стиле	1	1
621	бывало у	1	1
622	что при	1	1
623	что тут	1	1
624	почему бы	1	1
625	добавим что	1	1
626	уже далеко	1	1
627	место где	1	1
628	его произведение	1	1
629	одно из	1	1
630	величайшему моему	1	1
631	этими двумя	2	1
632	бессмысленной и	1	1
633	видит в	1	1
634	распространяется на	1	1
635	отцов и	1	1
636	знал и	1	1
637	лицо его	2	1
638	которые так	1	1
639	что за	3	1
640	как его	1	1
641	тревожное и	1	1
642	он рассматривает	1	1
643	между этими	2	1
644	веке в	1	1
645	вы сами	1	1
646	веру в	2	1
647	выходящее за	1	1
648	обращается в	1	1
649	или скорее	1	1
650	насмешка над	1	1
651	вдруг в	1	1
652	в декабре	1	1
653	материалом для	1	1
654	и ко	1	1
655	и цель	1	1
656	x это	1	1
657	ли это	1	1
658	него есть	1	1
659	с творческой	1	1
660	на страницах	3	1
661	эти слова	1	1
662	когда я	1	1
663	был так	1	1
664	на другой	1	1
665	ту же	1	1
666	мы опять	1	1
667	характерны для	1	1
668	выступления в	1	1
669	если б	2	1
670	вопросу об	1	1
671	доходит до	1	1
672	она хочет	1	1
673	над ним	1	1
674	я увидел	2	1
675	все ей	1	1
676	мнению н	1	1
677	того кто	1	1
678	значение и	1	1
679	мир на	1	1
680	одному человеку	1	1
681	никогда в	1	1
682	но без	1	1
683	т п	1	1
684	жизнь как	1	1
685	он вдруг	5	1
686	в быту	1	1
687	вам ничего	1	1
688	искусства но	1	1
689	хлеб и	1	1
690	характерно что	1	1
691	обратимся к	1	1
692	за этот	1	1
693	не значит	1	1
694	своими подвигами	1	1
695	столь же	2	1
696	стыдится своего	1	1
697	этого нового	1	1
698	за год	1	1
699	а как	2	1
700	обратиться к	1	1
701	поэтому он	1	1
702	где мы	1	1
703	от самого	1	1
704	своего рода	3	1
705	романа с	1	1
706	не нашел	1	1
707	человеческой личности	2	1
708	бога но	1	1
709	например что	1	1
710	и далее	1	1
711	же появления	1	1
712	это уже	2	1
713	с годами	1	1
714	о семье	1	1
715	всегда будут	1	1
716	по письмам	1	1
717	в человеке	1	1
718	когда его	1	1
719	оттого что	1	1
720	к области	2	1
721	князя и	1	1
722	нельзя ли	1	1
723	него нет	1	1
724	нас от	1	1
725	очень важный	1	1
726	чтобы установить	1	1
727	до этого	1	1
728	его собственная	1	1
729	года а	1	1
730	не получил	1	1
731	большое значение	1	1
732	ничем не	2	1
733	из тех	1	1
734	состоит из	2	1
735	никто не	3	1
736	было мне	1	1
737	бы не	1	1
738	потому как	1	1
739	в припадке	1	1
740	году по	1	1
741	сознательно и	1	1
742	растет и	1	1
743	такая точка	1	1
744	который он	1	1
745	с сознанием	1	1
746	которых можно	1	1
747	года с	1	1
748	должны были	1	1
749	попал в	1	1
750	самое главное	1	1
751	к счастью	1	1
752	чем же	1	1
753	в селе	1	1
754	это понятие	1	1
755	более чем	1	1
756	столкновение с	1	1
757	не хочу	1	1
758	крест и	1	1
759	быть не	1	1
760	не быть	1	1
761	вызывает в	1	1
762	нельзя же	1	1
763	в новой	1	1
764	любви ко	1	1
765	в бесах	9	1
766	вы смотрите	1	1
767	труд был	1	1
768	описывает свои	1	1
769	в письмах	2	1
770	на столе	1	1
771	к людям	3	1
772	что когда	1	1
773	такие как	1	1
774	она все	2	1
775	в бога	1	1
776	в точности	1	1
777	русский язык	1	1
778	на две	1	1
779	ко всей	1	1
780	ответа на	1	1
781	в самую	2	1
782	действия не	1	1
783	за два	1	1
784	большее что	1	1
785	и непосредственного	1	1
786	в вашей	1	1
787	сильное впечатление	1	1
788	содержатся в	1	1
789	в и	1	1
790	стояли на	1	1
791	какой является	1	1
792	появилось в	1	1
793	но гораздо	1	1
794	ему довольно	1	1
795	высшей степени	1	1
796	не выдержал	1	1
797	вместе со	2	1
798	несколько времени	1	1
799	всегда была	1	1
800	и прямо	1	1
801	что ему	1	1
802	со мной	2	1
803	считает что	1	1
804	же была	1	1
805	в последней	1	1
806	при самом	1	1
807	к величайшему	1	1
808	это часто	1	1
809	что христос	1	1
810	к истории	1	1
811	году еще	1	1
812	xix веке	2	1
813	нам еще	1	1
814	не способен	1	1
815	на русский	1	1
816	говорю что	1	1
817	из своих	2	1
818	чем он	2	1
819	смысле этого	1	1
820	л п	1	1
821	что роман	1	1
822	в хлопотах	1	1
823	а на	1	1
824	борьбу с	1	1
825	начала в	1	1
826	за этим	1	1
827	на нее	1	1
828	о жизни	2	1
829	в условиях	1	1
830	а поскольку	1	1
831	каким же	1	1
832	в переводе	1	1
833	на источник	1	1
834	стремление к	1	1
835	еще к	1	1
836	по самой	1	1
837	людям в	1	1
838	эти же	1	1
839	на них	1	1
840	что хочет	1	1
841	на свете	1	1
842	я люблю	4	1
843	человека вот	1	1
844	такие слова	1	1
845	но со	1	1
846	блеске и	1	1
847	правда что	1	1
848	и мира	1	1
849	на нечто	1	1
850	возвращается к	1	1
851	нервный и	1	1
852	он подвергает	1	1
853	все усилия	1	1
854	нашел в	1	1
855	поводу своей	1	1
856	ничего подобного	1	1
857	цитата из	1	1
858	для чего	1	1
859	с совершенно	1	1
860	в отношениях	1	1
861	в блеске	1	1
862	за три	1	1
863	лишь первый	1	1
864	и смеялся	1	1
865	конечно в	1	1
866	ее детском	1	1
867	факт что	1	1
868	чтобы не	1	1
869	несколько раз	1	1
870	скажет что	1	1
871	на вид	1	1
872	выдержал своего	1	1
873	последнее слово	1	1
874	узнав об	1	1
875	из книги	1	1
876	принципа всего	1	1
877	ясно ощущается	1	1
878	первый том	1	1
879	x и	2	1
880	весьма характерна	1	1
881	этот тон	1	1
882	свою личную	1	1
883	право на	1	1
884	уже чисто	1	1
885	из самых	2	1
886	а жизнь	1	1
887	нуждается в	1	1
888	как никогда	1	1
889	таком виде	1	1
890	он с	1	1
891	в известной	2	1
892	говорит не	1	1
893	недоразумение и	1	1
