N	2gram	Tiupa_Anal	Sovremen
363	в своем	7	1
364	своя собственная	1	1
365	но ведь	1	1
366	этом смысле	1	1
367	в связи	1	1
368	означало бы	1	1
369	одни и	1	1
370	между ними	3	1
371	мы будем	1	1
372	во всей	1	1
373	в целый	1	1
374	мы помним	1	1
375	же в	5	1
376	том что	19	1
377	рядом с	1	1
378	в мире	17	1
379	и прежде	2	1
380	на эту	2	1
381	дома и	2	1
382	жизни в	4	1
383	но не	13	1
384	так в	4	1
385	она по	1	1
386	но если	1	1
387	здесь и	3	1
388	они не	2	1
389	правда не	1	1
390	по себе	6	1
391	он сам	2	1
392	не имеет	1	1
393	при каких	1	1
394	со сцены	1	1
395	к этому	3	1
396	в такой	1	1
397	все более	1	1
398	там где	2	1
399	нужды в	1	1
400	в то	8	1
401	то его	1	1
402	и только	1	1
403	один и	2	1
404	по его	4	1
405	другое дело	2	1
406	в отдельных	1	1
407	просто не	1	1
408	или нет	1	1
409	как целого	1	1
410	но это	3	1
411	независимо от	1	1
412	но уже	1	1
413	и для	4	1
414	есть то	1	1
415	с ее	3	1
416	для их	1	1
417	таким же	4	1
418	не что	1	1
419	того же	7	1
420	неуверенности в	1	1
421	читателя что	1	1
422	нет в	1	1
423	и если	2	1
424	не принимает	1	1
425	более в	1	1
426	и его	18	1
427	его здесь	1	1
428	жизни не	1	1
429	и особенно	1	1
430	и становится	1	1
431	вовсе не	2	1
432	целого и	1	1
433	мере в	2	1
434	же вопрос	1	1
435	и свою	2	1
436	о том	9	1
437	сих пор	1	1
438	есть не	2	1
439	и вообще	1	1
440	все перечисленные	1	1
441	по крайней	5	1
442	иное как	1	1
443	жизненной практике	1	1
444	зрения и	1	1
445	к другому	1	1
446	своего развития	1	1
447	человека и	2	1
448	никогда не	7	1
449	той или	6	1
450	на них	1	1
451	свое время	4	1
