N	2gram	Tiupa_Lite	Poddanst
217	присутствующее в	1	1
218	в творчестве	2	1
219	только как	1	1
220	на личную	1	1
221	того чтобы	1	1
222	мы знаем	1	1
223	и иных	2	1
224	на основе	2	1
225	русской культуры	3	1
226	и менее	1	1
227	многих случаях	1	1
228	бытия не	2	1
229	и всегда	2	1
230	представляет собой	5	1
231	как известно	1	1
232	но до	1	1
233	из всех	1	1
234	во многих	3	1
235	на чью	1	1
236	что это	1	1
237	не более	2	1
238	в отношениях	1	1
239	одно и	1	1
240	ни на	1	1
241	культуры можно	1	1
242	есть путь	2	1
243	которых не	1	1
244	в последующие	1	1
245	есть у	1	1
246	что при	1	1
247	и уже	1	1
248	мысли и	1	1
249	в формах	4	1
250	из тех	2	1
251	какой бы	1	1
252	из этих	2	1
253	идеи и	1	1
254	в преодолении	1	1
255	не как	4	1
256	а затем	3	1
257	духовных исканий	2	1
258	и вся	1	1
259	что уже	1	1
260	в каждом	2	1
261	эта мысль	2	1
262	из мира	1	1
263	только на	3	1
264	бытия как	1	1
265	глаза на	1	1
266	душе своей	2	1
267	владимира соловьева	1	1
268	не с	2	1
269	может оказаться	1	1
270	например с	1	1
271	да в	2	1
272	и что	2	1
273	в различных	1	1
274	огромное и	1	1
275	частности в	1	1
276	на основании	1	1
277	что и	3	1
278	к смерти	2	1
279	кто не	1	1
280	ценности и	1	1
281	в трех	1	1
282	как проблема	1	1
283	отказом от	1	1
284	другой стороны	5	1
285	еще в	7	1
286	в мир	1	1
287	как автор	1	1
288	ни были	1	1
289	на заре	1	1
290	к жизни	2	1
291	как явление	1	1
292	далеко не	4	1
293	только то	3	1
294	в этих	2	1
295	не вполне	1	1
296	в истории	1	1
297	в историческом	1	1
298	как по	1	1
299	так же	1	1
300	человека с	1	1
301	также и	3	1
302	его в	4	1
303	каждый из	4	1
304	в большинстве	1	1
305	который не	1	1
306	было и	1	1
307	в г	1	1
308	их не	2	1
309	чуть ли	2	1
310	все же	6	1
311	чтобы в	1	1
312	которого в	1	1
313	в борьбе	1	1
314	как таковую	1	1
315	что его	3	1
316	того кто	2	1
317	в результате	2	1
318	так было	1	1
319	в рамках	9	1
320	и слова	1	1
321	в которой	1	1
322	от тех	2	1
323	оказывается в	1	1
324	должен быть	2	1
325	черты в	2	1
326	в этой	7	1
327	и еще	1	1
328	этом не	1	1
329	и слабость	1	1
330	тот или	1	1
331	что по	1	1
332	в отличие	6	1
333	и где	1	1
334	по преимуществу	6	1
335	новейшей русской	1	1
336	на нее	2	1
337	себя в	7	1
338	на плечи	2	1
339	из двух	1	1
340	на две	1	1
341	же как	3	1
342	на себя	4	1
343	культуры и	2	1
344	что не	3	1
345	мы и	1	1
346	если мы	1	1
347	реальность в	1	1
348	в эпоху	1	1
349	тем же	5	1
350	но для	1	1
351	почти исключительно	1	1
352	в каком	1	1
353	возвращением к	1	1
354	в ходе	2	1
355	и умножить	1	1
356	что есть	2	1
357	ведет к	5	1
358	к осуществлению	1	1
359	русской литературы	3	1
360	на наш	7	1
361	в сферу	2	1
362	более что	1	1
363	вся в	1	1
364	тогда когда	1	1
365	и другим	1	1
366	в делах	1	1
367	мыслилась как	1	1
368	представляют собой	1	1
369	в какой	2	1
370	с собой	4	1
371	эстетических достоинств	1	1
372	преодоления и	1	1
373	как и	13	1
374	и само	3	1
375	или иной	3	1
376	от первой	1	1
377	многих других	1	1
378	начала в	1	1
379	большинстве случаев	1	1
380	глубоко в	1	1
381	наш взгляд	7	1
382	стремления к	1	1
383	все еще	2	1
384	иной раз	1	1
385	наиболее же	1	1
386	на то	2	1
387	и ранее	2	1
388	на фоне	5	1
389	мира который	1	1
390	ли не	7	1
391	которые были	1	1
392	и по	1	1
393	и я	7	1
394	в эти	1	1
395	тех пор	2	1
396	века в	3	1
397	и только	4	1
398	к предмету	1	1
399	поэзии и	3	1
400	и понятиях	1	1
401	гордыня и	1	1
402	казалось бы	6	1
403	вождя в	2	1
404	всяком случае	2	1
405	не вследствие	1	1
406	в иной	1	1
407	не все	1	1
408	в условиях	1	1
409	друг друга	5	1
410	в себя	5	1
411	в это	1	1
412	для этого	5	1
413	с ее	3	1
414	творения в	1	1
415	в известном	1	1
416	пути но	1	1
417	с другом	1	1
418	гораздо более	1	1
419	не просто	2	1
420	он был	1	1
421	технических средств	1	1
422	не имеет	2	1
423	есть и	1	1
424	и особенно	1	1
425	одно из	3	1
426	пути к	1	1
427	тем чтобы	1	1
428	к ценностям	1	1
429	в бытии	1	1
430	и наряду	1	1
431	выступает как	1	1
432	сущности не	1	1
433	государства но	1	1
434	в развитии	1	1
435	к более	1	1
436	бы это	1	1
437	грань между	1	1
438	сознания к	3	1
439	в душе	3	1
440	xviii века	2	1
441	и м	2	1
442	никогда не	5	1
443	к истокам	1	1
444	еще не	4	1
445	в человеческих	1	1
