N	3gram	Losev_Vesc	Mirosoze
192	лежит в самом	1	1
193	только тогда когда	2	1
194	духовно и материально	1	1
195	сказать что я	1	1
196	но так как	1	1
197	но он –	1	1
198	в той же	1	1
199	есть для него	1	1
200	не значит ли	7	1
201	существует не только	1	1
202	психологической точки зрения	1	1
203	и это есть	1	1
204	никогда не поймут	1	1
205	нем нет ничего	1	1
206	и как бы	1	1
207	сам в себе	1	1
208	при чем тут	1	1
209	– в этом	1	1
210	их во имя	1	1
211	по существу своему	1	1
212	не предполагаю дать	1	1
213	он должен быть	1	1
214	мы говорим что	3	1
215	с точки зрения	6	1
216	в чем же	5	1
217	для всего человечества	1	1
218	– не только	1	1
219	из себя в	1	1
220	ни в какой	1	1
221	с чем не	1	1
222	один из моментов	1	1
223	по преимуществу есть	1	1
224	с необычайной силой	1	1
225	не есть еще	2	1
226	и не в	3	1
227	но это –	4	1
228	но с тем	1	1
229	а следовательно и	2	1
230	думать что она	1	1
231	нужно сказать что	2	1
232	только и можно	1	1
233	на почве этого	1	1
234	огромное различие между	1	1
235	в то же	5	1
236	и вот я	1	1
237	ни на что	1	1
238	должна быть не	1	1
239	и несмотря на	1	1
240	можно ли сказать	3	1
241	не в этом	1	1
242	так как будто	1	1
243	не выходит из	1	1
244	то же время	4	1
245	стихии это –	1	1
246	и есть подлинная	1	1
247	ли это что	4	1
248	и это –	3	1
249	есть у всех	2	1
250	у нее нет	1	1
251	я не могу	1	1
252	может быть никакого	1	1
253	но что это	1	1
254	тому как в	1	1
255	она все же	1	1
256	на что не	1	1
257	да и то	1	1
258	я уже не	1	1
259	она и есть	1	1
260	только потому что	1	1
261	есть то что	4	1
262	себя в этом	1	1
263	это – основная	1	1
264	было бы и	5	1
265	что не в	1	1
266	ее со всем	2	1
267	тут не только	1	1
268	и в той	1	1
269	хотя бы в	2	1
270	на точке зрения	1	1
271	и есть не	3	1
272	не есть ни	12	1
273	что у них	1	1
274	того что есть	1	1
275	она может быть	2	1
276	и все же	1	1
277	та или иная	1	1
278	как и прежде	1	1
279	в ряду других	1	1
280	всякой мысли и	1	1
281	это – не	1	1
282	с одной стороны	3	1
283	что же такое	4	1
284	в которой не	1	1
285	это потому что	1	1
286	на эту тему	1	1
287	сама по себе	7	1
288	это было бы	1	1
