N	2gram	Nazirov_Tv	UchenyiS
100	как раз	2	2
101	не могут	2	2
102	а как	2	2
103	сводится к	2	2
104	в том	13	2
105	представляется нам	1	2
106	это уже	7	2
107	том что	14	2
108	и через	4	2
109	надо было	2	2
110	нас в	1	2
111	но это	10	2
112	но даже	1	2
113	а о	1	2
114	и является	1	2
115	что и	3	2
116	не столько	4	2
117	не случайно	6	2
118	а между	1	2
119	с его	12	2
120	и у	3	2
121	превращается в	2	2
122	на первый	1	2
123	сих пор	1	2
124	по крайней	4	2
125	только в	7	2
126	по себе	2	2
127	что все	4	2
128	не все	2	2
129	нам представляется	2	2
130	еще один	1	1
131	первый взгляд	1	1
132	литературы в	1	1
133	было и	1	1
134	в г	1	1
135	признать что	1	1
136	что в	17	1
137	этом плане	1	1
138	случилось с	1	1
139	не было	3	1
140	остается в	1	1
141	вне его	1	1
142	и даже	8	1
143	лет с	1	1
144	первую очередь	1	1
145	о необходимости	1	1
146	и потому	4	1
147	но он	3	1
148	отказаться от	4	1
149	в не	1	1
150	в которой	5	1
151	не самый	1	1
152	имеем в	1	1
153	можно сказать	2	1
154	и возможностей	1	1
155	что же	1	1
156	отлична от	1	1
157	в данном	2	1
158	у кого	1	1
159	все его	1	1
160	что ему	1	1
161	больше чем	2	1
162	еще раз	1	1
163	нет и	1	1
164	как на	1	1
165	равно как	1	1
166	вообще в	1	1
167	представляется что	1	1
168	религии и	1	1
169	произведений и	1	1
170	важным и	2	1
171	со своими	2	1
172	он в	1	1
173	он успел	1	1
174	и все	6	1
175	что этот	2	1
176	что угодно	1	1
177	в точном	1	1
178	из самых	1	1
179	же как	3	1
180	толстого но	1	1
181	сказать что	3	1
182	в сфере	2	1
183	произведения как	1	1
184	в процессе	3	1
185	достоевского и	5	1
186	она должна	1	1
187	данном случае	2	1
188	он будет	1	1
189	встречается у	1	1
190	его как	2	1
191	тезис о	1	1
192	него не	1	1
193	то есть	16	1
194	и всей	1	1
195	и др	2	1
196	и содержание	1	1
197	вспять к	1	1
198	развитие в	1	1
199	не делает	1	1
200	ролью в	1	1
201	и действительно	1	1
202	не спасается	1	1
203	переходит в	2	1
204	в таком	4	1
205	еще л	1	1
206	то и	1	1
207	этот и	1	1
208	и свое	1	1
209	она не	2	1
210	быть в	1	1
211	в течение	1	1
212	до конца	2	1
213	является только	1	1
214	свой опыт	1	1
215	в своем	4	1
216	с тем	1	1
217	в наиболее	1	1
218	входит в	1	1
219	для себя	1	1
220	только как	2	1
221	специфическая форма	1	1
222	одной стороны	1	1
223	время не	2	1
224	мы имеем	1	1
225	не без	1	1
226	так он	1	1
227	начала и	1	1
228	понимая под	1	1
229	анализа в	1	1
230	что по	1	1
231	их в	1	1
232	же в	1	1
233	с самим	1	1
234	в ней	2	1
235	но по	1	1
236	или даже	2	1
237	л толстой	1	1
238	частности с	1	1
239	но что	1	1
240	теории и	1	1
241	метода не	1	1
242	и прежде	1	1
243	язык в	1	1
244	и независимо	1	1
245	это значит	1	1
246	он называет	1	1
247	литературы а	1	1
248	а это	1	1
249	в этот	3	1
250	связанные с	1	1
251	не вполне	1	1
252	на то	1	1
253	он и	1	1
254	природе и	1	1
255	случайно и	1	1
256	но если	4	1
257	искусстве это	1	1
258	не значит	2	1
259	только для	2	1
260	без этого	1	1
261	не столь	1	1
262	в которых	3	1
263	по мнению	4	1
264	неизбежно упрощает	1	1
265	к этому	4	1
266	так и	5	1
267	звучит у	1	1
268	о нем	2	1
269	что с	2	1
270	метода в	1	1
271	сам автор	2	1
272	это в	3	1
273	ее в	3	1
274	в современном	5	1
275	отнюдь не	9	1
276	толстого и	1	1
277	о которой	2	1
278	находятся в	1	1
279	месте в	1	1
280	в качестве	2	1
281	о котором	2	1
282	до предела	2	1
283	в нем	4	1
284	в пользу	2	1
285	он не	10	1
286	может служить	2	1
287	всего лишь	1	1
288	поскольку он	1	1
289	мы снова	1	1
290	если нет	1	1
291	процессе художественного	1	1
292	на его	4	1
293	и что	2	1
294	содержание в	1	1
295	в известном	2	1
296	одно из	1	1
297	что для	3	1
298	отказ от	1	1
299	и это	2	1
300	с одной	2	1
301	что читатель	1	1
302	он был	2	1
303	и всякого	1	1
304	в первую	1	1
305	и делает	1	1
306	должно быть	1	1
307	об этом	4	1
308	принцип построения	1	1
309	не обладает	1	1
310	себя на	1	1
311	является одним	3	1
312	в виду	3	1
313	и искусства	1	1
314	к которой	1	1
315	эта позиция	1	1
316	эдгар по	1	1
317	не предмет	1	1
318	в пределах	1	1
319	тот же	3	1
320	искусство и	1	1
321	уже не	6	1
322	у других	1	1
323	о том	9	1
324	не то	2	1
325	представителей в	1	1
326	произведения в	1	1
327	далеко не	3	1
328	тем более	1	1
329	вверх ногами	1	1
330	того что	3	1
331	что еще	1	1
332	у него	11	1
333	он пытается	1	1
334	но такое	1	1
335	в котором	8	1
336	резких и	1	1
337	у пушкина	5	1
338	не существует	3	1
339	в виде	4	1
340	котором говорил	1	1
341	о литературе	1	1
342	если у	2	1
343	той же	4	1
344	приводит к	4	1
345	никогда не	13	1
346	мировоззрения и	2	1
347	человека и	6	1
