N	2gram	Bakhtin_KF	Poddanst
149	жива и	1	1
150	вместе с	1	1
151	и здесь	7	1
152	и на	3	1
153	в самом	1	1
154	мир в	12	1
155	вопрос о	2	1
156	и очень	1	1
157	они не	1	1
158	является и	1	1
159	как начало	1	1
160	может не	2	1
161	она должна	1	1
162	с основной	1	1
163	живого и	1	1
164	в момент	3	1
165	это в	1	1
166	только что	1	1
167	такова же	1	1
168	поскольку мы	4	1
169	действие которое	1	1
170	мысль и	2	1
171	в философии	1	1
172	переходит в	1	1
173	исходить из	1	1
174	нем в	1	1
175	она не	2	1
176	должна быть	4	1
177	исключительно на	1	1
178	только как	4	1
179	единства в	2	1
180	того чтобы	2	1
181	живет в	1	1
182	не относятся	1	1
183	она всегда	1	1
184	с определенной	1	1
185	и иных	1	1
186	на основе	7	1
187	есть для	1	1
188	и менее	1	1
189	этом мире	2	1
190	бытия не	2	1
191	и должна	3	1
192	из всех	1	1
193	в пустоте	1	1
194	мира но	5	1
195	есть проблема	1	1
196	что это	4	1
197	не более	1	1
198	конечно и	1	1
199	ни на	1	1
200	культуры можно	1	1
201	и уже	1	1
202	мысли и	1	1
203	с которой	1	1
204	культуры на	1	1
205	жить и	2	1
206	и смысла	1	1
207	именно на	2	1
208	не как	4	1
209	оно ни	1	1
210	а затем	1	1
211	зрения той	1	1
212	всей полноте	1	1
213	что уже	1	1
214	в каждом	3	1
215	эта мысль	1	1
216	только на	1	1
217	где он	3	1
218	и через	1	1
219	бытия как	5	1
220	и этим	3	1
221	не с	1	1
222	что эта	2	1
223	всего мы	1	1
224	момент только	1	1
225	не об	1	1
226	но где	1	1
227	науки и	1	1
228	и живое	1	1
229	в различных	1	1
230	связь между	1	1
231	и современная	1	1
232	и живы	1	1
233	экономический материализм	1	1
234	что и	7	1
235	ценности и	4	1
236	ценности суть	1	1
237	эта задача	1	1
238	в мир	2	1
239	разных точек	1	1
240	мире можно	1	1
241	нет никакого	1	1
242	этом смысле	3	1
243	бы что	1	1
244	весь мир	2	1
245	экономических и	1	1
246	пространство в	2	1
247	в современной	3	1
248	в этих	1	1
249	что все	1	1
250	в истории	1	1
251	как оно	2	1
252	различия между	1	1
253	в предыдущем	1	1
254	также и	1	1
255	его в	5	1
256	над ним	1	1
257	в большинстве	1	1
258	который не	1	1
259	было и	2	1
260	их не	1	1
261	все же	5	1
262	есть осуществление	1	1
263	к историческому	2	1
264	в настоящее	1	1
265	как таковую	1	1
266	всего что	1	1
267	в результате	1	1
268	оставаясь в	1	1
269	в которой	1	1
270	и будущее	2	1
271	должен быть	7	1
272	котором говорит	1	1
273	в этой	2	1
274	или иным	2	1
275	полноте и	1	1
276	разрыва между	1	1
277	к ним	4	1
278	из нее	2	1
279	и где	1	1
280	история не	1	1
281	себя в	8	1
282	мир культуры	2	1
283	само по	1	1
284	известном смысле	1	1
285	настоящее время	1	1
286	растет в	1	1
287	она может	1	1
288	культуры и	5	1
289	что не	3	1
290	если мы	1	1
291	тем же	1	1
292	но для	3	1
293	в каком	4	1
294	но есть	2	1
295	что есть	2	1
296	и утверждается	1	1
297	могут стать	2	1
298	этот выход	1	1
299	к другим	1	1
300	смысле не	2	1
301	можно быть	1	1
302	если он	1	1
303	и экономической	1	1
304	более что	1	1
305	тогда когда	3	1
306	находится в	1	1
307	в живом	1	1
308	бы оно	2	1
309	в какой	1	1
310	ясно что	3	1
311	с собой	1	1
312	место в	6	1
313	как и	5	1
314	определяется как	1	1
315	с которым	1	1
316	события пусть	1	1
317	из предшествующего	1	1
318	в некотором	3	1
319	и само	2	1
320	к пределу	1	1
321	или иной	2	1
322	уверенность что	1	1
323	к миру	1	1
324	и именно	2	1
325	для каждого	1	1
326	большинстве случаев	1	1
327	действительный и	1	1
328	мысли но	1	1
329	одновременно и	1	1
330	чтобы дать	2	1
331	говорить об	1	1
332	значило бы	2	1
333	исторический материализм	3	1
334	на то	1	1
335	момента и	2	1
336	по количеству	1	1
337	и по	1	1
338	к следующему	1	1
339	и я	6	1
340	были в	1	1
341	там где	5	1
342	он живет	1	1
343	и только	7	1
344	что именно	1	1
345	к предмету	1	1
346	всяком случае	1	1
347	в иной	1	1
348	нисколько не	4	1
349	реальное и	1	1
350	он будет	1	1
351	друг друга	1	1
352	в себя	8	1
353	приобщается к	2	1
354	в движении	1	1
355	в это	2	1
356	для этого	2	1
357	с ее	2	1
358	в известном	1	1
359	тот мир	1	1
360	гораздо более	2	1
361	не просто	1	1
362	своем бытии	2	1
363	не имеет	6	1
364	одно из	1	1
365	мы возьмем	1	1
366	и ее	2	1
367	это область	2	1
368	в бытии	26	1
369	особенно в	1	1
370	с разных	1	1
371	относиться к	1	1
372	было с	1	1
373	в душе	1	1
374	нет сомнения	1	1
375	никогда не	5	1
376	еще не	5	1
377	степени сводится	1	1
