N	2gram	Tiupa_Vved	UchenyiS
147	этого не	2	1
148	самые слова	1	1
149	или меньшей	1	1
150	восприятия и	2	1
151	мы можем	2	1
152	иначе в	1	1
153	говорил в	1	1
154	что же	6	1
155	или иначе	2	1
156	в данном	22	1
157	у кого	1	1
158	исторической поэтики	1	1
159	целого но	1	1
160	что ему	1	1
161	а для	2	1
162	еще раз	1	1
163	произведение как	1	1
164	никогда и	1	1
165	быть не	4	1
166	данного произведения	1	1
167	он в	1	1
168	восприятия а	2	1
169	и все	8	1
170	объекта и	1	1
171	которые могли	1	1
172	слова а	1	1
173	что этот	1	1
174	определений и	1	1
175	содержание и	1	1
176	же как	1	1
177	впечатление которое	1	1
178	сказать что	1	1
179	в сфере	7	1
180	произведения как	1	1
181	претендует на	2	1
182	в процессе	1	1
183	которой принадлежит	1	1
184	данном случае	15	1
185	но для	1	1
186	то есть	13	1
187	от которой	1	1
188	и др	2	1
189	об анне	1	1
190	того как	1	1
191	в таком	2	1
192	то и	2	1
193	него уже	1	1
194	сводятся к	2	1
195	которое мы	1	1
196	степени и	1	1
197	быть в	1	1
198	как науки	1	1
199	в произведении	1	1
200	в течение	2	1
201	но именно	3	1
202	до конца	5	1
203	правило не	2	1
204	она в	2	1
205	в своем	9	1
206	говорить не	1	1
207	с тем	1	1
208	в наиболее	3	1
209	в значительной	2	1
210	автора без	1	1
211	входит в	2	1
212	для себя	2	1
213	стороны в	1	1
214	его на	1	1
215	в последние	1	1
216	одной стороны	9	1
217	именно к	2	1
218	относится к	1	1
219	время не	1	1
220	или по	1	1
221	мы имеем	8	1
222	на роль	1	1
223	для читателя	1	1
224	во мне	1	1
225	начала и	2	1
226	но также	2	1
227	только часть	1	1
228	анализа в	1	1
229	в отдельности	1	1
230	тому чтобы	1	1
231	их в	3	1
232	же в	3	1
233	установка на	1	1
234	не для	1	1
235	он может	1	1
236	с самим	2	1
237	в ней	5	1
238	или даже	2	1
239	в данное	1	1
240	даже не	1	1
241	и так	1	1
242	же остается	1	1
243	и прежде	1	1
244	его собственному	1	1
245	в этот	3	1
246	единства и	1	1
247	в период	2	1
248	не вполне	4	1
249	к вопросам	1	1
250	на то	3	1
251	он и	2	1
252	которой и	1	1
253	образ живого	1	1
254	строго говоря	2	1
255	но если	1	1
256	значимость и	1	1
257	читателя который	1	1
258	не входит	2	1
259	не столь	1	1
260	сюда же	1	1
261	в которых	2	1
262	к этому	3	1
263	большей или	1	1
264	так и	14	1
265	это то	1	1
266	о нем	1	1
267	из которых	1	1
268	отнюдь не	14	1
269	о которой	4	1
270	находятся в	1	1
271	и вся	3	1
272	в качестве	18	1
273	о котором	5	1
274	до предела	2	1
275	в нем	9	1
276	он не	6	1
277	как целого	1	1
278	последние годы	1	1
279	которых нужно	1	1
280	может служить	4	1
281	всего лишь	7	1
282	все что	3	1
283	а.н веселовского	1	1
284	его еще	1	1
285	на его	2	1
286	и что	2	1
287	в известном	1	1
288	что для	2	1
289	своей работе	1	1
290	и это	2	1
291	в различных	1	1
292	с одной	9	1
293	он был	1	1
294	они в	1	1
295	случае он	1	1
296	об этом	5	1
297	в виду	3	1
298	само по	1	1
299	к которой	2	1
300	или менее	2	1
301	в пределах	3	1
302	тот же	1	1
303	уже не	7	1
304	о том	7	1
305	толстой в	1	1
306	далеко не	5	1
307	тем более	3	1
308	литературы как	1	1
309	того что	7	1
310	обращение к	1	1
311	определяется не	1	1
312	у него	8	1
313	слова у	1	1
314	в котором	11	1
315	не существует	3	1
316	бы в	4	1
317	в виде	1	1
318	о литературе	1	1
319	той же	3	1
320	приводит к	2	1
321	никогда не	6	1
322	к построению	1	1
