N	3gram	Tiupa_Teor	Formalny
131	жизни между тем	1	1
132	она могла бы	1	1
133	произведения искусства как	1	1
134	ни к каким	1	1
135	в коем случае	2	1
136	во внешнем мире	2	1
137	литературного произведения в	1	1
138	но в таком	1	1
139	в развитии искусства	1	1
140	на нее как	1	1
141	то что они	2	1
142	высказывания как целого	1	1
143	это происходит в	1	1
144	ни были они	1	1
145	только при условии	1	1
146	и то же	2	1
147	бы ни был	1	1
148	однако герой не	1	1
149	как бы не	1	1
150	одного и того	4	1
151	так что она	1	1
152	и соответствующих форм	1	1
153	в нашем примере	1	1
154	чего бы то	1	1
155	и без остатка	1	1
156	может и должен	1	1
157	актера на сцене	1	1
158	с художественной идеологемой	1	1
159	не в качестве	1	1
160	не перестанет быть	1	1
161	их отношении к	1	1
162	а с другой	2	1
163	не могло быть	2	1
164	произведения в ее	1	1
165	но не с	1	1
166	каждой из них	1	1
167	и по отношению	1	1
168	и свою собственную	1	1
169	есть не что	1	1
170	что в основе	2	1
171	со стилями других	1	1
172	и в пределах	1	1
173	смысле можно говорить	1	1
174	и того же	4	1
175	в первой главе	1	1
176	состоит в том	6	1
177	дистанции между ними	1	1
178	как это происходит	1	1
179	тем самым по	1	1
180	отношению к самому	1	1
181	к вопросу о	1	1
182	в их отношении	1	1
183	речи может быть	1	1
184	а не только	1	1
185	со своей стороны	1	1
186	в чистом виде	1	1
187	произведение искусства есть	1	1
188	в этих случаях	1	1
189	об отсутствии в	1	1
190	в том и	1	1
191	не утрачивает своей	1	1
192	но он не	2	1
193	той или иной	3	1
194	вследствие того что	1	1
195	отдельности и в	1	1
196	и исторической поэтики	1	1
197	на фоне этой	1	1
198	только не могут	1	1
199	становления и развития	1	1
200	о том что	1	1
201	по крайней мере	1	1
202	говорить об искусстве	1	1
203	теоретической и исторической	1	1
204	и в самом	2	1
205	ту или иную	2	1
206	во внутренней речи	1	1
207	в искусстве не	1	1
208	и который в	1	1
209	с самим собою	1	1
210	в общественном сознании	2	1
211	можно сказать что	3	1
212	в основе всех	1	1
213	а в его	1	1
214	как впрочем и	1	1
215	конститутивным моментом самого	1	1
216	в то время	1	1
217	друг другу и	1	1
218	между ними могут	1	1
219	существует не для	1	1
220	в нем определенные	1	1
221	мира и его	1	1
222	не что иное	1	1
223	что иное как	1	1
224	ни в коем	2	1
225	одно и то	2	1
226	языка не может	1	1
227	только в искусстве	1	1
228	или иного жанра	3	1
229	заключается в том	1	1
230	между собой и	1	1
231	так и его	2	1
232	глубже чем это	1	1
233	во всей его	2	1
234	о литературе как	1	1
235	в особенности в	1	1
236	в новое время	1	1
237	в каком мы	1	1
238	входит в состав	1	1
239	произведения искусства в	1	1
240	как особого рода	1	1
241	это столь же	1	1
242	мы нигде не	1	1
243	события в этом	1	1
244	между тем в	1	1
245	том случае если	1	1
246	схемы и в	1	1
247	языка но и	1	1
248	по своей природе	3	1
249	та или иная	1	1
250	искусства в его	1	1
251	коем случае не	2	1
252	является одним из	1	1
253	каком мы говорим	1	1
254	это и есть	1	1
255	до конца однако	1	1
256	того же типа	1	1
