N	2gram	Berdyaev_V	TeoriaLi
124	к нему	1	2
125	не всегда	1	2
126	речь идет	1	2
127	о своем	1	2
128	говорит что	1	2
129	и это	2	2
130	превращается в	3	2
131	на котором	1	2
132	не просто	1	2
133	жизни но	1	2
134	бы то	1	2
135	что они	7	2
136	но от	1	2
137	ее в	2	2
138	все это	5	2
139	что и	3	2
140	у нас	1	2
141	к жизни	1	2
142	слова не	1	2
143	у него	1	2
144	к чему	3	2
145	на себя	5	2
146	не могли	2	2
147	в конце	3	2
148	тому что	3	2
149	я не	1	2
150	в чем	3	2
151	ведет по	2	2
152	могли бы	1	2
153	но как	1	2
154	человеческого бытия	1	2
155	свободы но	1	2
156	то ни	1	2
157	этом мире	1	2
158	но она	1	2
159	во мне	4	2
160	человека и	6	2
161	так же	1	2
162	известном смысле	1	2
163	тот кто	2	2
164	и развитием	1	2
165	не сумеет	1	2
166	может и	1	2
167	от свободы	2	2
168	мира с	1	2
169	с которыми	1	1
170	от него	2	1
171	является в	2	1
172	все что	4	1
173	и против	3	1
174	это тот	1	1
175	за ним	3	1
176	же и	1	1
177	другом но	1	1
178	и свою	1	1
179	того кому	1	1
180	его с	1	1
181	живет в	1	1
182	личностью и	1	1
183	теперь в	1	1
184	в которую	1	1
185	думаю что	1	1
186	что это	1	1
187	в следующих	1	1
188	с ним	2	1
189	с внутренним	1	1
190	что свобода	1	1
191	ты и	1	1
192	говорит о	1	1
193	самой жизни	1	1
194	свободу личности	1	1
195	в результате	1	1
196	быть может	1	1
197	счастье но	1	1
198	их не	1	1
199	о мире	1	1
200	жизнь в	1	1
201	им по	1	1
202	значение в	1	1
203	слова с	1	1
204	тем что	2	1
205	из всего	1	1
206	и будет	3	1
207	и пусть	1	1
208	меня в	1	1
209	с тем	2	1
210	стороны в	1	1
211	нам уже	1	1
212	о судьбе	1	1
213	все же	1	1
214	в словах	1	1
215	к бытию	3	1
216	ибо к	1	1
217	не имеет	3	1
218	да и	2	1
219	зависимости от	1	1
220	поскольку он	1	1
221	себя не	1	1
222	личность как	2	1
223	по крайней	1	1
224	и я	4	1
225	художественный образ	1	1
226	хотят скрыть	1	1
227	возможно в	1	1
228	не существует	1	1
229	ее к	1	1
230	в котором	4	1
231	вопрос о	1	1
232	более чем	2	1
233	то и	1	1
234	только мы	1	1
235	не быть	1	1
236	этом пути	1	1
237	людей как	1	1
238	и теперь	2	1
239	жизни и	3	1
240	если нет	1	1
241	и внешнее	1	1
242	теми которые	1	1
243	а между	2	1
244	этой тайны	1	1
245	в мир	1	1
246	и до	1	1
247	в истории	8	1
248	не так	2	1
249	от своей	2	1
250	это имеет	1	1
251	с отвращением	1	1
252	всего что	1	1
253	в прошлом	2	1
254	этого мира	3	1
255	выбора в	1	1
256	я думаю	2	1
257	к ним	1	1
258	него не	1	1
259	по которым	2	1
260	духа и	2	1
261	в мировом	1	1
262	раз и	1	1
263	что все	4	1
264	к миру	1	1
265	в сознании	1	1
266	ивана карамазова	2	1
267	тебя так	1	1
268	выбора все	1	1
269	одна из	2	1
270	свободного выбора	1	1
271	восстает против	3	1
272	освобождения от	2	1
273	крайней мере	1	1
274	тот же	3	1
275	д и	1	1
276	его личности	1	1
277	небытию в	1	1
278	мы видим	1	1
279	послужить материалом	2	1
280	тоже не	1	1
281	так как	9	1
282	она и	1	1
283	личности а	2	1
284	они не	1	1
285	после того	1	1
286	себя только	1	1
287	ее на	1	1
288	должно быть	3	1
289	но лишено	1	1
290	в состоянии	1	1
291	не для	1	1
292	переход к	1	1
293	души и	1	1
294	чем у	1	1
295	и создал	1	1
296	для нас	2	1
297	тайны и	1	1
298	к творческим	1	1
299	смысла жизни	4	1
300	кто бы	1	1
301	весь мир	1	1
302	в третьем	1	1
303	в русском	1	1
304	свободы и	12	1
305	не была	1	1
306	но с	1	1
307	не было	3	1
308	отказаться от	1	1
309	на нее	1	1
310	это еще	4	1
311	места в	1	1
312	что не	4	1
313	в бытии	1	1
314	и свободы	2	1
315	прошлом и	1	1
316	мировой жизни	4	1
317	за которым	1	1
318	чего бы	1	1
319	на земле	7	1
320	не есть	6	1
321	от этого	3	1
322	его воли	1	1
323	о счастье	5	1
324	в двух	1	1
325	своей свободы	2	1
326	себе и	1	1
327	ничего нельзя	1	1
328	бы в	1	1
329	людей в	3	1
330	и мир	1	1
331	что от	2	1
332	в своих	1	1
333	постигнуть смысл	1	1
334	свое место	1	1
335	если не	3	1
336	она не	1	1
337	когда я	2	1
338	можно признать	1	1
339	нельзя не	1	1
340	человека как	2	1
341	всего только	1	1
342	свобода его	1	1
343	образа в	1	1
344	свою личность	4	1
345	можно было	2	1
346	человеческого духа	1	1
347	свобода и	1	1
348	из нас	1	1
349	себя за	1	1
350	не по	1	1
351	есть такое	1	1
352	утверждения ее	1	1
353	как мы	1	1
354	жизни не	1	1
355	в понимании	1	1
356	но прежде	1	1
357	это ни	1	1
358	и от	1	1
359	с бытием	1	1
360	и есть	4	1
361	по этому	3	1
362	для таких	1	1
363	с которым	1	1
364	бытия и	1	1
365	но я	1	1
366	бы ни	1	1
367	таким же	1	1
368	есть не	1	1
