N	2gram	Savitsky_E	Analitik
617	они относятся	1	1
618	она является	1	1
619	характерной чертой	1	1
620	принадлежат к	1	1
621	с мировым	2	1
622	развития но	1	1
623	можно поставить	1	1
624	стороны в	2	1
625	его на	2	1
626	и возникновение	1	1
627	сказанное относится	1	1
628	внимание что	1	1
629	как более	1	1
630	все другие	2	1
631	по признаку	3	1
632	прочим и	2	1
633	обладает и	1	1
634	почти все	1	1
635	которое не	1	1
636	от остального	1	1
637	имеют значение	1	1
638	как обычно	1	1
639	время с	1	1
640	к отношениям	2	1
641	приобретают характер	1	1
642	и отчасти	2	1
643	во все	3	1
644	же следует	1	1
645	чтобы тот	1	1
646	мы увидим	1	1
647	но даже	4	1
648	должна быть	2	1
649	случае она	1	1
650	в этот	1	1
651	из себя	1	1
652	невозможно не	1	1
653	в изучении	1	1
654	с лица	1	1
655	что люди	1	1
656	не исключает	1	1
657	происходит ли	1	1
658	занимающей нас	1	1
659	приходит к	1	1
660	своем значении	1	1
661	на практике	1	1
662	отметить что	3	1
663	то можно	1	1
664	всего этого	1	1
665	будучи в	1	1
666	и еще	2	1
667	но скорее	1	1
668	качестве таковой	2	1
669	мира имеет	1	1
670	него не	1	1
671	в свет	1	1
672	революции в	1	1
673	постановка проблемы	1	1
674	такая же	1	1
675	к некоторому	1	1
676	культуры он	1	1
677	тот что	1	1
678	именно с	1	1
679	которая способна	1	1
680	с равным	1	1
681	во внутреннюю	1	1
682	вне пределов	1	1
683	та и	1	1
684	мнение что	1	1
685	людей в	1	1
686	же смысл	1	1
687	своего развития	1	1
688	в перспективе	4	1
689	за несколько	1	1
690	ответ и	1	1
691	время для	1	1
692	оставаться в	1	1
693	влияние на	2	1
694	она и	1	1
695	отражение в	1	1
696	нельзя сказать	1	1
697	на такую	1	1
698	указать на	1	1
699	от природы	1	1
700	она в	3	1
701	но еще	2	1
702	мы знаем	1	1
703	до эпохи	1	1
704	приводит нас	2	1
705	какие могут	1	1
706	указанных выше	1	1
707	только ту	1	1
708	же составляет	1	1
709	или иную	3	1
710	к определенному	1	1
711	в старом	1	1
712	в европейской	2	1
713	наше внимание	2	1
714	степень совершенства	1	1
715	собой своеобразный	1	1
716	живет и	1	1
717	как по	1	1
718	что его	1	1
719	во внимание	1	1
720	или хотя	2	1
721	прошлом и	1	1
722	значение лишь	1	1
723	или иная	1	1
724	но само	1	1
725	в последних	1	1
726	в последние	6	1
727	звучит как	1	1
728	имеет никаких	1	1
729	же при	1	1
730	себя как	1	1
731	же как	5	1
732	на земле	1	1
733	большинстве случаев	3	1
734	социальной группы	1	1
735	рядом с	1	1
736	в пределы	3	1
737	но когда	1	1
738	от этого	5	1
739	его жизни	1	1
740	к мировому	5	1
741	границ между	1	1
742	был не	1	1
743	а поскольку	2	1
744	культуре и	1	1
745	отношении которого	1	1
746	того в	1	1
747	россии к	3	1
748	более на	1	1
749	составных частей	1	1
750	только путем	1	1
751	от элементов	1	1
752	и однако	1	1
753	все остальные	1	1
754	ни была	1	1
755	общем строе	3	1
756	именно потому	2	1
757	здесь на	1	1
758	он обращен	1	1
759	мы обнаруживаем	1	1
760	не заключает	1	1
761	должны быть	1	1
762	при такой	1	1
763	где в	1	1
764	не представляется	1	1
765	которое недоступно	1	1
766	и затем	1	1
767	несколько ниже	1	1
768	литературы и	1	1
769	имеет значение	1	1
770	например по	1	1
771	и несколько	1	1
772	сведена к	1	1
773	что для	1	1
774	за вычетом	2	1
775	качестве одного	1	1
776	поскольку эта	1	1
777	с которым	1	1
778	те кто	1	1
779	меньшей степени	2	1
780	каждого из	1	1
781	было только	1	1
782	культура есть	2	1
783	от нее	1	1
784	возможность подобного	1	1
785	с еще	1	1
786	приближается к	3	1
787	в последнем	1	1
788	представить себе	1	1
789	имело место	1	1
790	и сейчас	2	1
791	иметь возможность	1	1
792	к установлению	1	1
793	с некоторым	1	1
794	этот принцип	1	1
795	к выводу	1	1
796	к определению	1	1
797	для них	2	1
798	не на	4	1
799	как с	1	1
800	мы подразумеваем	1	1
801	ли с	1	1
802	благодаря своей	1	1
803	наблюдений над	1	1
804	с ней	1	1
805	одновременно с	1	1
806	себя с	1	1
807	и будет	1	1
808	то время	1	1
809	ту или	3	1
810	к которым	5	1
811	относятся к	2	1
812	что состояние	1	1
813	к действительному	1	1
814	как не	2	1
815	которые при	1	1
816	с полной	1	1
817	дать ей	1	1
818	в которых	3	1
819	том смысле	1	1
820	определяющую роль	1	1
821	и всей	1	1
822	аналогии с	1	1
823	в любой	1	1
824	к той	2	1
825	к какой	1	1
826	уже существует	1	1
827	смысле что	1	1
828	ни на	3	1
829	или иное	1	1
830	сознанию что	1	1
831	не допускает	1	1
832	а если	1	1
833	она обращена	1	1
834	можно усмотреть	1	1
835	с а	2	1
836	в современном	1	1
837	слова и	1	1
838	и теперь	2	1
839	всякого иного	1	1
840	есть то	1	1
841	значение для	1	1
842	может лишь	1	1
843	отношении к	15	1
844	силы в	2	1
845	и наиболее	2	1
846	как совокупности	2	1
847	целый ряд	2	1
848	себе ничего	1	1
849	в совершенно	1	1
850	в истории	2	1
851	играть в	1	1
852	в каком	4	1
853	вопрос можно	1	1
854	вопросом не	2	1
855	потому и	1	1
856	с со	1	1
857	претендовать на	1	1
858	в данной	3	1
859	в сфере	3	1
860	если мы	1	1
861	только одна	1	1
862	своя собственная	1	1
863	является весьма	1	1
864	мире в	1	1
865	бы как	1	1
866	всего к	2	1
867	в год	2	1
868	то или	1	1
869	или вовсе	1	1
870	исключительно в	2	1
871	не ставим	1	1
872	строя в	1	1
873	на востоке	1	1
874	об их	1	1
875	именно к	2	1
876	но на	3	1
877	в более	1	1
878	в гораздо	2	1
879	что оно	1	1
880	выходит за	1	1
881	многих других	1	1
882	видим как	2	1
883	любой из	1	1
884	на тех	1	1
885	этот процесс	2	1
886	в границах	1	1
887	второй половине	2	1
888	одна и	2	1
889	не станем	1	1
890	и науке	1	1
891	и другая	2	1
892	такая постановка	1	1
893	бы на	1	1
894	и максима	1	1
895	и наивность	1	1
896	не значит	1	1
897	в формах	1	1
898	и тут	2	1
899	входя в	1	1
900	может остаться	1	1
901	то мы	1	1
902	и художественное	1	1
903	второй его	1	1
904	учитывая то	1	1
905	человека этот	1	1
906	случится а	1	1
907	от друга	2	1
908	отказаться от	1	1
909	значение только	2	1
910	на юге	1	1
911	входить в	1	1
912	можно быть	1	1
913	в будущее	2	1
914	и другое	1	1
915	в собственных	1	1
916	европейской цивилизации	4	1
917	из общей	1	1
918	участие в	2	1
919	помнить что	2	1
920	этот раз	1	1
921	если и	1	1
922	но нельзя	1	1
923	но по	2	1
924	эти две	1	1
925	имеется в	1	1
926	которая при	1	1
927	к концу	1	1
928	быть сведена	1	1
929	мы находим	1	1
930	только и	1	1
931	и небольшой	1	1
932	в каждой	1	1
933	говорит об	1	1
934	что тот	1	1
935	и вообще	1	1
936	можно утверждать	2	1
937	составляет часть	1	1
938	войны и	2	1
939	на них	2	1
940	в иные	1	1
941	но его	1	1
942	он зовет	1	1
943	том случае	1	1
944	также что	1	1
945	и других	2	1
946	и происходит	1	1
947	совершенно ошибочно	1	1
948	xx века	1	1
949	и русской	1	1
950	случае если	1	1
951	этом мире	1	1
952	воспринимается как	1	1
953	другой в	1	1
954	обстоит дело	3	1
955	говорить не	1	1
956	есть нечто	1	1
957	быть и	1	1
958	связана с	1	1
959	отношений между	2	1
960	этот факт	3	1
961	эволюции в	1	1
962	даже при	2	1
963	стороны и	6	1
964	к которой	1	1
965	как то	1	1
966	признать что	1	1
967	на несколько	1	1
968	имело бы	1	1
969	числе и	1	1
970	как их	2	1
971	к ней	4	1
972	что если	2	1
973	лицо и	1	1
974	именно та	1	1
975	может она	1	1
976	свести к	1	1
977	выход в	1	1
978	эту мысль	1	1
979	их можно	1	1
980	друг от	2	1
981	другой и	2	1
982	как случайно	1	1
983	происходит в	2	1
984	культуры с	2	1
985	качестве объекта	1	1
986	в виде	5	1
987	можно судить	1	1
988	и эта	2	1
989	это в	1	1
990	является ли	3	1
991	бы от	2	1
992	эти два	1	1
993	настоящего времени	1	1
994	само по	4	1
995	степени и	1	1
