2gram	Vygotskiy_Psychologia_partition_part5_wordlist_2gram	Vygotskiy_Psychologia_partition_part1_wordlist_2gram
произведение искусства	8	6
в которой	4	3
в каждом	3	2
художественном произведении	3	2
только не	3	5
когда он	2	5
в его	6	4
том и	2	2
нашей фантазии	2	2
в каком	2	3
в своих	4	5
мы все	2	6
же как	4	2
мы не	12	3
одной и	4	2
указывает на	4	4
из которых	3	4
что всякая	2	4
мы пытаемся	2	2
чтобы показать	3	2
и совершенно	5	4
том чтобы	7	2
что на	3	3
эстетической реакции	5	17
это в	2	3
что даже	2	2
совершенно прав	2	7
художественной формы	5	3
в зависимости	5	6
в нем	2	7
если же	2	2
что она	6	6
в своей	3	4
несмотря на	5	5
прежде всего	4	4
в состоянии	3	3
одна из	4	3
но не	3	7
и составляет	2	3
то есть	26	13
если бы	6	11
тот же	2	3
и т	26	7
и так	4	2
что оно	3	6
противоречие с	3	2
у него	4	3
искусства и	15	5
по самому	5	2
что с	2	6
так что	5	3
думается что	3	3
в таком	3	3
дело с	3	5
во всем	3	2
должна быть	3	2
с одной	5	12
совершенно ясно	19	7
стоит только	2	5
когда она	2	3
и для	5	6
нормы и	2	2
тем же	3	3
и той	3	2
искусство есть	6	2
вопрос о	3	3
если мы	12	16
искусства как	4	4
мы видим	5	8
в основу	2	4
искусства с	4	3
одного и	2	2
во внимание	2	5
не является	5	2
как он	2	2
в этих	4	3
и таким	2	2
то что	32	37
что все	3	6
стороны и	3	4
очень легко	2	3
и здесь	2	6
был бы	5	5
с этой	4	2
как говорит	2	4
заключается в	7	8
не только	13	16
том что	16	21
до тех	2	2
могут быть	11	8
от того	3	4
а не	13	8
и даже	6	2
бы мы	2	3
само по	5	2
есть только	2	2
себе не	3	2
ничего не	2	2
все время	4	20
совершенно очевидно	3	5
в сущности	10	12
сказать что	7	9
из этих	6	3
как на	3	11
есть нечто	2	3
нам придется	2	2
искусства в	9	2
зависимости от	6	7
в силу	3	3
на деле	3	8
и потому	2	5
и другие	4	3
по поводу	2	3
и есть	5	5
того что	10	8
чувства и	2	5
в своем	3	6
что при	3	3
что эта	3	4
с теми	2	3
то же	5	7
к этому	4	3
сих пор	3	5
в которых	3	2
того же	2	2
должны будем	2	2
объективной психологии	4	2
как например	2	2
так как	18	9
и другими	3	2
же точно	3	6
на то	10	17
вовсе не	6	3
как мы	2	5
не могут	3	3
как это	4	7
обратиться к	2	5
не в	11	8
мы найдем	2	4
может быть	22	11
всякий раз	8	2
ни в	9	3
с таким	11	2
мы знаем	3	2
и сейчас	2	3
и все	5	4
о том	7	10
в этой	3	5
и к	3	4
на примере	3	4
что у	3	3
только о	2	2
этом отношении	2	3
совершенно правильно	4	2
из них	2	2
когда мы	3	6
что и	13	3
как в	9	3
как и	16	6
т д	8	3
один из	4	5
ясно что	19	6
к которым	3	2
самом деле	9	8
под влиянием	3	3
что есть	2	2
и то	2	9
как они	2	2
ту же	2	2
в виду	4	4
целый ряд	6	3
тому что	4	8
в отличие	3	2
есть не	2	4
только что	2	4
этому поводу	2	4
в конце	3	4
сущности говоря	3	8
в основе	2	7
одной стороны	6	12
там где	4	4
и что	8	23
с другой	5	9
от него	2	4
и вот	3	2
время как	5	2
