2gram	Losev_ProblemaSimvolaiRealistich_partition_part2_wordlist_2gram	Losev_ProblemaSimvolaiRealistich_partition_part3_wordlist_2gram
является только	5	3
негативных теорий	3	3
из отдельных	2	2
мы говорим	4	4
на то	3	6
между знаком	2	7
вовсе не	37	37
имеется в	4	3
без всякого	3	4
этим мы	2	2
как мы	8	5
а ведь	3	2
все эти	7	7
и можно	2	3
точно так	3	3
только и	8	3
не в	13	2
но эта	3	3
которые мы	3	3
такого рода	6	15
но все	3	2
об его	4	2
не очень	2	2
может быть	28	18
ни в	8	6
мы скажем	2	3
и все	3	5
о том	6	18
в этой	3	9
и к	6	3
знаком и	3	8
только о	3	8
от знака	2	5
но именно	2	4
когда мы	15	6
самое время	4	4
здесь только	7	3
что и	9	2
то ни	6	3
если угодно	2	2
как и	10	5
т д	13	6
ни от	4	2
ясно что	6	8
первый план	2	3
знак тоже	2	3
самом деле	3	4
крайней мере	5	6
в нашей	2	3
и то	14	10
с самим	3	3
отнюдь не	10	5
в виду	10	8
и тоже	3	3
тому что	4	3
есть не	5	6
эту вещь	2	3
всякий знак	12	17
в конце	5	7
хотя бы	3	12
еще и	7	5
в основе	2	3
что их	2	2
и что	7	13
с другой	7	6
в поисках	2	2
и по	2	3
