2gram	Losev_ProblemaSimvolaiRealistich_partition_part3_wordlist_2gram	Losev_ProblemaSimvolaiRealistich_partition_part4_wordlist_2gram
с ним	4	7
можно сказать	5	6
тем самым	4	5
бесконечный ряд	16	8
в каком	6	4
были бы	3	2
мы не	7	7
из которых	3	2
указывает на	4	7
в ней	7	5
никто не	2	2
а может	2	2
мы ни	2	2
же в	4	3
и очень	5	3
не было	3	5
художественная образность	3	5
мы сейчас	3	2
художественного образа	3	12
или в	5	4
в начале	3	2
каком случае	3	2
бесконечное количество	4	8
нет ничего	3	6
символ отличается	2	2
об ее	2	2
структурно-семантических категорий	9	2
это можно	2	2
порождающей моделью	4	2
в художественном	4	3
в нем	5	9
можно было	4	4
в своей	4	5
символ есть	6	5
это не	7	9
прежде всего	11	3
но это	6	8
а то	2	3
но если	6	6
но не	5	3
то есть	27	34
если бы	8	3
художественным произведением	2	3
данном случае	5	7
и т	4	13
для него	3	3
именно в	7	2
по крайней	6	5
подпадающих под	3	2
символ но	5	3
себя в	2	2
л толстой	2	2
так что	6	12
в таком	6	5
а также	6	4
не мешает	3	3
и притом	2	4
художественной структуры	2	2
можно ли	3	4
всякого рода	3	4
дело в	2	4
и для	4	2
очень много	2	3
нет никакого	3	4
и символ	4	5
человеческой жизни	5	2
подобного рода	11	3
а именно	2	8
некоторого рода	2	10
находятся в	2	3
или по	2	4
между прочим	3	2
по своему	6	2
если мы	5	16
чем же	3	4
значит что	8	7
порождающей модели	2	2
должны сказать	2	5
или даже	4	5
всякий символ	4	4
иное как	2	4
мы должны	3	7
здесь перед	5	2
не является	10	11
не что	2	4
для этого	2	6
дело не	3	2
и более	3	2
в этих	5	2
художественной образности	2	4
то что	15	23
между собою	2	2
символ а	3	2
нечто иное	2	2
том как	2	2
будто бы	2	3
и сама	3	2
это было	2	2
заключается в	2	4
не только	24	14
том что	12	12
или другой	3	4
модель для	2	2
той или	14	12
а не	7	18
мы находим	2	7
и даже	9	14
то это	3	10
второй степени	3	6
и больше	2	3
есть только	2	4
во всяком	8	9
сама по	2	8
художественным образом	3	7
ни о	4	3
в самой	4	2
для себя	2	2
в чистом	2	3
всяком случае	4	6
и от	6	9
друг друга	2	2
в нашем	12	5
художественный образ	6	9
однако это	2	2
сказать что	7	16
и может	2	2
необходимо сказать	3	3
для них	2	2
сам по	6	6
есть в	7	3
символ как	2	4
только при	6	4
есть нечто	9	8
идейная образность	2	12
в стихотворении	2	2
иной мере	3	2
своему содержанию	5	2
тоже есть	7	4
и потому	7	7
о символе	2	2
другое дело	2	2
этих образов	2	2
и есть	4	5
однако в	2	2
общего с	2	3
только к	3	2
в отношении	4	2
не менее	10	10
в чем	2	4
взятый сам	2	2
в своем	3	5
это уже	3	3
сами по	2	6
тем не	10	10
символа в	6	3
образ и	2	3
и является	3	4
то же	7	13
самом же	2	4
трактуется как	3	2
символ в	6	5
того же	2	2
это символ	4	2
или иного	3	3
ничего общего	5	7
и вообще	6	8
так как	5	9
с ней	2	5
случае не	5	3
является только	2	5
от символа	4	4
в известном	2	2
как мы	3	8
вовсе не	21	37
без всякого	4	3
все эти	16	7
и можно	5	2
точно так	3	3
как это	3	2
только и	5	8
не в	13	13
но эта	2	3
художественном образе	2	2
но все	3	3
такого рода	7	6
об его	2	4
всегда есть	4	2
то он	2	2
не очень	2	2
может быть	9	28
ни в	17	8
и все	8	3
и во	4	2
о том	5	6
в этой	4	3
почти всегда	2	2
и образ	4	2
мы читаем	2	2
даже если	3	2
и к	3	6
вся эта	2	3
но именно	2	2
то время	2	4
а еще	3	2
художественные образы	9	2
из них	3	2
когда мы	5	15
самое время	2	4
что и	3	9
как в	5	5
как и	6	10
т д	3	13
ясно что	7	6
самом деле	3	3
образы и	3	3
этого произведения	2	3
крайней мере	6	5
и то	2	14
отнюдь не	10	10
и тоже	2	3
в виду	6	10
на нечто	2	3
идея и	3	3
есть не	6	5
с ее	2	2
только что	2	2
в конце	2	5
хотя бы	7	3
еще и	3	7
в бесконечный	14	7
и что	2	7
с другой	7	7
время как	2	4
и по	2	2
