2gram	Bakhtin_ProblemyTvorchestvaDostoevskogo_partition_part2_wordlist_2gram	Bakhtin_ProblemyTvorchestvaDostoevskogo_partition_part3_wordlist_2gram
голосов в	3	9
и вы	4	2
раз и	3	2
и он	2	5
свой предмет	2	7
в человеке	2	3
входит в	2	2
отношение к	6	2
пределах одного	2	9
не входит	2	2
того что	5	2
в отношении	9	3
не менее	3	3
в своем	2	4
тем не	2	2
романах достоевского	3	2
то же	14	8
переходим к	4	3
творчестве достоевского	5	3
в которых	2	2
другого в	2	3
того же	2	3
себе самом	5	3
он это	2	2
так как	4	4
чужого сознания	3	2
точек зрения	2	4
для другого	2	3
у достоевского	13	14
диалог с	3	2
вовсе не	11	5
как мы	7	10
все эти	4	5
всем этим	2	2
его к	3	2
о нем	2	6
не в	9	11
конечно в	2	2
но все	5	2
сознания и	3	3
авторское слово	2	9
может быть	19	23
ни в	4	2
с собою	6	2
а между	3	2
он с	4	3
слово героя	4	3
и все	19	6
о том	2	5
но зато	3	3
более того	2	4
и к	12	3
я и	2	2
что у	6	2
и со	2	3
уже говорили	3	3
чужое слово	2	45
из них	5	2
ну так	5	4
достоевского это	2	3
диалог ивана	5	2
что и	5	3
как в	4	2
слово в	2	8
речи героя	2	2
как и	18	14
т д	2	4
бы не	2	2
слово слово	2	3
достоевского и	3	2
самом деле	13	5
слова с	3	7
и то	3	2
с самим	14	8
та же	2	2
и другого	3	2
в виду	3	3
их в	3	4
это я	5	2
кажется что	2	3
бы он	4	2
бы и	4	2
в сторону	2	2
голосов и	2	4
в отличие	2	4
внутренней полемики	2	2
не хочет	2	3
в конце	5	2
хотя бы	5	2
лишь на	2	2
там где	7	4
ведь и	3	7
и что	5	5
с другой	4	4
