2gram	Berdyaev_MirosozercanieDostoevskogo_partition_part2_wordlist_2gram	Berdyaev_MirosozercanieDostoevskogo_partition_part1_wordlist_2gram
братьях карамазовых	3	2
свобода не	4	2
гениальной диалектике	2	2
человеческий образ	2	3
зла и	8	7
это есть	3	2
бога не	2	4
в мире	10	7
т е	2	4
он –	12	8
пройти через	2	2
о великом	4	2
в самом	11	5
должен быть	2	4
это и	4	3
до сих	2	3
достоевский открывает	3	2
в творчестве	10	3
себе и	2	2
во власти	2	6
и не	11	18
в боге	3	4
смысле слова	4	3
герои достоевского	4	2
связано с	2	3
все творчество	5	2
этом он	2	2
русского человека	2	7
п верховенский	2	2
к злу	3	5
трагическая судьба	2	2
бы в	2	2
но и	25	15
человека через	4	3
себя и	3	3
достоевского к	5	5
того чтобы	2	4
привести к	4	5
– идея	3	2
для того	2	5
в добре	5	4
увидим что	4	2
человека –	2	3
потому что	16	12
в которой	6	2
и человек	2	3
в его	9	5
чем в	2	2
с ним	2	3
достоевский был	9	9
он уже	6	2
человеческую природу	3	2
к человеку	9	12
он лишь	2	2
не был	7	2
в ней	15	11
– говорит	3	4
не было	18	11
по отношению	2	2
в гениальной	2	2
мы еще	2	2
нет ничего	7	3
человека на	5	2
достоевского нет	5	2
в нем	13	22
природы в	3	2
всю жизнь	4	3
в своей	15	5
это не	5	5
переходит в	15	8
прежде всего	10	12
в высшей	2	3
зло и	2	6
если бы	2	3
в дневнике	2	2
для него	11	18
у всех	2	2
со свободой	4	4
к отрицанию	9	5
у него	17	22
достоевский не	6	5
истребляет себя	2	2
человека и	14	7
на поверхности	5	4
страдания и	2	3
себя в	3	4
свобода переходит	5	4
на этом	3	2
на людей	2	2
во имя	10	16
что зло	2	2
те которые	9	3
своеволия и	5	4
человека есть	3	3
джентльмен с	3	2
в бесах	2	6
не к	4	2
человеку и	2	3
он раскрывает	3	3
лишь в	6	2
не мог	3	3
любовь к	2	8
и для	2	7
нет у	3	3
личности в	2	2
духа он	7	2
ведет к	6	13
менее всего	7	3
в центре	2	2
есть также	2	2
человеческой жизни	2	2
в своеволие	6	3
свободы и	10	4
вопрос о	2	6
мы видим	2	2
человека в	13	14
– все	3	2
в россии	2	3
человека к	2	8
достоевский показывает	2	2
ивана карамазова	7	7
в бога	2	4
испытание человеческой	3	2
к грядущему	2	2
как он	2	3
него –	2	2
в этих	4	2
русского духа	2	2
то что	5	5
нет бога	2	4
и бога	2	2
в глубине	8	3
он сам	6	6
которая есть	3	2
свободы свобода	3	2
на природу	2	2
с его	3	4
не только	29	18
том что	3	4
достоевского есть	19	6
во христе	5	6
иван карамазов	8	13
не знал	4	3
а не	25	13
и на	6	3
есть что-то	2	4
от его	2	2
ничего не	3	2
свою противоположность	2	2
интерес к	3	2
чем у	4	4
и от	2	3
свобода свобода	2	2
и достоевский	12	8
сказать что	2	3
эвклидова ума	3	6
влечет к	3	3
человека от	2	2
безграничной свободы	3	3
и он	12	11
есть лишь	9	17
еще в	2	2
в человеке	8	2
добра и	5	5
в свою	2	4
любви человека	2	2
отношение к	4	8
от свободы	2	3
в страдании	2	2
из глубины	3	2
достоевский изобличает	2	2
и потому	10	7
связана с	2	7
бог есть	2	2
и есть	14	8
достоевского не	4	3
на земле	2	8
к истреблению	2	2
того что	7	6
в своем	10	8
любви к	7	7
обращен к	4	4
этот процесс	3	2
образ и	2	5
и нет	2	3
человек в	9	3
сих пор	2	3
творчестве достоевского	4	3
человека человек	8	2
по достоевскому	2	2
если нет	5	8
так как	3	8
русский человек	2	3
ко христу	2	2
у достоевского	42	34
к богу	3	2
духа в	3	2
только и	3	4
не в	16	9
и подобие	2	5
в судьбе	5	2
может быть	30	21
идеи достоевского	5	2
духа и	4	3
его с	2	2
за зло	3	5
и свобода	7	2
и все	10	5
о том	2	3
и во	2	3
в этой	6	7
и к	2	7
ты –	2	5
быть может	7	2
самого достоевского	2	3
творчество достоевского	13	3
что и	4	4
как в	2	7
как и	5	13
бы не	2	2
тогда только	2	3
достоевского и	10	2
в любви	4	8
раскольников ставрогин	2	2
один из	4	5
в братьях	3	2
него и	2	2
мира сего	2	3
что есть	5	2
через свободу	5	3
бунтует против	2	2
с самим	2	3
и мир	2	2
человек не	10	7
бы и	3	5
достоевский –	6	5
есть не	4	5
по своей	2	3
свободы духа	6	5
путь свободы	5	5
в конце	7	5
судьба человека	9	6
хотя бы	3	7
свободу человеческого	3	2
в основе	2	2
который был	2	2
и самоутверждения	2	2
и что	2	2
и вот	3	5
его не	3	2
что человек	3	2
сам достоевский	3	3
