2gram	Losev_ProblemaSimvolaiRealistich_partition_part3_wordlist_2gram	Losev_ProblemaSimvolaiRealistich_partition_part2_wordlist_2gram
мы ни	2	2
не было	3	5
это за	2	3
знак нечто	3	2
от друга	2	2
или в	2	4
каком случае	3	2
это в	2	2
нет ничего	2	6
в таких	3	3
имеет значение	2	6
что такое	18	3
мы в	3	4
теорий знака	2	2
можно было	5	4
если же	3	3
нечто значит	3	5
прежде всего	11	3
этого термина	8	2
но это	6	8
но если	4	6
таком случае	10	4
но не	4	3
то есть	39	34
если бы	4	3
с которой	3	2
данном случае	5	7
и т	6	13
но вот	2	3
что оно	2	2
тоже не	7	5
по крайней	6	5
настоящее время	16	2
даже не	3	2
есть просто	2	2
так что	11	12
в таком	11	5
а также	2	4
столько же	2	2
и притом	3	4
человека но	2	3
языкознании и	3	2
можно ли	6	4
с одной	5	2
является чем-то	2	3
всякого рода	4	4
и для	6	2
этом случае	7	5
в тех	2	3
быть и	2	3
тоже еще	2	2
или иное	2	2
подобного рода	4	3
а именно	6	8
некоторого рода	7	10
языкового знака	9	3
самостоятельное значение	4	4
иной раз	3	3
или по	4	4
по своему	5	2
если мы	9	16
значит что	4	7
сам знак	4	2
или даже	3	5
иное как	3	4
мы должны	3	7
не является	7	11
не что	3	4
для этого	3	6
такое знак	6	2
что же	9	8
знак в	2	4
знаковой теории	14	3
и более	5	2
в этих	4	2
и особенно	2	2
то что	38	23
между собою	4	2
нас не	3	5
что все	6	2
будто бы	5	3
от всякого	2	2
знака к	7	2
и здесь	4	5
он сам	3	4
это было	2	2
заключается в	4	4
не только	24	14
том что	19	12
и знак	4	2
или другой	5	4
и символа	3	3
модель для	2	2
мы могли	2	4
той или	5	12
а не	10	18
и даже	11	14
или иная	2	3
бы мы	2	2
то это	3	10
говорить здесь	2	2
само по	2	3
есть только	8	4
во всяком	13	9
сама по	4	8
ни о	4	3
от его	2	2
для себя	9	2
мы возьмем	2	3
ничего не	10	3
в чистом	3	3
всяком случае	10	6
состоит из	2	5
и вовсе	6	4
и от	3	9
в нашем	3	5
просто как	3	2
однако это	2	2
сказать что	24	16
мы уже	3	4
и слишком	2	2
необходимо сказать	6	3
для них	3	2
слова как	3	2
есть в	4	3
как на	2	2
только при	2	4
есть нечто	7	8
раз и	5	4
нами в	2	2
есть то	5	3
понятия знака	5	2
тоже нечто	3	2
обозначаемого и	2	2
тоже есть	5	4
по поводу	2	2
и есть	4	5
значение знака	2	2
общего с	2	3
того что	12	8
знака и	15	4
в отношении	4	2
не менее	13	10
только то	3	2
в своем	4	5
к понятию	3	2
что при	4	2
сами по	2	6
тем не	12	10
отдельно от	2	3
может иметь	2	3
символа в	2	3
и является	3	4
то же	5	13
сих пор	4	2
время и	2	2
то или	3	3
или иного	5	3
не значит	2	3
ничего общего	3	7
и вообще	16	8
так как	7	9
но уже	5	3
случае не	4	3
является только	3	5
негативных теорий	3	3
из отдельных	2	2
мы говорим	4	4
на то	6	3
между знаком	7	2
вовсе не	37	37
имеется в	3	4
без всякого	4	3
этим мы	2	2
как мы	5	8
а ведь	2	3
все эти	7	7
и можно	3	2
точно так	3	3
только и	3	8
не в	2	13
но эта	3	3
которые мы	3	3
такого рода	15	6
но все	2	3
об его	2	4
не очень	2	2
может быть	18	28
ни в	6	8
мы скажем	3	2
и все	5	3
о том	18	6
в этой	9	3
и к	3	6
знаком и	8	3
только о	8	3
от знака	5	2
но именно	4	2
когда мы	6	15
самое время	4	4
здесь только	3	7
что и	2	9
то ни	3	6
если угодно	2	2
как и	5	10
т д	6	13
ни от	2	4
ясно что	8	6
первый план	3	2
знак тоже	3	2
самом деле	4	3
крайней мере	6	5
в нашей	3	2
и то	10	14
с самим	3	3
отнюдь не	5	10
в виду	8	10
и тоже	3	3
тому что	3	4
есть не	6	5
эту вещь	3	2
всякий знак	17	12
в конце	7	5
хотя бы	12	3
еще и	5	7
в основе	3	2
что их	2	2
и что	13	7
с другой	6	7
в поисках	2	2
и по	3	2
