2gram	Vygotskiy_Psychologia_partition_part1_wordlist_2gram	Vygotskiy_Psychologia_partition_part5_wordlist_2gram
тот же	3	2
и т	7	26
и так	2	4
что оно	6	3
противоречие с	2	3
у него	3	4
искусства и	5	15
по самому	2	5
что с	6	2
так что	3	5
думается что	3	3
в таком	3	3
дело с	5	3
во всем	2	3
должна быть	2	3
с одной	12	5
совершенно ясно	7	19
стоит только	5	2
когда она	3	2
и для	6	5
нормы и	2	2
тем же	3	3
и той	2	3
искусство есть	2	6
вопрос о	3	3
если мы	16	12
искусства как	4	4
мы видим	8	5
в основу	4	2
искусства с	3	4
одного и	2	2
во внимание	5	2
не является	2	5
как он	2	2
в этих	3	4
и таким	2	2
то что	37	32
что все	6	3
стороны и	4	3
очень легко	3	2
и здесь	6	2
был бы	5	5
с этой	2	4
как говорит	4	2
заключается в	8	7
не только	16	13
том что	21	16
до тех	2	2
могут быть	8	11
от того	4	3
а не	8	13
и даже	2	6
бы мы	3	2
само по	2	5
есть только	2	2
себе не	2	3
ничего не	2	2
все время	20	4
совершенно очевидно	5	3
в сущности	12	10
сказать что	9	7
из этих	3	6
как на	11	3
есть нечто	3	2
нам придется	2	2
искусства в	2	9
зависимости от	7	6
в силу	3	3
на деле	8	3
и потому	5	2
и другие	3	4
по поводу	3	2
и есть	5	5
того что	8	10
чувства и	5	2
в своем	6	3
что при	3	3
что эта	4	3
с теми	3	2
то же	7	5
к этому	3	4
сих пор	5	3
в которых	2	3
того же	2	2
должны будем	2	2
объективной психологии	2	4
как например	2	2
так как	9	18
и другими	2	3
же точно	6	3
на то	17	10
вовсе не	3	6
как мы	5	2
не могут	3	3
как это	7	4
обратиться к	5	2
не в	8	11
мы найдем	4	2
может быть	11	22
всякий раз	2	8
ни в	3	9
с таким	2	11
мы знаем	2	3
и сейчас	3	2
и все	4	5
о том	10	7
в этой	5	3
и к	4	3
на примере	4	3
что у	3	3
только о	2	2
этом отношении	3	2
совершенно правильно	2	4
из них	2	2
когда мы	6	3
что и	3	13
как в	3	9
как и	6	16
т д	3	8
один из	5	4
ясно что	6	19
к которым	2	3
самом деле	8	9
под влиянием	3	3
что есть	2	2
и то	9	2
как они	2	2
ту же	2	2
в виду	4	4
целый ряд	3	6
тому что	8	4
в отличие	2	3
есть не	4	2
только что	4	2
этому поводу	4	2
в конце	4	3
сущности говоря	8	3
в основе	7	2
одной стороны	12	6
там где	4	4
и что	23	8
с другой	9	5
от него	4	2
и вот	2	3
время как	2	5
