2gram	Losev_ProblemaSimvolaiRealistich_partition_part1_wordlist_2gram	Losev_ProblemaSimvolaiRealistich_partition_part2_wordlist_2gram
как знак	2	2
конце концов	7	4
во всех	2	7
и не	37	31
вещи и	2	12
смысле слова	7	7
в виде	6	15
даже и	18	8
мы можем	6	4
на самом	4	6
при помощи	8	13
совершенно не	2	6
но ведь	3	3
обязательно есть	2	2
как же	4	3
не просто	11	23
но и	16	9
вещи или	3	4
учение о	2	3
того чтобы	2	9
казалось бы	7	4
для того	3	8
потому что	13	16
что всякий	5	4
только не	3	3
или иначе	6	2
тем более	10	5
в его	7	6
можно сказать	6	5
тем самым	7	4
никак нельзя	3	3
в каком	4	3
мы не	7	2
указывает на	5	14
а может	2	2
не было	3	4
или в	2	4
каком случае	3	3
нет ничего	2	10
или вообще	4	2
в таких	3	2
далеко не	4	5
большей частью	3	2
в действительности	2	3
же мы	2	2
что такое	18	6
который вовсе	3	2
мы в	3	3
и того	3	2
можно было	5	3
оно не	3	3
что она	4	5
несмотря на	3	3
прежде всего	11	10
но это	6	8
этого термина	8	4
таком случае	10	6
но если	4	2
но не	4	9
то есть	39	33
если бы	4	4
данном случае	5	8
и т	6	11
что оно	2	3
тоже не	7	7
по крайней	6	2
настоящее время	16	3
так что	11	6
в таком	11	9
а также	2	4
и притом	3	4
можно ли	6	5
это совершенно	2	4
и для	6	4
этом случае	7	2
от другого	2	2
быть и	2	3
этот термин	2	4
как именно	3	2
подобного рода	4	5
на том	3	4
а именно	6	12
некоторого рода	7	5
по своему	5	9
если мы	9	11
значит что	4	3
на этой	2	2
иное как	3	2
мы должны	3	5
что не	5	3
не является	7	5
не что	3	2
для этого	3	3
в истории	3	4
что же	9	9
знак в	2	2
в этих	4	3
и особенно	2	2
то что	38	42
между собою	4	7
нас не	3	2
что все	6	3
в области	6	2
и здесь	4	6
он сам	3	2
это было	2	2
есть по	2	4
есть знак	10	8
по преимуществу	2	2
не только	24	17
том что	19	12
уже и	3	3
той или	5	5
а не	10	15
и даже	11	11
бы мы	2	3
и на	5	8
есть только	8	8
во всяком	13	7
для знака	4	5
сама по	4	4
ни о	4	5
для себя	9	3
мы возьмем	2	2
в математике	4	2
ничего не	10	10
именно как	4	4
знака мы	2	2
всяком случае	10	3
и вовсе	6	4
что может	2	2
однако это	2	3
сказать что	24	13
мы уже	3	5
необходимо сказать	6	2
для них	3	2
из этих	3	2
понятия символа	3	7
есть в	4	5
есть нечто	7	11
его от	2	3
свидетельствует о	2	3
раз и	5	9
понятия знака	5	2
знак а	3	2
обозначаемого и	2	2
входит в	2	4
в одно	2	4
тоже есть	5	3
подобно тому	2	2
по поводу	2	4
и есть	4	6
общего с	2	8
того что	12	7
в отношении	4	3
не менее	13	19
только то	3	4
в своем	4	5
сами по	2	3
тем не	12	18
может иметь	2	2
символа в	2	3
то во	2	2
и является	3	7
то же	5	10
сих пор	4	3
и ничего	2	2
то или	3	2
взятая сама	2	4
или иного	5	2
не значит	2	2
ничего общего	3	11
и вообще	16	4
так как	7	11
но уже	5	5
здесь то	2	2
случае не	4	3
не имеющих	2	2
мы говорим	4	3
на то	6	8
со знаком	2	2
вовсе не	37	35
без всякого	4	2
как мы	5	7
указание на	3	4
все эти	7	8
не могут	4	2
точно так	3	4
только и	3	3
о нем	2	3
не в	2	4
такого рода	15	7
но все	2	3
об его	2	3
сознания и	2	2
не очень	2	2
может быть	18	14
ни в	6	7
и все-таки	3	2
и все	5	7
о том	18	11
в этой	9	10
нет никакой	2	2
с этими	2	2
о своем	2	2
мы здесь	3	2
но именно	4	3
когда мы	6	8
самое время	4	4
здесь только	3	2
как и	5	3
т д	6	10
как такового	2	2
один из	3	4
ясно что	8	3
самом деле	4	6
крайней мере	6	2
и то	10	6
не всякое	2	7
как они	2	2
на тот	2	2
или его	2	2
отнюдь не	5	10
не говоря	4	4
в случае	3	3
в виду	8	6
их в	4	4
тому что	3	4
есть не	6	6
эту вещь	3	2
всякий знак	17	3
этому поводу	2	3
в конце	7	6
или менее	4	3
хотя бы	12	3
еще и	5	5
о предмете	2	2
что их	2	2
вообще и	2	4
и что	13	9
с другой	6	3
он обозначает	3	2
