2gram	Vygotskiy_Psychologia_partition_part2_wordlist_2gram	Vygotskiy_Psychologia_partition_part1_wordlist_2gram
искусство как	9	4
в которой	4	2
в каждом	3	2
художественном произведении	3	5
когда он	2	10
в его	6	2
том и	2	2
в каком	2	3
в своих	4	9
же как	4	4
мы не	12	3
одной и	4	4
указывает на	4	3
из которых	3	2
чтобы показать	3	3
не было	3	2
и совершенно	5	3
том чтобы	7	3
искусства которые	2	4
что на	3	4
это в	2	2
иначе говоря	5	4
а потому	3	2
далеко не	2	5
в какой	5	2
художественной формы	5	12
такой же	2	7
это можно	2	2
в художественном	3	6
в нем	2	4
если же	2	4
несмотря на	5	4
что она	6	16
в своей	3	3
с в	3	2
но это	3	2
в состоянии	3	2
но не	3	2
то есть	26	21
если бы	6	6
тот же	2	6
в поэзии	2	3
и т	26	10
и так	4	3
что оно	3	2
противоречие с	3	2
искусства и	15	9
по самому	5	3
для выражения	5	2
что с	2	3
так что	5	3
искусства является	2	4
в таком	3	2
дело с	3	8
во всем	3	3
и их	2	3
роль в	3	2
совершенно ясно	19	7
когда она	2	4
стоит только	2	2
и для	5	4
и той	3	4
точка зрения	4	2
с на	4	3
например в	3	3
если мы	12	12
должны быть	3	3
искусства как	4	2
тогда когда	5	3
мы видим	5	4
искусства с	4	2
одного и	2	2
как совершенно	3	2
во внимание	2	2
из всех	2	2
что же	2	3
как он	2	2
в этих	4	2
и таким	2	2
то что	32	21
если она	2	2
что все	3	9
и здесь	2	2
с этой	4	4
надо сказать	3	2
как говорит	2	3
заключается в	7	12
не только	13	12
том что	16	21
искусства но	2	5
могут быть	11	4
от того	3	4
а не	13	7
и даже	6	5
само по	5	3
есть только	2	5
во всяком	8	2
из которого	2	4
произведению искусства	2	2
ничего не	2	4
как прием	2	3
все время	4	6
всяком случае	6	2
и другой	3	3
и от	2	2
в сущности	10	7
сказать что	7	7
начинает с	2	2
между тем	4	4
как на	3	5
есть нечто	2	2
потебни и	2	2
искусства в	9	5
в процессе	5	2
утверждать что	5	4
на деле	3	8
отношение к	2	2
вслед за	6	5
как к	2	3
подобно тому	5	2
того что	10	8
чувства и	2	2
не менее	2	8
в чем	2	4
что при	3	9
тем не	2	4
то же	5	13
и тот	2	2
сих пор	3	5
в которых	3	3
том же	2	2
то или	2	2
того же	2	2
теории искусства	5	3
так как	18	12
же точно	3	10
с исчерпывающей	2	2
легче всего	3	3
на то	10	11
вовсе не	6	2
на вопрос	2	2
могло бы	4	2
не могут	3	3
точно так	3	3
как это	4	4
не в	11	8
может быть	22	18
поэзии и	2	7
всякий раз	8	2
ни в	9	2
с таким	11	8
мы знаем	3	7
и сейчас	2	3
и все	5	4
о том	7	6
в этой	3	6
и к	3	3
на примере	3	2
что у	3	5
этом отношении	2	5
форму и	2	2
совершенно правильно	4	4
то время	5	3
из них	2	4
когда мы	3	2
что и	13	17
но совершенно	2	3
как в	9	9
искусство в	2	2
как и	16	10
т д	8	2
один из	4	3
ясно что	19	7
как нельзя	4	2
к которым	3	3
самом деле	9	16
и то	2	3
та же	3	3
отнюдь не	6	5
и другого	2	3
в виду	4	3
ту же	2	4
их в	2	2
и других	3	3
на это	2	3
бы и	2	3
в конечном	3	3
целый ряд	6	6
тому что	4	4
есть не	2	4
в конце	3	3
те же	4	6
сущности говоря	3	4
в основе	2	11
там где	4	2
и что	8	22
с другой	5	3
конечном счете	3	3
и вот	3	3
время как	5	3
и по	3	4
