2gram	Losev_ProblemaSimvolaiRealistich_partition_part4_wordlist_2gram	Losev_ProblemaSimvolaiRealistich_partition_part3_wordlist_2gram
с ним	7	4
можно сказать	6	5
тем самым	5	4
бесконечный ряд	8	16
в каком	4	6
были бы	2	3
мы не	7	7
из которых	2	3
указывает на	7	4
в ней	5	7
никто не	2	2
а может	2	2
мы ни	2	2
же в	3	4
и очень	3	5
не было	5	3
художественная образность	5	3
мы сейчас	2	3
художественного образа	12	3
или в	4	5
в начале	2	3
каком случае	2	3
бесконечное количество	8	4
нет ничего	6	3
символ отличается	2	2
об ее	2	2
структурно-семантических категорий	2	9
это можно	2	2
порождающей моделью	2	4
в художественном	3	4
в нем	9	5
можно было	4	4
в своей	5	4
символ есть	5	6
это не	9	7
прежде всего	3	11
но это	8	6
а то	3	2
но если	6	6
но не	3	5
то есть	34	27
если бы	3	8
художественным произведением	3	2
данном случае	7	5
и т	13	4
для него	3	3
именно в	2	7
по крайней	5	6
подпадающих под	2	3
символ но	3	5
себя в	2	2
л толстой	2	2
так что	12	6
в таком	5	6
а также	4	6
не мешает	3	3
и притом	4	2
художественной структуры	2	2
можно ли	4	3
всякого рода	4	3
дело в	4	2
и для	2	4
очень много	3	2
нет никакого	4	3
и символ	5	4
человеческой жизни	2	5
подобного рода	3	11
а именно	8	2
некоторого рода	10	2
находятся в	3	2
или по	4	2
между прочим	2	3
по своему	2	6
если мы	16	5
чем же	4	3
значит что	7	8
порождающей модели	2	2
должны сказать	5	2
или даже	5	4
всякий символ	4	4
иное как	4	2
мы должны	7	3
здесь перед	2	5
не является	11	10
не что	4	2
для этого	6	2
дело не	2	3
и более	2	3
в этих	2	5
художественной образности	4	2
то что	23	15
между собою	2	2
символ а	2	3
нечто иное	2	2
том как	2	2
будто бы	3	2
и сама	2	3
это было	2	2
заключается в	4	2
не только	14	24
том что	12	12
или другой	4	3
модель для	2	2
той или	12	14
а не	18	7
мы находим	7	2
и даже	14	9
то это	10	3
второй степени	6	3
и больше	3	2
есть только	4	2
во всяком	9	8
сама по	8	2
художественным образом	7	3
ни о	3	4
в самой	2	4
для себя	2	2
в чистом	3	2
всяком случае	6	4
и от	9	6
друг друга	2	2
в нашем	5	12
художественный образ	9	6
однако это	2	2
сказать что	16	7
и может	2	2
необходимо сказать	3	3
для них	2	2
сам по	6	6
есть в	3	7
символ как	4	2
только при	4	6
есть нечто	8	9
идейная образность	12	2
в стихотворении	2	2
иной мере	2	3
своему содержанию	2	5
тоже есть	4	7
и потому	7	7
о символе	2	2
другое дело	2	2
этих образов	2	2
и есть	5	4
однако в	2	2
общего с	3	2
только к	2	3
в отношении	2	4
не менее	10	10
в чем	4	2
взятый сам	2	2
в своем	5	3
это уже	3	3
сами по	6	2
тем не	10	10
символа в	3	6
образ и	3	2
и является	4	3
то же	13	7
самом же	4	2
трактуется как	2	3
символ в	5	6
того же	2	2
это символ	2	4
или иного	3	3
ничего общего	7	5
и вообще	8	6
так как	9	5
с ней	5	2
случае не	3	5
является только	5	2
от символа	4	4
в известном	2	2
как мы	8	3
вовсе не	37	21
без всякого	3	4
все эти	7	16
и можно	2	5
точно так	3	3
как это	2	3
только и	8	5
не в	13	13
но эта	3	2
художественном образе	2	2
но все	3	3
такого рода	6	7
об его	4	2
всегда есть	2	4
то он	2	2
не очень	2	2
может быть	28	9
ни в	8	17
и все	3	8
и во	2	4
о том	6	5
в этой	3	4
почти всегда	2	2
и образ	2	4
мы читаем	2	2
даже если	2	3
и к	6	3
вся эта	3	2
но именно	2	2
то время	4	2
а еще	2	3
художественные образы	2	9
из них	2	3
когда мы	15	5
самое время	4	2
что и	9	3
как в	5	5
как и	10	6
т д	13	3
ясно что	6	7
самом деле	3	3
образы и	3	3
этого произведения	3	2
крайней мере	5	6
и то	14	2
отнюдь не	10	10
и тоже	3	2
в виду	10	6
на нечто	3	2
идея и	3	3
есть не	5	6
с ее	2	2
только что	2	2
в конце	5	2
хотя бы	3	7
еще и	7	3
в бесконечный	7	14
и что	7	2
с другой	7	7
время как	4	2
и по	2	2
