2gram	Losev_ProblemaSimvolaiRealistich_partition_part2_wordlist_2gram	Losev_ProblemaSimvolaiRealistich_partition_part4_wordlist_2gram
указывает на	4	5
в ней	7	2
никто не	2	3
а может	2	2
мы ни	2	2
не было	3	3
или в	5	2
каком случае	3	3
нет ничего	3	2
здесь как	4	2
далеко не	2	4
в зависимости	3	2
можно было	4	5
что она	4	4
несмотря на	4	3
прежде всего	11	11
но это	6	6
но если	6	4
но не	5	4
для всех	3	2
то есть	27	39
можно только	2	2
если бы	8	4
тот же	2	4
данном случае	5	5
независимо от	3	2
и т	4	6
тут и	4	2
по крайней	6	6
так что	6	11
в таком	6	11
а также	6	2
и притом	2	3
можно ли	3	6
всякого рода	3	4
то более	3	2
перестает быть	2	3
и для	4	6
что без	2	2
как угодно	2	3
себе в	3	2
как именно	2	3
подобного рода	11	4
а именно	2	6
некоторого рода	2	7
или по	2	4
по своему	6	5
если мы	5	9
значит что	8	4
между собой	2	5
или даже	4	3
на этой	2	2
иное как	2	3
мы должны	3	3
те или	5	7
что не	4	5
не является	10	7
не что	2	3
для этого	2	3
в истории	3	3
и более	3	5
в этих	5	4
то что	15	38
между собою	2	4
для всякого	2	2
будто бы	2	5
в области	3	6
стороны и	2	4
это было	2	2
по преимуществу	2	2
заключается в	2	4
не только	24	24
том что	12	19
тот или	2	5
или другой	3	5
уже и	3	3
модель для	2	2
той или	14	5
а не	7	10
и даже	9	11
то это	3	3
и на	3	5
есть только	2	8
и весьма	2	2
во всяком	8	13
сама по	2	4
ни о	4	4
для себя	2	9
в математике	4	4
в чистом	2	3
хотели бы	2	2
всяком случае	4	10
здесь мы	3	3
и от	6	3
в нашем	12	3
однако это	2	2
сказать что	7	24
необходимо сказать	3	6
для них	2	3
понятия символа	9	3
есть в	7	4
обойтись без	2	3
только при	6	2
есть нечто	9	7
лет назад	2	3
свидетельствует о	2	2
зависимости от	3	2
в одно	6	2
тоже есть	7	5
и есть	4	4
общего с	2	2
в отношении	4	4
не менее	10	13
в своем	3	4
сами по	2	2
тем не	10	12
символа в	6	2
и является	3	3
то же	7	5
само понятие	2	2
он тоже	2	2
во все	2	2
является для	3	2
или иного	3	5
ничего общего	5	3
и вообще	6	16
так как	5	7
случае не	5	4
является только	2	3
и прежде	2	2
значительной мере	2	3
как мы	3	5
вовсе не	21	37
без всякого	4	4
все эти	16	7
и можно	5	3
точно так	3	3
в значительной	2	3
только и	5	3
не в	13	2
но эта	2	3
имеем в	3	2
такого рода	7	15
но все	3	2
сознания и	3	2
об его	2	2
не очень	2	2
может быть	9	18
ни в	17	6
и все	8	5
о том	5	18
в этой	4	9
и к	3	3
нет никакой	4	2
не вполне	2	4
правда в	3	2
мы здесь	2	3
но именно	2	4
когда мы	5	6
самое время	2	4
что и	3	2
как и	6	5
т д	3	6
ясно что	7	8
самом деле	3	4
которые тоже	2	2
крайней мере	6	6
и то	2	10
как они	2	2
отнюдь не	10	5
не говоря	3	4
и тоже	2	3
в виду	6	8
бы и	3	7
есть не	6	6
в конце	2	7
или менее	2	4
хотя бы	7	12
еще и	3	5
тотчас же	2	2
и что	2	13
с другой	7	6
и по	2	3
