2gram	Vygotskiy_Psychologia_partition_part2_wordlist_2gram	Vygotskiy_Psychologia_partition_part5_wordlist_2gram
показали что	2	2
к которым	2	3
самом деле	8	16
в нашей	2	3
и то	9	3
на которых	2	2
действующих лиц	7	3
ту же	2	4
в виду	4	3
целый ряд	3	6
тому что	8	4
это очень	2	2
есть не	4	4
это означает	2	2
в конце	4	3
хотя бы	3	3
сущности говоря	8	4
в основе	7	11
там где	4	2
и что	23	22
на его	3	2
заключает в	4	2
с другой	9	3
и вот	2	3
время как	2	3
