2gram	Vygotskiy_Psychologia_partition_part5_wordlist_2gram	Vygotskiy_Psychologia_partition_part2_wordlist_2gram
показали что	2	2
к которым	3	2
самом деле	16	8
в нашей	3	2
и то	3	9
на которых	2	2
действующих лиц	3	7
в виду	3	4
ту же	4	2
целый ряд	6	3
тому что	4	8
это очень	2	2
есть не	4	4
это означает	2	2
в конце	3	4
хотя бы	3	3
сущности говоря	4	8
в основе	11	7
там где	2	4
и что	22	23
на его	2	3
заключает в	2	4
с другой	3	9
и вот	3	2
время как	3	2
